,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,0.047,0.056,0.841,0.401,-0.063,0.157
task[T.predict],0.038,0.079,0.481,0.630,-0.117,0.193
feature_relevance[T.relevant],0.283,0.067,4.190,0.000,0.150,0.415
irrelevant_dim[T.shape],-0.070,0.079,-0.889,0.374,-0.226,0.085
irrelevant_dim[T.tail],0.057,0.080,0.717,0.473,-0.100,0.214
task[T.predict]:feature_relevance[T.relevant],-0.075,0.095,-0.788,0.431,-0.262,0.112
task[T.predict]:irrelevant_dim[T.shape],-0.044,0.112,-0.396,0.692,-0.263,0.175
task[T.predict]:irrelevant_dim[T.tail],-0.187,0.114,-1.648,0.099,-0.410,0.035
feature_relevance[T.relevant]:irrelevant_dim[T.shape],0.147,0.095,1.543,0.123,-0.040,0.334
feature_relevance[T.relevant]:irrelevant_dim[T.tail],-0.040,0.096,-0.416,0.677,-0.229,0.149
task[T.predict]:feature_relevance[T.relevant]:irrelevant_dim[T.shape],0.080,0.134,0.599,0.549,-0.183,0.344
task[T.predict]:feature_relevance[T.relevant]:irrelevant_dim[T.tail],0.220,0.137,1.607,0.108,-0.048,0.488
Group Var,0.005,0.053,,,,
Group x feature_relevance[T.relevant] Cov,0.001,0.057,,,,
feature_relevance[T.relevant] Var,0.000,0.080,,,,
