participant,task,relevant_dim_1,relevant_dim_2,irrelevant_dim,wing_high,color_high,tail_high,wing_discrete_slider.response,feature_dimension,feature_importance,feature_relevance,wing_relevant,wing_response
1,accommodate,tail,color,wing,0,B,S,Yes,wing,6.0,irrelevant,0,1
2,accommodate,color,wing,tail,0,Y,C,Yes,wing,6.0,relevant,1,1
3,accommodate,color,tail,wing,1,B,S,No,wing,0.0,irrelevant,0,0
4,accommodate,color,tail,wing,1,B,S,Yes,wing,5.0,irrelevant,0,1
5,accommodate,color,tail,wing,0,B,S,Yes,wing,7.0,irrelevant,0,1
6,accommodate,color,tail,wing,0,B,S,Yes,wing,4.0,irrelevant,0,1
7,accommodate,tail,wing,color,1,Y,C,Yes,wing,6.0,relevant,1,1
8,accommodate,tail,color,wing,1,B,S,No,wing,0.0,irrelevant,0,0
9,accommodate,tail,wing,color,1,Y,C,Yes,wing,-5.0,relevant,1,1
10,accommodate,color,tail,wing,1,B,S,Yes,wing,4.0,irrelevant,0,1
11,accommodate,wing,tail,color,1,B,C,Yes,wing,6.0,relevant,1,1
12,accommodate,tail,color,wing,1,B,S,Yes,wing,-4.0,irrelevant,0,1
13,accommodate,wing,tail,color,1,Y,C,Yes,wing,6.0,relevant,1,1
14,accommodate,color,wing,tail,0,Y,C,Yes,wing,3.0,relevant,1,1
15,accommodate,color,wing,tail,0,Y,C,Yes,wing,-5.0,relevant,1,1
16,accommodate,tail,color,wing,1,B,S,Yes,wing,-3.0,irrelevant,0,1
17,accommodate,tail,wing,color,1,B,C,Yes,wing,2.0,relevant,1,1
18,accommodate,wing,color,tail,0,Y,C,Yes,wing,-5.0,relevant,1,1
19,accommodate,color,tail,wing,1,B,S,Yes,wing,6.0,irrelevant,0,1
20,accommodate,color,tail,wing,1,B,S,Yes,wing,1.0,irrelevant,0,1
21,accommodate,color,wing,tail,0,Y,C,Yes,wing,5.0,relevant,1,1
22,accommodate,tail,wing,color,1,B,C,No,wing,0.0,relevant,1,0
23,accommodate,color,wing,tail,0,Y,S,Yes,wing,-5.0,relevant,1,1
24,accommodate,color,tail,wing,0,B,S,No,wing,0.0,irrelevant,0,0
25,accommodate,color,wing,tail,0,Y,C,No,wing,0.0,relevant,1,0
