participant,task,relevant_dim_1,relevant_dim_2,irrelevant_dim,wing_high,color_high,tail_high,wing_discrete_slider.response,feature_dimension,feature_importance,feature_relevance,wing_relevant
1,accommodate,tail,color,wing,0,B,S,Yes,wing,6.0,irrelevant,0
2,accommodate,color,wing,tail,0,Y,C,Yes,wing,6.0,relevant,1
3,accommodate,color,tail,wing,1,B,S,No,wing,0.0,irrelevant,0
4,accommodate,color,tail,wing,1,B,S,Yes,wing,5.0,irrelevant,0
5,accommodate,color,tail,wing,0,B,S,Yes,wing,7.0,irrelevant,0
6,accommodate,color,tail,wing,0,B,S,Yes,wing,4.0,irrelevant,0
7,accommodate,tail,wing,color,1,Y,C,Yes,wing,6.0,relevant,1
8,accommodate,tail,color,wing,1,B,S,No,wing,0.0,irrelevant,0
9,accommodate,tail,wing,color,1,Y,C,Yes,wing,-5.0,relevant,1
10,accommodate,color,tail,wing,1,B,S,Yes,wing,4.0,irrelevant,0
11,accommodate,wing,tail,color,1,B,C,Yes,wing,6.0,relevant,1
12,accommodate,tail,color,wing,1,B,S,Yes,wing,-4.0,irrelevant,0
13,accommodate,wing,tail,color,1,Y,C,Yes,wing,6.0,relevant,1
14,accommodate,color,wing,tail,0,Y,C,Yes,wing,3.0,relevant,1
15,accommodate,color,wing,tail,0,Y,C,Yes,wing,-5.0,relevant,1
16,accommodate,tail,color,wing,1,B,S,Yes,wing,-3.0,irrelevant,0
17,accommodate,tail,wing,color,1,B,C,Yes,wing,2.0,relevant,1
18,accommodate,wing,color,tail,0,Y,C,Yes,wing,-5.0,relevant,1
19,accommodate,color,tail,wing,1,B,S,Yes,wing,6.0,irrelevant,0
20,accommodate,color,tail,wing,1,B,S,Yes,wing,1.0,irrelevant,0
21,accommodate,color,wing,tail,0,Y,C,Yes,wing,5.0,relevant,1
22,accommodate,tail,wing,color,1,B,C,No,wing,0.0,relevant,1
23,accommodate,color,wing,tail,0,Y,S,Yes,wing,-5.0,relevant,1
24,accommodate,color,tail,wing,0,B,S,No,wing,0.0,irrelevant,0
25,accommodate,color,wing,tail,0,Y,C,No,wing,0.0,relevant,1
26,accommodate,color,wing,tail,0,Y,C,No,wing,0.0,relevant,1
27,accommodate,color,tail,wing,0,B,S,Yes,wing,2.0,irrelevant,0
28,accommodate,color,tail,wing,1,B,S,Yes,wing,5.0,irrelevant,0
29,accommodate,color,tail,wing,1,B,S,Yes,wing,5.0,irrelevant,0
30,accommodate,color,tail,wing,1,B,S,No,wing,0.0,irrelevant,0
31,accommodate,wing,tail,color,1,Y,C,Yes,wing,5.0,relevant,1
32,accommodate,tail,color,wing,0,B,S,No,wing,0.0,irrelevant,0
33,accommodate,wing,color,tail,0,Y,C,Yes,wing,5.0,relevant,1
34,accommodate,color,tail,wing,0,B,S,Yes,wing,6.0,irrelevant,0
35,accommodate,tail,wing,color,1,B,C,Yes,wing,5.0,relevant,1
36,accommodate,tail,color,wing,0,B,S,No,wing,0.0,irrelevant,0
37,accommodate,wing,color,tail,0,Y,C,Yes,wing,4.0,relevant,1
38,accommodate,tail,color,wing,1,B,S,Yes,wing,7.0,irrelevant,0
39,accommodate,color,tail,wing,1,B,S,Yes,wing,7.0,irrelevant,0
40,accommodate,tail,color,wing,1,B,S,Yes,wing,3.0,irrelevant,0
41,accommodate,wing,color,tail,0,Y,S,Yes,wing,-5.0,relevant,1
42,accommodate,color,wing,tail,0,Y,C,Yes,wing,2.0,relevant,1
43,accommodate,color,wing,tail,0,Y,C,Yes,wing,5.0,relevant,1
44,accommodate,tail,color,wing,0,B,S,No,wing,0.0,irrelevant,0
45,accommodate,tail,wing,color,1,B,C,Yes,wing,5.0,relevant,1
46,accommodate,color,tail,wing,1,B,S,Yes,wing,5.0,irrelevant,0
47,accommodate,color,tail,wing,1,B,S,Yes,wing,3.0,irrelevant,0
48,accommodate,wing,tail,color,1,Y,C,Yes,wing,3.0,relevant,1
49,accommodate,tail,color,wing,0,B,S,Yes,wing,2.0,irrelevant,0
50,accommodate,wing,tail,color,1,B,C,Yes,wing,6.0,relevant,1
51,accommodate,tail,color,wing,1,B,S,Yes,wing,6.0,irrelevant,0
52,accommodate,tail,color,wing,1,B,S,Yes,wing,3.0,irrelevant,0
53,accommodate,tail,color,wing,0,B,S,No,wing,0.0,irrelevant,0
54,accommodate,color,tail,wing,0,B,S,No,wing,0.0,irrelevant,0
55,accommodate,wing,color,tail,0,Y,S,Yes,wing,5.0,relevant,1
56,accommodate,tail,wing,color,1,Y,C,Yes,wing,5.0,relevant,1
57,accommodate,tail,color,wing,0,B,S,Yes,wing,3.0,irrelevant,0
58,accommodate,color,wing,tail,0,Y,S,Yes,wing,6.0,relevant,1
59,accommodate,color,tail,wing,0,B,S,Yes,wing,5.0,irrelevant,0
60,accommodate,color,tail,wing,1,B,S,Yes,wing,6.0,irrelevant,0
61,accommodate,tail,color,wing,0,B,S,Yes,wing,-2.0,irrelevant,0
62,accommodate,wing,tail,color,1,B,C,Yes,wing,5.0,relevant,1
63,accommodate,tail,color,wing,1,B,S,Yes,wing,2.0,irrelevant,0
64,accommodate,tail,wing,color,1,B,C,No,wing,0.0,relevant,1
65,accommodate,color,wing,tail,0,Y,C,Yes,wing,-4.0,relevant,1
66,accommodate,tail,wing,color,1,Y,C,Yes,wing,5.0,relevant,1
67,accommodate,color,wing,tail,0,Y,S,No,wing,0.0,relevant,1
68,accommodate,color,tail,wing,0,B,S,Yes,wing,-3.0,irrelevant,0
69,accommodate,tail,color,wing,1,B,S,Yes,wing,1.0,irrelevant,0
70,accommodate,tail,color,wing,0,B,S,Yes,wing,-4.0,irrelevant,0
71,accommodate,wing,tail,color,1,Y,C,Yes,wing,2.0,relevant,1
72,accommodate,tail,color,wing,0,B,S,Yes,wing,-5.0,irrelevant,0
73,accommodate,color,tail,wing,1,B,S,No,wing,0.0,irrelevant,0
74,accommodate,tail,wing,color,1,B,C,Yes,wing,7.0,relevant,1
75,accommodate,color,tail,wing,0,B,S,Yes,wing,4.0,irrelevant,0
