participant,task,model_param_score,conditionOrder,relevant_dim,irrelevant_dim,feet_high,stripes_high,feet_low,stripes_low,feet_discrete_slider.response,stripes_discrete_slider.response,feet_reported_relevant,stripes_reported_relevant,cogpro_explain,cogpro_predict,overfit
1,accommodate,0,199,feet,stripes,F,W,C,E,No,No,0,0,7.0,7.0,False
2,accommodate,2,208,stripes,feet,F,E,C,W,Yes,Yes,1,1,7.0,5.0,True
3,accommodate,2,79,feet,stripes,F,E,C,W,Yes,Yes,1,1,6.0,7.0,True
4,accommodate,2,193,feet,stripes,C,W,F,E,Yes,Yes,1,1,5.0,4.0,True
5,accommodate,2,80,stripes,feet,C,E,F,W,Yes,Yes,1,1,7.0,6.0,True
6,accommodate,0,146,stripes,feet,F,W,C,E,No,No,0,0,2.0,3.0,False
7,accommodate,1,77,feet,stripes,C,W,F,E,Yes,No,1,0,7.0,7.0,False
8,accommodate,0,154,stripes,feet,F,W,C,E,No,No,0,0,1.0,1.0,False
9,accommodate,0,135,feet,stripes,F,E,C,W,No,No,0,0,7.0,1.0,False
10,accommodate,0,110,stripes,feet,F,W,C,E,No,No,0,0,4.0,4.0,False
11,accommodate,1,152,stripes,feet,C,E,F,W,No,Yes,0,1,5.0,5.0,False
12,accommodate,1,17,feet,stripes,C,E,F,W,Yes,No,1,0,7.0,7.0,False
13,accommodate,2,202,stripes,feet,F,W,C,E,Yes,Yes,1,1,7.0,7.0,True
14,accommodate,2,219,feet,stripes,F,E,C,W,Yes,Yes,1,1,6.0,6.0,True
15,accommodate,2,41,feet,stripes,C,W,F,E,Yes,Yes,1,1,6.0,5.0,True
16,accommodate,2,187,feet,stripes,F,E,C,W,Yes,Yes,1,1,5.0,7.0,True
17,accommodate,0,33,feet,stripes,C,E,F,W,No,No,0,0,1.0,1.0,False
18,accommodate,2,61,feet,stripes,C,W,F,E,Yes,Yes,1,1,6.0,6.0,True
19,accommodate,1,139,feet,stripes,F,W,C,E,No,Yes,0,1,7.0,5.0,False
20,accommodate,0,125,feet,stripes,C,W,F,E,No,No,0,0,7.0,1.0,False
21,accommodate,1,6,stripes,feet,C,W,F,E,Yes,No,1,0,6.0,6.0,False
22,accommodate,1,216,stripes,feet,C,E,F,W,Yes,No,1,0,7.0,6.0,False
23,accommodate,1,106,stripes,feet,F,W,C,E,No,Yes,0,1,5.0,4.0,False
24,accommodate,1,149,feet,stripes,C,W,F,E,Yes,No,1,0,6.0,4.0,False
25,accommodate,1,47,feet,stripes,F,W,C,E,Yes,No,1,0,7.0,4.0,False
26,accommodate,1,99,feet,stripes,F,W,C,E,No,Yes,0,1,7.0,7.0,False
27,accommodate,1,103,feet,stripes,F,W,C,E,Yes,No,1,0,7.0,7.0,False
28,accommodate,0,203,feet,stripes,F,W,C,E,No,No,0,0,7.0,7.0,False
29,accommodate,2,113,feet,stripes,C,W,F,E,Yes,Yes,1,1,7.0,7.0,True
30,accommodate,1,75,feet,stripes,F,E,C,W,Yes,No,1,0,7.0,7.0,False
