tail,color,shape,image_file,phase,rep,trial_num,food_amount,category,relevant_dim_1,relevant_dim_2,irrelevant_dim,tail_high,tail_low,shape_high,shape_low,tail_rel,color_rel,shape_rel,color_high,color_low,participant_id,food_image_file,images_list,testing_categories
T,B,C,T_B_C.png,training,1,1,9,medium,tail,shape,color,N,T,C,S,L1,I2,H2,B,Y,59,9_food.png,"Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png","low,medium,high,low,medium,medium,medium,high"
N,Y,C,N_Y_C.png,training,1,2,7,high,tail,shape,color,N,T,C,S,H1,I1,H2,B,Y,59,7_food.png,"Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png","low,medium,high,low,medium,medium,medium,high"
N,B,S,N_B_S.png,training,1,3,5,medium,tail,shape,color,N,T,C,S,H1,I2,L2,B,Y,59,5_food.png,"Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png","low,medium,high,low,medium,medium,medium,high"
T,Y,C,T_Y_C.png,training,1,4,8,medium,tail,shape,color,N,T,C,S,L1,I1,H2,B,Y,59,8_food.png,"Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png","low,medium,high,low,medium,medium,medium,high"
T,B,S,T_B_S.png,training,1,5,1,low,tail,shape,color,N,T,C,S,L1,I2,L2,B,Y,59,1_food.png,"Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png","low,medium,high,low,medium,medium,medium,high"
T,Y,S,T_Y_S.png,training,1,6,3,low,tail,shape,color,N,T,C,S,L1,I1,L2,B,Y,59,3_food.png,"Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png","low,medium,high,low,medium,medium,medium,high"
N,Y,S,N_Y_S.png,training,1,7,5,medium,tail,shape,color,N,T,C,S,H1,I1,L2,B,Y,59,5_food.png,"Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png","low,medium,high,low,medium,medium,medium,high"
N,B,C,N_B_C.png,training,1,8,6,high,tail,shape,color,N,T,C,S,H1,I2,H2,B,Y,59,6_food.png,"Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png","low,medium,high,low,medium,medium,medium,high"
T,Y,S,T_Y_S.png,training,2,9,5,low,tail,shape,color,N,T,C,S,L1,I1,L2,B,Y,59,5_food.png,"Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png","low,medium,high,low,medium,medium,medium,high"
T,B,S,T_B_S.png,training,2,10,2,low,tail,shape,color,N,T,C,S,L1,I2,L2,B,Y,59,2_food.png,"Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png","low,medium,high,low,medium,medium,medium,high"
N,B,C,N_B_C.png,training,2,11,7,high,tail,shape,color,N,T,C,S,H1,I2,H2,B,Y,59,7_food.png,"Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png","low,medium,high,low,medium,medium,medium,high"
N,Y,S,N_Y_S.png,training,2,12,5,medium,tail,shape,color,N,T,C,S,H1,I1,L2,B,Y,59,5_food.png,"Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png","low,medium,high,low,medium,medium,medium,high"
N,Y,C,N_Y_C.png,training,2,13,7,high,tail,shape,color,N,T,C,S,H1,I1,H2,B,Y,59,7_food.png,"Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png","low,medium,high,low,medium,medium,medium,high"
N,B,S,N_B_S.png,training,2,14,7,medium,tail,shape,color,N,T,C,S,H1,I2,L2,B,Y,59,7_food.png,"Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png","low,medium,high,low,medium,medium,medium,high"
T,Y,C,T_Y_C.png,training,2,15,5,medium,tail,shape,color,N,T,C,S,L1,I1,H2,B,Y,59,5_food.png,"Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png","low,medium,high,low,medium,medium,medium,high"
T,B,C,T_B_C.png,training,2,16,6,medium,tail,shape,color,N,T,C,S,L1,I2,H2,B,Y,59,6_food.png,"Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png","low,medium,high,low,medium,medium,medium,high"
T,Y,C,T_Y_C.png,training,3,17,4,medium,tail,shape,color,N,T,C,S,L1,I1,H2,B,Y,59,4_food.png,"Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png","low,medium,high,low,medium,medium,medium,high"
N,B,S,N_B_S.png,training,3,18,7,medium,tail,shape,color,N,T,C,S,H1,I2,L2,B,Y,59,7_food.png,"Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png","low,medium,high,low,medium,medium,medium,high"
N,Y,C,N_Y_C.png,training,3,19,7,high,tail,shape,color,N,T,C,S,H1,I1,H2,B,Y,59,7_food.png,"Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png","low,medium,high,low,medium,medium,medium,high"
N,Y,S,N_Y_S.png,training,3,20,3,medium,tail,shape,color,N,T,C,S,H1,I1,L2,B,Y,59,3_food.png,"Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_Y_C.png","low,medium,high,low,medium,medium,medium,high"
