tail,color,shape,image_file,phase,rep,trial_num,food_amount,category,relevant_dim_1,relevant_dim_2,irrelevant_dim,color_high,color_low,tail_high,tail_low,tail_rel,color_rel,shape_rel,shape_high,shape_low,participant_id,food_image_file,images_list,testing_categories
T,Y,S,T_Y_S.png,training,1,1,3,low,color,tail,shape,B,Y,N,T,L2,L1,I1,C,S,70,3_food.png,"Resources/T_B_S.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_Y_S.png","medium,medium,low,high,medium,medium,high,low"
T,B,C,T_B_C.png,training,1,2,4,medium,color,tail,shape,B,Y,N,T,L2,H1,I2,C,S,70,4_food.png,"Resources/T_B_S.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_Y_S.png","medium,medium,low,high,medium,medium,high,low"
N,B,S,N_B_S.png,training,1,3,8,high,color,tail,shape,B,Y,N,T,H2,H1,I1,C,S,70,8_food.png,"Resources/T_B_S.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_Y_S.png","medium,medium,low,high,medium,medium,high,low"
N,Y,S,N_Y_S.png,training,1,4,5,medium,color,tail,shape,B,Y,N,T,H2,L1,I1,C,S,70,5_food.png,"Resources/T_B_S.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_Y_S.png","medium,medium,low,high,medium,medium,high,low"
T,Y,C,T_Y_C.png,training,1,5,4,low,color,tail,shape,B,Y,N,T,L2,L1,I2,C,S,70,4_food.png,"Resources/T_B_S.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_Y_S.png","medium,medium,low,high,medium,medium,high,low"
N,B,C,N_B_C.png,training,1,6,4,high,color,tail,shape,B,Y,N,T,H2,H1,I2,C,S,70,4_food.png,"Resources/T_B_S.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_Y_S.png","medium,medium,low,high,medium,medium,high,low"
T,B,S,T_B_S.png,training,1,7,5,medium,color,tail,shape,B,Y,N,T,L2,H1,I1,C,S,70,5_food.png,"Resources/T_B_S.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_Y_S.png","medium,medium,low,high,medium,medium,high,low"
N,Y,C,N_Y_C.png,training,1,8,7,medium,color,tail,shape,B,Y,N,T,H2,L1,I2,C,S,70,7_food.png,"Resources/T_B_S.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_Y_S.png","medium,medium,low,high,medium,medium,high,low"
T,Y,C,T_Y_C.png,training,2,9,4,low,color,tail,shape,B,Y,N,T,L2,L1,I2,C,S,70,4_food.png,"Resources/T_B_S.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_Y_S.png","medium,medium,low,high,medium,medium,high,low"
N,Y,C,N_Y_C.png,training,2,10,4,medium,color,tail,shape,B,Y,N,T,H2,L1,I2,C,S,70,4_food.png,"Resources/T_B_S.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_Y_S.png","medium,medium,low,high,medium,medium,high,low"
N,B,C,N_B_C.png,training,2,11,9,high,color,tail,shape,B,Y,N,T,H2,H1,I2,C,S,70,9_food.png,"Resources/T_B_S.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_Y_S.png","medium,medium,low,high,medium,medium,high,low"
T,Y,S,T_Y_S.png,training,2,12,4,low,color,tail,shape,B,Y,N,T,L2,L1,I1,C,S,70,4_food.png,"Resources/T_B_S.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_Y_S.png","medium,medium,low,high,medium,medium,high,low"
T,B,C,T_B_C.png,training,2,13,3,medium,color,tail,shape,B,Y,N,T,L2,H1,I2,C,S,70,3_food.png,"Resources/T_B_S.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_Y_S.png","medium,medium,low,high,medium,medium,high,low"
T,B,S,T_B_S.png,training,2,14,4,medium,color,tail,shape,B,Y,N,T,L2,H1,I1,C,S,70,4_food.png,"Resources/T_B_S.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_Y_S.png","medium,medium,low,high,medium,medium,high,low"
N,Y,S,N_Y_S.png,training,2,15,4,medium,color,tail,shape,B,Y,N,T,H2,L1,I1,C,S,70,4_food.png,"Resources/T_B_S.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_Y_S.png","medium,medium,low,high,medium,medium,high,low"
N,B,S,N_B_S.png,training,2,16,5,high,color,tail,shape,B,Y,N,T,H2,H1,I1,C,S,70,5_food.png,"Resources/T_B_S.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_Y_S.png","medium,medium,low,high,medium,medium,high,low"
N,Y,S,N_Y_S.png,training,3,17,7,medium,color,tail,shape,B,Y,N,T,H2,L1,I1,C,S,70,7_food.png,"Resources/T_B_S.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_Y_S.png","medium,medium,low,high,medium,medium,high,low"
T,Y,C,T_Y_C.png,training,3,18,4,low,color,tail,shape,B,Y,N,T,L2,L1,I2,C,S,70,4_food.png,"Resources/T_B_S.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_Y_S.png","medium,medium,low,high,medium,medium,high,low"
T,B,C,T_B_C.png,training,3,19,3,medium,color,tail,shape,B,Y,N,T,L2,H1,I2,C,S,70,3_food.png,"Resources/T_B_S.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_Y_S.png","medium,medium,low,high,medium,medium,high,low"
N,Y,C,N_Y_C.png,training,3,20,5,medium,color,tail,shape,B,Y,N,T,H2,L1,I2,C,S,70,5_food.png,"Resources/T_B_S.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_Y_S.png","medium,medium,low,high,medium,medium,high,low"
N,B,S,N_B_S.png,training,3,21,7,high,color,tail,shape,B,Y,N,T,H2,H1,I1,C,S,70,7_food.png,"Resources/T_B_S.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_Y_S.png","medium,medium,low,high,medium,medium,high,low"
T,Y,S,T_Y_S.png,training,3,22,2,low,color,tail,shape,B,Y,N,T,L2,L1,I1,C,S,70,2_food.png,"Resources/T_B_S.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_Y_S.png","medium,medium,low,high,medium,medium,high,low"
T,B,S,T_B_S.png,training,3,23,3,medium,color,tail,shape,B,Y,N,T,L2,H1,I1,C,S,70,3_food.png,"Resources/T_B_S.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_Y_S.png","medium,medium,low,high,medium,medium,high,low"
N,B,C,N_B_C.png,training,3,24,7,high,color,tail,shape,B,Y,N,T,H2,H1,I2,C,S,70,7_food.png,"Resources/T_B_S.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/N_B_S.png,Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/N_B_C.png,Resources/T_Y_S.png","medium,medium,low,high,medium,medium,high,low"
