tail,color,shape,image_file,phase,rep,trial_num,food_amount,category,relevant_dim_1,relevant_dim_2,irrelevant_dim,shape_high,shape_low,tail_high,tail_low,tail_rel,color_rel,shape_rel,participant_id,food_image_file,images_list,testing_categories
N,Y,S,N_Y_S.png,training,1,1,2,low,shape,tail,color,C,S,T,N,L2,I1,L1,1,2_food.png,"Resources/N_B_S.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png","low,medium,medium,low,medium,high,medium,high"
N,Y,C,N_Y_C.png,training,1,2,6,medium,shape,tail,color,C,S,T,N,L2,I1,R1,1,6_food.png,"Resources/N_B_S.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png","low,medium,medium,low,medium,high,medium,high"
N,B,C,N_B_C.png,training,1,3,7,medium,shape,tail,color,C,S,T,N,L2,I2,R1,1,7_food.png,"Resources/N_B_S.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png","low,medium,medium,low,medium,high,medium,high"
T,B,C,T_B_C.png,training,1,4,6,high,shape,tail,color,C,S,T,N,R2,I2,R1,1,6_food.png,"Resources/N_B_S.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png","low,medium,medium,low,medium,high,medium,high"
T,B,S,T_B_S.png,training,1,5,7,medium,shape,tail,color,C,S,T,N,R2,I2,L1,1,7_food.png,"Resources/N_B_S.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png","low,medium,medium,low,medium,high,medium,high"
T,Y,C,T_Y_C.png,training,1,6,6,high,shape,tail,color,C,S,T,N,R2,I1,R1,1,6_food.png,"Resources/N_B_S.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png","low,medium,medium,low,medium,high,medium,high"
N,B,S,N_B_S.png,training,1,7,5,low,shape,tail,color,C,S,T,N,L2,I2,L1,1,5_food.png,"Resources/N_B_S.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png","low,medium,medium,low,medium,high,medium,high"
T,Y,S,T_Y_S.png,training,1,8,5,medium,shape,tail,color,C,S,T,N,R2,I1,L1,1,5_food.png,"Resources/N_B_S.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png","low,medium,medium,low,medium,high,medium,high"
N,Y,C,N_Y_C.png,training,2,9,1,medium,shape,tail,color,C,S,T,N,L2,I1,R1,1,1_food.png,"Resources/N_B_S.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png","low,medium,medium,low,medium,high,medium,high"
T,B,S,T_B_S.png,training,2,10,5,medium,shape,tail,color,C,S,T,N,R2,I2,L1,1,5_food.png,"Resources/N_B_S.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png","low,medium,medium,low,medium,high,medium,high"
N,Y,S,N_Y_S.png,training,2,11,4,low,shape,tail,color,C,S,T,N,L2,I1,L1,1,4_food.png,"Resources/N_B_S.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png","low,medium,medium,low,medium,high,medium,high"
T,Y,C,T_Y_C.png,training,2,12,7,high,shape,tail,color,C,S,T,N,R2,I1,R1,1,7_food.png,"Resources/N_B_S.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png","low,medium,medium,low,medium,high,medium,high"
N,B,S,N_B_S.png,training,2,13,3,low,shape,tail,color,C,S,T,N,L2,I2,L1,1,3_food.png,"Resources/N_B_S.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png","low,medium,medium,low,medium,high,medium,high"
N,B,C,N_B_C.png,training,2,14,3,medium,shape,tail,color,C,S,T,N,L2,I2,R1,1,3_food.png,"Resources/N_B_S.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png","low,medium,medium,low,medium,high,medium,high"
T,Y,S,T_Y_S.png,training,2,15,7,medium,shape,tail,color,C,S,T,N,R2,I1,L1,1,7_food.png,"Resources/N_B_S.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png","low,medium,medium,low,medium,high,medium,high"
T,B,C,T_B_C.png,training,2,16,7,high,shape,tail,color,C,S,T,N,R2,I2,R1,1,7_food.png,"Resources/N_B_S.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png","low,medium,medium,low,medium,high,medium,high"
T,B,C,T_B_C.png,training,3,17,9,high,shape,tail,color,C,S,T,N,R2,I2,R1,1,9_food.png,"Resources/N_B_S.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png","low,medium,medium,low,medium,high,medium,high"
N,Y,S,N_Y_S.png,training,3,18,5,low,shape,tail,color,C,S,T,N,L2,I1,L1,1,5_food.png,"Resources/N_B_S.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png","low,medium,medium,low,medium,high,medium,high"
T,Y,C,T_Y_C.png,training,3,19,9,high,shape,tail,color,C,S,T,N,R2,I1,R1,1,9_food.png,"Resources/N_B_S.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png","low,medium,medium,low,medium,high,medium,high"
T,B,S,T_B_S.png,training,3,20,7,medium,shape,tail,color,C,S,T,N,R2,I2,L1,1,7_food.png,"Resources/N_B_S.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png","low,medium,medium,low,medium,high,medium,high"
N,B,C,N_B_C.png,training,3,21,4,medium,shape,tail,color,C,S,T,N,L2,I2,R1,1,4_food.png,"Resources/N_B_S.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png","low,medium,medium,low,medium,high,medium,high"
