tail,color,shape,image_file,phase,rep,trial_num,food_amount,category,relevant_dim_1,relevant_dim_2,irrelevant_dim,tail_high,tail_low,color_high,color_low,tail_rel,color_rel,shape_rel,participant_id,food_image_file,images_list,testing_categories
T,B,S,T_B_S.png,training,1,1,4,medium,tail,color,shape,N,T,B,Y,L1,R2,I2,3,4_food.png,"Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_B_S.png","low,medium,low,medium,medium,medium,high,high"
N,B,S,N_B_S.png,training,1,2,6,high,tail,color,shape,N,T,B,Y,R1,R2,I2,3,6_food.png,"Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_B_S.png","low,medium,low,medium,medium,medium,high,high"
N,B,C,N_B_C.png,training,1,3,8,high,tail,color,shape,N,T,B,Y,R1,R2,I1,3,8_food.png,"Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_B_S.png","low,medium,low,medium,medium,medium,high,high"
T,Y,S,T_Y_S.png,training,1,4,5,low,tail,color,shape,N,T,B,Y,L1,L2,I2,3,5_food.png,"Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_B_S.png","low,medium,low,medium,medium,medium,high,high"
T,Y,C,T_Y_C.png,training,1,5,3,low,tail,color,shape,N,T,B,Y,L1,L2,I1,3,3_food.png,"Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_B_S.png","low,medium,low,medium,medium,medium,high,high"
N,Y,S,N_Y_S.png,training,1,6,2,medium,tail,color,shape,N,T,B,Y,R1,L2,I2,3,2_food.png,"Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_B_S.png","low,medium,low,medium,medium,medium,high,high"
N,Y,C,N_Y_C.png,training,1,7,6,medium,tail,color,shape,N,T,B,Y,R1,L2,I1,3,6_food.png,"Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_B_S.png","low,medium,low,medium,medium,medium,high,high"
T,B,C,T_B_C.png,training,1,8,4,medium,tail,color,shape,N,T,B,Y,L1,R2,I1,3,4_food.png,"Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_B_S.png","low,medium,low,medium,medium,medium,high,high"
T,Y,C,T_Y_C.png,training,2,9,3,low,tail,color,shape,N,T,B,Y,L1,L2,I1,3,3_food.png,"Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_B_S.png","low,medium,low,medium,medium,medium,high,high"
N,B,C,N_B_C.png,training,2,10,7,high,tail,color,shape,N,T,B,Y,R1,R2,I1,3,7_food.png,"Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_B_S.png","low,medium,low,medium,medium,medium,high,high"
T,B,S,T_B_S.png,training,2,11,5,medium,tail,color,shape,N,T,B,Y,L1,R2,I2,3,5_food.png,"Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_B_S.png","low,medium,low,medium,medium,medium,high,high"
N,B,S,N_B_S.png,training,2,12,4,high,tail,color,shape,N,T,B,Y,R1,R2,I2,3,4_food.png,"Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_B_S.png","low,medium,low,medium,medium,medium,high,high"
N,Y,S,N_Y_S.png,training,2,13,4,medium,tail,color,shape,N,T,B,Y,R1,L2,I2,3,4_food.png,"Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_B_S.png","low,medium,low,medium,medium,medium,high,high"
T,B,C,T_B_C.png,training,2,14,4,medium,tail,color,shape,N,T,B,Y,L1,R2,I1,3,4_food.png,"Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_B_S.png","low,medium,low,medium,medium,medium,high,high"
N,Y,C,N_Y_C.png,training,2,15,4,medium,tail,color,shape,N,T,B,Y,R1,L2,I1,3,4_food.png,"Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_B_S.png","low,medium,low,medium,medium,medium,high,high"
T,Y,S,T_Y_S.png,training,2,16,3,low,tail,color,shape,N,T,B,Y,L1,L2,I2,3,3_food.png,"Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_B_S.png","low,medium,low,medium,medium,medium,high,high"
N,B,C,N_B_C.png,training,3,17,6,high,tail,color,shape,N,T,B,Y,R1,R2,I1,3,6_food.png,"Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_B_S.png","low,medium,low,medium,medium,medium,high,high"
N,B,S,N_B_S.png,training,3,18,6,high,tail,color,shape,N,T,B,Y,R1,R2,I2,3,6_food.png,"Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_B_S.png","low,medium,low,medium,medium,medium,high,high"
T,B,S,T_B_S.png,training,3,19,3,medium,tail,color,shape,N,T,B,Y,L1,R2,I2,3,3_food.png,"Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_B_S.png","low,medium,low,medium,medium,medium,high,high"
N,Y,C,N_Y_C.png,training,3,20,5,medium,tail,color,shape,N,T,B,Y,R1,L2,I1,3,5_food.png,"Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_B_S.png","low,medium,low,medium,medium,medium,high,high"
T,Y,S,T_Y_S.png,training,3,21,3,low,tail,color,shape,N,T,B,Y,L1,L2,I2,3,3_food.png,"Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_B_S.png","low,medium,low,medium,medium,medium,high,high"
T,B,C,T_B_C.png,training,3,22,2,medium,tail,color,shape,N,T,B,Y,L1,R2,I1,3,2_food.png,"Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_B_S.png","low,medium,low,medium,medium,medium,high,high"
T,Y,C,T_Y_C.png,training,3,23,4,low,tail,color,shape,N,T,B,Y,L1,L2,I1,3,4_food.png,"Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_B_S.png","low,medium,low,medium,medium,medium,high,high"
N,Y,S,N_Y_S.png,training,3,24,7,medium,tail,color,shape,N,T,B,Y,R1,L2,I2,3,7_food.png,"Resources/T_Y_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_B_S.png","low,medium,low,medium,medium,medium,high,high"
