tail,color,shape,image_file,phase,rep,trial_num,food_amount,category,relevant_dim_1,relevant_dim_2,irrelevant_dim,shape_high,shape_low,color_high,color_low,tail_rel,color_rel,shape_rel,participant_id,food_image_file,images_list,testing_categories
N,B,C,N_B_C.png,training,1,1,9,high,shape,color,tail,C,S,B,Y,I1,R2,R1,4,9_food.png,"Resources/N_Y_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/T_Y_C.png","low,high,low,high,medium,medium,medium,medium"
T,Y,C,T_Y_C.png,training,1,2,5,medium,shape,color,tail,C,S,B,Y,I2,L2,R1,4,5_food.png,"Resources/N_Y_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/T_Y_C.png","low,high,low,high,medium,medium,medium,medium"
N,B,S,N_B_S.png,training,1,3,4,medium,shape,color,tail,C,S,B,Y,I1,R2,L1,4,4_food.png,"Resources/N_Y_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/T_Y_C.png","low,high,low,high,medium,medium,medium,medium"
T,Y,S,T_Y_S.png,training,1,4,2,low,shape,color,tail,C,S,B,Y,I2,L2,L1,4,2_food.png,"Resources/N_Y_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/T_Y_C.png","low,high,low,high,medium,medium,medium,medium"
T,B,C,T_B_C.png,training,1,5,5,high,shape,color,tail,C,S,B,Y,I2,R2,R1,4,5_food.png,"Resources/N_Y_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/T_Y_C.png","low,high,low,high,medium,medium,medium,medium"
T,B,S,T_B_S.png,training,1,6,7,medium,shape,color,tail,C,S,B,Y,I2,R2,L1,4,7_food.png,"Resources/N_Y_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/T_Y_C.png","low,high,low,high,medium,medium,medium,medium"
N,Y,C,N_Y_C.png,training,1,7,3,medium,shape,color,tail,C,S,B,Y,I1,L2,R1,4,3_food.png,"Resources/N_Y_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/T_Y_C.png","low,high,low,high,medium,medium,medium,medium"
N,Y,S,N_Y_S.png,training,1,8,3,low,shape,color,tail,C,S,B,Y,I1,L2,L1,4,3_food.png,"Resources/N_Y_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/T_Y_C.png","low,high,low,high,medium,medium,medium,medium"
T,Y,S,T_Y_S.png,training,2,9,4,low,shape,color,tail,C,S,B,Y,I2,L2,L1,4,4_food.png,"Resources/N_Y_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/T_Y_C.png","low,high,low,high,medium,medium,medium,medium"
T,B,S,T_B_S.png,training,2,10,6,medium,shape,color,tail,C,S,B,Y,I2,R2,L1,4,6_food.png,"Resources/N_Y_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/T_Y_C.png","low,high,low,high,medium,medium,medium,medium"
N,B,C,N_B_C.png,training,2,11,8,high,shape,color,tail,C,S,B,Y,I1,R2,R1,4,8_food.png,"Resources/N_Y_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/T_Y_C.png","low,high,low,high,medium,medium,medium,medium"
N,Y,C,N_Y_C.png,training,2,12,3,medium,shape,color,tail,C,S,B,Y,I1,L2,R1,4,3_food.png,"Resources/N_Y_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/T_Y_C.png","low,high,low,high,medium,medium,medium,medium"
N,B,S,N_B_S.png,training,2,13,4,medium,shape,color,tail,C,S,B,Y,I1,R2,L1,4,4_food.png,"Resources/N_Y_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/T_Y_C.png","low,high,low,high,medium,medium,medium,medium"
T,Y,C,T_Y_C.png,training,2,14,7,medium,shape,color,tail,C,S,B,Y,I2,L2,R1,4,7_food.png,"Resources/N_Y_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/T_Y_C.png","low,high,low,high,medium,medium,medium,medium"
T,B,C,T_B_C.png,training,2,15,7,high,shape,color,tail,C,S,B,Y,I2,R2,R1,4,7_food.png,"Resources/N_Y_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/T_Y_C.png","low,high,low,high,medium,medium,medium,medium"
N,Y,S,N_Y_S.png,training,2,16,3,low,shape,color,tail,C,S,B,Y,I1,L2,L1,4,3_food.png,"Resources/N_Y_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/T_Y_C.png","low,high,low,high,medium,medium,medium,medium"
T,Y,C,T_Y_C.png,training,3,17,7,medium,shape,color,tail,C,S,B,Y,I2,L2,R1,4,7_food.png,"Resources/N_Y_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/T_Y_C.png","low,high,low,high,medium,medium,medium,medium"
T,B,S,T_B_S.png,training,3,18,3,medium,shape,color,tail,C,S,B,Y,I2,R2,L1,4,3_food.png,"Resources/N_Y_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/T_Y_C.png","low,high,low,high,medium,medium,medium,medium"
N,B,S,N_B_S.png,training,3,19,6,medium,shape,color,tail,C,S,B,Y,I1,R2,L1,4,6_food.png,"Resources/N_Y_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/T_Y_C.png","low,high,low,high,medium,medium,medium,medium"
N,Y,S,N_Y_S.png,training,3,20,3,low,shape,color,tail,C,S,B,Y,I1,L2,L1,4,3_food.png,"Resources/N_Y_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/T_Y_C.png","low,high,low,high,medium,medium,medium,medium"
T,Y,S,T_Y_S.png,training,3,21,3,low,shape,color,tail,C,S,B,Y,I2,L2,L1,4,3_food.png,"Resources/N_Y_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/T_Y_C.png","low,high,low,high,medium,medium,medium,medium"
N,Y,C,N_Y_C.png,training,3,22,3,medium,shape,color,tail,C,S,B,Y,I1,L2,R1,4,3_food.png,"Resources/N_Y_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/T_Y_C.png","low,high,low,high,medium,medium,medium,medium"
T,B,C,T_B_C.png,training,3,23,5,high,shape,color,tail,C,S,B,Y,I2,R2,R1,4,5_food.png,"Resources/N_Y_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/T_Y_C.png","low,high,low,high,medium,medium,medium,medium"
N,B,C,N_B_C.png,training,3,24,5,high,shape,color,tail,C,S,B,Y,I1,R2,R1,4,5_food.png,"Resources/N_Y_S.png,Resources/N_B_C.png,Resources/T_Y_S.png,Resources/T_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/T_Y_C.png","low,high,low,high,medium,medium,medium,medium"
