tail,color,shape,image_file,phase,rep,trial_num,food_amount,category,relevant_dim_1,relevant_dim_2,irrelevant_dim,tail_high,tail_low,shape_high,shape_low,tail_rel,color_rel,shape_rel,participant_id,food_image_file,images_list,testing_categories
T,B,C,T_B_C.png,training,1,1,9,high,tail,shape,color,T,N,C,S,R1,I2,R2,5,9_food.png,"Resources/N_Y_C.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/T_Y_C.png","medium,medium,high,low,low,medium,medium,high"
T,Y,C,T_Y_C.png,training,1,2,6,high,tail,shape,color,T,N,C,S,R1,I1,R2,5,6_food.png,"Resources/N_Y_C.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/T_Y_C.png","medium,medium,high,low,low,medium,medium,high"
N,B,S,N_B_S.png,training,1,3,4,low,tail,shape,color,T,N,C,S,L1,I2,L2,5,4_food.png,"Resources/N_Y_C.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/T_Y_C.png","medium,medium,high,low,low,medium,medium,high"
N,B,C,N_B_C.png,training,1,4,6,medium,tail,shape,color,T,N,C,S,L1,I2,R2,5,6_food.png,"Resources/N_Y_C.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/T_Y_C.png","medium,medium,high,low,low,medium,medium,high"
N,Y,S,N_Y_S.png,training,1,5,1,low,tail,shape,color,T,N,C,S,L1,I1,L2,5,1_food.png,"Resources/N_Y_C.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/T_Y_C.png","medium,medium,high,low,low,medium,medium,high"
N,Y,C,N_Y_C.png,training,1,6,3,medium,tail,shape,color,T,N,C,S,L1,I1,R2,5,3_food.png,"Resources/N_Y_C.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/T_Y_C.png","medium,medium,high,low,low,medium,medium,high"
T,Y,S,T_Y_S.png,training,1,7,5,medium,tail,shape,color,T,N,C,S,R1,I1,L2,5,5_food.png,"Resources/N_Y_C.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/T_Y_C.png","medium,medium,high,low,low,medium,medium,high"
T,B,S,T_B_S.png,training,1,8,5,medium,tail,shape,color,T,N,C,S,R1,I2,L2,5,5_food.png,"Resources/N_Y_C.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/T_Y_C.png","medium,medium,high,low,low,medium,medium,high"
N,Y,S,N_Y_S.png,training,2,9,3,low,tail,shape,color,T,N,C,S,L1,I1,L2,5,3_food.png,"Resources/N_Y_C.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/T_Y_C.png","medium,medium,high,low,low,medium,medium,high"
T,Y,S,T_Y_S.png,training,2,10,5,medium,tail,shape,color,T,N,C,S,R1,I1,L2,5,5_food.png,"Resources/N_Y_C.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/T_Y_C.png","medium,medium,high,low,low,medium,medium,high"
N,B,S,N_B_S.png,training,2,11,3,low,tail,shape,color,T,N,C,S,L1,I2,L2,5,3_food.png,"Resources/N_Y_C.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/T_Y_C.png","medium,medium,high,low,low,medium,medium,high"
T,Y,C,T_Y_C.png,training,2,12,8,high,tail,shape,color,T,N,C,S,R1,I1,R2,5,8_food.png,"Resources/N_Y_C.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/T_Y_C.png","medium,medium,high,low,low,medium,medium,high"
T,B,C,T_B_C.png,training,2,13,4,high,tail,shape,color,T,N,C,S,R1,I2,R2,5,4_food.png,"Resources/N_Y_C.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/T_Y_C.png","medium,medium,high,low,low,medium,medium,high"
T,B,S,T_B_S.png,training,2,14,4,medium,tail,shape,color,T,N,C,S,R1,I2,L2,5,4_food.png,"Resources/N_Y_C.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/T_Y_C.png","medium,medium,high,low,low,medium,medium,high"
N,Y,C,N_Y_C.png,training,2,15,5,medium,tail,shape,color,T,N,C,S,L1,I1,R2,5,5_food.png,"Resources/N_Y_C.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/T_Y_C.png","medium,medium,high,low,low,medium,medium,high"
N,B,C,N_B_C.png,training,2,16,5,medium,tail,shape,color,T,N,C,S,L1,I2,R2,5,5_food.png,"Resources/N_Y_C.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/T_Y_C.png","medium,medium,high,low,low,medium,medium,high"
T,B,S,T_B_S.png,training,3,17,6,medium,tail,shape,color,T,N,C,S,R1,I2,L2,5,6_food.png,"Resources/N_Y_C.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/T_Y_C.png","medium,medium,high,low,low,medium,medium,high"
N,B,C,N_B_C.png,training,3,18,1,medium,tail,shape,color,T,N,C,S,L1,I2,R2,5,1_food.png,"Resources/N_Y_C.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/T_Y_C.png","medium,medium,high,low,low,medium,medium,high"
T,B,C,T_B_C.png,training,3,19,7,high,tail,shape,color,T,N,C,S,R1,I2,R2,5,7_food.png,"Resources/N_Y_C.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/T_Y_C.png","medium,medium,high,low,low,medium,medium,high"
N,B,S,N_B_S.png,training,3,20,3,low,tail,shape,color,T,N,C,S,L1,I2,L2,5,3_food.png,"Resources/N_Y_C.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/T_Y_C.png","medium,medium,high,low,low,medium,medium,high"
T,Y,S,T_Y_S.png,training,3,21,6,medium,tail,shape,color,T,N,C,S,R1,I1,L2,5,6_food.png,"Resources/N_Y_C.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/T_Y_C.png","medium,medium,high,low,low,medium,medium,high"
N,Y,S,N_Y_S.png,training,3,22,5,low,tail,shape,color,T,N,C,S,L1,I1,L2,5,5_food.png,"Resources/N_Y_C.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/T_Y_C.png","medium,medium,high,low,low,medium,medium,high"
T,Y,C,T_Y_C.png,training,3,23,8,high,tail,shape,color,T,N,C,S,R1,I1,R2,5,8_food.png,"Resources/N_Y_C.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/T_Y_C.png","medium,medium,high,low,low,medium,medium,high"
N,Y,C,N_Y_C.png,training,3,24,5,medium,tail,shape,color,T,N,C,S,L1,I1,R2,5,5_food.png,"Resources/N_Y_C.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/T_Y_C.png","medium,medium,high,low,low,medium,medium,high"
