wing,color,image_file,phase,rep,trial_num,food_amount,category,relevant_dim,irrelevant_dim,color_high,color_low,wing_high,wing_low,participant_id,food_image_file,images_list,testing_categories
T,Y,T_Y.png,training,1,1,8,high,color,wing,Y,B,N,T,152,8_food.png,"Resources/N_Y.png,Resources/T_Y.png,Resources/T_Y.png,Resources/N_B.png,Resources/T_B.png,Resources/N_B.png,Resources/T_B.png,Resources/N_Y.png","high,high,high,low,low,low,low,high"
N,B,N_B.png,training,1,2,5,low,color,wing,Y,B,N,T,152,5_food.png,"Resources/N_Y.png,Resources/T_Y.png,Resources/T_Y.png,Resources/N_B.png,Resources/T_B.png,Resources/N_B.png,Resources/T_B.png,Resources/N_Y.png","high,high,high,low,low,low,low,high"
N,Y,N_Y.png,training,1,3,7,high,color,wing,Y,B,N,T,152,7_food.png,"Resources/N_Y.png,Resources/T_Y.png,Resources/T_Y.png,Resources/N_B.png,Resources/T_B.png,Resources/N_B.png,Resources/T_B.png,Resources/N_Y.png","high,high,high,low,low,low,low,high"
T,B,T_B.png,training,1,4,4,low,color,wing,Y,B,N,T,152,4_food.png,"Resources/N_Y.png,Resources/T_Y.png,Resources/T_Y.png,Resources/N_B.png,Resources/T_B.png,Resources/N_B.png,Resources/T_B.png,Resources/N_Y.png","high,high,high,low,low,low,low,high"
T,B,T_B.png,training,2,5,5,low,color,wing,Y,B,N,T,152,5_food.png,"Resources/N_Y.png,Resources/T_Y.png,Resources/T_Y.png,Resources/N_B.png,Resources/T_B.png,Resources/N_B.png,Resources/T_B.png,Resources/N_Y.png","high,high,high,low,low,low,low,high"
N,Y,N_Y.png,training,2,6,8,high,color,wing,Y,B,N,T,152,8_food.png,"Resources/N_Y.png,Resources/T_Y.png,Resources/T_Y.png,Resources/N_B.png,Resources/T_B.png,Resources/N_B.png,Resources/T_B.png,Resources/N_Y.png","high,high,high,low,low,low,low,high"
T,Y,T_Y.png,training,2,7,8,high,color,wing,Y,B,N,T,152,8_food.png,"Resources/N_Y.png,Resources/T_Y.png,Resources/T_Y.png,Resources/N_B.png,Resources/T_B.png,Resources/N_B.png,Resources/T_B.png,Resources/N_Y.png","high,high,high,low,low,low,low,high"
N,B,N_B.png,training,2,8,6,low,color,wing,Y,B,N,T,152,6_food.png,"Resources/N_Y.png,Resources/T_Y.png,Resources/T_Y.png,Resources/N_B.png,Resources/T_B.png,Resources/N_B.png,Resources/T_B.png,Resources/N_Y.png","high,high,high,low,low,low,low,high"
T,Y,T_Y.png,training,3,9,9,high,color,wing,Y,B,N,T,152,9_food.png,"Resources/N_Y.png,Resources/T_Y.png,Resources/T_Y.png,Resources/N_B.png,Resources/T_B.png,Resources/N_B.png,Resources/T_B.png,Resources/N_Y.png","high,high,high,low,low,low,low,high"
T,B,T_B.png,training,3,10,5,low,color,wing,Y,B,N,T,152,5_food.png,"Resources/N_Y.png,Resources/T_Y.png,Resources/T_Y.png,Resources/N_B.png,Resources/T_B.png,Resources/N_B.png,Resources/T_B.png,Resources/N_Y.png","high,high,high,low,low,low,low,high"
N,Y,N_Y.png,training,3,11,10,high,color,wing,Y,B,N,T,152,10_food.png,"Resources/N_Y.png,Resources/T_Y.png,Resources/T_Y.png,Resources/N_B.png,Resources/T_B.png,Resources/N_B.png,Resources/T_B.png,Resources/N_Y.png","high,high,high,low,low,low,low,high"
N,B,N_B.png,training,3,12,7,low,color,wing,Y,B,N,T,152,7_food.png,"Resources/N_Y.png,Resources/T_Y.png,Resources/T_Y.png,Resources/N_B.png,Resources/T_B.png,Resources/N_B.png,Resources/T_B.png,Resources/N_Y.png","high,high,high,low,low,low,low,high"
