wing,color,image_file,phase,rep,trial_num,food_amount,category,relevant_dim,irrelevant_dim,wing_high,wing_low,color_high,color_low,participant_id,food_image_file,images_list,testing_categories
T,Y,T_Y.png,training,1,1,7,high,wing,color,T,N,Y,B,197,7_food.png,"Resources/N_B_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/T_Y_S.png","low,high,low,low,low,high,high,high"
T,B,T_B.png,training,1,2,5,high,wing,color,T,N,Y,B,197,5_food.png,"Resources/N_B_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/T_Y_S.png","low,high,low,low,low,high,high,high"
N,B,N_B.png,training,1,3,1,low,wing,color,T,N,Y,B,197,1_food.png,"Resources/N_B_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/T_Y_S.png","low,high,low,low,low,high,high,high"
N,Y,N_Y.png,training,1,4,3,low,wing,color,T,N,Y,B,197,3_food.png,"Resources/N_B_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/T_Y_S.png","low,high,low,low,low,high,high,high"
T,B,T_B.png,training,2,5,5,high,wing,color,T,N,Y,B,197,5_food.png,"Resources/N_B_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/T_Y_S.png","low,high,low,low,low,high,high,high"
N,Y,N_Y.png,training,2,6,1,low,wing,color,T,N,Y,B,197,1_food.png,"Resources/N_B_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/T_Y_S.png","low,high,low,low,low,high,high,high"
N,B,N_B.png,training,2,7,1,low,wing,color,T,N,Y,B,197,1_food.png,"Resources/N_B_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/T_Y_S.png","low,high,low,low,low,high,high,high"
T,Y,T_Y.png,training,2,8,3,high,wing,color,T,N,Y,B,197,3_food.png,"Resources/N_B_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/T_Y_S.png","low,high,low,low,low,high,high,high"
N,Y,N_Y.png,training,3,9,2,low,wing,color,T,N,Y,B,197,2_food.png,"Resources/N_B_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/T_Y_S.png","low,high,low,low,low,high,high,high"
T,Y,T_Y.png,training,3,10,5,high,wing,color,T,N,Y,B,197,5_food.png,"Resources/N_B_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/T_Y_S.png","low,high,low,low,low,high,high,high"
N,B,N_B.png,training,3,11,1,low,wing,color,T,N,Y,B,197,1_food.png,"Resources/N_B_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/T_Y_S.png","low,high,low,low,low,high,high,high"
T,B,T_B.png,training,3,12,3,high,wing,color,T,N,Y,B,197,3_food.png,"Resources/N_B_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/T_Y_S.png","low,high,low,low,low,high,high,high"
