feet,color,brightness,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,color_high,color_low,participant_id,rep_image_file,images_list,testing_categories
C,G,L,G_C_L.png,training,1,1,6,high,feet,color,C,F,G,Y,21,6_score.png,"Resources/G_C_L.png,Resources/G_F_L.png,Resources/G_F_D.png,Resources/Y_C_L.png,Resources/Y_F_D.png,Resources/G_C_D.png,Resources/Y_C_D.png,Resources/Y_F_L.png","high,low,low,high,low,high,high,low"
C,Y,L,Y_C_L.png,training,1,2,8,high,feet,color,C,F,G,Y,21,8_score.png,"Resources/G_C_L.png,Resources/G_F_L.png,Resources/G_F_D.png,Resources/Y_C_L.png,Resources/Y_F_D.png,Resources/G_C_D.png,Resources/Y_C_D.png,Resources/Y_F_L.png","high,low,low,high,low,high,high,low"
C,Y,D,Y_C_D.png,training,1,3,9,high,feet,color,C,F,G,Y,21,9_score.png,"Resources/G_C_L.png,Resources/G_F_L.png,Resources/G_F_D.png,Resources/Y_C_L.png,Resources/Y_F_D.png,Resources/G_C_D.png,Resources/Y_C_D.png,Resources/Y_F_L.png","high,low,low,high,low,high,high,low"
F,Y,D,Y_F_D.png,training,1,4,3,low,feet,color,C,F,G,Y,21,3_score.png,"Resources/G_C_L.png,Resources/G_F_L.png,Resources/G_F_D.png,Resources/Y_C_L.png,Resources/Y_F_D.png,Resources/G_C_D.png,Resources/Y_C_D.png,Resources/Y_F_L.png","high,low,low,high,low,high,high,low"
F,G,L,G_F_L.png,training,1,5,2,low,feet,color,C,F,G,Y,21,2_score.png,"Resources/G_C_L.png,Resources/G_F_L.png,Resources/G_F_D.png,Resources/Y_C_L.png,Resources/Y_F_D.png,Resources/G_C_D.png,Resources/Y_C_D.png,Resources/Y_F_L.png","high,low,low,high,low,high,high,low"
C,G,D,G_C_D.png,training,1,6,8,high,feet,color,C,F,G,Y,21,8_score.png,"Resources/G_C_L.png,Resources/G_F_L.png,Resources/G_F_D.png,Resources/Y_C_L.png,Resources/Y_F_D.png,Resources/G_C_D.png,Resources/Y_C_D.png,Resources/Y_F_L.png","high,low,low,high,low,high,high,low"
F,Y,L,Y_F_L.png,training,1,7,1,low,feet,color,C,F,G,Y,21,1_score.png,"Resources/G_C_L.png,Resources/G_F_L.png,Resources/G_F_D.png,Resources/Y_C_L.png,Resources/Y_F_D.png,Resources/G_C_D.png,Resources/Y_C_D.png,Resources/Y_F_L.png","high,low,low,high,low,high,high,low"
F,G,D,G_F_D.png,training,1,8,2,low,feet,color,C,F,G,Y,21,2_score.png,"Resources/G_C_L.png,Resources/G_F_L.png,Resources/G_F_D.png,Resources/Y_C_L.png,Resources/Y_F_D.png,Resources/G_C_D.png,Resources/Y_C_D.png,Resources/Y_F_L.png","high,low,low,high,low,high,high,low"
F,Y,L,Y_F_L.png,training,2,9,3,low,feet,color,C,F,G,Y,21,3_score.png,"Resources/G_C_L.png,Resources/G_F_L.png,Resources/G_F_D.png,Resources/Y_C_L.png,Resources/Y_F_D.png,Resources/G_C_D.png,Resources/Y_C_D.png,Resources/Y_F_L.png","high,low,low,high,low,high,high,low"
F,Y,D,Y_F_D.png,training,2,10,2,low,feet,color,C,F,G,Y,21,2_score.png,"Resources/G_C_L.png,Resources/G_F_L.png,Resources/G_F_D.png,Resources/Y_C_L.png,Resources/Y_F_D.png,Resources/G_C_D.png,Resources/Y_C_D.png,Resources/Y_F_L.png","high,low,low,high,low,high,high,low"
F,G,L,G_F_L.png,training,2,11,7,low,feet,color,C,F,G,Y,21,7_score.png,"Resources/G_C_L.png,Resources/G_F_L.png,Resources/G_F_D.png,Resources/Y_C_L.png,Resources/Y_F_D.png,Resources/G_C_D.png,Resources/Y_C_D.png,Resources/Y_F_L.png","high,low,low,high,low,high,high,low"
C,G,D,G_C_D.png,training,2,12,10,high,feet,color,C,F,G,Y,21,10_score.png,"Resources/G_C_L.png,Resources/G_F_L.png,Resources/G_F_D.png,Resources/Y_C_L.png,Resources/Y_F_D.png,Resources/G_C_D.png,Resources/Y_C_D.png,Resources/Y_F_L.png","high,low,low,high,low,high,high,low"
C,G,L,G_C_L.png,training,2,13,5,high,feet,color,C,F,G,Y,21,5_score.png,"Resources/G_C_L.png,Resources/G_F_L.png,Resources/G_F_D.png,Resources/Y_C_L.png,Resources/Y_F_D.png,Resources/G_C_D.png,Resources/Y_C_D.png,Resources/Y_F_L.png","high,low,low,high,low,high,high,low"
C,Y,D,Y_C_D.png,training,2,14,8,high,feet,color,C,F,G,Y,21,8_score.png,"Resources/G_C_L.png,Resources/G_F_L.png,Resources/G_F_D.png,Resources/Y_C_L.png,Resources/Y_F_D.png,Resources/G_C_D.png,Resources/Y_C_D.png,Resources/Y_F_L.png","high,low,low,high,low,high,high,low"
C,Y,L,Y_C_L.png,training,2,15,9,high,feet,color,C,F,G,Y,21,9_score.png,"Resources/G_C_L.png,Resources/G_F_L.png,Resources/G_F_D.png,Resources/Y_C_L.png,Resources/Y_F_D.png,Resources/G_C_D.png,Resources/Y_C_D.png,Resources/Y_F_L.png","high,low,low,high,low,high,high,low"
F,G,D,G_F_D.png,training,2,16,4,low,feet,color,C,F,G,Y,21,4_score.png,"Resources/G_C_L.png,Resources/G_F_L.png,Resources/G_F_D.png,Resources/Y_C_L.png,Resources/Y_F_D.png,Resources/G_C_D.png,Resources/Y_C_D.png,Resources/Y_F_L.png","high,low,low,high,low,high,high,low"
C,G,L,G_C_L.png,training,3,17,9,high,feet,color,C,F,G,Y,21,9_score.png,"Resources/G_C_L.png,Resources/G_F_L.png,Resources/G_F_D.png,Resources/Y_C_L.png,Resources/Y_F_D.png,Resources/G_C_D.png,Resources/Y_C_D.png,Resources/Y_F_L.png","high,low,low,high,low,high,high,low"
C,Y,D,Y_C_D.png,training,3,18,6,high,feet,color,C,F,G,Y,21,6_score.png,"Resources/G_C_L.png,Resources/G_F_L.png,Resources/G_F_D.png,Resources/Y_C_L.png,Resources/Y_F_D.png,Resources/G_C_D.png,Resources/Y_C_D.png,Resources/Y_F_L.png","high,low,low,high,low,high,high,low"
C,G,D,G_C_D.png,training,3,19,6,high,feet,color,C,F,G,Y,21,6_score.png,"Resources/G_C_L.png,Resources/G_F_L.png,Resources/G_F_D.png,Resources/Y_C_L.png,Resources/Y_F_D.png,Resources/G_C_D.png,Resources/Y_C_D.png,Resources/Y_F_L.png","high,low,low,high,low,high,high,low"
C,Y,L,Y_C_L.png,training,3,20,7,high,feet,color,C,F,G,Y,21,7_score.png,"Resources/G_C_L.png,Resources/G_F_L.png,Resources/G_F_D.png,Resources/Y_C_L.png,Resources/Y_F_D.png,Resources/G_C_D.png,Resources/Y_C_D.png,Resources/Y_F_L.png","high,low,low,high,low,high,high,low"
F,Y,L,Y_F_L.png,training,3,21,2,low,feet,color,C,F,G,Y,21,2_score.png,"Resources/G_C_L.png,Resources/G_F_L.png,Resources/G_F_D.png,Resources/Y_C_L.png,Resources/Y_F_D.png,Resources/G_C_D.png,Resources/Y_C_D.png,Resources/Y_F_L.png","high,low,low,high,low,high,high,low"
F,G,D,G_F_D.png,training,3,22,6,low,feet,color,C,F,G,Y,21,6_score.png,"Resources/G_C_L.png,Resources/G_F_L.png,Resources/G_F_D.png,Resources/Y_C_L.png,Resources/Y_F_D.png,Resources/G_C_D.png,Resources/Y_C_D.png,Resources/Y_F_L.png","high,low,low,high,low,high,high,low"
F,Y,D,Y_F_D.png,training,3,23,3,low,feet,color,C,F,G,Y,21,3_score.png,"Resources/G_C_L.png,Resources/G_F_L.png,Resources/G_F_D.png,Resources/Y_C_L.png,Resources/Y_F_D.png,Resources/G_C_D.png,Resources/Y_C_D.png,Resources/Y_F_L.png","high,low,low,high,low,high,high,low"
