feet,color,brightness,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,color_high,color_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories
F,Y,L,Y_F_L.png,training,1,1,9,high,color,feet,Y,G,C,F,40,9_score.png,"Resources/G_F_D.png,Resources/Y_F_D.png,Resources/Y_C_D.png,Resources/G_F_L.png,Resources/G_C_D.png,Resources/G_C_L.png,Resources/Y_C_L.png,Resources/Y_F_L.png","low,high,high,low,low,low,high,high"
C,G,L,G_C_L.png,training,1,2,5,low,color,feet,Y,G,C,F,40,5_score.png,"Resources/G_F_D.png,Resources/Y_F_D.png,Resources/Y_C_D.png,Resources/G_F_L.png,Resources/G_C_D.png,Resources/G_C_L.png,Resources/Y_C_L.png,Resources/Y_F_L.png","low,high,high,low,low,low,high,high"
F,Y,D,Y_F_D.png,training,1,3,9,high,color,feet,Y,G,C,F,40,9_score.png,"Resources/G_F_D.png,Resources/Y_F_D.png,Resources/Y_C_D.png,Resources/G_F_L.png,Resources/G_C_D.png,Resources/G_C_L.png,Resources/Y_C_L.png,Resources/Y_F_L.png","low,high,high,low,low,low,high,high"
F,G,L,G_F_L.png,training,1,4,2,low,color,feet,Y,G,C,F,40,2_score.png,"Resources/G_F_D.png,Resources/Y_F_D.png,Resources/Y_C_D.png,Resources/G_F_L.png,Resources/G_C_D.png,Resources/G_C_L.png,Resources/Y_C_L.png,Resources/Y_F_L.png","low,high,high,low,low,low,high,high"
C,Y,D,Y_C_D.png,training,1,5,8,high,color,feet,Y,G,C,F,40,8_score.png,"Resources/G_F_D.png,Resources/Y_F_D.png,Resources/Y_C_D.png,Resources/G_F_L.png,Resources/G_C_D.png,Resources/G_C_L.png,Resources/Y_C_L.png,Resources/Y_F_L.png","low,high,high,low,low,low,high,high"
C,Y,L,Y_C_L.png,training,1,6,10,high,color,feet,Y,G,C,F,40,10_score.png,"Resources/G_F_D.png,Resources/Y_F_D.png,Resources/Y_C_D.png,Resources/G_F_L.png,Resources/G_C_D.png,Resources/G_C_L.png,Resources/Y_C_L.png,Resources/Y_F_L.png","low,high,high,low,low,low,high,high"
C,G,D,G_C_D.png,training,1,7,4,low,color,feet,Y,G,C,F,40,4_score.png,"Resources/G_F_D.png,Resources/Y_F_D.png,Resources/Y_C_D.png,Resources/G_F_L.png,Resources/G_C_D.png,Resources/G_C_L.png,Resources/Y_C_L.png,Resources/Y_F_L.png","low,high,high,low,low,low,high,high"
F,G,D,G_F_D.png,training,1,8,2,low,color,feet,Y,G,C,F,40,2_score.png,"Resources/G_F_D.png,Resources/Y_F_D.png,Resources/Y_C_D.png,Resources/G_F_L.png,Resources/G_C_D.png,Resources/G_C_L.png,Resources/Y_C_L.png,Resources/Y_F_L.png","low,high,high,low,low,low,high,high"
F,G,L,G_F_L.png,training,2,9,3,low,color,feet,Y,G,C,F,40,3_score.png,"Resources/G_F_D.png,Resources/Y_F_D.png,Resources/Y_C_D.png,Resources/G_F_L.png,Resources/G_C_D.png,Resources/G_C_L.png,Resources/Y_C_L.png,Resources/Y_F_L.png","low,high,high,low,low,low,high,high"
F,G,D,G_F_D.png,training,2,10,3,low,color,feet,Y,G,C,F,40,3_score.png,"Resources/G_F_D.png,Resources/Y_F_D.png,Resources/Y_C_D.png,Resources/G_F_L.png,Resources/G_C_D.png,Resources/G_C_L.png,Resources/Y_C_L.png,Resources/Y_F_L.png","low,high,high,low,low,low,high,high"
C,Y,D,Y_C_D.png,training,2,11,7,high,color,feet,Y,G,C,F,40,7_score.png,"Resources/G_F_D.png,Resources/Y_F_D.png,Resources/Y_C_D.png,Resources/G_F_L.png,Resources/G_C_D.png,Resources/G_C_L.png,Resources/Y_C_L.png,Resources/Y_F_L.png","low,high,high,low,low,low,high,high"
F,Y,L,Y_F_L.png,training,2,12,6,high,color,feet,Y,G,C,F,40,6_score.png,"Resources/G_F_D.png,Resources/Y_F_D.png,Resources/Y_C_D.png,Resources/G_F_L.png,Resources/G_C_D.png,Resources/G_C_L.png,Resources/Y_C_L.png,Resources/Y_F_L.png","low,high,high,low,low,low,high,high"
C,G,D,G_C_D.png,training,2,13,1,low,color,feet,Y,G,C,F,40,1_score.png,"Resources/G_F_D.png,Resources/Y_F_D.png,Resources/Y_C_D.png,Resources/G_F_L.png,Resources/G_C_D.png,Resources/G_C_L.png,Resources/Y_C_L.png,Resources/Y_F_L.png","low,high,high,low,low,low,high,high"
F,Y,D,Y_F_D.png,training,2,14,8,high,color,feet,Y,G,C,F,40,8_score.png,"Resources/G_F_D.png,Resources/Y_F_D.png,Resources/Y_C_D.png,Resources/G_F_L.png,Resources/G_C_D.png,Resources/G_C_L.png,Resources/Y_C_L.png,Resources/Y_F_L.png","low,high,high,low,low,low,high,high"
C,Y,L,Y_C_L.png,training,2,15,4,high,color,feet,Y,G,C,F,40,4_score.png,"Resources/G_F_D.png,Resources/Y_F_D.png,Resources/Y_C_D.png,Resources/G_F_L.png,Resources/G_C_D.png,Resources/G_C_L.png,Resources/Y_C_L.png,Resources/Y_F_L.png","low,high,high,low,low,low,high,high"
C,G,L,G_C_L.png,training,2,16,4,low,color,feet,Y,G,C,F,40,4_score.png,"Resources/G_F_D.png,Resources/Y_F_D.png,Resources/Y_C_D.png,Resources/G_F_L.png,Resources/G_C_D.png,Resources/G_C_L.png,Resources/Y_C_L.png,Resources/Y_F_L.png","low,high,high,low,low,low,high,high"
F,Y,D,Y_F_D.png,training,3,17,3,high,color,feet,Y,G,C,F,40,3_score.png,"Resources/G_F_D.png,Resources/Y_F_D.png,Resources/Y_C_D.png,Resources/G_F_L.png,Resources/G_C_D.png,Resources/G_C_L.png,Resources/Y_C_L.png,Resources/Y_F_L.png","low,high,high,low,low,low,high,high"
F,G,L,G_F_L.png,training,3,18,2,low,color,feet,Y,G,C,F,40,2_score.png,"Resources/G_F_D.png,Resources/Y_F_D.png,Resources/Y_C_D.png,Resources/G_F_L.png,Resources/G_C_D.png,Resources/G_C_L.png,Resources/Y_C_L.png,Resources/Y_F_L.png","low,high,high,low,low,low,high,high"
C,G,D,G_C_D.png,training,3,19,4,low,color,feet,Y,G,C,F,40,4_score.png,"Resources/G_F_D.png,Resources/Y_F_D.png,Resources/Y_C_D.png,Resources/G_F_L.png,Resources/G_C_D.png,Resources/G_C_L.png,Resources/Y_C_L.png,Resources/Y_F_L.png","low,high,high,low,low,low,high,high"
C,G,L,G_C_L.png,training,3,20,8,low,color,feet,Y,G,C,F,40,8_score.png,"Resources/G_F_D.png,Resources/Y_F_D.png,Resources/Y_C_D.png,Resources/G_F_L.png,Resources/G_C_D.png,Resources/G_C_L.png,Resources/Y_C_L.png,Resources/Y_F_L.png","low,high,high,low,low,low,high,high"
C,Y,L,Y_C_L.png,training,3,21,5,high,color,feet,Y,G,C,F,40,5_score.png,"Resources/G_F_D.png,Resources/Y_F_D.png,Resources/Y_C_D.png,Resources/G_F_L.png,Resources/G_C_D.png,Resources/G_C_L.png,Resources/Y_C_L.png,Resources/Y_F_L.png","low,high,high,low,low,low,high,high"
