feet,color,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,color_high,color_low,participant_id,rep_image_file,images_list,testing_categories
F,G,G_F.png,training,1,1,5,high,feet,color,F,C,Y,G,23,5_score.png,"Resources/G_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png","low,high,high,low"
F,Y,Y_F.png,training,1,2,8,high,feet,color,F,C,Y,G,23,8_score.png,"Resources/G_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png","low,high,high,low"
C,Y,Y_C.png,training,1,3,5,low,feet,color,F,C,Y,G,23,5_score.png,"Resources/G_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png","low,high,high,low"
C,G,G_C.png,training,1,4,4,low,feet,color,F,C,Y,G,23,4_score.png,"Resources/G_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png","low,high,high,low"
C,G,G_C.png,training,2,5,3,low,feet,color,F,C,Y,G,23,3_score.png,"Resources/G_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png","low,high,high,low"
F,Y,Y_F.png,training,2,6,9,high,feet,color,F,C,Y,G,23,9_score.png,"Resources/G_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png","low,high,high,low"
F,G,G_F.png,training,2,7,8,high,feet,color,F,C,Y,G,23,8_score.png,"Resources/G_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png","low,high,high,low"
C,Y,Y_C.png,training,2,8,5,low,feet,color,F,C,Y,G,23,5_score.png,"Resources/G_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png","low,high,high,low"
C,G,G_C.png,training,3,9,5,low,feet,color,F,C,Y,G,23,5_score.png,"Resources/G_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png","low,high,high,low"
F,G,G_F.png,training,3,10,9,high,feet,color,F,C,Y,G,23,9_score.png,"Resources/G_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png","low,high,high,low"
C,Y,Y_C.png,training,3,11,9,low,feet,color,F,C,Y,G,23,9_score.png,"Resources/G_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png","low,high,high,low"
F,Y,Y_F.png,training,3,12,5,high,feet,color,F,C,Y,G,23,5_score.png,"Resources/G_C.png,Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png","low,high,high,low"
