tail,color,shape,image_file,phase,rep,trial_num,food_amount,category,relevant_dim_1,relevant_dim_2,irrelevant_dim,color_high,color_low,tail_high,tail_low,tail_rel,color_rel,shape_rel,shape_high,shape_low,participant_id,food_image_file,images_list,testing_categories
N,Y,C,N_Y_C.png,training,1,1,7,high,color,tail,shape,Y,B,N,T,H2,H1,I1,S,C,8,7_food.png,"Resources/T_Y_C.png,Resources/T_B_S.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/N_Y_S.png","medium,low,medium,medium,low,medium,high,high"
T,B,C,T_B_C.png,training,1,2,2,low,color,tail,shape,Y,B,N,T,L2,L1,I1,S,C,8,2_food.png,"Resources/T_Y_C.png,Resources/T_B_S.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/N_Y_S.png","medium,low,medium,medium,low,medium,high,high"
T,B,S,T_B_S.png,training,1,3,2,low,color,tail,shape,Y,B,N,T,L2,L1,I2,S,C,8,2_food.png,"Resources/T_Y_C.png,Resources/T_B_S.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/N_Y_S.png","medium,low,medium,medium,low,medium,high,high"
T,Y,S,T_Y_S.png,training,1,4,7,medium,color,tail,shape,Y,B,N,T,L2,H1,I2,S,C,8,7_food.png,"Resources/T_Y_C.png,Resources/T_B_S.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/N_Y_S.png","medium,low,medium,medium,low,medium,high,high"
N,Y,S,N_Y_S.png,training,1,5,7,high,color,tail,shape,Y,B,N,T,H2,H1,I2,S,C,8,7_food.png,"Resources/T_Y_C.png,Resources/T_B_S.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/N_Y_S.png","medium,low,medium,medium,low,medium,high,high"
N,B,C,N_B_C.png,training,1,6,5,medium,color,tail,shape,Y,B,N,T,H2,L1,I1,S,C,8,5_food.png,"Resources/T_Y_C.png,Resources/T_B_S.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/N_Y_S.png","medium,low,medium,medium,low,medium,high,high"
T,Y,C,T_Y_C.png,training,1,7,5,medium,color,tail,shape,Y,B,N,T,L2,H1,I1,S,C,8,5_food.png,"Resources/T_Y_C.png,Resources/T_B_S.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/N_Y_S.png","medium,low,medium,medium,low,medium,high,high"
N,B,S,N_B_S.png,training,1,8,4,medium,color,tail,shape,Y,B,N,T,H2,L1,I2,S,C,8,4_food.png,"Resources/T_Y_C.png,Resources/T_B_S.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/N_Y_S.png","medium,low,medium,medium,low,medium,high,high"
T,Y,C,T_Y_C.png,training,2,9,4,medium,color,tail,shape,Y,B,N,T,L2,H1,I1,S,C,8,4_food.png,"Resources/T_Y_C.png,Resources/T_B_S.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/N_Y_S.png","medium,low,medium,medium,low,medium,high,high"
N,B,C,N_B_C.png,training,2,10,6,medium,color,tail,shape,Y,B,N,T,H2,L1,I1,S,C,8,6_food.png,"Resources/T_Y_C.png,Resources/T_B_S.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/N_Y_S.png","medium,low,medium,medium,low,medium,high,high"
N,B,S,N_B_S.png,training,2,11,4,medium,color,tail,shape,Y,B,N,T,H2,L1,I2,S,C,8,4_food.png,"Resources/T_Y_C.png,Resources/T_B_S.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/N_Y_S.png","medium,low,medium,medium,low,medium,high,high"
T,Y,S,T_Y_S.png,training,2,12,7,medium,color,tail,shape,Y,B,N,T,L2,H1,I2,S,C,8,7_food.png,"Resources/T_Y_C.png,Resources/T_B_S.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/N_Y_S.png","medium,low,medium,medium,low,medium,high,high"
N,Y,S,N_Y_S.png,training,2,13,7,high,color,tail,shape,Y,B,N,T,H2,H1,I2,S,C,8,7_food.png,"Resources/T_Y_C.png,Resources/T_B_S.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/N_Y_S.png","medium,low,medium,medium,low,medium,high,high"
N,Y,C,N_Y_C.png,training,2,14,7,high,color,tail,shape,Y,B,N,T,H2,H1,I1,S,C,8,7_food.png,"Resources/T_Y_C.png,Resources/T_B_S.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/N_Y_S.png","medium,low,medium,medium,low,medium,high,high"
T,B,S,T_B_S.png,training,2,15,3,low,color,tail,shape,Y,B,N,T,L2,L1,I2,S,C,8,3_food.png,"Resources/T_Y_C.png,Resources/T_B_S.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/N_Y_S.png","medium,low,medium,medium,low,medium,high,high"
