tail,color,shape,image_file,phase,rep,trial_num,food_amount,category,relevant_dim_1,relevant_dim_2,irrelevant_dim,tail_high,tail_low,color_high,color_low,tail_rel,color_rel,shape_rel,shape_high,shape_low,participant_id,food_image_file,images_list,testing_categories
T,B,S,T_B_S.png,training,1,1,6,medium,tail,color,shape,T,N,Y,B,H1,L2,I2,S,C,16,6_food.png,"Resources/T_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/N_B_C.png","medium,medium,high,low,high,medium,medium,low"
T,Y,C,T_Y_C.png,training,1,2,8,high,tail,color,shape,T,N,Y,B,H1,H2,I1,S,C,16,8_food.png,"Resources/T_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/N_B_C.png","medium,medium,high,low,high,medium,medium,low"
N,B,S,N_B_S.png,training,1,3,1,low,tail,color,shape,T,N,Y,B,L1,L2,I2,S,C,16,1_food.png,"Resources/T_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/N_B_C.png","medium,medium,high,low,high,medium,medium,low"
N,Y,C,N_Y_C.png,training,1,4,5,medium,tail,color,shape,T,N,Y,B,L1,H2,I1,S,C,16,5_food.png,"Resources/T_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/N_B_C.png","medium,medium,high,low,high,medium,medium,low"
N,Y,S,N_Y_S.png,training,1,5,5,medium,tail,color,shape,T,N,Y,B,L1,H2,I2,S,C,16,5_food.png,"Resources/T_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/N_B_C.png","medium,medium,high,low,high,medium,medium,low"
N,B,C,N_B_C.png,training,1,6,1,low,tail,color,shape,T,N,Y,B,L1,L2,I1,S,C,16,1_food.png,"Resources/T_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/N_B_C.png","medium,medium,high,low,high,medium,medium,low"
T,Y,S,T_Y_S.png,training,1,7,8,high,tail,color,shape,T,N,Y,B,H1,H2,I2,S,C,16,8_food.png,"Resources/T_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/N_B_C.png","medium,medium,high,low,high,medium,medium,low"
T,B,C,T_B_C.png,training,1,8,6,medium,tail,color,shape,T,N,Y,B,H1,L2,I1,S,C,16,6_food.png,"Resources/T_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/N_B_C.png","medium,medium,high,low,high,medium,medium,low"
N,B,C,N_B_C.png,training,2,9,4,low,tail,color,shape,T,N,Y,B,L1,L2,I1,S,C,16,4_food.png,"Resources/T_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/N_B_C.png","medium,medium,high,low,high,medium,medium,low"
N,Y,C,N_Y_C.png,training,2,10,4,medium,tail,color,shape,T,N,Y,B,L1,H2,I1,S,C,16,4_food.png,"Resources/T_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/N_B_C.png","medium,medium,high,low,high,medium,medium,low"
N,Y,S,N_Y_S.png,training,2,11,5,medium,tail,color,shape,T,N,Y,B,L1,H2,I2,S,C,16,5_food.png,"Resources/T_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/N_B_C.png","medium,medium,high,low,high,medium,medium,low"
N,B,S,N_B_S.png,training,2,12,4,low,tail,color,shape,T,N,Y,B,L1,L2,I2,S,C,16,4_food.png,"Resources/T_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/N_B_C.png","medium,medium,high,low,high,medium,medium,low"
T,B,C,T_B_C.png,training,2,13,10,medium,tail,color,shape,T,N,Y,B,H1,L2,I1,S,C,16,10_food.png,"Resources/T_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/N_B_C.png","medium,medium,high,low,high,medium,medium,low"
T,Y,S,T_Y_S.png,training,2,14,7,high,tail,color,shape,T,N,Y,B,H1,H2,I2,S,C,16,7_food.png,"Resources/T_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/N_B_C.png","medium,medium,high,low,high,medium,medium,low"
T,B,S,T_B_S.png,training,2,15,6,medium,tail,color,shape,T,N,Y,B,H1,L2,I2,S,C,16,6_food.png,"Resources/T_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/N_B_C.png","medium,medium,high,low,high,medium,medium,low"
