tail,color,shape,image_file,phase,rep,trial_num,food_amount,category,relevant_dim_1,relevant_dim_2,irrelevant_dim,color_high,color_low,shape_high,shape_low,tail_rel,color_rel,shape_rel,tail_high,tail_low,participant_id,food_image_file,images_list,testing_categories
T,Y,S,T_Y_S.png,training,1,1,4,low,color,shape,tail,B,Y,C,S,I1,L1,L2,N,T,89,4_food.png,"Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_Y_S.png,Resources/N_B_S.png","high,low,medium,high,medium,medium,low,medium"
N,B,S,N_B_S.png,training,1,2,6,medium,color,shape,tail,B,Y,C,S,I2,H1,L2,N,T,89,6_food.png,"Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_Y_S.png,Resources/N_B_S.png","high,low,medium,high,medium,medium,low,medium"
T,B,C,T_B_C.png,training,1,3,8,high,color,shape,tail,B,Y,C,S,I1,H1,H2,N,T,89,8_food.png,"Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_Y_S.png,Resources/N_B_S.png","high,low,medium,high,medium,medium,low,medium"
N,Y,S,N_Y_S.png,training,1,4,3,low,color,shape,tail,B,Y,C,S,I2,L1,L2,N,T,89,3_food.png,"Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_Y_S.png,Resources/N_B_S.png","high,low,medium,high,medium,medium,low,medium"
T,Y,C,T_Y_C.png,training,1,5,3,medium,color,shape,tail,B,Y,C,S,I1,L1,H2,N,T,89,3_food.png,"Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_Y_S.png,Resources/N_B_S.png","high,low,medium,high,medium,medium,low,medium"
N,Y,C,N_Y_C.png,training,1,6,5,medium,color,shape,tail,B,Y,C,S,I2,L1,H2,N,T,89,5_food.png,"Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_Y_S.png,Resources/N_B_S.png","high,low,medium,high,medium,medium,low,medium"
T,B,S,T_B_S.png,training,1,7,6,medium,color,shape,tail,B,Y,C,S,I1,H1,L2,N,T,89,6_food.png,"Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_Y_S.png,Resources/N_B_S.png","high,low,medium,high,medium,medium,low,medium"
N,B,C,N_B_C.png,training,1,8,7,high,color,shape,tail,B,Y,C,S,I2,H1,H2,N,T,89,7_food.png,"Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_Y_S.png,Resources/N_B_S.png","high,low,medium,high,medium,medium,low,medium"
T,B,S,T_B_S.png,training,2,9,6,medium,color,shape,tail,B,Y,C,S,I1,H1,L2,N,T,89,6_food.png,"Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_Y_S.png,Resources/N_B_S.png","high,low,medium,high,medium,medium,low,medium"
N,B,C,N_B_C.png,training,2,10,6,high,color,shape,tail,B,Y,C,S,I2,H1,H2,N,T,89,6_food.png,"Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_Y_S.png,Resources/N_B_S.png","high,low,medium,high,medium,medium,low,medium"
