wing,color,tail,image_file,phase,rep,trial_num,food_amount,category,relevant_dim_1,relevant_dim_2,irrelevant_dim,wing_high,wing_low,color_high,color_low,wing_rel,color_rel,tail_rel,tail_high,tail_low,participant_id,food_image_file,images_list,testing_categories
T,B,C,T_B_C.png,training,1,1,1,low,wing,color,tail,N,T,Y,B,L1,L2,I2,S,C,31,1_food.png,"Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/N_B_C.png","medium,high,medium,high,low,medium,low,medium"
T,B,S,T_B_S.png,training,1,2,2,low,wing,color,tail,N,T,Y,B,L1,L2,I1,S,C,31,2_food.png,"Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/N_B_C.png","medium,high,medium,high,low,medium,low,medium"
N,B,C,N_B_C.png,training,1,3,5,medium,wing,color,tail,N,T,Y,B,H1,L2,I2,S,C,31,5_food.png,"Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/N_B_C.png","medium,high,medium,high,low,medium,low,medium"
T,Y,C,T_Y_C.png,training,1,4,4,medium,wing,color,tail,N,T,Y,B,L1,H2,I2,S,C,31,4_food.png,"Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/N_B_C.png","medium,high,medium,high,low,medium,low,medium"
T,Y,S,T_Y_S.png,training,1,5,5,medium,wing,color,tail,N,T,Y,B,L1,H2,I1,S,C,31,5_food.png,"Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/N_B_C.png","medium,high,medium,high,low,medium,low,medium"
N,Y,S,N_Y_S.png,training,1,6,10,high,wing,color,tail,N,T,Y,B,H1,H2,I1,S,C,31,10_food.png,"Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/N_B_C.png","medium,high,medium,high,low,medium,low,medium"
N,Y,C,N_Y_C.png,training,1,7,7,high,wing,color,tail,N,T,Y,B,H1,H2,I2,S,C,31,7_food.png,"Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/N_B_C.png","medium,high,medium,high,low,medium,low,medium"
N,B,S,N_B_S.png,training,1,8,3,medium,wing,color,tail,N,T,Y,B,H1,L2,I1,S,C,31,3_food.png,"Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/N_B_C.png","medium,high,medium,high,low,medium,low,medium"
T,B,C,T_B_C.png,training,2,9,2,low,wing,color,tail,N,T,Y,B,L1,L2,I2,S,C,31,2_food.png,"Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/N_B_C.png","medium,high,medium,high,low,medium,low,medium"
T,B,S,T_B_S.png,training,2,10,6,low,wing,color,tail,N,T,Y,B,L1,L2,I1,S,C,31,6_food.png,"Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/N_B_C.png","medium,high,medium,high,low,medium,low,medium"
T,Y,C,T_Y_C.png,training,2,11,4,medium,wing,color,tail,N,T,Y,B,L1,H2,I2,S,C,31,4_food.png,"Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/N_B_C.png","medium,high,medium,high,low,medium,low,medium"
N,Y,C,N_Y_C.png,training,2,12,7,high,wing,color,tail,N,T,Y,B,H1,H2,I2,S,C,31,7_food.png,"Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/N_B_C.png","medium,high,medium,high,low,medium,low,medium"
T,Y,S,T_Y_S.png,training,2,13,6,medium,wing,color,tail,N,T,Y,B,L1,H2,I1,S,C,31,6_food.png,"Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/N_B_C.png","medium,high,medium,high,low,medium,low,medium"
N,Y,S,N_Y_S.png,training,2,14,7,high,wing,color,tail,N,T,Y,B,H1,H2,I1,S,C,31,7_food.png,"Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/N_B_C.png","medium,high,medium,high,low,medium,low,medium"
N,B,C,N_B_C.png,training,2,15,4,medium,wing,color,tail,N,T,Y,B,H1,L2,I2,S,C,31,4_food.png,"Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/N_B_C.png","medium,high,medium,high,low,medium,low,medium"
N,B,S,N_B_S.png,training,2,16,3,medium,wing,color,tail,N,T,Y,B,H1,L2,I1,S,C,31,3_food.png,"Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/N_B_C.png","medium,high,medium,high,low,medium,low,medium"
N,Y,C,N_Y_C.png,training,3,17,6,high,wing,color,tail,N,T,Y,B,H1,H2,I2,S,C,31,6_food.png,"Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/N_B_C.png","medium,high,medium,high,low,medium,low,medium"
T,B,C,T_B_C.png,training,3,18,3,low,wing,color,tail,N,T,Y,B,L1,L2,I2,S,C,31,3_food.png,"Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/N_B_C.png","medium,high,medium,high,low,medium,low,medium"
