tail,color,shape,image_file,phase,rep,trial_num,food_amount,category,relevant_dim_1,relevant_dim_2,irrelevant_dim,tail_high,tail_low,color_high,color_low,tail_rel,color_rel,shape_rel,shape_high,shape_low,participant_id,food_image_file,images_list,testing_categories
T,B,S,T_B_S.png,training,1,1,4,medium,tail,color,shape,N,T,B,Y,L1,H2,I2,S,C,13,4_food.png,"Resources/T_Y_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/T_B_C.png","low,low,medium,high,medium,high,medium,medium"
T,Y,C,T_Y_C.png,training,1,2,4,low,tail,color,shape,N,T,B,Y,L1,L2,I1,S,C,13,4_food.png,"Resources/T_Y_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/T_B_C.png","low,low,medium,high,medium,high,medium,medium"
N,Y,C,N_Y_C.png,training,1,3,5,medium,tail,color,shape,N,T,B,Y,H1,L2,I1,S,C,13,5_food.png,"Resources/T_Y_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/T_B_C.png","low,low,medium,high,medium,high,medium,medium"
T,B,C,T_B_C.png,training,1,4,6,medium,tail,color,shape,N,T,B,Y,L1,H2,I1,S,C,13,6_food.png,"Resources/T_Y_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/T_B_C.png","low,low,medium,high,medium,high,medium,medium"
N,B,C,N_B_C.png,training,1,5,9,high,tail,color,shape,N,T,B,Y,H1,H2,I1,S,C,13,9_food.png,"Resources/T_Y_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/T_B_C.png","low,low,medium,high,medium,high,medium,medium"
T,Y,S,T_Y_S.png,training,1,6,1,low,tail,color,shape,N,T,B,Y,L1,L2,I2,S,C,13,1_food.png,"Resources/T_Y_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/T_B_C.png","low,low,medium,high,medium,high,medium,medium"
N,Y,S,N_Y_S.png,training,1,7,3,medium,tail,color,shape,N,T,B,Y,H1,L2,I2,S,C,13,3_food.png,"Resources/T_Y_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/T_B_C.png","low,low,medium,high,medium,high,medium,medium"
N,B,S,N_B_S.png,training,1,8,5,high,tail,color,shape,N,T,B,Y,H1,H2,I2,S,C,13,5_food.png,"Resources/T_Y_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/T_B_C.png","low,low,medium,high,medium,high,medium,medium"
N,Y,C,N_Y_C.png,training,2,9,4,medium,tail,color,shape,N,T,B,Y,H1,L2,I1,S,C,13,4_food.png,"Resources/T_Y_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/T_B_C.png","low,low,medium,high,medium,high,medium,medium"
N,Y,S,N_Y_S.png,training,2,10,6,medium,tail,color,shape,N,T,B,Y,H1,L2,I2,S,C,13,6_food.png,"Resources/T_Y_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/T_B_C.png","low,low,medium,high,medium,high,medium,medium"
N,B,S,N_B_S.png,training,2,11,7,high,tail,color,shape,N,T,B,Y,H1,H2,I2,S,C,13,7_food.png,"Resources/T_Y_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/T_B_C.png","low,low,medium,high,medium,high,medium,medium"
N,B,C,N_B_C.png,training,2,12,4,high,tail,color,shape,N,T,B,Y,H1,H2,I1,S,C,13,4_food.png,"Resources/T_Y_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/T_B_C.png","low,low,medium,high,medium,high,medium,medium"
T,B,S,T_B_S.png,training,2,13,5,medium,tail,color,shape,N,T,B,Y,L1,H2,I2,S,C,13,5_food.png,"Resources/T_Y_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/T_B_C.png","low,low,medium,high,medium,high,medium,medium"
T,Y,S,T_Y_S.png,training,2,14,1,low,tail,color,shape,N,T,B,Y,L1,L2,I2,S,C,13,1_food.png,"Resources/T_Y_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/T_B_C.png","low,low,medium,high,medium,high,medium,medium"
T,B,C,T_B_C.png,training,2,15,3,medium,tail,color,shape,N,T,B,Y,L1,H2,I1,S,C,13,3_food.png,"Resources/T_Y_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/T_B_C.png","low,low,medium,high,medium,high,medium,medium"
T,Y,C,T_Y_C.png,training,2,16,2,low,tail,color,shape,N,T,B,Y,L1,L2,I1,S,C,13,2_food.png,"Resources/T_Y_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/T_B_C.png","low,low,medium,high,medium,high,medium,medium"
N,B,C,N_B_C.png,training,3,17,7,high,tail,color,shape,N,T,B,Y,H1,H2,I1,S,C,13,7_food.png,"Resources/T_Y_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/T_B_C.png","low,low,medium,high,medium,high,medium,medium"
T,B,S,T_B_S.png,training,3,18,8,medium,tail,color,shape,N,T,B,Y,L1,H2,I2,S,C,13,8_food.png,"Resources/T_Y_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/T_B_C.png","low,low,medium,high,medium,high,medium,medium"
T,Y,S,T_Y_S.png,training,3,19,1,low,tail,color,shape,N,T,B,Y,L1,L2,I2,S,C,13,1_food.png,"Resources/T_Y_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/T_B_C.png","low,low,medium,high,medium,high,medium,medium"
N,Y,C,N_Y_C.png,training,3,20,4,medium,tail,color,shape,N,T,B,Y,H1,L2,I1,S,C,13,4_food.png,"Resources/T_Y_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/T_B_C.png","low,low,medium,high,medium,high,medium,medium"
T,B,C,T_B_C.png,training,3,21,4,medium,tail,color,shape,N,T,B,Y,L1,H2,I1,S,C,13,4_food.png,"Resources/T_Y_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/T_B_C.png","low,low,medium,high,medium,high,medium,medium"
N,B,S,N_B_S.png,training,3,22,9,high,tail,color,shape,N,T,B,Y,H1,H2,I2,S,C,13,9_food.png,"Resources/T_Y_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/T_B_C.png","low,low,medium,high,medium,high,medium,medium"
T,Y,C,T_Y_C.png,training,3,23,2,low,tail,color,shape,N,T,B,Y,L1,L2,I1,S,C,13,2_food.png,"Resources/T_Y_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/T_B_C.png","low,low,medium,high,medium,high,medium,medium"
N,Y,S,N_Y_S.png,training,3,24,8,medium,tail,color,shape,N,T,B,Y,H1,L2,I2,S,C,13,8_food.png,"Resources/T_Y_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/T_B_C.png","low,low,medium,high,medium,high,medium,medium"
