tail,color,shape,image_file,phase,rep,trial_num,food_amount,category,mapping,tail_rel,color_rel,shape_rel,participant_id,food_image_file,images_list,testing_categories
N,Y,S,N_Y_S.png,training,1,1,10,high,"{'relevant_dims': ['tail', 'shape'], 'irrelevant_dim': 'color', 'assignments': {'shape': {'high': 'S', 'low': 'C'}, 'tail': {'high': 'N', 'low': 'T'}}}",R1,I1,R2,4,10_food.png,"Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_B_C.png","high,medium,low,medium,medium,high,low,medium"
N,B,C,N_B_C.png,training,1,2,7,medium,"{'relevant_dims': ['tail', 'shape'], 'irrelevant_dim': 'color', 'assignments': {'shape': {'high': 'S', 'low': 'C'}, 'tail': {'high': 'N', 'low': 'T'}}}",R1,I2,L2,4,7_food.png,"Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_B_C.png","high,medium,low,medium,medium,high,low,medium"
N,B,S,N_B_S.png,training,1,3,6,high,"{'relevant_dims': ['tail', 'shape'], 'irrelevant_dim': 'color', 'assignments': {'shape': {'high': 'S', 'low': 'C'}, 'tail': {'high': 'N', 'low': 'T'}}}",R1,I2,R2,4,6_food.png,"Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_B_C.png","high,medium,low,medium,medium,high,low,medium"
T,B,C,T_B_C.png,training,1,4,3,low,"{'relevant_dims': ['tail', 'shape'], 'irrelevant_dim': 'color', 'assignments': {'shape': {'high': 'S', 'low': 'C'}, 'tail': {'high': 'N', 'low': 'T'}}}",L1,I2,L2,4,3_food.png,"Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_B_C.png","high,medium,low,medium,medium,high,low,medium"
T,Y,S,T_Y_S.png,training,1,5,7,medium,"{'relevant_dims': ['tail', 'shape'], 'irrelevant_dim': 'color', 'assignments': {'shape': {'high': 'S', 'low': 'C'}, 'tail': {'high': 'N', 'low': 'T'}}}",L1,I1,R2,4,7_food.png,"Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_B_C.png","high,medium,low,medium,medium,high,low,medium"
T,Y,C,T_Y_C.png,training,1,6,4,low,"{'relevant_dims': ['tail', 'shape'], 'irrelevant_dim': 'color', 'assignments': {'shape': {'high': 'S', 'low': 'C'}, 'tail': {'high': 'N', 'low': 'T'}}}",L1,I1,L2,4,4_food.png,"Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_B_C.png","high,medium,low,medium,medium,high,low,medium"
N,Y,C,N_Y_C.png,training,1,7,4,medium,"{'relevant_dims': ['tail', 'shape'], 'irrelevant_dim': 'color', 'assignments': {'shape': {'high': 'S', 'low': 'C'}, 'tail': {'high': 'N', 'low': 'T'}}}",R1,I1,L2,4,4_food.png,"Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_B_C.png","high,medium,low,medium,medium,high,low,medium"
T,B,S,T_B_S.png,training,1,8,5,medium,"{'relevant_dims': ['tail', 'shape'], 'irrelevant_dim': 'color', 'assignments': {'shape': {'high': 'S', 'low': 'C'}, 'tail': {'high': 'N', 'low': 'T'}}}",L1,I2,R2,4,5_food.png,"Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_B_C.png","high,medium,low,medium,medium,high,low,medium"
T,B,C,T_B_C.png,training,2,9,2,low,"{'relevant_dims': ['tail', 'shape'], 'irrelevant_dim': 'color', 'assignments': {'shape': {'high': 'S', 'low': 'C'}, 'tail': {'high': 'N', 'low': 'T'}}}",L1,I2,L2,4,2_food.png,"Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_B_C.png","high,medium,low,medium,medium,high,low,medium"
N,B,C,N_B_C.png,training,2,10,5,medium,"{'relevant_dims': ['tail', 'shape'], 'irrelevant_dim': 'color', 'assignments': {'shape': {'high': 'S', 'low': 'C'}, 'tail': {'high': 'N', 'low': 'T'}}}",R1,I2,L2,4,5_food.png,"Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_B_C.png","high,medium,low,medium,medium,high,low,medium"
T,Y,S,T_Y_S.png,training,2,11,6,medium,"{'relevant_dims': ['tail', 'shape'], 'irrelevant_dim': 'color', 'assignments': {'shape': {'high': 'S', 'low': 'C'}, 'tail': {'high': 'N', 'low': 'T'}}}",L1,I1,R2,4,6_food.png,"Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_B_C.png","high,medium,low,medium,medium,high,low,medium"
N,B,S,N_B_S.png,training,2,12,7,high,"{'relevant_dims': ['tail', 'shape'], 'irrelevant_dim': 'color', 'assignments': {'shape': {'high': 'S', 'low': 'C'}, 'tail': {'high': 'N', 'low': 'T'}}}",R1,I2,R2,4,7_food.png,"Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_B_C.png","high,medium,low,medium,medium,high,low,medium"
T,Y,C,T_Y_C.png,training,2,13,4,low,"{'relevant_dims': ['tail', 'shape'], 'irrelevant_dim': 'color', 'assignments': {'shape': {'high': 'S', 'low': 'C'}, 'tail': {'high': 'N', 'low': 'T'}}}",L1,I1,L2,4,4_food.png,"Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_B_C.png","high,medium,low,medium,medium,high,low,medium"
N,Y,C,N_Y_C.png,training,2,14,5,medium,"{'relevant_dims': ['tail', 'shape'], 'irrelevant_dim': 'color', 'assignments': {'shape': {'high': 'S', 'low': 'C'}, 'tail': {'high': 'N', 'low': 'T'}}}",R1,I1,L2,4,5_food.png,"Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_B_C.png","high,medium,low,medium,medium,high,low,medium"
N,Y,S,N_Y_S.png,training,2,15,6,high,"{'relevant_dims': ['tail', 'shape'], 'irrelevant_dim': 'color', 'assignments': {'shape': {'high': 'S', 'low': 'C'}, 'tail': {'high': 'N', 'low': 'T'}}}",R1,I1,R2,4,6_food.png,"Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_B_C.png","high,medium,low,medium,medium,high,low,medium"
T,B,S,T_B_S.png,training,2,16,8,medium,"{'relevant_dims': ['tail', 'shape'], 'irrelevant_dim': 'color', 'assignments': {'shape': {'high': 'S', 'low': 'C'}, 'tail': {'high': 'N', 'low': 'T'}}}",L1,I2,R2,4,8_food.png,"Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_B_C.png","high,medium,low,medium,medium,high,low,medium"
N,B,S,N_B_S.png,training,3,17,7,high,"{'relevant_dims': ['tail', 'shape'], 'irrelevant_dim': 'color', 'assignments': {'shape': {'high': 'S', 'low': 'C'}, 'tail': {'high': 'N', 'low': 'T'}}}",R1,I2,R2,4,7_food.png,"Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_B_C.png","high,medium,low,medium,medium,high,low,medium"
N,B,C,N_B_C.png,training,3,18,4,medium,"{'relevant_dims': ['tail', 'shape'], 'irrelevant_dim': 'color', 'assignments': {'shape': {'high': 'S', 'low': 'C'}, 'tail': {'high': 'N', 'low': 'T'}}}",R1,I2,L2,4,4_food.png,"Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_B_C.png","high,medium,low,medium,medium,high,low,medium"
N,Y,S,N_Y_S.png,training,3,19,6,high,"{'relevant_dims': ['tail', 'shape'], 'irrelevant_dim': 'color', 'assignments': {'shape': {'high': 'S', 'low': 'C'}, 'tail': {'high': 'N', 'low': 'T'}}}",R1,I1,R2,4,6_food.png,"Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_B_C.png","high,medium,low,medium,medium,high,low,medium"
T,Y,S,T_Y_S.png,training,3,20,5,medium,"{'relevant_dims': ['tail', 'shape'], 'irrelevant_dim': 'color', 'assignments': {'shape': {'high': 'S', 'low': 'C'}, 'tail': {'high': 'N', 'low': 'T'}}}",L1,I1,R2,4,5_food.png,"Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_B_C.png","high,medium,low,medium,medium,high,low,medium"
N,Y,C,N_Y_C.png,training,3,21,5,medium,"{'relevant_dims': ['tail', 'shape'], 'irrelevant_dim': 'color', 'assignments': {'shape': {'high': 'S', 'low': 'C'}, 'tail': {'high': 'N', 'low': 'T'}}}",R1,I1,L2,4,5_food.png,"Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_B_C.png","high,medium,low,medium,medium,high,low,medium"
T,B,S,T_B_S.png,training,3,22,4,medium,"{'relevant_dims': ['tail', 'shape'], 'irrelevant_dim': 'color', 'assignments': {'shape': {'high': 'S', 'low': 'C'}, 'tail': {'high': 'N', 'low': 'T'}}}",L1,I2,R2,4,4_food.png,"Resources/N_Y_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_B_S.png,Resources/T_Y_C.png,Resources/N_B_C.png","high,medium,low,medium,medium,high,low,medium"
