consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,tail,color,shape,image_file,phase,rep,trial_num,food_amount,category,participant_id,food_image_file,images_list
yes,003,2025-11-21_11h37.19.347,explain2,2025.1.1,Win32,59.88023952,6682b0b622da87763c14179c,691cb5eb9b0a8859ba0ad998,69209597c264813c7fc737a4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,003,2025-11-21_11h37.19.347,explain2,2025.1.1,Win32,59.88023952,6682b0b622da87763c14179c,691cb5eb9b0a8859ba0ad998,69209597c264813c7fc737a4,27.8082,27.8086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,003,2025-11-21_11h37.19.347,explain2,2025.1.1,Win32,59.88023952,6682b0b622da87763c14179c,691cb5eb9b0a8859ba0ad998,69209597c264813c7fc737a4,,,27.8097,37.2935,1,[6.493599999994039],[6.493599999994039],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,003,2025-11-21_11h37.19.347,explain2,2025.1.1,Win32,59.88023952,6682b0b622da87763c14179c,691cb5eb9b0a8859ba0ad998,69209597c264813c7fc737a4,,,,,,,,37.2938,141.2042,1,[100.91390000000595],[100.91390000000595],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,003,2025-11-21_11h37.19.347,explain2,2025.1.1,Win32,59.88023952,6682b0b622da87763c14179c,691cb5eb9b0a8859ba0ad998,69209597c264813c7fc737a4,,,,,,,,,,,,,141.2045,180.6486,1,[36.446699999988084],[36.446699999988084],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,003,2025-11-21_11h37.19.347,explain2,2025.1.1,Win32,59.88023952,6682b0b622da87763c14179c,691cb5eb9b0a8859ba0ad998,69209597c264813c7fc737a4,,,,,,,,,,,,,,,,,,180.6494,211.2357,1,[27.591299999982112],[27.59140000000596],,,,,,,,,,,,,,,,,,,,,,,,,
,003,2025-11-21_11h37.19.347,explain2,2025.1.1,Win32,59.88023952,6682b0b622da87763c14179c,691cb5eb9b0a8859ba0ad998,69209597c264813c7fc737a4,,,,,,,,,,,,,,,,,,,,,,,211.2633,250.9788,1,[36.72990000000601],[36.72990000000601], Sperk is hungry,250.9794,251.4769,0,0,0,0,1,T,B,S,T_B_S.png,training,1,1,10,high,3,10_food.png,"Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_S.png"
,003,2025-11-21_11h37.19.347,explain2,2025.1.1,Win32,59.88023952,6682b0b622da87763c14179c,691cb5eb9b0a8859ba0ad998,69209597c264813c7fc737a4,,,,,,,,,,,,,,,,,,,,,,,251.4809,279.6506,1,[25.17679999998211],[25.17679999998211],Need less food,279.651,280.1453,0,1,1,1,1,N,B,S,N_B_S.png,training,1,2,5,medium,3,5_food.png,"Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_S.png"
,003,2025-11-21_11h37.19.347,explain2,2025.1.1,Win32,59.88023952,6682b0b622da87763c14179c,691cb5eb9b0a8859ba0ad998,69209597c264813c7fc737a4,,,,,,,,,,,,,,,,,,,,,,,280.1481,314.3005,1,[31.15540000000601],[31.15540000000601],It doesn't like to eat too much,314.3007,314.7942,0,2,2,2,1,T,Y,C,T_Y_C.png,training,1,3,5,medium,3,5_food.png,"Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_S.png"
,003,2025-11-21_11h37.19.347,explain2,2025.1.1,Win32,59.88023952,6682b0b622da87763c14179c,691cb5eb9b0a8859ba0ad998,69209597c264813c7fc737a4,,,,,,,,,,,,,,,,,,,,,,,314.7992,356.2043,1,[38.410799999982146],[38.410799999982146],It needs less food,356.2046,356.7014,0,3,3,3,1,T,Y,S,T_Y_S.png,training,1,4,5,high,3,5_food.png,"Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_S.png"
,003,2025-11-21_11h37.19.347,explain2,2025.1.1,Win32,59.88023952,6682b0b622da87763c14179c,691cb5eb9b0a8859ba0ad998,69209597c264813c7fc737a4,,,,,,,,,,,,,,,,,,,,,,,356.7063,399.7583,1,[40.05899999999997],[40.05899999999997],It is hungry,399.7584,400.257,0,4,4,4,1,T,B,C,T_B_C.png,training,1,5,6,medium,3,6_food.png,"Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_S.png"
,003,2025-11-21_11h37.19.347,explain2,2025.1.1,Win32,59.88023952,6682b0b622da87763c14179c,691cb5eb9b0a8859ba0ad998,69209597c264813c7fc737a4,,,,,,,,,,,,,,,,,,,,,,,400.2585,422.2357,1,[18.979400000005967],[18.979400000005967],It wasn't hungry,422.2359,422.7336,0,5,5,5,1,N,Y,S,N_Y_S.png,training,1,6,2,medium,3,2_food.png,"Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_S.png"
,003,2025-11-21_11h37.19.347,explain2,2025.1.1,Win32,59.88023952,6682b0b622da87763c14179c,691cb5eb9b0a8859ba0ad998,69209597c264813c7fc737a4,,,,,,,,,,,,,,,,,,,,,,,422.7355,437.3386,1,[11.605000000000018],[11.605000000000018],It wasn't hungry,437.3387,437.837,0,6,6,6,1,N,B,C,N_B_C.png,training,1,7,2,low,3,2_food.png,"Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_S.png"
,003,2025-11-21_11h37.19.347,explain2,2025.1.1,Win32,59.88023952,6682b0b622da87763c14179c,691cb5eb9b0a8859ba0ad998,69209597c264813c7fc737a4,,,,,,,,,,,,,,,,,,,,,,,437.843,448.659,1,[7.824700000017856],[7.824700000017856],It isn't hungry,448.6591,449.1572,0,7,7,7,1,N,Y,C,N_Y_C.png,training,1,8,3,low,3,3_food.png,"Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_S.png"
