consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,tail,color,shape,image_file,phase,rep,trial_num,food_amount,category,participant_id,food_image_file,images_list,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,final_questions_color.started,final_questions_color.stopped,color_continuous_slider.response,color_continuous_slider.rt,color_discrete_slider.response,color_discrete_slider.rt,color_direction_slider.response,color_direction_slider.rt,button_color.numClicks,button_color.timesOn,button_color.timesOff,final_questions_tail_2.started,final_questions_tail_2.stopped,tail_continuous_slider.response,tail_continuous_slider.rt,tail_discrete_slider.response,tail_discrete_slider.rt,tail_direction_slider.response,tail_direction_slider.rt,button_tail.numClicks,button_tail.timesOn,button_tail.timesOff,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,final_questions_shape.started,final_questions_shape.stopped,shape_continuous_slider.response,shape_continuous_slider.rt,shape_discrete_slider.response,shape_discrete_slider.rt,shape_direction_slider.response,shape_direction_slider.rt,button_shape.numClicks,button_shape.timesOn,button_shape.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
yes,004,2025-11-21_09h47.31.387,explain2,2025.1.1,Win32,58.82352941,650d9e7cc7ca0c04a4530515,691cb5eb9b0a8859ba0ad998,69209791f2728aa52f899e58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,004,2025-11-21_09h47.31.387,explain2,2025.1.1,Win32,58.82352941,650d9e7cc7ca0c04a4530515,691cb5eb9b0a8859ba0ad998,69209791f2728aa52f899e58,10.1675,10.1677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,004,2025-11-21_09h47.31.387,explain2,2025.1.1,Win32,58.82352941,650d9e7cc7ca0c04a4530515,691cb5eb9b0a8859ba0ad998,69209791f2728aa52f899e58,,,10.1679,13.9624,1,[0.7990999994277956],[0.7990999994277956],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,004,2025-11-21_09h47.31.387,explain2,2025.1.1,Win32,58.82352941,650d9e7cc7ca0c04a4530515,691cb5eb9b0a8859ba0ad998,69209791f2728aa52f899e58,,,,,,,,13.9626,21.1886,1,[4.229199999809268],[4.229199999809268],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,004,2025-11-21_09h47.31.387,explain2,2025.1.1,Win32,58.82352941,650d9e7cc7ca0c04a4530515,691cb5eb9b0a8859ba0ad998,69209791f2728aa52f899e58,,,,,,,,,,,,,21.1891,29.048,1,[4.862300000190729],[4.862300000190729],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,004,2025-11-21_09h47.31.387,explain2,2025.1.1,Win32,58.82352941,650d9e7cc7ca0c04a4530515,691cb5eb9b0a8859ba0ad998,69209791f2728aa52f899e58,,,,,,,,,,,,,,,,,,29.0485,166.5343,1,[134.48880000019074],[134.48880000019074],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,004,2025-11-21_09h47.31.387,explain2,2025.1.1,Win32,58.82352941,650d9e7cc7ca0c04a4530515,691cb5eb9b0a8859ba0ad998,69209791f2728aa52f899e58,,,,,,,,,,,,,,,,,,,,,,,166.558,179.0527,1,[9.507999999999981],[9.507999999999981],Because of it's body shape,179.0536,179.5501,0,0,0,0,1,N,B,C,N_B_C.png,training,1,1,1,low,4,1_food.png,"Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/T_Y_C.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,004,2025-11-21_09h47.31.387,explain2,2025.1.1,Win32,58.82352941,650d9e7cc7ca0c04a4530515,691cb5eb9b0a8859ba0ad998,69209791f2728aa52f899e58,,,,,,,,,,,,,,,,,,,,,,,179.5535,188.3255,1,[5.777400000572214],[5.777500000000003],Because of it's body shape,188.326,188.8251,0,1,1,1,1,N,B,S,N_B_S.png,training,1,2,7,medium,4,7_food.png,"Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/T_Y_C.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,004,2025-11-21_09h47.31.387,explain2,2025.1.1,Win32,58.82352941,650d9e7cc7ca0c04a4530515,691cb5eb9b0a8859ba0ad998,69209791f2728aa52f899e58,,,,,,,,,,,,,,,,,,,,,,,188.8299,196.8506,1,[5.028200000762951],[5.028200000762951],Because of it's color,196.8509,197.3498,0,2,2,2,1,N,Y,C,N_Y_C.png,training,1,3,3,low,4,3_food.png,"Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/T_Y_C.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,004,2025-11-21_09h47.31.387,explain2,2025.1.1,Win32,58.82352941,650d9e7cc7ca0c04a4530515,691cb5eb9b0a8859ba0ad998,69209791f2728aa52f899e58,,,,,,,,,,,,,,,,,,,,,,,197.3536,208.9571,1,[8.607400000572198],[8.607500000000016],Because of it's body color,208.9573,209.454,0,3,3,3,1,T,B,S,T_B_S.png,training,1,4,5,high,4,5_food.png,"Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/T_Y_C.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
