consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,tail,color,shape,image_file,phase,rep,trial_num,food_amount,category,participant_id,food_image_file,images_list,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,final_questions_color.started,final_questions_color.stopped,color_continuous_slider.response,color_continuous_slider.rt,color_discrete_slider.response,color_discrete_slider.rt,color_direction_slider.response,color_direction_slider.rt,button_color.numClicks,button_color.timesOn,button_color.timesOff,final_questions_tail_2.started,final_questions_tail_2.stopped,tail_continuous_slider.response,tail_continuous_slider.rt,tail_discrete_slider.response,tail_discrete_slider.rt,tail_direction_slider.response,tail_direction_slider.rt,button_tail.numClicks,button_tail.timesOn,button_tail.timesOff,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,final_questions_shape.started,final_questions_shape.stopped,shape_continuous_slider.response,shape_continuous_slider.rt,shape_discrete_slider.response,shape_discrete_slider.rt,shape_direction_slider.response,shape_direction_slider.rt,button_shape.numClicks,button_shape.timesOn,button_shape.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
yes,003,2025-11-21_12h46.38.267,explain2,2025.1.1,iPhone,50,63e51bd9b573cd46809e1d56,691cb5eb9b0a8859ba0ad998,6920a570e42ddd92a2eecf3d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,003,2025-11-21_12h46.38.267,explain2,2025.1.1,iPhone,50,63e51bd9b573cd46809e1d56,691cb5eb9b0a8859ba0ad998,6920a570e42ddd92a2eecf3d,4.374,4.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,003,2025-11-21_12h46.38.267,explain2,2025.1.1,iPhone,50,63e51bd9b573cd46809e1d56,691cb5eb9b0a8859ba0ad998,6920a570e42ddd92a2eecf3d,,,4.376,13.054,1,[5.687999999999999],[5.687999999999999],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,003,2025-11-21_12h46.38.267,explain2,2025.1.1,iPhone,50,63e51bd9b573cd46809e1d56,691cb5eb9b0a8859ba0ad998,6920a570e42ddd92a2eecf3d,,,,,,,,13.055,39.673,1,[23.632999999999996],[23.632999999999996],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,003,2025-11-21_12h46.38.267,explain2,2025.1.1,iPhone,50,63e51bd9b573cd46809e1d56,691cb5eb9b0a8859ba0ad998,6920a570e42ddd92a2eecf3d,,,,,,,,,,,,,39.674,55.035,1,[12.375],[12.375],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,003,2025-11-21_12h46.38.267,explain2,2025.1.1,iPhone,50,63e51bd9b573cd46809e1d56,691cb5eb9b0a8859ba0ad998,6920a570e42ddd92a2eecf3d,,,,,,,,,,,,,,,,,,55.036,73.503,1,[15.475000000000009],[15.475000000000009],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,003,2025-11-21_12h46.38.267,explain2,2025.1.1,iPhone,50,63e51bd9b573cd46809e1d56,691cb5eb9b0a8859ba0ad998,6920a570e42ddd92a2eecf3d,,,,,,,,,,,,,,,,,,,,,,,73.515,103.842,1,[27.331000000000003],[27.331000000000003],It needs that much food to thrive. ,103.843,104.344,0,0,0,0,1,T,B,S,T_B_S.png,training,1,1,10,high,3,10_food.png,"Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_S.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,003,2025-11-21_12h46.38.267,explain2,2025.1.1,iPhone,50,63e51bd9b573cd46809e1d56,691cb5eb9b0a8859ba0ad998,6920a570e42ddd92a2eecf3d,,,,,,,,,,,,,,,,,,,,,,,104.348,129.025,1,[21.685999999999993],[21.685999999999993],It needs that amount of food to function.,129.026,129.517,0,1,1,1,1,N,B,S,N_B_S.png,training,1,2,5,medium,3,5_food.png,"Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_S.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,003,2025-11-21_12h46.38.267,explain2,2025.1.1,iPhone,50,63e51bd9b573cd46809e1d56,691cb5eb9b0a8859ba0ad998,6920a570e42ddd92a2eecf3d,,,,,,,,,,,,,,,,,,,,,,,129.522,158.414,1,[25.900000000000006],[25.900000000000006],It needs thst amount of food to thrive and not starve. ,158.415,158.919,0,2,2,2,1,T,Y,C,T_Y_C.png,training,1,3,5,medium,3,5_food.png,"Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_S.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,003,2025-11-21_12h46.38.267,explain2,2025.1.1,iPhone,50,63e51bd9b573cd46809e1d56,691cb5eb9b0a8859ba0ad998,6920a570e42ddd92a2eecf3d,,,,,,,,,,,,,,,,,,,,,,,158.924,174.596,1,[12.680000000000007],[12.680000000000007],It needs that amount of food to function. ,174.596,175.101,0,3,3,3,1,T,Y,S,T_Y_S.png,training,1,4,5,high,3,5_food.png,"Resources/T_B_C.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_Y_C.png,Resources/N_B_S.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
