participant,task,feature_dimension,feature_relevance,correlation,irrelevant_dim,abs_correlation
"('accommodate', np.int64(1))",accommodate,tail,relevant,0.8854220041514328,shape,0.8854220041514328
"('accommodate', np.int64(1))",accommodate,color,relevant,0.29514066805047756,shape,0.29514066805047756
"('accommodate', np.int64(1))",accommodate,shape,irrelevant,0.05902813361009552,shape,0.05902813361009552
"('accommodate', np.int64(2))",accommodate,tail,irrelevant,0.3779644730092272,tail,0.3779644730092272
"('accommodate', np.int64(2))",accommodate,color,relevant,0.7019340213028504,tail,0.7019340213028504
"('accommodate', np.int64(2))",accommodate,shape,relevant,0.5939441718716427,tail,0.5939441718716427
"('accommodate', np.int64(3))",accommodate,tail,relevant,-0.1767766952966369,color,0.1767766952966369
"('accommodate', np.int64(3))",accommodate,color,irrelevant,-0.3535533905932738,color,0.3535533905932738
"('accommodate', np.int64(3))",accommodate,shape,relevant,0.8838834764831843,color,0.8838834764831843
"('accommodate', np.int64(4))",accommodate,tail,irrelevant,0.23735633163877065,tail,0.23735633163877065
"('accommodate', np.int64(4))",accommodate,color,relevant,0.23735633163877065,tail,0.23735633163877065
"('accommodate', np.int64(4))",accommodate,shape,relevant,0.8307471607356973,tail,0.8307471607356973
"('accommodate', np.int64(5))",accommodate,tail,relevant,0.3869116162670684,color,0.3869116162670684
"('accommodate', np.int64(5))",accommodate,color,irrelevant,0.5416762627738958,color,0.5416762627738958
"('accommodate', np.int64(5))",accommodate,shape,relevant,0.6964409092807232,color,0.6964409092807232
"('accommodate', np.int64(6))",accommodate,tail,relevant,0.2900209467136991,shape,0.2900209467136991
"('accommodate', np.int64(6))",accommodate,color,relevant,0.7733891912365308,shape,0.7733891912365308
"('accommodate', np.int64(6))",accommodate,shape,irrelevant,0.1933472978091327,shape,0.1933472978091327
"('accommodate', np.int64(7))",accommodate,tail,relevant,-0.4999999999999999,shape,0.4999999999999999
"('accommodate', np.int64(7))",accommodate,color,relevant,-0.24999999999999994,shape,0.24999999999999994
"('accommodate', np.int64(7))",accommodate,shape,irrelevant,0.4999999999999999,shape,0.4999999999999999
"('accommodate', np.int64(8))",accommodate,tail,relevant,0.5393598899705936,shape,0.5393598899705936
"('accommodate', np.int64(8))",accommodate,color,relevant,0.6741998624632419,shape,0.6741998624632419
"('accommodate', np.int64(8))",accommodate,shape,irrelevant,0.2696799449852968,shape,0.2696799449852968
"('accommodate', np.int64(9))",accommodate,tail,relevant,0.5773502691896256,shape,0.5773502691896256
"('accommodate', np.int64(9))",accommodate,color,relevant,0.46188021535170054,shape,0.46188021535170054
"('accommodate', np.int64(9))",accommodate,shape,irrelevant,0.11547005383792514,shape,0.11547005383792514
"('accommodate', np.int64(10))",accommodate,tail,relevant,0.8867963503478637,shape,0.8867963503478637
"('accommodate', np.int64(10))",accommodate,color,relevant,0.0985329278164293,shape,0.0985329278164293
"('accommodate', np.int64(10))",accommodate,shape,irrelevant,0.2955987834492879,shape,0.2955987834492879
"('accommodate', np.int64(11))",accommodate,tail,relevant,0.7875615306482168,color,0.7875615306482168
"('accommodate', np.int64(11))",accommodate,color,irrelevant,-0.3375263702778072,color,0.3375263702778072
"('accommodate', np.int64(11))",accommodate,shape,relevant,-0.3375263702778072,color,0.3375263702778072
"('accommodate', np.int64(12))",accommodate,tail,relevant,0.4330127018922193,shape,0.4330127018922193
"('accommodate', np.int64(12))",accommodate,color,relevant,0.8660254037844386,shape,0.8660254037844386
"('accommodate', np.int64(12))",accommodate,shape,irrelevant,0.0,shape,0.0
"('accommodate', np.int64(13))",accommodate,tail,irrelevant,-0.07559289460184544,tail,0.07559289460184544
"('accommodate', np.int64(13))",accommodate,color,relevant,0.6803360514166088,tail,0.6803360514166088
"('accommodate', np.int64(13))",accommodate,shape,relevant,0.529150262212918,tail,0.529150262212918
"('accommodate', np.int64(14))",accommodate,tail,relevant,0.5773502691896257,shape,0.5773502691896257
"('accommodate', np.int64(14))",accommodate,color,relevant,0.28867513459481287,shape,0.28867513459481287
"('accommodate', np.int64(14))",accommodate,shape,irrelevant,-0.5773502691896257,shape,0.5773502691896257
"('accommodate', np.int64(15))",accommodate,tail,relevant,0.4303314829119351,shape,0.4303314829119351
"('accommodate', np.int64(15))",accommodate,color,relevant,0.7745966692414833,shape,0.7745966692414833
"('accommodate', np.int64(15))",accommodate,shape,irrelevant,0.4303314829119351,shape,0.4303314829119351
"('accommodate', np.int64(16))",accommodate,tail,relevant,0.37499999999999994,shape,0.37499999999999994
"('accommodate', np.int64(16))",accommodate,color,relevant,0.4999999999999999,shape,0.4999999999999999
"('accommodate', np.int64(16))",accommodate,shape,irrelevant,0.24999999999999994,shape,0.24999999999999994
"('accommodate', np.int64(17))",accommodate,tail,relevant,0.6761234037828132,shape,0.6761234037828132
"('accommodate', np.int64(17))",accommodate,color,relevant,0.5070925528371099,shape,0.5070925528371099
"('accommodate', np.int64(17))",accommodate,shape,irrelevant,0.0,shape,0.0
"('accommodate', np.int64(18))",accommodate,tail,relevant,0.9544271444636666,color,0.9544271444636666
"('accommodate', np.int64(18))",accommodate,color,irrelevant,-0.06362847629757779,color,0.06362847629757779
"('accommodate', np.int64(18))",accommodate,shape,relevant,-0.06362847629757779,color,0.06362847629757779
"('accommodate', np.int64(19))",accommodate,tail,relevant,0.7330166661378313,shape,0.7330166661378313
"('accommodate', np.int64(19))",accommodate,color,relevant,0.6108472217815261,shape,0.6108472217815261
"('accommodate', np.int64(19))",accommodate,shape,irrelevant,-0.24433888871261045,shape,0.24433888871261045
"('accommodate', np.int64(20))",accommodate,tail,relevant,0.0,shape,0.0
"('accommodate', np.int64(20))",accommodate,color,relevant,0.28867513459481287,shape,0.28867513459481287
"('accommodate', np.int64(20))",accommodate,shape,irrelevant,-0.8660254037844386,shape,0.8660254037844386
"('accommodate', np.int64(21))",accommodate,tail,relevant,0.7071067811865476,color,0.7071067811865476
"('accommodate', np.int64(21))",accommodate,color,irrelevant,-0.5303300858899106,color,0.5303300858899106
