participant,task,feature_dimension,high_value,feature_relevance,correlation,irrelevant_dim,abs_correlation
"('accommodate', np.int64(1))",accommodate,tail,C,relevant,0.0,color,0.0
"('accommodate', np.int64(1))",accommodate,color,Y,irrelevant,0.4375949744936837,color,0.4375949744936837
"('accommodate', np.int64(1))",accommodate,wing,T,relevant,0.8751899489873673,color,0.8751899489873673
"('accommodate', np.int64(3))",accommodate,tail,C,irrelevant,0.0,tail,0.0
"('accommodate', np.int64(3))",accommodate,color,Y,relevant,0.0,tail,0.0
"('accommodate', np.int64(3))",accommodate,wing,N,relevant,0.9999999999999998,tail,0.9999999999999998
"('accommodate', np.int64(4))",accommodate,tail,S,relevant,-0.16012815380508713,wing,0.16012815380508713
"('accommodate', np.int64(4))",accommodate,color,B,relevant,0.48038446141526137,wing,0.48038446141526137
"('accommodate', np.int64(4))",accommodate,wing,T,irrelevant,0.6405126152203485,wing,0.6405126152203485
"('accommodate', np.int64(5))",accommodate,tail,C,relevant,0.23735633163877065,color,0.23735633163877065
"('accommodate', np.int64(5))",accommodate,color,Y,irrelevant,-0.23735633163877065,color,0.23735633163877065
"('accommodate', np.int64(5))",accommodate,wing,T,relevant,0.8307471607356973,color,0.8307471607356973
"('accommodate', np.int64(6))",accommodate,tail,S,relevant,0.9438798074485388,wing,0.9438798074485388
"('accommodate', np.int64(6))",accommodate,color,B,relevant,-0.1348399724926484,wing,0.1348399724926484
"('accommodate', np.int64(6))",accommodate,wing,T,irrelevant,0.1348399724926484,wing,0.1348399724926484
"('accommodate', np.int64(7))",accommodate,tail,S,irrelevant,0.5821616046178358,tail,0.5821616046178358
"('accommodate', np.int64(7))",accommodate,color,Y,relevant,0.45279235914720567,tail,0.45279235914720567
"('accommodate', np.int64(7))",accommodate,wing,N,relevant,0.5821616046178358,tail,0.5821616046178358
"('accommodate', np.int64(8))",accommodate,tail,S,relevant,0.06579516949597689,wing,0.06579516949597689
"('accommodate', np.int64(8))",accommodate,color,B,relevant,0.3289758474798844,wing,0.3289758474798844
"('accommodate', np.int64(8))",accommodate,wing,N,irrelevant,-0.7237468644557458,wing,0.7237468644557458
"('accommodate', np.int64(9))",accommodate,tail,C,relevant,0.2917299829957891,color,0.2917299829957891
"('accommodate', np.int64(9))",accommodate,color,B,irrelevant,0.0,color,0.0
"('accommodate', np.int64(9))",accommodate,wing,T,relevant,0.8751899489873673,color,0.8751899489873673
"('accommodate', np.int64(11))",accommodate,tail,S,irrelevant,-0.22941573387056177,tail,0.22941573387056177
"('accommodate', np.int64(11))",accommodate,color,Y,relevant,-0.11470786693528089,tail,0.11470786693528089
"('accommodate', np.int64(11))",accommodate,wing,N,relevant,0.9176629354822471,tail,0.9176629354822471
"('accommodate', np.int64(12))",accommodate,tail,S,relevant,,wing,
"('accommodate', np.int64(12))",accommodate,color,B,relevant,,wing,
"('accommodate', np.int64(12))",accommodate,wing,N,irrelevant,,wing,
"('accommodate', np.int64(14))",accommodate,tail,S,relevant,0.24413653763134785,wing,0.24413653763134785
"('accommodate', np.int64(14))",accommodate,color,B,relevant,0.4068942293855797,wing,0.4068942293855797
"('accommodate', np.int64(14))",accommodate,wing,N,irrelevant,0.24413653763134785,wing,0.24413653763134785
"('accommodate', np.int64(15))",accommodate,tail,C,irrelevant,0.0,tail,0.0
"('accommodate', np.int64(15))",accommodate,color,Y,relevant,0.5773502691896257,tail,0.5773502691896257
"('accommodate', np.int64(15))",accommodate,wing,N,relevant,0.28867513459481287,tail,0.28867513459481287
"('accommodate', np.int64(16))",accommodate,tail,S,relevant,-0.4383570037596046,wing,0.4383570037596046
"('accommodate', np.int64(16))",accommodate,color,B,relevant,0.4383570037596046,wing,0.4383570037596046
"('accommodate', np.int64(16))",accommodate,wing,T,irrelevant,0.31311214554257466,wing,0.31311214554257466
"('accommodate', np.int64(17))",accommodate,tail,C,relevant,0.7181848464596078,color,0.7181848464596078
"('accommodate', np.int64(17))",accommodate,color,B,irrelevant,0.3077935056255462,color,0.3077935056255462
"('accommodate', np.int64(17))",accommodate,wing,T,relevant,0.5129891760425769,color,0.5129891760425769
"('accommodate', np.int64(18))",accommodate,tail,S,relevant,0.11250879009260238,wing,0.11250879009260238
"('accommodate', np.int64(18))",accommodate,color,B,relevant,0.11250879009260238,wing,0.11250879009260238
"('accommodate', np.int64(18))",accommodate,wing,T,irrelevant,0.7875615306482168,wing,0.7875615306482168
"('accommodate', np.int64(19))",accommodate,tail,S,irrelevant,0.08873565094161137,tail,0.08873565094161137
"('accommodate', np.int64(19))",accommodate,color,Y,relevant,0.4436782547080568,tail,0.4436782547080568
"('accommodate', np.int64(19))",accommodate,wing,N,relevant,0.7986208584745021,tail,0.7986208584745021
"('accommodate', np.int64(20))",accommodate,tail,S,relevant,0.0,wing,0.0
"('accommodate', np.int64(20))",accommodate,color,B,relevant,0.9701425001453319,wing,0.9701425001453319
"('accommodate', np.int64(20))",accommodate,wing,N,irrelevant,-0.24253562503633297,wing,0.24253562503633297
"('accommodate', np.int64(21))",accommodate,tail,C,relevant,0.38729833462074165,color,0.38729833462074165
"('accommodate', np.int64(21))",accommodate,color,Y,irrelevant,-0.12909944487358055,color,0.12909944487358055
"('accommodate', np.int64(21))",accommodate,wing,T,relevant,0.9036961141150639,color,0.9036961141150639
"('accommodate', np.int64(22))",accommodate,tail,S,relevant,-0.4045199174779452,wing,0.4045199174779452
"('accommodate', np.int64(22))",accommodate,color,B,relevant,0.1348399724926484,wing,0.1348399724926484
"('accommodate', np.int64(22))",accommodate,wing,N,irrelevant,0.4045199174779452,wing,0.4045199174779452
"('accommodate', np.int64(24))",accommodate,tail,S,relevant,-0.27500954910846337,wing,0.27500954910846337
"('accommodate', np.int64(24))",accommodate,color,B,relevant,0.27500954910846337,wing,0.27500954910846337
"('accommodate', np.int64(24))",accommodate,wing,T,irrelevant,0.6416889479197478,wing,0.6416889479197478
"('accommodate', np.int64(25))",accommodate,tail,C,relevant,-0.3380617018914066,color,0.3380617018914066
"('accommodate', np.int64(25))",accommodate,color,Y,irrelevant,0.5070925528371099,color,0.5070925528371099
"('accommodate', np.int64(25))",accommodate,wing,T,relevant,0.6761234037828132,color,0.6761234037828132
"('accommodate', np.int64(26))",accommodate,tail,S,relevant,0.962250448649376,wing,0.962250448649376
"('accommodate', np.int64(26))",accommodate,color,B,relevant,0.0,wing,0.0
"('accommodate', np.int64(26))",accommodate,wing,N,irrelevant,0.19245008972987523,wing,0.19245008972987523
"('accommodate', np.int64(27))",accommodate,tail,S,irrelevant,0.4170288281141495,tail,0.4170288281141495
"('accommodate', np.int64(27))",accommodate,color,Y,relevant,0.20851441405707474,tail,0.20851441405707474
"('accommodate', np.int64(27))",accommodate,wing,N,relevant,-0.6255432421712243,tail,0.6255432421712243
"('accommodate', np.int64(28))",accommodate,tail,S,relevant,0.7184212081070995,wing,0.7184212081070995
"('accommodate', np.int64(28))",accommodate,color,B,relevant,0.5388159060803247,wing,0.5388159060803247
"('accommodate', np.int64(28))",accommodate,wing,T,irrelevant,0.17960530202677488,wing,0.17960530202677488
"('accommodate', np.int64(29))",accommodate,tail,C,relevant,0.6030226891555273,color,0.6030226891555273
"('accommodate', np.int64(29))",accommodate,color,B,irrelevant,0.30151134457776363,color,0.30151134457776363
"('accommodate', np.int64(29))",accommodate,wing,T,relevant,0.6030226891555273,color,0.6030226891555273
