participant,task,feature_dimension,high_value,feature_relevance,correlation,irrelevant_dim,abs_correlation
"('accommodate', np.int64(1))",accommodate,stripes,E,irrelevant,0.0,stripes,0.0
"('accommodate', np.int64(1))",accommodate,feet,C,relevant,-0.9701425001453319,stripes,0.9701425001453319
"('accommodate', np.int64(2))",accommodate,stripes,W,relevant,0.8728715609439694,feet,0.8728715609439694
"('accommodate', np.int64(2))",accommodate,feet,F,irrelevant,0.4364357804719847,feet,0.4364357804719847
"('accommodate', np.int64(3))",accommodate,stripes,E,irrelevant,0.30151134457776363,stripes,0.30151134457776363
"('accommodate', np.int64(3))",accommodate,feet,F,relevant,0.30151134457776363,stripes,0.30151134457776363
"('accommodate', np.int64(4))",accommodate,stripes,E,relevant,0.8140915784106942,feet,0.8140915784106942
"('accommodate', np.int64(4))",accommodate,feet,F,irrelevant,-0.31311214554257466,feet,0.31311214554257466
"('accommodate', np.int64(5))",accommodate,stripes,W,irrelevant,-0.7049344049891617,stripes,0.7049344049891617
"('accommodate', np.int64(5))",accommodate,feet,C,relevant,0.7049344049891617,stripes,0.7049344049891617
"('accommodate', np.int64(6))",accommodate,stripes,W,relevant,0.8944271909999159,feet,0.8944271909999159
"('accommodate', np.int64(6))",accommodate,feet,C,irrelevant,-0.4472135954999579,feet,0.4472135954999579
"('accommodate', np.int64(7))",accommodate,stripes,W,irrelevant,0.8451542547285166,stripes,0.8451542547285166
"('accommodate', np.int64(7))",accommodate,feet,F,relevant,0.50709255283711,stripes,0.50709255283711
"('accommodate', np.int64(8))",accommodate,stripes,E,relevant,0.06523280730534423,feet,0.06523280730534423
"('accommodate', np.int64(8))",accommodate,feet,F,irrelevant,0.19569842191603268,feet,0.19569842191603268
"('accommodate', np.int64(9))",accommodate,stripes,W,irrelevant,0.16903085094570333,stripes,0.16903085094570333
"('accommodate', np.int64(9))",accommodate,feet,C,relevant,0.8451542547285166,stripes,0.8451542547285166
"('accommodate', np.int64(10))",accommodate,stripes,W,relevant,0.8944271909999159,feet,0.8944271909999159
"('accommodate', np.int64(10))",accommodate,feet,C,irrelevant,0.4472135954999579,feet,0.4472135954999579
"('accommodate', np.int64(11))",accommodate,stripes,W,irrelevant,0.0,stripes,0.0
"('accommodate', np.int64(11))",accommodate,feet,F,relevant,-0.9999999999999998,stripes,0.9999999999999998
"('accommodate', np.int64(12))",accommodate,stripes,E,relevant,-0.3144854510165755,feet,0.3144854510165755
"('accommodate', np.int64(12))",accommodate,feet,C,irrelevant,-0.9434563530497265,feet,0.9434563530497265
"('accommodate', np.int64(13))",accommodate,stripes,W,irrelevant,-0.5773502691896257,stripes,0.5773502691896257
"('accommodate', np.int64(13))",accommodate,feet,C,relevant,-0.5773502691896257,stripes,0.5773502691896257
"('accommodate', np.int64(14))",accommodate,stripes,W,relevant,0.5773502691896257,feet,0.5773502691896257
"('accommodate', np.int64(14))",accommodate,feet,C,irrelevant,0.5773502691896257,feet,0.5773502691896257
"('accommodate', np.int64(15))",accommodate,stripes,E,irrelevant,0.5773502691896257,stripes,0.5773502691896257
"('accommodate', np.int64(15))",accommodate,feet,F,relevant,-0.5773502691896257,stripes,0.5773502691896257
"('accommodate', np.int64(16))",accommodate,stripes,E,relevant,0.5773502691896257,feet,0.5773502691896257
"('accommodate', np.int64(16))",accommodate,feet,F,irrelevant,0.5773502691896257,feet,0.5773502691896257
"('accommodate', np.int64(17))",accommodate,stripes,E,irrelevant,0.5773502691896257,stripes,0.5773502691896257
"('accommodate', np.int64(17))",accommodate,feet,C,relevant,0.808290376865476,stripes,0.808290376865476
"('accommodate', np.int64(18))",accommodate,stripes,W,relevant,0.8017837257372733,feet,0.8017837257372733
"('accommodate', np.int64(18))",accommodate,feet,F,irrelevant,0.2672612419124244,feet,0.2672612419124244
"('accommodate', np.int64(19))",accommodate,stripes,W,irrelevant,0.0,stripes,0.0
"('accommodate', np.int64(19))",accommodate,feet,F,relevant,0.9701425001453319,stripes,0.9701425001453319
"('accommodate', np.int64(20))",accommodate,stripes,E,relevant,0.6000000000000001,feet,0.6000000000000001
"('accommodate', np.int64(20))",accommodate,feet,C,irrelevant,0.8,feet,0.8
"('accommodate', np.int64(21))",accommodate,stripes,W,irrelevant,-0.5773502691896257,stripes,0.5773502691896257
"('accommodate', np.int64(21))",accommodate,feet,C,relevant,0.5773502691896257,stripes,0.5773502691896257
"('accommodate', np.int64(22))",accommodate,stripes,W,relevant,-0.6882472016116854,feet,0.6882472016116854
"('accommodate', np.int64(22))",accommodate,feet,C,irrelevant,0.2294157338705618,feet,0.2294157338705618
"('accommodate', np.int64(23))",accommodate,stripes,E,irrelevant,0.16903085094570333,stripes,0.16903085094570333
"('accommodate', np.int64(23))",accommodate,feet,F,relevant,-0.8451542547285166,stripes,0.8451542547285166
"('accommodate', np.int64(24))",accommodate,stripes,E,relevant,0.8728715609439694,feet,0.8728715609439694
"('accommodate', np.int64(24))",accommodate,feet,F,irrelevant,0.4364357804719847,feet,0.4364357804719847
"('accommodate', np.int64(25))",accommodate,stripes,W,irrelevant,0.3871008845265317,stripes,0.3871008845265317
"('accommodate', np.int64(25))",accommodate,feet,C,relevant,0.3871008845265317,stripes,0.3871008845265317
"('accommodate', np.int64(26))",accommodate,stripes,W,relevant,0.5883484054145521,feet,0.5883484054145521
"('accommodate', np.int64(26))",accommodate,feet,C,irrelevant,0.7844645405527362,feet,0.7844645405527362
"('accommodate', np.int64(27))",accommodate,stripes,E,irrelevant,0.10976425998969036,stripes,0.10976425998969036
"('accommodate', np.int64(27))",accommodate,feet,F,relevant,-0.10976425998969036,stripes,0.10976425998969036
"('accommodate', np.int64(28))",accommodate,stripes,E,relevant,-0.4833682445228318,feet,0.4833682445228318
"('accommodate', np.int64(28))",accommodate,feet,C,irrelevant,-0.8700628401410974,feet,0.8700628401410974
"('accommodate', np.int64(29))",accommodate,stripes,E,irrelevant,0.08247860988423225,stripes,0.08247860988423225
"('accommodate', np.int64(29))",accommodate,feet,C,relevant,-0.9072647087265548,stripes,0.9072647087265548
"('accommodate', np.int64(30))",accommodate,stripes,W,relevant,-0.948683298050514,feet,0.948683298050514
"('accommodate', np.int64(30))",accommodate,feet,F,irrelevant,-0.316227766016838,feet,0.316227766016838
"('accommodate', np.int64(31))",accommodate,stripes,E,irrelevant,0.0,stripes,0.0
"('accommodate', np.int64(31))",accommodate,feet,F,relevant,0.2581988897471611,stripes,0.2581988897471611
"('accommodate', np.int64(32))",accommodate,stripes,E,relevant,-0.6666666666666667,feet,0.6666666666666667
"('accommodate', np.int64(32))",accommodate,feet,F,irrelevant,0.33333333333333337,feet,0.33333333333333337
"('accommodate', np.int64(33))",accommodate,stripes,E,irrelevant,0.808290376865476,stripes,0.808290376865476
"('accommodate', np.int64(33))",accommodate,feet,C,relevant,0.5773502691896257,stripes,0.5773502691896257
"('accommodate', np.int64(34))",accommodate,stripes,W,relevant,0.0,feet,0.0
"('accommodate', np.int64(34))",accommodate,feet,F,irrelevant,0.8,feet,0.8
"('accommodate', np.int64(35))",accommodate,stripes,W,irrelevant,0.4833682445228318,stripes,0.4833682445228318
"('accommodate', np.int64(35))",accommodate,feet,F,relevant,0.8700628401410974,stripes,0.8700628401410974
"('accommodate', np.int64(36))",accommodate,stripes,E,relevant,,feet,
