participant,task,task_explanation_group,explanation_type,has_causal_explanation,relevant_dim_1,relevant_dim_2,irrelevant_dim,tail_discrete_slider.response,feature_dimension,feature_importance,feature_relevance
216,accommodate,accommodate_causal,both,True,tail,color,wing,Yes,tail,7.0,relevant
31,accommodate,accommodate_causal,color,True,color,wing,tail,No,tail,0.0,irrelevant
142,accommodate,accommodate_causal,wing,True,color,tail,wing,Yes,tail,7.0,relevant
18,accommodate,accommodate_none,none,False,color,tail,wing,No,tail,0.0,relevant
62,accommodate,accommodate_none,none,False,color,tail,wing,Yes,tail,5.0,relevant
152,accommodate,accommodate_none,none,False,color,tail,wing,Yes,tail,6.0,relevant
21,accommodate,accommodate_causal,wing,True,tail,wing,color,Yes,tail,7.0,relevant
30,accommodate,accommodate_none,none,False,tail,color,wing,No,tail,0.0,relevant
93,accommodate,accommodate_none,none,False,tail,wing,color,Yes,tail,3.0,relevant
90,accommodate,accommodate_none,none,False,color,tail,wing,Yes,tail,3.0,relevant
133,accommodate,accommodate_none,none,False,wing,tail,color,Yes,tail,5.0,relevant
162,accommodate,accommodate_none,none,False,tail,color,wing,Yes,tail,4.0,relevant
169,accommodate,accommodate_none,none,False,wing,tail,color,Yes,tail,7.0,relevant
191,accommodate,accommodate_none,none,False,color,wing,tail,No,tail,0.0,irrelevant
127,accommodate,accommodate_none,none,False,color,wing,tail,Yes,tail,4.0,irrelevant
6,accommodate,accommodate_none,none,False,tail,color,wing,Yes,tail,3.0,relevant
201,accommodate,accommodate_none,none,False,tail,wing,color,Yes,tail,-3.0,relevant
219,accommodate,accommodate_none,none,False,wing,color,tail,Yes,tail,3.0,irrelevant
16,accommodate,accommodate_none,none,False,color,tail,wing,Yes,tail,-3.0,relevant
132,accommodate,accommodate_none,none,False,color,tail,wing,Yes,tail,-4.0,relevant
135,accommodate,accommodate_none,none,False,color,wing,tail,Yes,tail,6.0,irrelevant
153,accommodate,accommodate_none,none,False,tail,wing,color,Yes,tail,7.0,relevant
119,accommodate,accommodate_causal,wing,True,color,wing,tail,Yes,tail,-4.0,irrelevant
12,accommodate,accommodate_none,none,False,color,tail,wing,Yes,tail,-3.0,relevant
167,accommodate,accommodate_causal,wing,True,color,wing,tail,No,tail,0.0,irrelevant
159,accommodate,accommodate_none,none,False,color,wing,tail,Yes,tail,5.0,irrelevant
146,accommodate,accommodate_causal,tail,True,color,tail,wing,Yes,tail,6.0,relevant
150,accommodate,accommodate_none,none,False,color,tail,wing,Yes,tail,5.0,relevant
140,accommodate,accommodate_none,none,False,color,tail,wing,No,tail,0.0,relevant
24,accommodate,accommodate_none,none,False,color,tail,wing,Yes,tail,4.0,relevant
61,accommodate,accommodate_none,none,False,wing,tail,color,No,tail,0.0,relevant
64,accommodate,accommodate_none,none,False,tail,color,wing,Yes,tail,5.0,relevant
83,accommodate,accommodate_none,none,False,wing,color,tail,Yes,tail,2.0,irrelevant
38,accommodate,accommodate_none,none,False,color,tail,wing,Yes,tail,5.0,relevant
97,accommodate,accommodate_none,none,False,tail,wing,color,Yes,tail,5.0,relevant
164,accommodate,accommodate_none,none,False,tail,color,wing,No,tail,0.0,relevant
131,accommodate,accommodate_none,none,False,wing,color,tail,Yes,tail,7.0,irrelevant
78,accommodate,accommodate_none,none,False,tail,color,wing,Yes,tail,-1.0,relevant
180,accommodate,accommodate_none,none,False,color,tail,wing,Yes,tail,7.0,relevant
156,accommodate,accommodate_none,none,False,tail,color,wing,Yes,tail,6.0,relevant
19,accommodate,accommodate_none,none,False,wing,color,tail,Yes,tail,5.0,irrelevant
107,accommodate,accommodate_none,none,False,color,wing,tail,Yes,tail,6.0,irrelevant
99,accommodate,accommodate_none,none,False,color,wing,tail,No,tail,0.0,irrelevant
202,accommodate,accommodate_none,none,False,tail,color,wing,No,tail,0.0,relevant
185,accommodate,accommodate_none,none,False,tail,wing,color,Yes,tail,-4.0,relevant
58,accommodate,accommodate_none,none,False,color,tail,wing,No,tail,0.0,relevant
60,accommodate,accommodate_none,none,False,color,tail,wing,Yes,tail,-3.0,relevant
109,accommodate,accommodate_causal,tail,True,wing,tail,color,Yes,tail,2.0,relevant
160,accommodate,accommodate_none,none,False,tail,color,wing,Yes,tail,6.0,relevant
17,accommodate,accommodate_none,none,False,wing,tail,color,Yes,tail,5.0,relevant
34,accommodate,accommodate_none,none,False,tail,color,wing,Yes,tail,6.0,relevant
102,accommodate,accommodate_causal,tail,True,tail,color,wing,No,tail,0.0,relevant
192,accommodate,accommodate_none,none,False,tail,color,wing,Yes,tail,4.0,relevant
26,accommodate,accommodate_none,none,False,color,tail,wing,Yes,tail,6.0,relevant
203,accommodate,accommodate_none,none,False,wing,color,tail,Yes,tail,5.0,irrelevant
57,accommodate,accommodate_none,none,False,tail,wing,color,Yes,tail,3.0,relevant
200,accommodate,accommodate_none,none,False,tail,color,wing,Yes,tail,5.0,relevant
11,accommodate,accommodate_causal,tail,True,color,wing,tail,Yes,tail,-1.0,irrelevant
176,accommodate,accommodate_none,none,False,color,tail,wing,Yes,tail,-4.0,relevant
104,accommodate,accommodate_none,none,False,color,tail,wing,Yes,tail,-4.0,relevant
32,accommodate,accommodate_none,none,False,tail,color,wing,No,tail,0.0,relevant
177,accommodate,accommodate_none,none,False,wing,tail,color,Yes,tail,6.0,relevant
28,accommodate,accommodate_none,none,False,tail,color,wing,Yes,tail,5.0,relevant
29,accommodate,accommodate_none,none,False,tail,wing,color,Yes,tail,5.0,relevant
15,accommodate,accommodate_none,none,False,color,wing,tail,Yes,tail,5.0,irrelevant
189,accommodate,accommodate_causal,both,True,tail,wing,color,Yes,tail,5.0,relevant
179,accommodate,accommodate_none,none,False,color,wing,tail,No,tail,0.0,irrelevant
82,accommodate,accommodate_none,none,False,color,tail,wing,Yes,tail,5.0,relevant
130,accommodate,accommodate_none,none,False,tail,color,wing,No,tail,0.0,relevant
214,accommodate,accommodate_causal,wing,True,tail,color,wing,No,tail,0.0,relevant
117,accommodate,accommodate_none,none,False,wing,tail,color,Yes,tail,3.0,relevant
196,accommodate,accommodate_none,none,False,tail,color,wing,Yes,tail,7.0,relevant
52,accommodate,accommodate_none,none,False,color,tail,wing,Yes,tail,6.0,relevant
73,accommodate,accommodate_causal,tail,True,tail,wing,color,Yes,tail,4.0,relevant
42,accommodate,accommodate_none,none,False,color,tail,wing,Yes,tail,-2.0,relevant
155,accommodate,accommodate_none,none,False,wing,color,tail,No,tail,0.0,irrelevant
205,accommodate,accommodate_none,none,False,wing,tail,color,Yes,tail,-2.0,relevant
103,accommodate,accommodate_none,none,False,wing,color,tail,Yes,tail,-4.0,irrelevant
89,accommodate,accommodate_none,none,False,tail,wing,color,Yes,tail,3.0,relevant
59,accommodate,accommodate_none,none,False,color,wing,tail,Yes,tail,5.0,irrelevant
51,accommodate,accommodate_none,none,False,wing,color,tail,No,tail,0.0,irrelevant
141,accommodate,accommodate_causal,wing,True,wing,tail,color,Yes,tail,4.0,relevant
37,accommodate,accommodate_none,none,False,tail,wing,color,Yes,tail,-2.0,relevant
124,accommodate,accommodate_causal,wing,True,tail,color,wing,Yes,tail,7.0,relevant
157,accommodate,accommodate_none,none,False,wing,tail,color,Yes,tail,5.0,relevant
154,accommodate,accommodate_none,none,False,tail,color,wing,Yes,tail,3.0,relevant
170,accommodate,accommodate_none,none,False,tail,color,wing,Yes,tail,5.0,relevant
66,accommodate,accommodate_causal,wing,True,color,tail,wing,No,tail,0.0,relevant
79,accommodate,accommodate_none,none,False,wing,color,tail,Yes,tail,5.0,irrelevant
96,accommodate,accommodate_none,none,False,color,tail,wing,Yes,tail,2.0,relevant
77,accommodate,accommodate_none,none,False,tail,wing,color,Yes,tail,5.0,relevant
100,accommodate,accommodate_none,none,False,tail,color,wing,Yes,tail,-2.0,relevant
4,accommodate,accommodate_none,none,False,color,tail,wing,No,tail,0.0,relevant
209,accommodate,accommodate_none,none,False,tail,wing,color,Yes,tail,4.0,relevant
75,accommodate,accommodate_none,none,False,wing,color,tail,Yes,tail,6.0,irrelevant
95,accommodate,accommodate_none,none,False,wing,color,tail,No,tail,0.0,irrelevant
198,accommodate,accommodate_none,none,False,color,tail,wing,Yes,tail,5.0,relevant
126,accommodate,accommodate_none,none,False,tail,color,wing,Yes,tail,-5.0,relevant
120,accommodate,accommodate_none,none,False,color,tail,wing,Yes,tail,6.0,relevant
46,accommodate,accommodate_none,none,False,color,tail,wing,No,tail,0.0,relevant
114,accommodate,accommodate_none,none,False,tail,color,wing,Yes,tail,2.0,relevant
143,accommodate,accommodate_none,none,False,color,wing,tail,No,tail,0.0,irrelevant
14,accommodate,accommodate_none,none,False,color,tail,wing,Yes,tail,-6.0,relevant
206,accommodate,accommodate_none,none,False,tail,color,wing,Yes,tail,7.0,relevant
39,accommodate,accommodate_none,none,False,color,wing,tail,Yes,tail,-5.0,irrelevant
63,accommodate,accommodate_causal,both,True,color,wing,tail,Yes,tail,5.0,irrelevant
56,accommodate,accommodate_none,none,False,color,tail,wing,Yes,tail,-3.0,relevant
105,accommodate,accommodate_none,none,False,wing,tail,color,Yes,tail,6.0,relevant
218,accommodate,accommodate_causal,wing,True,tail,color,wing,No,tail,0.0,relevant
151,accommodate,accommodate_causal,wing,True,wing,color,tail,No,tail,0.0,irrelevant
71,accommodate,accommodate_none,none,False,color,wing,tail,No,tail,0.0,irrelevant
181,accommodate,accommodate_causal,wing,True,tail,wing,color,Yes,tail,2.0,relevant
48,accommodate,accommodate_none,none,False,tail,color,wing,No,tail,0.0,relevant
106,accommodate,accommodate_none,none,False,color,tail,wing,Yes,tail,3.0,relevant
111,accommodate,accommodate_none,none,False,color,wing,tail,Yes,tail,6.0,irrelevant
193,accommodate,accommodate_none,none,False,wing,tail,color,No,tail,0.0,relevant
81,accommodate,accommodate_none,none,False,tail,wing,color,Yes,tail,4.0,relevant
92,accommodate,accommodate_causal,color,True,tail,color,wing,Yes,tail,-4.0,relevant
54,accommodate,accommodate_none,none,False,color,tail,wing,Yes,tail,6.0,relevant
40,accommodate,accommodate_causal,wing,True,color,tail,wing,No,tail,0.0,relevant
145,accommodate,accommodate_none,none,False,wing,tail,color,Yes,tail,7.0,relevant
3,accommodate,accommodate_none,none,False,color,wing,tail,No,tail,0.0,irrelevant
123,accommodate,accommodate_none,none,False,wing,color,tail,Yes,tail,-3.0,irrelevant
7,accommodate,accommodate_none,none,False,wing,color,tail,Yes,tail,3.0,irrelevant
74,accommodate,accommodate_none,none,False,color,tail,wing,Yes,tail,4.0,relevant
165,accommodate,accommodate_none,none,False,wing,tail,color,No,tail,0.0,relevant
183,accommodate,accommodate_none,none,False,color,wing,tail,No,tail,0.0,irrelevant
27,accommodate,accommodate_none,none,False,wing,color,tail,No,tail,0.0,irrelevant
112,accommodate,accommodate_none,none,False,tail,color,wing,Yes,tail,-5.0,relevant
91,accommodate,accommodate_none,none,False,color,wing,tail,No,tail,0.0,irrelevant
84,accommodate,accommodate_none,none,False,color,tail,wing,No,tail,0.0,relevant
208,accommodate,accommodate_none,none,False,tail,color,wing,Yes,tail,5.0,relevant
187,accommodate,accommodate_none,none,False,color,wing,tail,No,tail,0.0,irrelevant
25,accommodate,accommodate_none,none,False,tail,wing,color,Yes,tail,-4.0,relevant
43,accommodate,accommodate_none,none,False,color,wing,tail,No,tail,0.0,irrelevant
136,accommodate,accommodate_none,none,False,color,tail,wing,Yes,tail,3.0,relevant
98,accommodate,accommodate_none,none,False,color,tail,wing,Yes,tail,7.0,relevant
197,accommodate,accommodate_none,none,False,wing,tail,color,Yes,tail,6.0,relevant
129,accommodate,accommodate_none,none,False,tail,wing,color,Yes,tail,5.0,relevant
