participant,task,task_explanation_group,explanation_type,has_causal_explanation,relevant_dim,irrelevant_dim,color_high,feet_high,feet_discrete_slider.response,feature_dimension,feature_importance,feature_relevance
183,accommodate,accommodate_none,none,False,feet,color,Y,F,No,feet,0.0,relevant
75,accommodate,accommodate_causal,both,True,feet,color,Y,F,Yes,feet,5.0,relevant
100,accommodate,accommodate_causal,color,True,color,feet,Y,F,No,feet,0.0,irrelevant
61,accommodate,accommodate_none,none,False,feet,color,Y,C,No,feet,0.0,relevant
97,accommodate,accommodate_causal,both,True,feet,color,Y,C,Yes,feet,6.0,relevant
184,accommodate,accommodate_none,none,False,color,feet,Y,F,No,feet,0.0,irrelevant
180,accommodate,accommodate_causal,feet,True,color,feet,Y,F,Yes,feet,4.0,irrelevant
90,accommodate,accommodate_causal,color,True,color,feet,G,F,Yes,feet,4.0,irrelevant
144,accommodate,accommodate_causal,color,True,color,feet,Y,F,No,feet,0.0,irrelevant
220,accommodate,accommodate_none,none,False,color,feet,Y,F,Yes,feet,-6.0,irrelevant
3,accommodate,accommodate_none,none,False,feet,color,G,F,Yes,feet,-3.0,relevant
80,accommodate,accommodate_none,none,False,color,feet,Y,F,Yes,feet,-5.0,irrelevant
66,accommodate,accommodate_none,none,False,color,feet,G,F,Yes,feet,2.0,irrelevant
57,accommodate,accommodate_none,none,False,feet,color,Y,C,Yes,feet,6.0,relevant
33,accommodate,accommodate_causal,both,True,feet,color,Y,C,Yes,feet,5.0,relevant
84,accommodate,accommodate_causal,color,True,color,feet,Y,C,No,feet,0.0,irrelevant
53,accommodate,accommodate_none,none,False,feet,color,Y,C,Yes,feet,6.0,relevant
71,accommodate,accommodate_causal,color,True,feet,color,Y,F,Yes,feet,-6.0,relevant
74,accommodate,accommodate_none,none,False,color,feet,G,F,Yes,feet,6.0,irrelevant
30,accommodate,accommodate_none,none,False,color,feet,G,C,No,feet,0.0,irrelevant
105,accommodate,accommodate_causal,color,True,feet,color,Y,C,No,feet,0.0,relevant
35,accommodate,accommodate_none,none,False,feet,color,Y,F,No,feet,0.0,relevant
51,accommodate,accommodate_none,none,False,feet,color,Y,F,Yes,feet,7.0,relevant
116,accommodate,accommodate_none,none,False,color,feet,Y,F,No,feet,0.0,irrelevant
136,accommodate,accommodate_causal,both,True,color,feet,Y,F,Yes,feet,7.0,irrelevant
60,accommodate,accommodate_causal,color,True,color,feet,Y,C,No,feet,0.0,irrelevant
12,accommodate,accommodate_none,none,False,color,feet,Y,C,Yes,feet,3.0,irrelevant
209,accommodate,accommodate_none,none,False,feet,color,Y,C,Yes,feet,6.0,relevant
117,accommodate,accommodate_none,none,False,feet,color,Y,C,Yes,feet,6.0,relevant
113,accommodate,accommodate_causal,feet,True,feet,color,Y,C,Yes,feet,6.0,relevant
133,accommodate,accommodate_causal,color,True,feet,color,Y,C,Yes,feet,7.0,relevant
148,accommodate,accommodate_none,none,False,color,feet,Y,F,Yes,feet,3.0,irrelevant
151,accommodate,accommodate_none,none,False,feet,color,G,F,Yes,feet,3.0,relevant
115,accommodate,accommodate_none,none,False,feet,color,G,F,No,feet,0.0,relevant
112,accommodate,accommodate_causal,color,True,color,feet,Y,C,No,feet,0.0,irrelevant
208,accommodate,accommodate_none,none,False,color,feet,Y,C,No,feet,0.0,irrelevant
50,accommodate,accommodate_causal,color,True,color,feet,G,C,No,feet,0.0,irrelevant
201,accommodate,accommodate_none,none,False,feet,color,Y,C,No,feet,0.0,relevant
18,accommodate,accommodate_causal,color,True,color,feet,G,F,No,feet,0.0,irrelevant
126,accommodate,accommodate_none,none,False,color,feet,G,C,No,feet,0.0,irrelevant
23,accommodate,accommodate_causal,none,True,feet,color,Y,F,Yes,feet,3.0,relevant
206,accommodate,accommodate_causal,color,True,color,feet,G,F,No,feet,0.0,irrelevant
123,accommodate,accommodate_none,none,False,feet,color,Y,F,Yes,feet,5.0,relevant
6,accommodate,accommodate_none,none,False,color,feet,G,F,No,feet,0.0,irrelevant
159,accommodate,accommodate_causal,both,True,feet,color,Y,F,Yes,feet,6.0,relevant
196,accommodate,accommodate_causal,both,True,color,feet,Y,C,Yes,feet,6.0,irrelevant
64,accommodate,accommodate_none,none,False,color,feet,Y,F,Yes,feet,-5.0,irrelevant
170,accommodate,accommodate_none,none,False,color,feet,G,F,No,feet,0.0,irrelevant
42,accommodate,accommodate_none,none,False,color,feet,G,C,No,feet,0.0,irrelevant
79,accommodate,accommodate_causal,both,True,feet,color,Y,F,Yes,feet,-1.0,relevant
160,accommodate,accommodate_none,none,False,color,feet,Y,C,No,feet,0.0,irrelevant
157,accommodate,accommodate_none,none,False,feet,color,Y,C,Yes,feet,6.0,relevant
211,accommodate,accommodate_none,none,False,feet,color,G,F,Yes,feet,5.0,relevant
147,accommodate,accommodate_causal,color,True,feet,color,Y,F,No,feet,0.0,relevant
124,accommodate,accommodate_none,none,False,color,feet,Y,F,Yes,feet,-5.0,irrelevant
165,accommodate,accommodate_none,none,False,feet,color,Y,C,Yes,feet,7.0,relevant
67,accommodate,accommodate_none,none,False,feet,color,G,F,No,feet,0.0,relevant
203,accommodate,accommodate_none,none,False,feet,color,G,F,No,feet,0.0,relevant
91,accommodate,accommodate_none,none,False,feet,color,Y,F,Yes,feet,5.0,relevant
25,accommodate,accommodate_causal,color,True,feet,color,G,C,Yes,feet,5.0,relevant
101,accommodate,accommodate_causal,color,True,feet,color,G,C,No,feet,0.0,relevant
10,accommodate,accommodate_none,none,False,color,feet,G,C,No,feet,0.0,irrelevant
128,accommodate,accommodate_none,none,False,color,feet,Y,F,Yes,feet,-5.0,irrelevant
109,accommodate,accommodate_none,none,False,feet,color,G,C,Yes,feet,3.0,relevant
40,accommodate,accommodate_none,none,False,color,feet,Y,C,Yes,feet,5.0,irrelevant
102,accommodate,accommodate_causal,none,True,color,feet,G,F,Yes,feet,6.0,irrelevant
45,accommodate,accommodate_causal,both,True,feet,color,G,C,Yes,feet,6.0,relevant
182,accommodate,accommodate_none,none,False,color,feet,G,C,No,feet,0.0,irrelevant
175,accommodate,accommodate_none,none,False,feet,color,G,F,Yes,feet,-7.0,relevant
77,accommodate,accommodate_none,none,False,feet,color,Y,C,Yes,feet,7.0,relevant
72,accommodate,accommodate_causal,feet,True,color,feet,Y,C,No,feet,0.0,irrelevant
85,accommodate,accommodate_none,none,False,feet,color,G,C,Yes,feet,6.0,relevant
176,accommodate,accommodate_none,none,False,color,feet,Y,C,Yes,feet,5.0,irrelevant
