participant,task,task_explanation_group,explanation_type,has_causal_explanation,relevant_dim,irrelevant_dim,stripes_high,feet_high,feet_discrete_slider.response,feature_dimension,feature_importance,time,feature_relevance
226,accommodate,accommodate_none,none,False,stripes,feet,W,C,No,feet,0.0,end,irrelevant
210,accommodate,accommodate_none,none,False,stripes,feet,W,C,No,feet,0.0,end,irrelevant
269,accommodate,accommodate_causal,both,True,feet,stripes,W,C,Yes,feet,7.0,end,relevant
215,accommodate,accommodate_none,none,False,feet,stripes,W,F,Yes,feet,4.0,end,relevant
83,accommodate,accommodate_none,none,False,feet,stripes,E,F,No,feet,0.0,end,relevant
171,accommodate,accommodate_none,none,False,feet,stripes,E,F,Yes,feet,6.0,end,relevant
157,accommodate,accommodate_causal,feet,True,feet,stripes,W,C,Yes,feet,6.0,end,relevant
1,accommodate,accommodate_none,none,False,feet,stripes,E,C,Yes,feet,5.0,end,relevant
122,accommodate,accommodate_none,none,False,stripes,feet,W,F,Yes,feet,7.0,end,irrelevant
149,accommodate,accommodate_none,none,False,feet,stripes,W,C,Yes,feet,6.0,end,relevant
262,accommodate,accommodate_none,none,False,stripes,feet,W,C,Yes,feet,-7.0,end,irrelevant
244,accommodate,accommodate_none,none,False,stripes,feet,E,C,No,feet,0.0,end,irrelevant
175,accommodate,accommodate_causal,both,True,feet,stripes,E,F,Yes,feet,6.0,end,relevant
208,accommodate,accommodate_none,none,False,stripes,feet,E,C,Yes,feet,6.0,end,irrelevant
283,accommodate,accommodate_none,none,False,feet,stripes,W,F,Yes,feet,7.0,end,relevant
143,accommodate,accommodate_none,none,False,feet,stripes,E,F,Yes,feet,7.0,end,relevant
119,accommodate,accommodate_causal,feet,True,feet,stripes,E,F,Yes,feet,6.0,end,relevant
19,accommodate,accommodate_none,none,False,feet,stripes,E,F,Yes,feet,6.0,end,relevant
170,accommodate,accommodate_none,none,False,stripes,feet,W,C,Yes,feet,2.0,end,irrelevant
297,accommodate,accommodate_causal,both,True,feet,stripes,W,C,Yes,feet,4.0,end,relevant
285,accommodate,accommodate_none,none,False,feet,stripes,E,C,Yes,feet,7.0,end,relevant
227,accommodate,accommodate_none,none,False,feet,stripes,W,F,Yes,feet,7.0,end,relevant
174,accommodate,accommodate_causal,both,True,stripes,feet,W,F,Yes,feet,7.0,end,irrelevant
89,accommodate,accommodate_causal,both,True,feet,stripes,W,C,Yes,feet,6.0,end,relevant
287,accommodate,accommodate_none,none,False,feet,stripes,E,F,Yes,feet,-5.0,end,relevant
6,accommodate,accommodate_none,none,False,stripes,feet,W,F,No,feet,0.0,end,irrelevant
27,accommodate,accommodate_causal,feet,True,feet,stripes,E,F,Yes,feet,6.0,end,relevant
124,accommodate,accommodate_none,none,False,stripes,feet,E,F,Yes,feet,4.0,end,irrelevant
158,accommodate,accommodate_none,none,False,stripes,feet,W,F,Yes,feet,5.0,end,irrelevant
150,accommodate,accommodate_none,none,False,stripes,feet,W,C,Yes,feet,4.0,end,irrelevant
96,accommodate,accommodate_causal,both,True,stripes,feet,E,C,Yes,feet,5.0,end,irrelevant
