participant,task,relevant_dim,irrelevant_dim,stripes_high,feet_high,feet_discrete_slider.response,cogpro_explain,cogpro_predict,feature_dimension,feature_importance,feature_relevance,abs_feature_importance
1,accommodate,feet,stripes,W,F,No,7.0,7.0,feet,0.0,relevant,0.0
2,accommodate,stripes,feet,E,F,Yes,7.0,5.0,feet,5.0,irrelevant,5.0
3,accommodate,feet,stripes,E,F,Yes,6.0,7.0,feet,-2.0,relevant,2.0
4,accommodate,feet,stripes,W,C,Yes,5.0,4.0,feet,5.0,relevant,5.0
5,accommodate,stripes,feet,E,C,Yes,7.0,6.0,feet,2.0,irrelevant,2.0
6,accommodate,stripes,feet,W,F,No,2.0,3.0,feet,0.0,irrelevant,0.0
7,accommodate,feet,stripes,W,C,Yes,7.0,7.0,feet,4.0,relevant,4.0
8,accommodate,stripes,feet,W,F,No,1.0,1.0,feet,0.0,irrelevant,0.0
9,accommodate,feet,stripes,E,F,No,7.0,1.0,feet,0.0,relevant,0.0
10,accommodate,stripes,feet,W,F,No,4.0,4.0,feet,0.0,irrelevant,0.0
11,accommodate,stripes,feet,E,C,No,5.0,5.0,feet,0.0,irrelevant,0.0
12,accommodate,feet,stripes,E,C,Yes,7.0,7.0,feet,7.0,relevant,7.0
13,accommodate,stripes,feet,W,F,Yes,7.0,7.0,feet,-3.0,irrelevant,3.0
14,accommodate,feet,stripes,E,F,Yes,6.0,6.0,feet,7.0,relevant,7.0
15,accommodate,feet,stripes,W,C,Yes,6.0,5.0,feet,6.0,relevant,6.0
16,accommodate,feet,stripes,E,F,Yes,5.0,7.0,feet,-5.0,relevant,5.0
17,accommodate,feet,stripes,E,C,No,1.0,1.0,feet,0.0,relevant,0.0
18,accommodate,feet,stripes,W,C,Yes,6.0,6.0,feet,4.0,relevant,4.0
19,accommodate,feet,stripes,W,F,No,7.0,5.0,feet,0.0,relevant,0.0
20,accommodate,feet,stripes,W,C,No,7.0,1.0,feet,0.0,relevant,0.0
21,accommodate,stripes,feet,W,C,Yes,6.0,6.0,feet,-5.0,irrelevant,5.0
22,accommodate,stripes,feet,E,C,Yes,7.0,6.0,feet,5.0,irrelevant,5.0
23,accommodate,stripes,feet,W,F,No,5.0,4.0,feet,0.0,irrelevant,0.0
24,accommodate,feet,stripes,W,C,Yes,6.0,4.0,feet,-6.0,relevant,6.0
25,accommodate,feet,stripes,W,F,Yes,7.0,4.0,feet,4.0,relevant,4.0
26,accommodate,feet,stripes,W,F,No,7.0,7.0,feet,0.0,relevant,0.0
27,accommodate,feet,stripes,W,F,Yes,7.0,7.0,feet,6.0,relevant,6.0
28,accommodate,feet,stripes,W,F,No,7.0,7.0,feet,0.0,relevant,0.0
29,accommodate,feet,stripes,W,C,Yes,7.0,7.0,feet,6.0,relevant,6.0
30,accommodate,feet,stripes,E,F,Yes,7.0,7.0,feet,-5.0,relevant,5.0
31,accommodate,stripes,feet,E,C,No,7.0,6.0,feet,0.0,irrelevant,0.0
32,accommodate,feet,stripes,E,F,Yes,7.0,5.0,feet,7.0,relevant,7.0
33,accommodate,stripes,feet,W,F,No,7.0,7.0,feet,0.0,irrelevant,0.0
34,accommodate,feet,stripes,E,C,No,7.0,7.0,feet,0.0,relevant,0.0
35,accommodate,stripes,feet,W,F,Yes,5.0,6.0,feet,6.0,irrelevant,6.0
36,accommodate,feet,stripes,W,F,No,5.0,3.0,feet,0.0,relevant,0.0
37,accommodate,feet,stripes,W,F,Yes,5.0,5.0,feet,7.0,relevant,7.0
38,accommodate,feet,stripes,E,F,No,7.0,7.0,feet,0.0,relevant,0.0
39,accommodate,feet,stripes,W,C,No,6.0,6.0,feet,0.0,relevant,0.0
40,accommodate,feet,stripes,W,C,No,1.0,1.0,feet,0.0,relevant,0.0
41,accommodate,stripes,feet,E,C,No,2.0,3.0,feet,0.0,irrelevant,0.0
42,accommodate,stripes,feet,W,C,No,6.0,6.0,feet,0.0,irrelevant,0.0
43,accommodate,stripes,feet,E,F,Yes,7.0,7.0,feet,6.0,irrelevant,6.0
44,accommodate,feet,stripes,W,F,Yes,4.0,3.0,feet,6.0,relevant,6.0
45,accommodate,feet,stripes,W,F,Yes,2.0,7.0,feet,5.0,relevant,5.0
46,accommodate,stripes,feet,W,F,No,4.0,6.0,feet,0.0,irrelevant,0.0
47,accommodate,stripes,feet,E,F,Yes,4.0,6.0,feet,3.0,irrelevant,3.0
48,accommodate,feet,stripes,W,F,No,7.0,4.0,feet,0.0,relevant,0.0
49,accommodate,stripes,feet,E,F,No,6.0,6.0,feet,0.0,irrelevant,0.0
50,accommodate,stripes,feet,E,C,No,4.0,3.0,feet,0.0,irrelevant,0.0
51,accommodate,feet,stripes,E,F,No,5.0,4.0,feet,0.0,relevant,0.0
52,accommodate,stripes,feet,E,C,Yes,7.0,1.0,feet,3.0,irrelevant,3.0
53,accommodate,stripes,feet,E,C,No,7.0,6.0,feet,0.0,irrelevant,0.0
54,accommodate,feet,stripes,W,F,No,6.0,6.0,feet,0.0,relevant,0.0
55,accommodate,stripes,feet,W,F,No,1.0,1.0,feet,0.0,irrelevant,0.0
56,accommodate,feet,stripes,E,F,Yes,2.0,6.0,feet,7.0,relevant,7.0
57,accommodate,stripes,feet,W,F,No,5.0,6.0,feet,0.0,irrelevant,0.0
58,accommodate,stripes,feet,E,F,Yes,4.0,4.0,feet,4.0,irrelevant,4.0
59,accommodate,feet,stripes,E,F,Yes,4.0,6.0,feet,7.0,relevant,7.0
60,accommodate,stripes,feet,W,F,No,3.0,5.0,feet,0.0,irrelevant,0.0
61,accommodate,stripes,feet,W,C,Yes,6.0,7.0,feet,6.0,irrelevant,6.0
62,accommodate,feet,stripes,E,C,Yes,1.0,5.0,feet,6.0,relevant,6.0
63,accommodate,feet,stripes,W,C,Yes,1.0,2.0,feet,6.0,relevant,6.0
64,accommodate,stripes,feet,E,C,No,5.0,6.0,feet,0.0,irrelevant,0.0
65,accommodate,stripes,feet,E,F,No,3.0,3.0,feet,0.0,irrelevant,0.0
66,accommodate,feet,stripes,E,F,Yes,7.0,7.0,feet,6.0,relevant,6.0
67,accommodate,stripes,feet,W,F,No,3.0,3.0,feet,0.0,irrelevant,0.0
68,accommodate,stripes,feet,W,F,No,7.0,6.0,feet,0.0,irrelevant,0.0
69,accommodate,stripes,feet,E,C,No,2.0,5.0,feet,0.0,irrelevant,0.0
70,accommodate,stripes,feet,W,F,No,3.0,3.0,feet,0.0,irrelevant,0.0
71,accommodate,feet,stripes,E,C,Yes,7.0,7.0,feet,6.0,relevant,6.0
72,accommodate,stripes,feet,W,F,Yes,5.0,5.0,feet,-3.0,irrelevant,3.0
73,accommodate,stripes,feet,E,C,Yes,3.0,5.0,feet,3.0,irrelevant,3.0
74,accommodate,feet,stripes,E,F,Yes,6.0,6.0,feet,6.0,relevant,6.0
75,accommodate,feet,stripes,E,C,Yes,7.0,7.0,feet,6.0,relevant,6.0
76,accommodate,feet,stripes,W,F,No,7.0,7.0,feet,0.0,relevant,0.0
77,accommodate,feet,stripes,E,C,No,7.0,3.0,feet,0.0,relevant,0.0
78,accommodate,feet,stripes,W,F,Yes,7.0,7.0,feet,-6.0,relevant,6.0
79,accommodate,stripes,feet,W,C,No,5.0,5.0,feet,0.0,irrelevant,0.0
80,accommodate,stripes,feet,W,F,No,7.0,7.0,feet,0.0,irrelevant,0.0
81,accommodate,stripes,feet,W,C,No,5.0,5.0,feet,0.0,irrelevant,0.0
82,accommodate,stripes,feet,W,C,No,6.0,6.0,feet,0.0,irrelevant,0.0
83,accommodate,feet,stripes,E,C,Yes,7.0,7.0,feet,5.0,relevant,5.0
84,accommodate,feet,stripes,W,F,No,6.0,5.0,feet,0.0,relevant,0.0
85,accommodate,stripes,feet,W,F,No,1.0,7.0,feet,0.0,irrelevant,0.0
86,accommodate,stripes,feet,W,F,No,7.0,2.0,feet,0.0,irrelevant,0.0
87,accommodate,feet,stripes,E,F,No,2.0,2.0,feet,0.0,relevant,0.0
88,accommodate,stripes,feet,W,F,No,7.0,7.0,feet,0.0,irrelevant,0.0
89,accommodate,stripes,feet,E,F,No,1.0,2.0,feet,0.0,irrelevant,0.0
90,accommodate,feet,stripes,W,C,No,4.0,4.0,feet,0.0,relevant,0.0
91,accommodate,feet,stripes,E,C,Yes,7.0,7.0,feet,6.0,relevant,6.0
92,accommodate,stripes,feet,W,F,Yes,5.0,7.0,feet,4.0,irrelevant,4.0
93,accommodate,feet,stripes,W,F,Yes,5.0,5.0,feet,6.0,relevant,6.0
94,accommodate,stripes,feet,E,F,No,7.0,7.0,feet,0.0,irrelevant,0.0
95,accommodate,stripes,feet,W,C,No,1.0,1.0,feet,0.0,irrelevant,0.0
96,accommodate,stripes,feet,E,F,Yes,5.0,5.0,feet,-6.0,irrelevant,6.0
97,accommodate,stripes,feet,E,F,Yes,7.0,7.0,feet,-5.0,irrelevant,5.0
98,accommodate,feet,stripes,W,F,No,6.0,3.0,feet,0.0,relevant,0.0
99,accommodate,stripes,feet,W,C,Yes,1.0,6.0,feet,6.0,irrelevant,6.0
100,accommodate,stripes,feet,W,C,No,7.0,7.0,feet,0.0,irrelevant,0.0
