participant,task,relevant_dim,irrelevant_dim,stripes_high,feet_high,feet_discrete_slider.response,cogpro_explain,cogpro_predict,feature_dimension,feature_importance,feature_relevance,abs_feature_importance
1,accommodate,stripes,feet,E,C,Yes,5.0,6.0,feet,5.0,irrelevant,5.0
2,accommodate,feet,stripes,W,F,Yes,5.0,5.0,feet,6.0,relevant,6.0
3,accommodate,stripes,feet,W,F,Yes,1.0,7.0,feet,2.0,irrelevant,2.0
4,accommodate,stripes,feet,W,F,No,5.0,5.0,feet,0.0,irrelevant,0.0
5,accommodate,feet,stripes,W,F,Yes,6.0,5.0,feet,-6.0,relevant,6.0
6,accommodate,feet,stripes,E,C,Yes,7.0,6.0,feet,5.0,relevant,5.0
7,accommodate,feet,stripes,E,C,No,4.0,5.0,feet,0.0,relevant,0.0
8,accommodate,feet,stripes,W,F,Yes,5.0,5.0,feet,7.0,relevant,7.0
9,accommodate,stripes,feet,W,C,Yes,5.0,6.0,feet,-5.0,irrelevant,5.0
10,accommodate,feet,stripes,E,F,Yes,5.0,4.0,feet,6.0,relevant,6.0
11,accommodate,stripes,feet,W,C,Yes,6.0,5.0,feet,5.0,irrelevant,5.0
12,accommodate,stripes,feet,W,C,Yes,3.0,6.0,feet,4.0,irrelevant,4.0
13,accommodate,feet,stripes,E,C,Yes,7.0,7.0,feet,-6.0,relevant,6.0
14,accommodate,feet,stripes,W,C,Yes,5.0,4.0,feet,-4.0,relevant,4.0
15,accommodate,feet,stripes,W,C,Yes,5.0,4.0,feet,-3.0,relevant,3.0
16,accommodate,feet,stripes,E,F,Yes,5.0,5.0,feet,6.0,relevant,6.0
17,accommodate,stripes,feet,W,F,No,7.0,7.0,feet,0.0,irrelevant,0.0
18,accommodate,stripes,feet,E,F,Yes,6.0,5.0,feet,-5.0,irrelevant,5.0
19,accommodate,feet,stripes,W,C,Yes,5.0,6.0,feet,6.0,relevant,6.0
20,accommodate,stripes,feet,E,C,Yes,6.0,6.0,feet,-6.0,irrelevant,6.0
21,accommodate,feet,stripes,W,F,Yes,6.0,6.0,feet,7.0,relevant,7.0
22,accommodate,feet,stripes,E,F,No,1.0,4.0,feet,0.0,relevant,0.0
23,accommodate,stripes,feet,W,C,Yes,5.0,5.0,feet,-5.0,irrelevant,5.0
24,accommodate,stripes,feet,W,C,Yes,2.0,2.0,feet,4.0,irrelevant,4.0
25,accommodate,stripes,feet,E,C,Yes,7.0,5.0,feet,4.0,irrelevant,4.0
26,accommodate,stripes,feet,E,F,Yes,6.0,7.0,feet,6.0,irrelevant,6.0
27,accommodate,feet,stripes,E,F,Yes,7.0,7.0,feet,-5.0,relevant,5.0
28,accommodate,feet,stripes,E,C,Yes,6.0,6.0,feet,-5.0,relevant,5.0
29,accommodate,stripes,feet,W,F,Yes,7.0,7.0,feet,5.0,irrelevant,5.0
30,accommodate,stripes,feet,E,C,Yes,1.0,1.0,feet,-6.0,irrelevant,6.0
31,accommodate,feet,stripes,E,F,Yes,6.0,6.0,feet,-5.0,relevant,5.0
32,accommodate,feet,stripes,W,C,Yes,2.0,4.0,feet,3.0,relevant,3.0
33,accommodate,feet,stripes,W,C,Yes,5.0,5.0,feet,6.0,relevant,6.0
34,accommodate,feet,stripes,E,F,Yes,6.0,5.0,feet,4.0,relevant,4.0
35,accommodate,stripes,feet,E,F,Yes,6.0,6.0,feet,-5.0,irrelevant,5.0
36,accommodate,stripes,feet,E,F,Yes,2.0,4.0,feet,1.0,irrelevant,1.0
37,accommodate,stripes,feet,E,F,No,3.0,7.0,feet,0.0,irrelevant,0.0
38,accommodate,stripes,feet,W,C,Yes,5.0,7.0,feet,5.0,irrelevant,5.0
39,accommodate,stripes,feet,E,F,No,5.0,4.0,feet,0.0,irrelevant,0.0
40,accommodate,feet,stripes,W,F,Yes,6.0,6.0,feet,6.0,relevant,6.0
41,accommodate,stripes,feet,E,F,No,5.0,5.0,feet,0.0,irrelevant,0.0
42,accommodate,feet,stripes,E,C,Yes,5.0,6.0,feet,3.0,relevant,3.0
43,accommodate,feet,stripes,W,C,Yes,6.0,6.0,feet,6.0,relevant,6.0
44,predict,feet,stripes,W,C,Yes,4.0,3.0,feet,5.0,relevant,5.0
45,predict,feet,stripes,W,F,No,1.0,3.0,feet,0.0,relevant,0.0
46,predict,feet,stripes,W,C,Yes,4.0,6.0,feet,5.0,relevant,5.0
47,predict,stripes,feet,E,F,Yes,1.0,7.0,feet,2.0,irrelevant,2.0
48,predict,stripes,feet,E,F,Yes,5.0,5.0,feet,-5.0,irrelevant,5.0
49,predict,feet,stripes,E,C,Yes,1.0,6.0,feet,-3.0,relevant,3.0
50,predict,feet,stripes,E,F,Yes,2.0,6.0,feet,-4.0,relevant,4.0
