task,conditionOrder,item,testing_responses,relevant_dim,irrelevant_dim,stripes_high,feet_high,fertility_score,error,abs_error,stripes,feet
accommodate,226,W_F,6.0,stripes,feet,W,C,8.75,-2.75,2.75,W,F
accommodate,226,W_C,6.0,stripes,feet,W,C,7.25,-1.25,1.25,W,C
accommodate,226,E_F,6.0,stripes,feet,W,C,1.25,4.75,4.75,E,F
accommodate,226,E_C,6.0,stripes,feet,W,C,3.75,2.25,2.25,E,C
accommodate,210,W_C,9.0,stripes,feet,W,C,7.5,1.5,1.5,W,C
accommodate,210,E_F,5.0,stripes,feet,W,C,3.5,1.5,1.5,E,F
accommodate,210,W_F,8.0,stripes,feet,W,C,6.75,1.25,1.25,W,F
accommodate,210,E_C,2.0,stripes,feet,W,C,3.75,-1.75,1.75,E,C
accommodate,269,E_C,7.0,feet,stripes,W,C,6.75,0.25,0.25,E,C
accommodate,269,W_C,9.0,feet,stripes,W,C,8.5,0.5,0.5,W,C
accommodate,269,W_F,3.0,feet,stripes,W,C,3.25,-0.25,0.25,W,F
accommodate,269,E_F,2.0,feet,stripes,W,C,3.25,-1.25,1.25,E,F
accommodate,215,E_F,8.0,feet,stripes,W,F,5.75,2.25,2.25,E,F
accommodate,215,W_F,8.0,feet,stripes,W,F,8.0,0.0,0.0,W,F
accommodate,215,W_C,3.0,feet,stripes,W,F,3.5,-0.5,0.5,W,C
accommodate,215,E_C,3.0,feet,stripes,W,F,4.0,-1.0,1.0,E,C
accommodate,83,E_C,6.0,feet,stripes,E,F,5.5,0.5,0.5,E,C
accommodate,83,E_F,7.0,feet,stripes,E,F,7.75,-0.75,0.75,E,F
accommodate,83,W_C,8.0,feet,stripes,E,F,4.25,3.75,3.75,W,C
accommodate,83,W_F,10.0,feet,stripes,E,F,6.5,3.5,3.5,W,F
accommodate,171,W_C,2.0,feet,stripes,E,F,3.0,-1.0,1.0,W,C
accommodate,171,E_C,5.0,feet,stripes,E,F,4.25,0.75,0.75,E,C
accommodate,171,W_F,8.0,feet,stripes,E,F,6.5,1.5,1.5,W,F
accommodate,171,E_F,9.0,feet,stripes,E,F,7.75,1.25,1.25,E,F
accommodate,157,W_C,9.0,feet,stripes,W,C,8.25,0.75,0.75,W,C
accommodate,157,E_F,3.0,feet,stripes,W,C,4.5,-1.5,1.5,E,F
accommodate,157,E_C,7.0,feet,stripes,W,C,5.75,1.25,1.25,E,C
accommodate,157,W_F,3.0,feet,stripes,W,C,3.75,-0.75,0.75,W,F
accommodate,1,W_C,7.0,feet,stripes,E,C,6.0,1.0,1.0,W,C
accommodate,1,E_C,6.0,feet,stripes,E,C,7.5,-1.5,1.5,E,C
accommodate,1,E_F,4.0,feet,stripes,E,C,4.5,-0.5,0.5,E,F
accommodate,1,W_F,4.0,feet,stripes,E,C,2.5,1.5,1.5,W,F
accommodate,122,W_C,5.0,stripes,feet,W,F,4.75,0.25,0.25,W,C
accommodate,122,W_F,10.0,stripes,feet,W,F,8.5,1.5,1.5,W,F
accommodate,122,E_C,3.0,stripes,feet,W,F,4.75,-1.75,1.75,E,C
accommodate,122,E_F,6.0,stripes,feet,W,F,4.5,1.5,1.5,E,F
accommodate,149,E_C,8.0,feet,stripes,W,C,8.0,0.0,0.0,E,C
accommodate,149,E_F,4.0,feet,stripes,W,C,2.5,1.5,1.5,E,F
accommodate,149,W_F,2.0,feet,stripes,W,C,4.5,-2.5,2.5,W,F
accommodate,149,W_C,7.0,feet,stripes,W,C,7.0,0.0,0.0,W,C
accommodate,262,W_C,3.0,stripes,feet,W,C,8.5,-5.5,5.5,W,C
accommodate,262,E_C,3.0,stripes,feet,W,C,3.0,0.0,0.0,E,C
accommodate,262,E_F,10.0,stripes,feet,W,C,2.5,7.5,7.5,E,F
accommodate,262,W_F,7.0,stripes,feet,W,C,6.0,1.0,1.0,W,F
accommodate,244,W_C,2.0,stripes,feet,E,C,4.0,-2.0,2.0,W,C
accommodate,244,E_F,9.0,stripes,feet,E,C,7.0,2.0,2.0,E,F
accommodate,244,E_C,10.0,stripes,feet,E,C,7.5,2.5,2.5,E,C
accommodate,244,W_F,4.0,stripes,feet,E,C,3.25,0.75,0.75,W,F
accommodate,175,W_F,7.0,feet,stripes,E,F,7.25,-0.25,0.25,W,F
accommodate,175,W_C,2.0,feet,stripes,E,F,3.5,-1.5,1.5,W,C
accommodate,175,E_F,9.0,feet,stripes,E,F,7.25,1.75,1.75,E,F
accommodate,175,E_C,6.0,feet,stripes,E,F,5.5,0.5,0.5,E,C
accommodate,208,W_C,5.0,stripes,feet,E,C,3.5,1.5,1.5,W,C
accommodate,208,W_F,2.0,stripes,feet,E,C,2.75,-0.75,0.75,W,F
accommodate,208,E_C,10.0,stripes,feet,E,C,8.25,1.75,1.75,E,C
accommodate,208,E_F,7.0,stripes,feet,E,C,7.5,-0.5,0.5,E,F
accommodate,283,W_C,4.0,feet,stripes,W,F,4.75,-0.75,0.75,W,C
accommodate,283,W_F,8.0,feet,stripes,W,F,7.0,1.0,1.0,W,F
accommodate,283,E_F,7.0,feet,stripes,W,F,6.5,0.5,0.5,E,F
accommodate,283,E_C,2.0,feet,stripes,W,F,1.25,0.75,0.75,E,C
accommodate,143,E_C,5.0,feet,stripes,E,F,3.25,1.75,1.75,E,C
accommodate,143,W_C,1.0,feet,stripes,E,F,3.75,-2.75,2.75,W,C
accommodate,143,E_F,10.0,feet,stripes,E,F,8.25,1.75,1.75,E,F
accommodate,143,W_F,5.0,feet,stripes,E,F,5.75,-0.75,0.75,W,F
accommodate,119,W_F,6.0,feet,stripes,E,F,7.0,-1.0,1.0,W,F
accommodate,119,E_F,9.0,feet,stripes,E,F,7.25,1.75,1.75,E,F
accommodate,119,W_C,2.0,feet,stripes,E,F,2.25,-0.25,0.25,W,C
accommodate,119,E_C,4.0,feet,stripes,E,F,4.5,-0.5,0.5,E,C
accommodate,19,W_C,2.0,feet,stripes,E,F,1.25,0.75,0.75,W,C
accommodate,19,E_C,6.0,feet,stripes,E,F,3.75,2.25,2.25,E,C
accommodate,19,W_F,7.0,feet,stripes,E,F,7.25,-0.25,0.25,W,F
accommodate,19,E_F,9.0,feet,stripes,E,F,8.0,1.0,1.0,E,F
accommodate,170,E_C,3.0,stripes,feet,W,C,3.25,-0.25,0.25,E,C
accommodate,170,W_C,9.0,stripes,feet,W,C,9.0,0.0,0.0,W,C
accommodate,170,W_F,7.0,stripes,feet,W,C,7.5,-0.5,0.5,W,F
accommodate,170,E_F,1.0,stripes,feet,W,C,3.75,-2.75,2.75,E,F
accommodate,297,E_C,9.0,feet,stripes,W,C,6.75,2.25,2.25,E,C
accommodate,297,W_F,6.0,feet,stripes,W,C,4.5,1.5,1.5,W,F
accommodate,297,W_C,8.0,feet,stripes,W,C,6.75,1.25,1.25,W,C
accommodate,297,E_F,5.0,feet,stripes,W,C,1.0,4.0,4.0,E,F
accommodate,285,W_C,8.0,feet,stripes,E,C,7.0,1.0,1.0,W,C
accommodate,285,W_F,3.0,feet,stripes,E,C,3.5,-0.5,0.5,W,F
accommodate,285,E_F,3.0,feet,stripes,E,C,3.5,-0.5,0.5,E,F
accommodate,285,E_C,8.0,feet,stripes,E,C,9.25,-1.25,1.25,E,C
accommodate,227,E_C,4.0,feet,stripes,W,F,2.5,1.5,1.5,E,C
accommodate,227,W_C,4.0,feet,stripes,W,F,4.0,0.0,0.0,W,C
accommodate,227,W_F,8.0,feet,stripes,W,F,8.75,-0.75,0.75,W,F
accommodate,227,E_F,9.0,feet,stripes,W,F,7.5,1.5,1.5,E,F
accommodate,174,E_C,4.0,stripes,feet,W,F,3.0,1.0,1.0,E,C
accommodate,174,E_F,8.0,stripes,feet,W,F,4.25,3.75,3.75,E,F
accommodate,174,W_C,3.0,stripes,feet,W,F,5.5,-2.5,2.5,W,C
accommodate,174,W_F,5.0,stripes,feet,W,F,7.0,-2.0,2.0,W,F
accommodate,89,E_F,3.0,feet,stripes,W,C,4.0,-1.0,1.0,E,F
accommodate,89,W_C,8.0,feet,stripes,W,C,7.5,0.5,0.5,W,C
accommodate,89,W_F,3.0,feet,stripes,W,C,3.75,-0.75,0.75,W,F
accommodate,89,E_C,7.0,feet,stripes,W,C,6.25,0.75,0.75,E,C
accommodate,287,E_F,4.0,feet,stripes,E,F,7.0,-3.0,3.0,E,F
accommodate,287,W_C,8.0,feet,stripes,E,F,3.0,5.0,5.0,W,C
accommodate,287,E_C,3.0,feet,stripes,E,F,3.5,-0.5,0.5,E,C
accommodate,287,W_F,6.0,feet,stripes,E,F,6.5,-0.5,0.5,W,F
accommodate,6,W_C,7.0,stripes,feet,W,F,7.0,0.0,0.0,W,C
accommodate,6,E_C,3.0,stripes,feet,W,F,1.25,1.75,1.75,E,C
accommodate,6,W_F,7.0,stripes,feet,W,F,8.25,-1.25,1.25,W,F
accommodate,6,E_F,3.0,stripes,feet,W,F,4.0,-1.0,1.0,E,F
accommodate,27,E_C,3.0,feet,stripes,E,F,5.25,-2.25,2.25,E,C
accommodate,27,W_F,8.0,feet,stripes,E,F,8.25,-0.25,0.25,W,F
accommodate,27,E_F,8.0,feet,stripes,E,F,9.75,-1.75,1.75,E,F
accommodate,27,W_C,3.0,feet,stripes,E,F,5.5,-2.5,2.5,W,C
accommodate,124,W_C,2.0,stripes,feet,E,F,2.25,-0.25,0.25,W,C
