task,conditionOrder,item,testing_responses,relevant_dim,irrelevant_dim,stripes_high,feet_high,fertility_score,error,abs_error,color,feet,stripes
accommodate,20,E_F,5.0,stripes,feet,E,C,5.5,-0.5,0.5,E,F,E
accommodate,20,W_F,2.0,stripes,feet,E,C,4.5,-2.5,2.5,W,F,W
accommodate,20,E_C,9.0,stripes,feet,E,C,8.0,1.0,1.0,E,C,E
accommodate,20,W_C,6.0,stripes,feet,E,C,3.0,3.0,3.0,W,C,W
accommodate,19,W_C,4.0,feet,stripes,W,F,3.5,0.5,0.5,W,C,W
accommodate,19,E_C,3.0,feet,stripes,W,F,2.5,0.5,0.5,E,C,E
accommodate,19,W_F,7.0,feet,stripes,W,F,7.5,-0.5,0.5,W,F,W
accommodate,19,E_F,8.0,feet,stripes,W,F,7.5,0.5,0.5,E,F,E
accommodate,2,E_F,4.0,stripes,feet,W,F,4.0,0.0,0.0,E,F,E
accommodate,2,W_C,6.0,stripes,feet,W,F,6.5,-0.5,0.5,W,C,W
accommodate,2,E_C,3.0,stripes,feet,W,F,4.0,-1.0,1.0,E,C,E
accommodate,2,W_F,9.0,stripes,feet,W,F,9.0,0.0,0.0,W,F,W
accommodate,34,W_F,7.0,stripes,feet,W,F,8.5,-1.5,1.5,W,F,W
accommodate,34,W_C,6.0,stripes,feet,W,F,5.0,1.0,1.0,W,C,W
accommodate,34,E_F,10.0,stripes,feet,W,F,4.5,5.5,5.5,E,F,E
accommodate,34,E_C,3.0,stripes,feet,W,F,5.0,-2.0,2.0,E,C,E
accommodate,11,W_C,9.0,feet,stripes,W,F,5.0,4.0,4.0,W,C,W
accommodate,11,E_C,9.0,feet,stripes,W,F,3.0,6.0,6.0,E,C,E
accommodate,11,E_F,2.0,feet,stripes,W,F,7.5,-5.5,5.5,E,F,E
accommodate,11,W_F,2.0,feet,stripes,W,F,7.5,-5.5,5.5,W,F,W
accommodate,17,W_F,3.0,feet,stripes,E,C,3.5,-0.5,0.5,W,F,W
accommodate,17,E_C,9.0,feet,stripes,E,C,9.5,-0.5,0.5,E,C,E
accommodate,17,W_C,6.0,feet,stripes,E,C,6.0,0.0,0.0,W,C,W
accommodate,17,E_F,5.0,feet,stripes,E,C,5.0,0.0,0.0,E,F,E
accommodate,29,W_F,7.0,feet,stripes,E,C,5.0,2.0,2.0,W,F,W
accommodate,29,W_C,4.0,feet,stripes,E,C,5.0,-1.0,1.0,W,C,W
accommodate,29,E_C,2.0,feet,stripes,E,C,8.0,-6.0,6.0,E,C,E
accommodate,29,E_F,10.0,feet,stripes,E,C,4.0,6.0,6.0,E,F,E
accommodate,39,W_C,2.0,feet,stripes,W,F,6.0,-4.0,4.0,W,C,W
accommodate,39,W_F,4.0,feet,stripes,W,F,9.5,-5.5,5.5,W,F,W
accommodate,39,E_C,10.0,feet,stripes,W,F,2.0,8.0,8.0,E,C,E
accommodate,39,E_F,9.0,feet,stripes,W,F,8.5,0.5,0.5,E,F,E
accommodate,22,W_C,7.0,stripes,feet,W,C,8.0,-1.0,1.0,W,C,W
accommodate,22,W_F,5.0,stripes,feet,W,C,8.0,-3.0,3.0,W,F,W
accommodate,22,E_C,7.0,stripes,feet,W,C,5.0,2.0,2.0,E,C,E
accommodate,22,E_F,8.0,stripes,feet,W,C,3.5,4.5,4.5,E,F,E
accommodate,31,E_F,8.0,feet,stripes,E,F,7.5,0.5,0.5,E,F,E
accommodate,31,W_C,5.0,feet,stripes,E,F,2.5,2.5,2.5,W,C,W
accommodate,31,E_C,4.0,feet,stripes,E,F,4.5,-0.5,0.5,E,C,E
accommodate,31,W_F,6.0,feet,stripes,E,F,7.0,-1.0,1.0,W,F,W
accommodate,10,E_C,4.0,stripes,feet,W,C,2.5,1.5,1.5,E,C,E
accommodate,10,E_F,2.0,stripes,feet,W,C,2.5,-0.5,0.5,E,F,E
accommodate,10,W_C,8.0,stripes,feet,W,C,7.0,1.0,1.0,W,C,W
accommodate,10,W_F,6.0,stripes,feet,W,C,5.0,1.0,1.0,W,F,W
accommodate,14,E_F,3.0,stripes,feet,W,C,2.5,0.5,0.5,E,F,E
accommodate,14,E_C,8.0,stripes,feet,W,C,4.0,4.0,4.0,E,C,E
accommodate,14,W_C,8.0,stripes,feet,W,C,7.5,0.5,0.5,W,C,W
accommodate,14,W_F,8.0,stripes,feet,W,C,8.0,0.0,0.0,W,F,W
accommodate,37,W_C,6.0,feet,stripes,E,C,5.0,1.0,1.0,W,C,W
accommodate,37,E_F,5.0,feet,stripes,E,C,4.0,1.0,1.0,E,F,E
accommodate,37,W_F,8.0,feet,stripes,E,C,4.0,4.0,4.0,W,F,W
accommodate,37,E_C,5.0,feet,stripes,E,C,7.5,-2.5,2.5,E,C,E
accommodate,13,W_F,8.0,feet,stripes,W,C,3.0,5.0,5.0,W,F,W
accommodate,13,W_C,8.0,feet,stripes,W,C,7.5,0.5,0.5,W,C,W
accommodate,13,E_F,10.0,feet,stripes,W,C,2.0,8.0,8.0,E,F,E
accommodate,13,E_C,8.0,feet,stripes,W,C,7.5,0.5,0.5,E,C,E
accommodate,25,E_C,2.0,feet,stripes,W,C,6.5,-4.5,4.5,E,C,E
accommodate,25,W_C,6.0,feet,stripes,W,C,7.0,-1.0,1.0,W,C,W
accommodate,25,W_F,7.0,feet,stripes,W,C,4.0,3.0,3.0,W,F,W
accommodate,25,E_F,3.0,feet,stripes,W,C,2.5,0.5,0.5,E,F,E
accommodate,3,E_F,8.0,feet,stripes,E,F,7.5,0.5,0.5,E,F,E
accommodate,3,E_C,6.0,feet,stripes,E,F,5.0,1.0,1.0,E,C,E
accommodate,3,W_F,6.0,feet,stripes,E,F,6.0,0.0,0.0,W,F,W
accommodate,3,W_C,7.0,feet,stripes,E,F,3.0,4.0,4.0,W,C,W
accommodate,30,W_F,3.0,stripes,feet,W,F,8.5,-5.5,5.5,W,F,W
accommodate,30,E_F,6.0,stripes,feet,W,F,4.0,2.0,2.0,E,F,E
accommodate,30,W_C,4.0,stripes,feet,W,F,7.0,-3.0,3.0,W,C,W
accommodate,30,E_C,7.0,stripes,feet,W,F,2.5,4.5,4.5,E,C,E
accommodate,32,E_F,5.0,stripes,feet,E,F,9.0,-4.0,4.0,E,F,E
accommodate,32,E_C,6.0,stripes,feet,E,F,6.0,0.0,0.0,E,C,E
accommodate,32,W_F,9.0,stripes,feet,E,F,3.5,5.5,5.5,W,F,W
accommodate,32,W_C,6.0,stripes,feet,E,F,3.5,2.5,2.5,W,C,W
accommodate,25,E_C,7.0,feet,stripes,W,C,6.5,0.5,0.5,E,C,E
accommodate,25,W_C,8.0,feet,stripes,W,C,7.0,1.0,1.0,W,C,W
accommodate,25,W_F,2.0,feet,stripes,W,C,4.0,-2.0,2.0,W,F,W
accommodate,25,E_F,4.0,feet,stripes,W,C,2.5,1.5,1.5,E,F,E
accommodate,12,W_C,4.0,stripes,feet,E,C,2.5,1.5,1.5,W,C,W
accommodate,12,W_F,8.0,stripes,feet,E,C,1.0,7.0,7.0,W,F,W
accommodate,12,E_C,2.0,stripes,feet,E,C,8.5,-6.5,6.5,E,C,E
accommodate,12,E_F,7.0,stripes,feet,E,C,9.0,-2.0,2.0,E,F,E
accommodate,35,E_C,3.0,feet,stripes,W,F,2.0,1.0,1.0,E,C,E
accommodate,35,W_F,10.0,feet,stripes,W,F,9.5,0.5,0.5,W,F,W
accommodate,35,E_F,7.0,feet,stripes,W,F,7.0,0.0,0.0,E,F,E
accommodate,35,W_C,5.0,feet,stripes,W,F,3.0,2.0,2.0,W,C,W
accommodate,15,W_F,5.0,feet,stripes,E,F,8.5,-3.5,3.5,W,F,W
accommodate,15,E_C,8.0,feet,stripes,E,F,4.0,4.0,4.0,E,C,E
accommodate,15,E_F,8.0,feet,stripes,E,F,9.0,-1.0,1.0,E,F,E
accommodate,15,W_C,8.0,feet,stripes,E,F,3.5,4.5,4.5,W,C,W
accommodate,6,W_C,7.0,stripes,feet,W,C,7.0,0.0,0.0,W,C,W
accommodate,6,E_C,3.0,stripes,feet,W,C,5.0,-2.0,2.0,E,C,E
accommodate,6,E_F,5.0,stripes,feet,W,C,2.0,3.0,3.0,E,F,E
accommodate,6,W_F,9.0,stripes,feet,W,C,8.0,1.0,1.0,W,F,W
accommodate,38,E_F,4.0,stripes,feet,W,C,3.5,0.5,0.5,E,F,E
accommodate,38,W_C,6.0,stripes,feet,W,C,8.5,-2.5,2.5,W,C,W
accommodate,38,W_F,8.0,stripes,feet,W,C,8.0,0.0,0.0,W,F,W
accommodate,38,E_C,5.0,stripes,feet,W,C,4.0,1.0,1.0,E,C,E
accommodate,40,E_F,8.0,stripes,feet,E,C,6.5,1.5,1.5,E,F,E
accommodate,40,W_F,2.0,stripes,feet,E,C,1.5,0.5,0.5,W,F,W
accommodate,40,E_C,5.0,stripes,feet,E,C,6.5,-1.5,1.5,E,C,E
accommodate,40,W_C,6.0,stripes,feet,E,C,3.0,3.0,3.0,W,C,W
accommodate,16,W_F,9.0,stripes,feet,E,F,7.5,1.5,1.5,W,F,W
accommodate,16,W_C,5.0,stripes,feet,E,F,4.0,1.0,1.0,W,C,W
accommodate,16,E_F,9.0,stripes,feet,E,F,9.5,-0.5,0.5,E,F,E
accommodate,16,E_C,9.0,stripes,feet,E,F,9.5,-0.5,0.5,E,C,E
accommodate,27,W_C,3.0,feet,stripes,E,F,3.5,-0.5,0.5,W,C,W
accommodate,27,E_C,8.0,feet,stripes,E,F,4.5,3.5,3.5,E,C,E
accommodate,27,W_F,7.0,feet,stripes,E,F,8.0,-1.0,1.0,W,F,W
accommodate,27,E_F,3.0,feet,stripes,E,F,8.5,-5.5,5.5,E,F,E
accommodate,1,W_C,6.0,feet,stripes,E,C,6.5,-0.5,0.5,W,C,W
accommodate,1,W_F,9.0,feet,stripes,E,C,2.0,7.0,7.0,W,F,W
accommodate,1,E_C,5.0,feet,stripes,E,C,6.5,-1.5,1.5,E,C,E
accommodate,1,E_F,10.0,feet,stripes,E,C,7.5,2.5,2.5,E,F,E
accommodate,18,W_F,9.0,stripes,feet,W,F,7.5,1.5,1.5,W,F,W
accommodate,18,W_C,6.0,stripes,feet,W,F,5.5,0.5,0.5,W,C,W
accommodate,18,E_C,5.0,stripes,feet,W,F,2.5,2.5,2.5,E,C,E
accommodate,18,E_F,4.0,stripes,feet,W,F,3.5,0.5,0.5,E,F,E
accommodate,28,W_C,6.0,stripes,feet,E,C,4.5,1.5,1.5,W,C,W
accommodate,28,W_F,10.0,stripes,feet,E,C,4.5,5.5,5.5,W,F,W
accommodate,28,E_C,3.0,stripes,feet,E,C,8.5,-5.5,5.5,E,C,E
accommodate,28,E_F,8.0,stripes,feet,E,C,7.5,0.5,0.5,E,F,E
accommodate,23,W_C,9.0,feet,stripes,E,F,3.5,5.5,5.5,W,C,W
accommodate,23,E_F,7.0,feet,stripes,E,F,7.0,0.0,0.0,E,F,E
accommodate,23,E_C,8.0,feet,stripes,E,F,5.5,2.5,2.5,E,C,E
accommodate,23,W_F,5.0,feet,stripes,E,F,8.0,-3.0,3.0,W,F,W
accommodate,5,W_C,6.0,feet,stripes,W,C,8.0,-2.0,2.0,W,C,W
accommodate,5,W_F,1.0,feet,stripes,W,C,3.0,-2.0,2.0,W,F,W
accommodate,5,E_F,6.0,feet,stripes,W,C,2.0,4.0,4.0,E,F,E
accommodate,5,E_C,10.0,feet,stripes,W,C,8.0,2.0,2.0,E,C,E
accommodate,21,W_C,6.0,feet,stripes,W,C,7.0,-1.0,1.0,W,C,W
accommodate,21,E_C,10.0,feet,stripes,W,C,7.5,2.5,2.5,E,C,E
accommodate,21,E_F,6.0,feet,stripes,W,C,3.0,3.0,3.0,E,F,E
accommodate,21,W_F,6.0,feet,stripes,W,C,6.0,0.0,0.0,W,F,W
accommodate,31,E_F,8.0,feet,stripes,E,F,7.5,0.5,0.5,E,F,E
accommodate,31,W_C,9.0,feet,stripes,E,F,2.5,6.5,6.5,W,C,W
accommodate,31,E_C,4.0,feet,stripes,E,F,4.5,-0.5,0.5,E,C,E
accommodate,31,W_F,4.0,feet,stripes,E,F,7.0,-3.0,3.0,W,F,W
accommodate,4,W_F,3.0,stripes,feet,E,F,4.0,-1.0,1.0,W,F,W
accommodate,4,W_C,5.0,stripes,feet,E,F,3.0,2.0,2.0,W,C,W
accommodate,4,E_F,5.0,stripes,feet,E,F,6.5,-1.5,1.5,E,F,E
accommodate,4,E_C,9.0,stripes,feet,E,F,6.0,3.0,3.0,E,C,E
accommodate,24,E_F,10.0,stripes,feet,E,F,7.0,3.0,3.0,E,F,E
accommodate,24,W_C,4.0,stripes,feet,E,F,2.0,2.0,2.0,W,C,W
accommodate,24,W_F,5.0,stripes,feet,E,F,5.0,0.0,0.0,W,F,W
accommodate,24,E_C,7.0,stripes,feet,E,F,7.5,-0.5,0.5,E,C,E
accommodate,8,E_C,1.0,stripes,feet,E,F,9.0,-8.0,8.0,E,C,E
accommodate,8,E_F,10.0,stripes,feet,E,F,8.5,1.5,1.5,E,F,E
accommodate,8,W_F,2.0,stripes,feet,E,F,3.0,-1.0,1.0,W,F,W
accommodate,8,W_C,8.0,stripes,feet,E,F,1.0,7.0,7.0,W,C,W
accommodate,26,E_F,2.0,stripes,feet,W,C,2.5,-0.5,0.5,E,F,E
accommodate,26,W_F,4.0,stripes,feet,W,C,7.5,-3.5,3.5,W,F,W
accommodate,26,W_C,9.0,stripes,feet,W,C,6.5,2.5,2.5,W,C,W
accommodate,26,E_C,5.0,stripes,feet,W,C,4.5,0.5,0.5,E,C,E
accommodate,4,W_F,4.0,stripes,feet,E,F,4.0,0.0,0.0,W,F,W
accommodate,4,W_C,3.0,stripes,feet,E,F,3.0,0.0,0.0,W,C,W
accommodate,4,E_F,7.0,stripes,feet,E,F,6.5,0.5,0.5,E,F,E
accommodate,4,E_C,7.0,stripes,feet,E,F,6.0,1.0,1.0,E,C,E
accommodate,7,E_C,5.0,feet,stripes,W,F,3.5,1.5,1.5,E,C,E
accommodate,7,W_F,9.0,feet,stripes,W,F,9.0,0.0,0.0,W,F,W
accommodate,7,W_C,7.0,feet,stripes,W,F,4.5,2.5,2.5,W,C,W
accommodate,7,E_F,6.0,feet,stripes,W,F,7.5,-1.5,1.5,E,F,E
accommodate,36,W_F,6.0,stripes,feet,E,F,2.5,3.5,3.5,W,F,W
accommodate,36,E_F,6.0,stripes,feet,E,F,8.5,-2.5,2.5,E,F,E
accommodate,36,W_C,6.0,stripes,feet,E,F,2.5,3.5,3.5,W,C,W
accommodate,36,E_C,6.0,stripes,feet,E,F,7.0,-1.0,1.0,E,C,E
accommodate,33,W_F,3.0,feet,stripes,E,C,3.0,0.0,0.0,W,F,W
accommodate,33,E_F,6.0,feet,stripes,E,C,6.0,0.0,0.0,E,F,E
accommodate,33,W_C,5.0,feet,stripes,E,C,5.5,-0.5,0.5,W,C,W
accommodate,33,E_C,9.0,feet,stripes,E,C,8.5,0.5,0.5,E,C,E
accommodate,9,W_F,4.0,feet,stripes,W,C,4.0,0.0,0.0,W,F,W
accommodate,9,W_C,8.0,feet,stripes,W,C,7.5,0.5,0.5,W,C,W
accommodate,9,E_C,6.0,feet,stripes,W,C,6.5,-0.5,0.5,E,C,E
accommodate,9,E_F,5.0,feet,stripes,W,C,4.0,1.0,1.0,E,F,E
predict,25,E_C,8.0,feet,stripes,W,C,6.5,1.5,1.5,E,C,E
predict,25,W_C,6.0,feet,stripes,W,C,7.0,-1.0,1.0,W,C,W
predict,25,W_F,3.0,feet,stripes,W,C,4.0,-1.0,1.0,W,F,W
predict,25,E_F,5.0,feet,stripes,W,C,2.5,2.5,2.5,E,F,E
predict,39,W_C,6.0,feet,stripes,W,F,6.0,0.0,0.0,W,C,W
predict,39,W_F,9.0,feet,stripes,W,F,9.5,-0.5,0.5,W,F,W
predict,39,E_C,3.0,feet,stripes,W,F,2.0,1.0,1.0,E,C,E
predict,39,E_F,9.0,feet,stripes,W,F,8.5,0.5,0.5,E,F,E
predict,13,W_F,6.0,feet,stripes,W,C,3.0,3.0,3.0,W,F,W
predict,13,W_C,7.0,feet,stripes,W,C,7.5,-0.5,0.5,W,C,W
predict,13,E_F,5.0,feet,stripes,W,C,2.0,3.0,3.0,E,F,E
predict,13,E_C,8.0,feet,stripes,W,C,7.5,0.5,0.5,E,C,E
predict,8,E_C,9.0,stripes,feet,E,F,9.0,0.0,0.0,E,C,E
predict,8,E_F,10.0,stripes,feet,E,F,8.5,1.5,1.5,E,F,E
predict,8,W_F,3.0,stripes,feet,E,F,3.0,0.0,0.0,W,F,W
predict,8,W_C,1.0,stripes,feet,E,F,1.0,0.0,0.0,W,C,W
predict,24,E_F,9.0,stripes,feet,E,F,7.0,2.0,2.0,E,F,E
predict,24,W_C,4.0,stripes,feet,E,F,2.0,2.0,2.0,W,C,W
predict,24,W_F,6.0,stripes,feet,E,F,5.0,1.0,1.0,W,F,W
predict,24,E_C,9.0,stripes,feet,E,F,7.5,1.5,1.5,E,C,E
predict,29,W_F,6.0,feet,stripes,E,C,5.0,1.0,1.0,W,F,W
predict,29,W_C,4.0,feet,stripes,E,C,5.0,-1.0,1.0,W,C,W
predict,29,E_C,4.0,feet,stripes,E,C,8.0,-4.0,4.0,E,C,E
predict,29,E_F,6.0,feet,stripes,E,C,4.0,2.0,2.0,E,F,E
predict,23,W_C,5.0,feet,stripes,E,F,3.5,1.5,1.5,W,C,W
predict,23,E_F,8.0,feet,stripes,E,F,7.0,1.0,1.0,E,F,E
predict,23,E_C,2.0,feet,stripes,E,F,5.5,-3.5,3.5,E,C,E
predict,23,W_F,3.0,feet,stripes,E,F,8.0,-5.0,5.0,W,F,W
predict,17,W_F,6.0,feet,stripes,E,C,3.5,2.5,2.5,W,F,W
predict,17,E_C,5.0,feet,stripes,E,C,9.5,-4.5,4.5,E,C,E
predict,17,W_C,2.0,feet,stripes,E,C,6.0,-4.0,4.0,W,C,W
predict,17,E_F,4.0,feet,stripes,E,C,5.0,-1.0,1.0,E,F,E
predict,10,E_C,3.0,stripes,feet,W,C,2.5,0.5,0.5,E,C,E
predict,10,E_F,2.0,stripes,feet,W,C,2.5,-0.5,0.5,E,F,E
predict,10,W_C,7.0,stripes,feet,W,C,7.0,0.0,0.0,W,C,W
predict,10,W_F,5.0,stripes,feet,W,C,5.0,0.0,0.0,W,F,W
predict,32,E_F,8.0,stripes,feet,E,F,9.0,-1.0,1.0,E,F,E
predict,32,E_C,7.0,stripes,feet,E,F,6.0,1.0,1.0,E,C,E
predict,32,W_F,8.0,stripes,feet,E,F,3.5,4.5,4.5,W,F,W
predict,32,W_C,7.0,stripes,feet,E,F,3.5,3.5,3.5,W,C,W
predict,34,W_F,4.0,stripes,feet,W,F,8.5,-4.5,4.5,W,F,W
predict,34,W_C,6.0,stripes,feet,W,F,5.0,1.0,1.0,W,C,W
predict,34,E_F,7.0,stripes,feet,W,F,4.5,2.5,2.5,E,F,E
predict,34,E_C,10.0,stripes,feet,W,F,5.0,5.0,5.0,E,C,E
predict,9,W_F,4.0,feet,stripes,W,C,4.0,0.0,0.0,W,F,W
predict,9,W_C,4.0,feet,stripes,W,C,7.5,-3.5,3.5,W,C,W
predict,9,E_C,7.0,feet,stripes,W,C,6.5,0.5,0.5,E,C,E
predict,9,E_F,8.0,feet,stripes,W,C,4.0,4.0,4.0,E,F,E
predict,33,W_F,3.0,feet,stripes,E,C,3.0,0.0,0.0,W,F,W
predict,33,E_F,5.0,feet,stripes,E,C,6.0,-1.0,1.0,E,F,E
predict,33,W_C,7.0,feet,stripes,E,C,5.5,1.5,1.5,W,C,W
predict,33,E_C,9.0,feet,stripes,E,C,8.5,0.5,0.5,E,C,E
