consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,tail,color,shape,image_file,phase,rep,trial_num,food_amount,category,participant_id,food_image_file,images_list,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_response_label,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_discrete,prompt_continuous,question_text,direction_labels,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
yes,001,2025-12-05_16h55.57.129,explain2,2025.1.1,Win32,143.6781609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2025-12-05_16h55.57.129,explain2,2025.1.1,Win32,143.6781609,3.207,3.207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2025-12-05_16h55.57.129,explain2,2025.1.1,Win32,143.6781609,,,3.207,6.783,1,[0.5759999999999987],[0.5759999999999987],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2025-12-05_16h55.57.129,explain2,2025.1.1,Win32,143.6781609,,,,,,,,6.783,10.158,1,[0.375],[0.375],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2025-12-05_16h55.57.129,explain2,2025.1.1,Win32,143.6781609,,,,,,,,,,,,,10.158,13.49,1,[0.33200000000000074],[0.33200000000000074],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2025-12-05_16h55.57.129,explain2,2025.1.1,Win32,143.6781609,,,,,,,,,,,,,,,,,,13.49,16.761,1,[0.2779999999999987],[0.2779999999999987],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2025-12-05_16h55.57.129,explain2,2025.1.1,Win32,143.6781609,,,,,,,,,,,,,,,,,,,,,,,16.764,20.06,1,[0.2989999999999995],[0.2989999999999995],test,20.06,20.559,0,0,0,0,1,N,Y,C,N_Y_C.png,training,1,1,2,low,1,2_food.png,"Resources/T_Y_C.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_Y_S.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2025-12-05_16h55.57.129,explain2,2025.1.1,Win32,143.6781609,,,,,,,,,,,,,,,,,,,,,,,20.56,23.761,1,[0.2010000000000005],[0.2010000000000005],,23.762,24.261,0,1,1,1,1,N,B,C,N_B_C.png,training,1,2,3,low,1,3_food.png,"Resources/T_Y_C.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_Y_S.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2025-12-05_16h55.57.129,explain2,2025.1.1,Win32,143.6781609,,,,,,,,,,,,,,,,,,,,,,,24.262,27.643,1,[0.38200000000000145],[0.38200000000000145],,27.643,28.142,0,2,2,2,1,T,B,S,T_B_S.png,training,1,3,7,high,1,7_food.png,"Resources/T_Y_C.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_Y_S.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2025-12-05_16h55.57.129,explain2,2025.1.1,Win32,143.6781609,,,,,,,,,,,,,,,,,,,,,,,28.144,31.379,1,[0.23499999999999943],[0.23499999999999943],,31.379,31.878,0,3,3,3,1,N,Y,S,N_Y_S.png,training,1,4,2,medium,1,2_food.png,"Resources/T_Y_C.png,Resources/T_Y_S.png,Resources/N_B_C.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/T_B_C.png,Resources/N_B_S.png,Resources/N_Y_S.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
