consent_survey.block_1/consentChoice,participant,date,expName,psychopyVersion,OS,frameRate,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,tail,color,shape,image_file,phase,rep,trial_num,food_amount,category,participant_id,food_image_file,images_list,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,final_questions_color.started,final_questions_color.stopped,color_continuous_slider.response,color_continuous_slider.rt,color_discrete_slider.response,color_discrete_slider.rt,color_direction_slider.response,color_direction_slider.rt,button_color.numClicks,button_color.timesOn,button_color.timesOff,final_questions_tail_2.started,final_questions_tail_2.stopped,tail_continuous_slider.response,tail_continuous_slider.rt,tail_discrete_slider.response,tail_discrete_slider.rt,tail_direction_slider.response,tail_direction_slider.rt,button_tail.numClicks,button_tail.timesOn,button_tail.timesOff,final_questions_shape.started,final_questions_shape.stopped,shape_continuous_slider.response,shape_continuous_slider.rt,shape_discrete_slider.response,shape_discrete_slider.rt,shape_direction_slider.response,shape_direction_slider.rt,button_shape.numClicks,button_shape.timesOn,button_shape.timesOff
yes,002,2025-11-17_09h20.27.692,explain2,2025.1.1,Win32,143.6781609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002,2025-11-17_09h20.27.692,explain2,2025.1.1,Win32,143.6781609,2.253,2.253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002,2025-11-17_09h20.27.692,explain2,2025.1.1,Win32,143.6781609,,,2.253,7.477,1,[2.2300000000000004],[2.2300000000000004],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002,2025-11-17_09h20.27.692,explain2,2025.1.1,Win32,143.6781609,,,,,,,,7.477,16.095,1,[5.6179999999999986],[5.6179999999999986],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002,2025-11-17_09h20.27.692,explain2,2025.1.1,Win32,143.6781609,,,,,,,,,,,,,16.095,22.066,1,[2.9790000000000028],[2.9790000000000028],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002,2025-11-17_09h20.27.692,explain2,2025.1.1,Win32,143.6781609,,,,,,,,,,,,,,,,,,22.066,28.865,1,[3.805999999999994],[3.805999999999994],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002,2025-11-17_09h20.27.692,explain2,2025.1.1,Win32,143.6781609,,,,,,,,,,,,,,,,,,,,,,,28.868,34.733,1,[2.868000000000002],[2.868000000000002],dsadasdadsad,34.733,35.233,0,0,0,0,1,N,B,C,N_B_C.png,training,1,1,3,low,2,3_food.png,"Resources/T_Y_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/T_Y_S.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002,2025-11-17_09h20.27.692,explain2,2025.1.1,Win32,143.6781609,,,,,,,,,,,,,,,,,,,,,,,35.235,39.143,1,[0.9179999999999993],[0.9179999999999993],asdadasdasdasd,39.143,39.642,0,1,1,1,1,N,B,S,N_B_S.png,training,1,2,5,medium,2,5_food.png,"Resources/T_Y_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/T_Y_S.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002,2025-11-17_09h20.27.692,explain2,2025.1.1,Win32,143.6781609,,,,,,,,,,,,,,,,,,,,,,,39.643,42.982,1,[0.3470000000000013],[0.3470000000000013],asdadasdadasdadasdad,42.982,43.483,0,2,2,2,1,N,Y,S,N_Y_S.png,training,1,3,7,medium,2,7_food.png,"Resources/T_Y_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/T_Y_S.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002,2025-11-17_09h20.27.692,explain2,2025.1.1,Win32,143.6781609,,,,,,,,,,,,,,,,,,,,,,,43.484,46.906,1,[0.4239999999999995],[0.4239999999999995],asdadasdadadasda,46.906,47.406,0,3,3,3,1,T,B,C,T_B_C.png,training,1,4,7,medium,2,7_food.png,"Resources/T_Y_C.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_B_S.png,Resources/N_Y_S.png,Resources/T_B_C.png,Resources/N_B_C.png,Resources/T_Y_S.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
