consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,tail,color,shape,image_file,phase,rep,trial_num,food_amount,category,participant_id,food_image_file,images_list,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,final_questions_color.started,final_questions_color.stopped,color_continuous_slider.response,color_continuous_slider.rt,color_discrete_slider.response,color_discrete_slider.rt,color_direction_slider.response,color_direction_slider.rt,button_color.numClicks,button_color.timesOn,button_color.timesOff,final_questions_tail_2.started,final_questions_tail_2.stopped,tail_continuous_slider.response,tail_continuous_slider.rt,tail_discrete_slider.response,tail_discrete_slider.rt,tail_direction_slider.response,tail_direction_slider.rt,button_tail.numClicks,button_tail.timesOn,button_tail.timesOff,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,final_questions_shape.started,final_questions_shape.stopped,shape_continuous_slider.response,shape_continuous_slider.rt,shape_discrete_slider.response,shape_discrete_slider.rt,shape_direction_slider.response,shape_direction_slider.rt,button_shape.numClicks,button_shape.timesOn,button_shape.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
yes,028,2025-11-25_14h09.48.400,explain2,2025.1.1,Linux armv81,117.6470588,66734e6e2922ed81b45c90a4,6925f479e0d41c18be924406,69261b056980eac759991f6f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,028,2025-11-25_14h09.48.400,explain2,2025.1.1,Linux armv81,117.6470588,66734e6e2922ed81b45c90a4,6925f479e0d41c18be924406,69261b056980eac759991f6f,4.5897,4.5901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,028,2025-11-25_14h09.48.400,explain2,2025.1.1,Linux armv81,117.6470588,66734e6e2922ed81b45c90a4,6925f479e0d41c18be924406,69261b056980eac759991f6f,,,4.5908,9.5947,1,[2.0208000000119206],[2.0208000000119206],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,028,2025-11-25_14h09.48.400,explain2,2025.1.1,Linux armv81,117.6470588,66734e6e2922ed81b45c90a4,6925f479e0d41c18be924406,69261b056980eac759991f6f,,,,,,,,9.5993,24.3928,1,[11.796599999964236],[11.796599999964236],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,028,2025-11-25_14h09.48.400,explain2,2025.1.1,Linux armv81,117.6470588,66734e6e2922ed81b45c90a4,6925f479e0d41c18be924406,69261b056980eac759991f6f,,,,,,,,,,,,,24.3931,39.4613,1,[12.072899999976158],[12.072899999976158],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,028,2025-11-25_14h09.48.400,explain2,2025.1.1,Linux armv81,117.6470588,66734e6e2922ed81b45c90a4,6925f479e0d41c18be924406,69261b056980eac759991f6f,,,,,,,,,,,,,,,,,,39.4621,52.3044,1,[9.848899999976162],[9.848899999976162],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,028,2025-11-25_14h09.48.400,explain2,2025.1.1,Linux armv81,117.6470588,66734e6e2922ed81b45c90a4,6925f479e0d41c18be924406,69261b056980eac759991f6f,,,,,,,,,,,,,,,,,,,,,,,52.3137,76.2888,1,[20.97569999998808],[20.97569999998808],Yellow rectangle tail,76.2893,76.7873,0,0,0,0,1,T,Y,S,T_Y_S.png,training,1,1,5,high,28,5_food.png,"Resources/N_Y_C.png,Resources/T_B_S.png,Resources/N_B_C.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_S.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,028,2025-11-25_14h09.48.400,explain2,2025.1.1,Linux armv81,117.6470588,66734e6e2922ed81b45c90a4,6925f479e0d41c18be924406,69261b056980eac759991f6f,,,,,,,,,,,,,,,,,,,,,,,76.7923,88.1513,1,[8.36080000001192],[8.36080000001192],Yellow circle no tail,88.1513,88.6506,0,1,1,1,1,N,Y,C,N_Y_C.png,training,1,2,4,low,28,4_food.png,"Resources/N_Y_C.png,Resources/T_B_S.png,Resources/N_B_C.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_S.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,028,2025-11-25_14h09.48.400,explain2,2025.1.1,Linux armv81,117.6470588,66734e6e2922ed81b45c90a4,6925f479e0d41c18be924406,69261b056980eac759991f6f,,,,,,,,,,,,,,,,,,,,,,,88.6545,101.4876,1,[9.837699999988075],[9.837699999988075],Yellow rectangle no tail,101.4878,101.9833,0,2,2,2,1,N,Y,S,N_Y_S.png,training,1,3,4,medium,28,4_food.png,"Resources/N_Y_C.png,Resources/T_B_S.png,Resources/N_B_C.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_S.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,028,2025-11-25_14h09.48.400,explain2,2025.1.1,Linux armv81,117.6470588,66734e6e2922ed81b45c90a4,6925f479e0d41c18be924406,69261b056980eac759991f6f,,,,,,,,,,,,,,,,,,,,,,,101.9865,112.4208,1,[7.447999999999993],[7.447999999999993],Yellow circle tail,112.421,112.9198,0,3,3,3,1,T,Y,C,T_Y_C.png,training,1,4,4,medium,28,4_food.png,"Resources/N_Y_C.png,Resources/T_B_S.png,Resources/N_B_C.png,Resources/T_Y_C.png,Resources/T_B_C.png,Resources/N_Y_S.png,Resources/N_B_S.png,Resources/T_Y_S.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
