consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,tail,color,shape,image_file,phase,rep,trial_num,food_amount,category,participant_id,food_image_file,images_list,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,final_questions_color.started,final_questions_color.stopped,color_continuous_slider.response,color_continuous_slider.rt,color_discrete_slider.response,color_discrete_slider.rt,color_direction_slider.response,color_direction_slider.rt,button_color.numClicks,button_color.timesOn,button_color.timesOff,final_questions_tail_2.started,final_questions_tail_2.stopped,tail_continuous_slider.response,tail_continuous_slider.rt,tail_discrete_slider.response,tail_discrete_slider.rt,tail_direction_slider.response,tail_direction_slider.rt,button_tail.numClicks,button_tail.timesOn,button_tail.timesOff,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,final_questions_shape.started,final_questions_shape.stopped,shape_continuous_slider.response,shape_continuous_slider.rt,shape_discrete_slider.response,shape_discrete_slider.rt,shape_direction_slider.response,shape_direction_slider.rt,button_shape.numClicks,button_shape.timesOn,button_shape.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
yes,002,2025-11-21_11h37.55.386,explain2,2025.1.1,Linux armv81,60.24096386,631542cace8d3c032e1acbd0,691cb5eb9b0a8859ba0ad998,69209544e406ae0d699d46bf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002,2025-11-21_11h37.55.386,explain2,2025.1.1,Linux armv81,60.24096386,631542cace8d3c032e1acbd0,691cb5eb9b0a8859ba0ad998,69209544e406ae0d699d46bf,5.571,5.5714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002,2025-11-21_11h37.55.386,explain2,2025.1.1,Linux armv81,60.24096386,631542cace8d3c032e1acbd0,691cb5eb9b0a8859ba0ad998,69209544e406ae0d699d46bf,,,5.5725,10.6559,1,[2.091400000095369],[2.091400000095369],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002,2025-11-21_11h37.55.386,explain2,2025.1.1,Linux armv81,60.24096386,631542cace8d3c032e1acbd0,691cb5eb9b0a8859ba0ad998,69209544e406ae0d699d46bf,,,,,,,,10.6571,33.1773,1,[19.503599999904637],[19.503599999904637],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002,2025-11-21_11h37.55.386,explain2,2025.1.1,Linux armv81,60.24096386,631542cace8d3c032e1acbd0,691cb5eb9b0a8859ba0ad998,69209544e406ae0d699d46bf,,,,,,,,,,,,,33.1803,47.9526,1,[11.755700000047682],[11.756400000095368],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002,2025-11-21_11h37.55.386,explain2,2025.1.1,Linux armv81,60.24096386,631542cace8d3c032e1acbd0,691cb5eb9b0a8859ba0ad998,69209544e406ae0d699d46bf,,,,,,,,,,,,,,,,,,47.9545,62.1738,1,[11.20390000009536],[11.204600000143046],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002,2025-11-21_11h37.55.386,explain2,2025.1.1,Linux armv81,60.24096386,631542cace8d3c032e1acbd0,691cb5eb9b0a8859ba0ad998,69209544e406ae0d699d46bf,,,,,,,,,,,,,,,,,,,,,,,62.2394,96.4768,1,[31.22179999995231],[31.22259999990463],Because it's large in size frame so it needs more.,96.4839,96.9763,0,0,0,0,1,T,Y,S,T_Y_S.png,training,1,1,8,high,2,8_food.png,"Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/N_B_C.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002,2025-11-21_11h37.55.386,explain2,2025.1.1,Linux armv81,60.24096386,631542cace8d3c032e1acbd0,691cb5eb9b0a8859ba0ad998,69209544e406ae0d699d46bf,,,,,,,,,,,,,,,,,,,,,,,97.0039,115.6444,1,[15.650900000095362],[15.651900000095367],Medium sized frame so it didn't need much.,115.6481,116.1414,0,1,1,1,1,T,B,C,T_B_C.png,training,1,2,7,medium,2,7_food.png,"Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/N_B_C.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002,2025-11-21_11h37.55.386,explain2,2025.1.1,Linux armv81,60.24096386,631542cace8d3c032e1acbd0,691cb5eb9b0a8859ba0ad998,69209544e406ae0d699d46bf,,,,,,,,,,,,,,,,,,,,,,,116.2106,130.6133,1,[11.439399999856931],[11.440199999809266],Smallish frame so didnt need much.,130.6164,131.1163,0,2,2,2,1,N,Y,C,N_Y_C.png,training,1,3,2,low,2,2_food.png,"Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/N_B_C.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,002,2025-11-21_11h37.55.386,explain2,2025.1.1,Linux armv81,60.24096386,631542cace8d3c032e1acbd0,691cb5eb9b0a8859ba0ad998,69209544e406ae0d699d46bf,,,,,,,,,,,,,,,,,,,,,,,131.1769,177.7151,1,[43.581700000047704],[43.58220000004769],It is yellow and large framed so needs much. ,177.7173,178.2122,0,3,3,3,1,T,Y,C,T_Y_C.png,training,1,4,5,medium,2,5_food.png,"Resources/T_Y_S.png,Resources/N_B_S.png,Resources/N_Y_C.png,Resources/T_B_C.png,Resources/T_Y_C.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/N_B_C.png",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
