consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,feature_question.started,feature_question.stopped,slider_color.response,slider_color.rt,slider_shape.response,slider_shape.rt,slider_tail.response,slider_tail.rt,slider_ear.response,slider_ear.rt,button_continue_feature.numClicks,button_continue_feature.timesOn,button_continue_feature.timesOff,feature_question_feedback.started,feature_question_feedback.stopped,feature_question_feedback_button.numClicks,feature_question_feedback_button.timesOn,feature_question_feedback_button.timesOff,how_many_relevant.started,how_many_relevant.stopped,how_many_relevant_slider.response,how_many_relevant_slider.rt,button_continue_relevance.numClicks,button_continue_relevance.timesOn,button_continue_relevance.timesOff,how_many_feedback.started,how_many_feedback.stopped,how_many_feedback_button.numClicks,how_many_feedback_button.timesOn,how_many_feedback_button.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,tail,color,shape,image_file,phase,rep,trial_num,food_amount,category,relevant_dim_1,relevant_dim_2,irrelevant_dim,tail_high,tail_low,color_high,color_low,tail_rel,color_rel,shape_rel,shape_high,shape_low,participant_id,food_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_response_label,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_discrete,prompt_continuous,question_text,direction_labels,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
yes,018,2026-01-06_11h46.55.535,explain2,2025.1.1,Win32,60.60606061,5e29c3e725dcfd01cef9f474,695d37637781e687b2ea1995,695d4a7810d70f96cb966985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,018,2026-01-06_11h46.55.535,explain2,2025.1.1,Win32,60.60606061,5e29c3e725dcfd01cef9f474,695d37637781e687b2ea1995,695d4a7810d70f96cb966985,17.6946,17.6947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,018,2026-01-06_11h46.55.535,explain2,2025.1.1,Win32,60.60606061,5e29c3e725dcfd01cef9f474,695d37637781e687b2ea1995,695d4a7810d70f96cb966985,,,17.6951,35.3079,1,[14.616699999999252],[14.616699999999252],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,018,2026-01-06_11h46.55.535,explain2,2025.1.1,Win32,60.60606061,5e29c3e725dcfd01cef9f474,695d37637781e687b2ea1995,695d4a7810d70f96cb966985,,,,,,,,35.308,63.6912,1,[25.383400000000385],[25.383400000000385],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,018,2026-01-06_11h46.55.535,explain2,2025.1.1,Win32,60.60606061,5e29c3e725dcfd01cef9f474,695d37637781e687b2ea1995,695d4a7810d70f96cb966985,,,,,,,,,,,,,63.692,106.1919,Yes,27.5406,Yes,40.6266,Yes,31.4557,No,39.3949,1,[1.8835999999996176],[1.8835999999996176],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,018,2026-01-06_11h46.55.535,explain2,2025.1.1,Win32,60.60606061,5e29c3e725dcfd01cef9f474,695d37637781e687b2ea1995,695d4a7810d70f96cb966985,,,,,,,,,,,,,,,,,,,,,,,,,,106.1935,115.4244,1,[6.23290000000037],[6.23290000000037],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,018,2026-01-06_11h46.55.535,explain2,2025.1.1,Win32,60.60606061,5e29c3e725dcfd01cef9f474,695d37637781e687b2ea1995,695d4a7810d70f96cb966985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.4246,121.2583,Any of These,4.7565,1,[1.0834000000003527],[1.0834000000003527],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,018,2026-01-06_11h46.55.535,explain2,2025.1.1,Win32,60.60606061,5e29c3e725dcfd01cef9f474,695d37637781e687b2ea1995,695d4a7810d70f96cb966985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.2586,126.3914,1,[2.1330999999996436],[2.1330999999996436],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,018,2026-01-06_11h46.55.535,explain2,2025.1.1,Win32,60.60606061,5e29c3e725dcfd01cef9f474,695d37637781e687b2ea1995,695d4a7810d70f96cb966985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.3915,171.1914,1,[41.7998999999985],[41.7998999999985],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,018,2026-01-06_11h46.55.535,explain2,2025.1.1,Win32,60.60606061,5e29c3e725dcfd01cef9f474,695d37637781e687b2ea1995,695d4a7810d70f96cb966985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.1914,189.7913,1,[15.599899999998513],[15.599899999998513],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
