consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,feature_question.started,feature_question.stopped,slider_color.response,slider_color.rt,slider_shape.response,slider_shape.rt,slider_tail.response,slider_tail.rt,slider_ear.response,slider_ear.rt,button_continue_feature.numClicks,button_continue_feature.timesOn,button_continue_feature.timesOff,feature_question_feedback.started,feature_question_feedback.stopped,feature_question_feedback_button.numClicks,feature_question_feedback_button.timesOn,feature_question_feedback_button.timesOff,how_many_relevant.started,how_many_relevant.stopped,how_many_relevant_slider.response,how_many_relevant_slider.rt,button_continue_relevance.numClicks,button_continue_relevance.timesOn,button_continue_relevance.timesOff,how_many_feedback.started,how_many_feedback.stopped,how_many_feedback_button.numClicks,how_many_feedback_button.timesOn,how_many_feedback_button.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,tail,color,shape,image_file,phase,rep,trial_num,food_amount,category,relevant_dim_1,relevant_dim_2,irrelevant_dim,tail_high,tail_low,shape_high,shape_low,tail_rel,color_rel,shape_rel,color_high,color_low,participant_id,food_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_discrete,prompt_continuous,question_text,direction_labels,direction_response_label,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
yes,112,2026-01-12_15h14.04.126,explain2,2025.1.1,Win32,8.576329331,57a93244dcff7d0001c7d86f,69653ec67aeed6b1043c5c09,696555ccd36246dc5c55cc3e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,112,2026-01-12_15h14.04.126,explain2,2025.1.1,Win32,8.576329331,57a93244dcff7d0001c7d86f,69653ec67aeed6b1043c5c09,696555ccd36246dc5c55cc3e,9.1886,9.1889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,112,2026-01-12_15h14.04.126,explain2,2025.1.1,Win32,8.576329331,57a93244dcff7d0001c7d86f,69653ec67aeed6b1043c5c09,696555ccd36246dc5c55cc3e,,,9.1896,16.8525,1,[4.762900000005956],[4.762900000005956],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,112,2026-01-12_15h14.04.126,explain2,2025.1.1,Win32,8.576329331,57a93244dcff7d0001c7d86f,69653ec67aeed6b1043c5c09,696555ccd36246dc5c55cc3e,,,,,,,,16.8532,31.6236,1,[11.771900000005957],[11.771900000005957],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,112,2026-01-12_15h14.04.126,explain2,2025.1.1,Win32,8.576329331,57a93244dcff7d0001c7d86f,69653ec67aeed6b1043c5c09,696555ccd36246dc5c55cc3e,,,,,,,,,,,,,31.6262,48.6056,Yes,15.6025,Yes,12.8814,Yes,9.5171,No,11.3332,1,[1.4914000000059673],[1.4914000000059673],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,112,2026-01-12_15h14.04.126,explain2,2025.1.1,Win32,8.576329331,57a93244dcff7d0001c7d86f,69653ec67aeed6b1043c5c09,696555ccd36246dc5c55cc3e,,,,,,,,,,,,,,,,,,,,,,,,,,48.6082,53.4462,1,[1.9234000000059694],[1.9234000000059694],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,112,2026-01-12_15h14.04.126,explain2,2025.1.1,Win32,8.576329331,57a93244dcff7d0001c7d86f,69653ec67aeed6b1043c5c09,696555ccd36246dc5c55cc3e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.447,60.7276,Any of These,6.4714,1,[0.9304000000059602],[0.9304000000059602],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,112,2026-01-12_15h14.04.126,explain2,2025.1.1,Win32,8.576329331,57a93244dcff7d0001c7d86f,69653ec67aeed6b1043c5c09,696555ccd36246dc5c55cc3e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.7282,65.314,1,[1.59490000000595],[1.5949999999999989],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,112,2026-01-12_15h14.04.126,explain2,2025.1.1,Win32,8.576329331,57a93244dcff7d0001c7d86f,69653ec67aeed6b1043c5c09,696555ccd36246dc5c55cc3e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.3144,78.6842,1,[10.416099999994032],[10.416099999994032],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,112,2026-01-12_15h14.04.126,explain2,2025.1.1,Win32,8.576329331,57a93244dcff7d0001c7d86f,69653ec67aeed6b1043c5c09,696555ccd36246dc5c55cc3e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.685,91.7005,1,[10.056599999994035],[10.056599999994035],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,112,2026-01-12_15h14.04.126,explain2,2025.1.1,Win32,8.576329331,57a93244dcff7d0001c7d86f,69653ec67aeed6b1043c5c09,696555ccd36246dc5c55cc3e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.7248,115.2114,1,[20.560900000005944],[20.561000000000007],Yellow bodied,115.2121,115.6554,0,0,0,0,1,T,Y,S,T_Y_S.png,training,1,1,4,medium,tail,shape,color,N,T,S,C,L1,I2,H2,Y,B,112,4_food.png,"Resources/N_B_S.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/T_Y_C.png","high,medium,low,medium,medium,high,medium,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,112,2026-01-12_15h14.04.126,explain2,2025.1.1,Win32,8.576329331,57a93244dcff7d0001c7d86f,69653ec67aeed6b1043c5c09,696555ccd36246dc5c55cc3e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.6623,126.245,1,[7.647199999988089],[7.647199999988089],Yellow bodied,126.2453,126.7256,0,1,1,1,1,T,Y,C,T_Y_C.png,training,1,2,3,low,tail,shape,color,N,T,S,C,L1,I2,L2,Y,B,112,3_food.png,"Resources/N_B_S.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/T_Y_C.png","high,medium,low,medium,medium,high,medium,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,112,2026-01-12_15h14.04.126,explain2,2025.1.1,Win32,8.576329331,57a93244dcff7d0001c7d86f,69653ec67aeed6b1043c5c09,696555ccd36246dc5c55cc3e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.7299,143.6076,1,[13.962999999999994],[13.962999999999994],Straight tailed,143.6078,144.0992,0,2,2,2,1,N,Y,S,N_Y_S.png,training,1,3,8,high,tail,shape,color,N,T,S,C,H1,I2,H2,Y,B,112,8_food.png,"Resources/N_B_S.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/T_Y_C.png","high,medium,low,medium,medium,high,medium,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,112,2026-01-12_15h14.04.126,explain2,2025.1.1,Win32,8.576329331,57a93244dcff7d0001c7d86f,69653ec67aeed6b1043c5c09,696555ccd36246dc5c55cc3e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.1035,155.7391,1,[8.658599999994038],[8.658599999994038],Blue bodied,155.7393,156.2173,0,3,3,3,1,N,B,C,N_B_C.png,training,1,4,3,medium,tail,shape,color,N,T,S,C,H1,I1,L2,Y,B,112,3_food.png,"Resources/N_B_S.png,Resources/N_B_C.png,Resources/T_B_C.png,Resources/N_Y_C.png,Resources/T_Y_S.png,Resources/N_Y_S.png,Resources/T_B_S.png,Resources/T_Y_C.png","high,medium,low,medium,medium,high,medium,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
