participant,free_texts,feedback,food_amount,trial_stop_time,testing_image_order,testing_responses,training_categories,training_tail,training_shape,training_color,testing_categories,conditionOrder,training_image_order,attention_check,relevant_dim_1,relevant_dim_2,irrelevant_dim,color_high,color_low,shape_high,shape_low,tail_high,tail_low,shape_discrete_slider.response,shape_direction_slider.response,shape_continuous_slider.response,color_discrete_slider.response,color_direction_slider.response,color_continuous_slider.response,tail_discrete_slider.response,tail_direction_slider.response,tail_continuous_slider.response
085,"['It was hungry', 'It was hungry', 'Round body?', 'square body?', 'blue?', 'yellow color?', 'yellow?', 'color/shape/tail', 'straight tail', 'straight tail', 'straight tail?', 'blue', 'curly and yellow', 'curly', 'blue/round/straight', 'curly/yellow', 'blue/round/curly', 'round', 'all the above', 'body color straight', 'blue', 'yellow yet round', 'yellow with curly', 'yellow with straight']",[],"[5.0, 5.0, 2.0, 6.0, 6.0, 3.0, 2.0, 8.0, 3.0, 4.0, 7.0, 8.0, 3.0, 2.0, 8.0, 2.0, 6.0, 6.0, 6.0, 7.0, 8.0, 5.0, 4.0, 4.0]",455.5757,"['N_Y_S', 'N_Y_C', 'N_B_S', 'N_B_C', 'T_B_C', 'T_B_S', 'T_Y_C', 'T_Y_S']","[5.0, 3.0, 6.0, 8.0, 6.0, 5.0, 2.0, 2.0]","['medium', 'medium', 'low', 'high', 'medium', 'medium', 'low', 'high', 'medium', 'medium', 'high', 'medium', 'low', 'medium', 'high', 'low', 'medium', 'medium', 'medium', 'high', 'high', 'low', 'low', 'medium']","['H2', 'L2', 'L2', 'H2', 'L2', 'H2', 'L2', 'H2', 'H2', 'H2', 'H2', 'L2', 'L2', 'L2', 'H2', 'L2', 'L2', 'H2', 'L2', 'H2', 'H2', 'L2', 'L2', 'H2']","['I2', 'I2', 'I1', 'I2', 'I1', 'I1', 'I2', 'I1', 'I1', 'I2', 'I2', 'I1', 'I1', 'I2', 'I1', 'I2', 'I1', 'I1', 'I2', 'I1', 'I2', 'I1', 'I2', 'I2']","['L1', 'H1', 'L1', 'H1', 'H1', 'L1', 'L1', 'H1', 'L1', 'L1', 'H1', 'H1', 'L1', 'H1', 'H1', 'L1', 'H1', 'L1', 'H1', 'H1', 'H1', 'L1', 'L1', 'L1']","['medium', 'medium', 'high', 'high', 'medium', 'medium', 'low', 'low']",85,"['N_Y_S', 'T_B_S', 'T_Y_C', 'N_B_S', 'T_B_C', 'N_Y_C', 'T_Y_S', 'N_B_C', 'N_Y_C', 'N_Y_S', 'N_B_S', 'T_B_C', 'T_Y_C', 'T_B_S', 'N_B_C', 'T_Y_S', 'T_B_C', 'N_Y_C', 'T_B_S', 'N_B_C', 'N_B_S', 'T_Y_C', 'T_Y_S', 'N_Y_S']",1,color,tail,shape,B,Y,C,S,N,T,No,,,Yes,Blue,6.0,Yes, Straight,3.0
012,"['It is large', 'It is yellow', 'it is blue', 'it is blue', 'it is yellow', 'it is yellow', 'it is blue', 'it has a curly tail', 'it has a curly tail', 'it is blue', 'it is yellow', 'it has a straight tail', 'it has a straight tail', 'it is yellow', 'it is yellow', 'it has a straight tail', 'it is blue', 'it is yellow', 'it is yellow', 'it has a curly tail', 'it is curly tail', 'it has a straight tail', 'it has a curly tail', 'it is yellow']",[],"[3.0, 8.0, 3.0, 3.0, 5.0, 7.0, 3.0, 2.0, 2.0, 6.0, 6.0, 6.0, 6.0, 7.0, 5.0, 5.0, 4.0, 7.0, 7.0, 5.0, 4.0, 7.0, 3.0, 9.0]",206.3223,"['T_Y_S', 'T_B_S', 'N_Y_S', 'N_Y_C', 'N_B_S', 'T_Y_C', 'T_B_C', 'N_B_C']","[6.0, 4.0, 8.0, 8.0, 4.0, 6.0, 3.0, 5.0]","['medium', 'high', 'low', 'medium', 'high', 'medium', 'low', 'medium', 'low', 'low', 'high', 'high', 'medium', 'medium', 'medium', 'medium', 'medium', 'medium', 'high', 'low', 'low', 'medium', 'medium', 'high']","['H2', 'H2', 'L2', 'H2', 'H2', 'L2', 'L2', 'L2', 'L2', 'L2', 'H2', 'H2', 'H2', 'L2', 'L2', 'H2', 'H2', 'L2', 'H2', 'L2', 'L2', 'H2', 'L2', 'H2']","['I2', 'I2', 'I2', 'I1', 'I1', 'I2', 'I1', 'I1', 'I1', 'I2', 'I1', 'I2', 'I2', 'I2', 'I1', 'I1', 'I2', 'I1', 'I1', 'I2', 'I1', 'I1', 'I2', 'I2']","['L1', 'H1', 'L1', 'L1', 'H1', 'H1', 'L1', 'H1', 'L1', 'L1', 'H1', 'H1', 'L1', 'H1', 'H1', 'L1', 'L1', 'H1', 'H1', 'L1', 'L1', 'L1', 'H1', 'H1']","['medium', 'low', 'high', 'high', 'medium', 'medium', 'low', 'medium']",12,"['N_B_S', 'N_Y_S', 'T_B_S', 'N_B_C', 'N_Y_C', 'T_Y_S', 'T_B_C', 'T_Y_C', 'T_B_C', 'T_B_S', 'N_Y_C', 'N_Y_S', 'N_B_S', 'T_Y_S', 'T_Y_C', 'N_B_C', 'N_B_S', 'T_Y_C', 'N_Y_C', 'T_B_S', 'T_B_C', 'N_B_C', 'T_Y_S', 'N_Y_S']",0,color,tail,shape,Y,B,S,C,N,T,Yes,Square,4.0,Yes, Yellow,4.0,Yes, Straight,4.0
098,"['Because it was very hungry.', 'It was just as hungry as the last sperk.', ""Because it's a bit bigger than the other and needs more food."", 'Not sure but maybe because the prior sperk did.', 'Because the sperk haa a rectangular body.', 'Because the sperk has a more round belly.', 'Because he is blue and the sperk had this amount last time.', 'Because he is blue and he likes more food than normal.', 'Because the sperk is hungrier than before and has a round stomach.', 'Because he has a rectangular body and is yellow.', 'Because of his color and his tail.', 'Because of his rectangular body and tail.', 'Because of the color and a round stomach.', 'Because he is blue and has a rectangular body.', 'Because of his tail color and stomach.', 'The curled tail, and rectangular body.', 'Maybe the color and tail.', 'The skin color and uncurled tail.', 'Thee stomach and skin color.', 'Because of the stomach and tail .', 'The blue color and the curled tail.', 'A rectangular body and curled tail.', 'The body and blue skin\xa0', 'Maybe skin color and tail\xa0']",['Fun!!'],"[4.0, 4.0, 5.0, 5.0, 3.0, 6.0, 5.0, 7.0, 6.0, 3.0, 4.0, 4.0, 6.0, 4.0, 7.0, 3.0, 2.0, 5.0, 4.0, 6.0, 5.0, 3.0, 5.0, 5.0]",1107.668,"['N_B_C', 'N_Y_S', 'T_Y_C', 'T_B_C', 'T_Y_S', 'N_B_S', 'T_B_S', 'N_Y_C']","[8.0, 3.0, 4.0, 6.0, 7.0, 2.0, 2.0, 6.0]","['low', 'medium', 'medium', 'medium', 'low', 'high', 'high', 'medium', 'medium', 'low', 'high', 'medium', 'high', 'medium', 'medium', 'low', 'medium', 'high', 'low', 'high', 'medium', 'low', 'medium', 'medium']","['L2', 'H2', 'L2', 'L2', 'L2', 'H2', 'H2', 'H2', 'L2', 'L2', 'H2', 'H2', 'H2', 'H2', 'L2', 'L2', 'L2', 'H2', 'L2', 'H2', 'L2', 'L2', 'H2', 'H2']","['L1', 'L1', 'H1', 'H1', 'L1', 'H1', 'H1', 'L1', 'H1', 'L1', 'H1', 'L1', 'H1', 'L1', 'H1', 'L1', 'H1', 'H1', 'L1', 'H1', 'H1', 'L1', 'L1', 'L1']","['I1', 'I2', 'I1', 'I2', 'I2', 'I2', 'I1', 'I1', 'I2', 'I2', 'I2', 'I2', 'I1', 'I1', 'I1', 'I1', 'I2', 'I1', 'I2', 'I2', 'I1', 'I1', 'I1', 'I2']","['high', 'medium', 'medium', 'medium', 'low', 'medium', 'low', 'high']",98,"['T_B_S', 'N_Y_S', 'T_B_C', 'T_Y_C', 'T_Y_S', 'N_Y_C', 'N_B_C', 'N_B_S', 'T_Y_C', 'T_Y_S', 'N_Y_C', 'N_Y_S', 'N_B_C', 'N_B_S', 'T_B_C', 'T_B_S', 'T_Y_C', 'N_B_C', 'T_Y_S', 'N_Y_C', 'T_B_C', 'T_B_S', 'N_B_S', 'N_Y_S']",1,shape,tail,color,B,Y,C,S,N,T,Yes, Circular,6.0,Yes,Blue,5.0,Yes,Curly,5.0
112,"['Yellow bodied', 'Yellow bodied', 'Straight tailed', 'Blue bodied', 'Blue bodied', 'Yellow bodied', 'Blue/square bodied', 'Blue/round bodied', 'Blue/square bodied', 'Yellow/square bodied', 'Yellow/square bodied with straight tail', 'Blue/round bodied', 'Blue/square bodied', 'Yellow/round bodied with straight tail', 'Blue/round bodied with straight tail', 'Curly tail', 'Yellow/square bodied', 'Blue/round bodied with straight tail', 'Blue/square bodied', 'Square/yellow bodied with straight tail', 'Blue/square bodied with straight tail', 'Curly tail', 'Yellow/round bodied with straight tail', 'Curly tail']",[],"[4.0, 3.0, 8.0, 3.0, 3.0, 5.0, 6.0, 3.0, 7.0, 6.0, 9.0, 1.0, 6.0, 6.0, 4.0, 1.0, 6.0, 7.0, 6.0, 7.0, 8.0, 4.0, 6.0, 3.0]",483.4348,"['N_B_S', 'N_B_C', 'T_B_C', 'N_Y_C', 'T_Y_S', 'N_Y_S', 'T_B_S', 'T_Y_C']","[6.0, 5.0, 4.0, 7.0, 5.0, 9.0, 3.0, 3.0]","['medium', 'low', 'high', 'medium', 'medium', 'medium', 'high', 'low', 'medium', 'medium', 'high', 'low', 'high', 'medium', 'medium', 'low', 'medium', 'medium', 'medium', 'high', 'high', 'low', 'medium', 'low']","['L1', 'L1', 'H1', 'H1', 'L1', 'H1', 'H1', 'L1', 'L1', 'L1', 'H1', 'L1', 'H1', 'H1', 'H1', 'L1', 'L1', 'H1', 'L1', 'H1', 'H1', 'L1', 'H1', 'L1']","['H2', 'L2', 'H2', 'L2', 'H2', 'L2', 'H2', 'L2', 'H2', 'H2', 'H2', 'L2', 'H2', 'L2', 'L2', 'L2', 'H2', 'L2', 'H2', 'H2', 'H2', 'L2', 'L2', 'L2']","['I2', 'I2', 'I2', 'I1', 'I1', 'I2', 'I1', 'I1', 'I1', 'I2', 'I2', 'I1', 'I1', 'I2', 'I1', 'I2', 'I2', 'I1', 'I1', 'I2', 'I1', 'I2', 'I2', 'I1']","['high', 'medium', 'low', 'medium', 'medium', 'high', 'medium', 'low']",112,"['T_Y_S', 'T_Y_C', 'N_Y_S', 'N_B_C', 'T_B_S', 'N_Y_C', 'N_B_S', 'T_B_C', 'T_B_S', 'T_Y_S', 'N_Y_S', 'T_B_C', 'N_B_S', 'N_Y_C', 'N_B_C', 'T_Y_C', 'T_Y_S', 'N_B_C', 'T_B_S', 'N_Y_S', 'N_B_S', 'T_Y_C', 'N_Y_C', 'T_B_C']",1,tail,shape,color,Y,B,S,C,N,T,Yes,Square,2.0,No,,,Yes, Straight,5.0
090,"['It has a yellow body.', 'It has a blue body.', 'It has a square body.', 'It has a square body and a straight tail.', 'It has a circular body and a straight tail.', 'It has a blue body.', 'It has a blue body.', 'It has a blue body and a straight tail.', 'It has a yellow body and a curled tail.', 'It has a yellow body and a straight tail.', 'It has a circulat, blue body, and a curled tail.', 'It has a blue body.', 'It has a blue body and a straght tail.', 'It has a circular body and a curled tail.', 'It has a yellow circular body and a straight tail.', 'It has a blue body.', 'It has a blue body.', 'It has a blue body and a curled tail, as well as a rectanglar shape.', 'It has a ywllow, circular body and a curled tail.', 'It has a blue body and a curled tail.', 'It has a yellow color and a straight tail.', 'It has a yellow, circular body, and a straight tail', 'It has a rectangular shape and a curled tail.', 'It is blue in color.']",[],"[7.0, 5.0, 4.0, 3.0, 3.0, 5.0, 5.0, 9.0, 6.0, 4.0, 8.0, 9.0, 6.0, 5.0, 2.0, 5.0, 5.0, 7.0, 6.0, 8.0, 3.0, 5.0, 5.0, 4.0]",767.4827,"['T_B_C', 'T_B_S', 'N_B_S', 'N_Y_S', 'T_Y_C', 'N_B_C', 'T_Y_S', 'N_Y_C']","[4.0, 5.0, 3.0, 6.0, 4.0, 7.0, 6.0, 4.0]","['medium', 'medium', 'medium', 'low', 'low', 'high', 'high', 'medium', 'medium', 'low', 'high', 'high', 'medium', 'medium', 'low', 'medium', 'medium', 'high', 'medium', 'high', 'low', 'low', 'medium', 'medium']","['H1', 'L1', 'H1', 'L1', 'L1', 'H1', 'H1', 'L1', 'H1', 'L1', 'H1', 'H1', 'L1', 'H1', 'L1', 'L1', 'L1', 'H1', 'H1', 'H1', 'L1', 'L1', 'H1', 'L1']","['I1', 'I1', 'I2', 'I2', 'I1', 'I2', 'I1', 'I2', 'I2', 'I2', 'I1', 'I2', 'I1', 'I1', 'I1', 'I2', 'I1', 'I2', 'I1', 'I1', 'I2', 'I1', 'I2', 'I2']","['L2', 'H2', 'L2', 'L2', 'L2', 'H2', 'H2', 'H2', 'L2', 'L2', 'H2', 'H2', 'H2', 'L2', 'L2', 'H2', 'H2', 'H2', 'L2', 'H2', 'L2', 'L2', 'L2', 'H2']","['high', 'high', 'medium', 'low', 'medium', 'medium', 'medium', 'low']",90,"['T_Y_C', 'N_B_C', 'T_Y_S', 'N_Y_S', 'N_Y_C', 'T_B_S', 'T_B_C', 'N_B_S', 'T_Y_S', 'N_Y_S', 'T_B_C', 'T_B_S', 'N_B_C', 'T_Y_C', 'N_Y_C', 'N_B_S', 'N_B_C', 'T_B_S', 'T_Y_C', 'T_B_C', 'N_Y_S', 'N_Y_C', 'T_Y_S', 'N_B_S']",1,tail,color,shape,B,Y,C,S,T,N,Yes, Circular,5.0,Yes, Yellow,4.0,Yes,Curly,4.0
078,"['it has a curly tail', 'it is blue', 'it has a straight tail', 'straight tail', 'curly tail', 'curly tail', 'straight tail', 'yellow and straight tail', 'it is blue', 'curly tail', 'curly tail', 'straight tail', 'curly tail', 'straight tail', 'straight tail', 'straight tail but below average', 'curly tail', 'curly tail but above average', 'straight tail', 'straight tail', 'straight tail but this is below average', 'curly tail', 'curly tail but is above average', 'straight tail']",[],"[3.0, 4.0, 7.0, 5.0, 2.0, 3.0, 6.0, 7.0, 5.0, 3.0, 4.0, 7.0, 3.0, 9.0, 6.0, 4.0, 3.0, 7.0, 5.0, 8.0, 4.0, 3.0, 5.0, 10.0]",534.5191,"['T_Y_S', 'N_Y_C', 'T_B_C', 'T_B_S', 'T_Y_C', 'N_B_S', 'N_B_C', 'N_Y_S']","[3.0, 5.0, 3.0, 3.0, 3.0, 8.0, 6.0, 6.0]","['medium', 'medium', 'high', 'medium', 'low', 'low', 'high', 'medium', 'medium', 'low', 'low', 'high', 'medium', 'high', 'medium', 'medium', 'medium', 'medium', 'medium', 'high', 'medium', 'low', 'low', 'high']","['L1', 'L1', 'H1', 'H1', 'L1', 'L1', 'H1', 'H1', 'L1', 'L1', 'L1', 'H1', 'L1', 'H1', 'H1', 'H1', 'L1', 'L1', 'H1', 'H1', 'H1', 'L1', 'L1', 'H1']","['I2', 'I1', 'I2', 'I2', 'I1', 'I2', 'I1', 'I1', 'I2', 'I1', 'I2', 'I2', 'I1', 'I1', 'I1', 'I2', 'I1', 'I2', 'I2', 'I2', 'I1', 'I2', 'I1', 'I1']","['H2', 'H2', 'H2', 'L2', 'L2', 'L2', 'H2', 'L2', 'H2', 'L2', 'L2', 'H2', 'H2', 'H2', 'L2', 'L2', 'H2', 'H2', 'L2', 'H2', 'L2', 'L2', 'L2', 'H2']","['low', 'medium', 'medium', 'medium', 'low', 'high', 'high', 'medium']",78,"['T_B_C', 'T_B_S', 'N_B_C', 'N_Y_C', 'T_Y_S', 'T_Y_C', 'N_B_S', 'N_Y_S', 'T_B_C', 'T_Y_S', 'T_Y_C', 'N_B_C', 'T_B_S', 'N_B_S', 'N_Y_S', 'N_Y_C', 'T_B_S', 'T_B_C', 'N_Y_C', 'N_B_C', 'N_Y_S', 'T_Y_C', 'T_Y_S', 'N_B_S']",1,tail,color,shape,B,Y,S,C,N,T,No,,,No,,,Yes, Straight,6.0
068,"['My initial impression is that the amount of food is based on its size.', 'Its tail, body shape and color are all different.', 'Tail & color are different, but amount of food is the same.', 'Only the tail changed & the food amount decreased.', 'Only the body shape changed and the food amount was impacted.', 'The tail shape & color change impacted the food amount.', ""The tail change didn't impact the food amount."", 'This combination of tail, body shape & color resulted in the highest food consumption so far.', 'The shape change resulted in a much lower amount of food.', 'This combination of features resulted in the same amount of food as the previous.', 'The tail change did not impact the food amount.', ""This combination of features results in a very high food consumption, but it doesn't seem like the food amount is as simple as adding the values of the 3 parts together."", 'Perhaps the tail shape is impactful for blue sperks but not for yellow sperks.', 'It seems like yellow sperks in general eat less food than blue ones.', 'This yellow sperk has different features than the previous one, but the food amount stayed the same.', 'It seems like blue sperks vary widely based on their other features.', 'Although yellow sperks seem to eat less food in general, there is a variable i am missing that causes the variation in food amount.', 'I think the way the tail shape and body shape are affecting the food amount are misleading, or there is another variable that I am missing.', '8 seems like the highest a sperk can eat in a day.', ""I can't explain this wide variation of food in the blue sperks."", 'Curly tails might result in an overall large amount of food.', 'I am more fixated on the tail shape than the body shape at this point.', ""It seems like the tail shape is the main variable even though earlier the tail shape didn't seem to have much of an impact at all."", 'I am forgetting whether or not the blue sperk that ate 4 earlier was a circle or square body.']",[],"[6.0, 4.0, 4.0, 3.0, 4.0, 5.0, 5.0, 8.0, 5.0, 5.0, 5.0, 8.0, 4.0, 4.0, 4.0, 5.0, 2.0, 5.0, 8.0, 4.0, 6.0, 8.0, 4.0, 6.0]",865.267,"['T_B_C', 'T_Y_S', 'T_B_S', 'N_Y_C', 'T_Y_C', 'N_Y_S', 'N_B_S', 'N_B_C']","[6.0, 6.0, 8.0, 4.0, 4.0, 6.0, 8.0, 6.0]","['medium', 'medium', 'medium', 'low', 'low', 'high', 'medium', 'high', 'medium', 'medium', 'low', 'high', 'medium', 'medium', 'low', 'high', 'low', 'medium', 'high', 'medium', 'medium', 'high', 'low', 'medium']","['H1', 'L1', 'H1', 'L1', 'L1', 'H1', 'L1', 'H1', 'L1', 'H1', 'L1', 'H1', 'L1', 'H1', 'L1', 'H1', 'L1', 'H1', 'H1', 'L1', 'H1', 'H1', 'L1', 'L1']","['I1', 'I2', 'I2', 'I2', 'I1', 'I1', 'I1', 'I2', 'I1', 'I2', 'I1', 'I2', 'I2', 'I1', 'I2', 'I1', 'I2', 'I2', 'I2', 'I2', 'I1', 'I1', 'I1', 'I1']","['L2', 'H2', 'L2', 'L2', 'L2', 'H2', 'H2', 'H2', 'H2', 'L2', 'L2', 'H2', 'H2', 'L2', 'L2', 'H2', 'L2', 'L2', 'H2', 'H2', 'L2', 'H2', 'L2', 'H2']","['high', 'medium', 'high', 'low', 'medium', 'low', 'medium', 'medium']",68,"['T_Y_C', 'N_B_S', 'T_Y_S', 'N_Y_S', 'N_Y_C', 'T_B_C', 'N_B_C', 'T_B_S', 'N_B_C', 'T_Y_S', 'N_Y_C', 'T_B_S', 'N_B_S', 'T_Y_C', 'N_Y_S', 'T_B_C', 'N_Y_S', 'T_Y_S', 'T_B_S', 'N_B_S', 'T_Y_C', 'T_B_C', 'N_Y_C', 'N_B_C']",1,tail,color,shape,B,Y,C,S,T,N,Yes,Square,4.0,Yes,Blue,6.0,Yes,Curly,3.0
134,"['Because it is blue', 'because it is yellow', 'because it is yellow', 'because it is blue', 'because it has a square body', 'because it is yellow', 'because it has a curly tail', 'because it has a curly tail and is blue', 'because it is yellow', 'because it has a straight tail', 'because it is blue\xa0', 'because it is blue', 'because it is yellow', 'because it is yellow', '\xa0because it is blue', 'because it is yellow', 'because it has a curly tail', 'because it is blue\xa0', 'because it is yellow with a straight tail', 'because it is yellow', 'because it is blue', 'because it is blue and has a curly tail', 'because it has a straight tail']",[],"[9.0, 3.0, 2.0, 9.0, 2.0, 7.0, 3.0, 4.0, 5.0, 1.0, 7.0, 8.0, 6.0, 2.0, 3.0, 9.0, 2.0, 5.0, 7.0, 6.0, 1.0, 7.0, 6.0, 4.0]",344.5892,"['T_B_C', 'T_Y_C', 'T_B_S', 'N_B_C', 'N_B_S', 'N_Y_S', 'T_Y_S', 'N_Y_C']","[6.0, 4.0, 7.0, 4.0, 9.0, 3.0, 3.0, 4.0]","['high', 'medium', 'low', 'high', 'medium', 'medium', 'low', 'medium', 'medium', 'low', 'medium', 'high', 'medium', 'low', 'medium', 'high', 'low', 'medium', 'high', 'medium', 'low', 'high', 'medium', 'medium']","['I1', 'I1', 'I2', 'I2', 'I1', 'I2', 'I1', 'I2', 'I2', 'I2', 'I1', 'I2', 'I1', 'I1', 'I2', 'I1', 'I2', 'I2', 'I2', 'I1', 'I1', 'I1', 'I2', 'I1']","['H1', 'H1', 'L1', 'H1', 'L1', 'L1', 'L1', 'H1', 'L1', 'L1', 'H1', 'H1', 'L1', 'L1', 'H1', 'H1', 'L1', 'H1', 'H1', 'H1', 'L1', 'H1', 'L1', 'L1']","['H2', 'L2', 'L2', 'H2', 'H2', 'H2', 'L2', 'L2', 'H2', 'L2', 'L2', 'H2', 'H2', 'L2', 'L2', 'H2', 'L2', 'L2', 'H2', 'L2', 'L2', 'H2', 'H2', 'H2']","['high', 'medium', 'medium', 'high', 'medium', 'low', 'low', 'medium']",134,"['N_B_C', 'N_Y_C', 'T_Y_S', 'T_B_C', 'N_B_S', 'T_B_S', 'N_Y_S', 'T_Y_C', 'T_B_S', 'T_Y_S', 'N_Y_C', 'T_B_C', 'N_B_S', 'N_Y_S', 'T_Y_C', 'N_B_C', 'T_Y_S', 'T_Y_C', 'T_B_C', 'N_Y_C', 'N_Y_S', 'N_B_C', 'T_B_S', 'N_B_S']",1,shape,color,tail,B,Y,C,S,T,N,No,,,Yes,Blue,7.0,Yes,Curly,2.0
033,"['because it has square body and want to eat more', 'because its yellow and wish to eat 5\xa0', 'because its yellow with a round shape', 'its has a coil tail with circle shape yellow body', 'its has a coile shape tail and a blue colored body with a square sharp', 'coil tail with a circle blue body', 'straight tail with circle blue body', 'coil tail with yellow square body', 'coiled tail with circle yellow body', 'coil tail with circle blue body\xa0', 'straight tail with square blue\xa0 body', 'straight tail with circle blue body', 'coiled tail with square yellow body', 'straight tail yellow square body', 'straight tail yellow body', 'coil square blue body', 'straight tail with circled yellow body', 'straight tail with yellow square body', 'coiled tail with circle yellow body', 'straight tails with square blue body', 'straight tail with circle blue body', 'coile tail with square yellow body', 'coil tail with blue circle body', 'coiled tail with square blue body']",['its a clear study'],"[7.0, 5.0, 1.0, 6.0, 7.0, 3.0, 3.0, 8.0, 4.0, 6.0, 4.0, 3.0, 6.0, 6.0, 2.0, 7.0, 6.0, 6.0, 3.0, 4.0, 6.0, 5.0, 5.0, 9.0]",1407.4272,"['N_Y_C', 'T_Y_S', 'T_B_S', 'T_Y_C', 'T_B_C', 'N_B_C', 'N_Y_S', 'N_B_S']","[3.0, 7.0, 4.0, 8.0, 4.0, 3.0, 7.0, 6.0]","['medium', 'medium', 'low', 'medium', 'high', 'medium', 'low', 'high', 'medium', 'medium', 'medium', 'low', 'high', 'medium', 'low', 'high', 'low', 'medium', 'medium', 'medium', 'low', 'high', 'medium', 'high']","['L2', 'L2', 'L2', 'H2', 'H2', 'H2', 'L2', 'H2', 'H2', 'H2', 'L2', 'L2', 'H2', 'L2', 'L2', 'H2', 'L2', 'L2', 'H2', 'L2', 'L2', 'H2', 'H2', 'H2']","['H1', 'H1', 'L1', 'L1', 'H1', 'L1', 'L1', 'H1', 'L1', 'L1', 'H1', 'L1', 'H1', 'H1', 'L1', 'H1', 'L1', 'H1', 'L1', 'H1', 'L1', 'H1', 'L1', 'H1']","['I1', 'I2', 'I2', 'I2', 'I1', 'I1', 'I1', 'I2', 'I2', 'I1', 'I1', 'I1', 'I2', 'I2', 'I2', 'I1', 'I2', 'I2', 'I2', 'I1', 'I1', 'I2', 'I1', 'I1']","['low', 'high', 'high', 'medium', 'medium', 'low', 'medium', 'medium']",33,"['N_B_S', 'N_Y_S', 'N_Y_C', 'T_Y_C', 'T_B_S', 'T_B_C', 'N_B_C', 'T_Y_S', 'T_Y_C', 'T_B_C', 'N_B_S', 'N_B_C', 'T_Y_S', 'N_Y_S', 'N_Y_C', 'T_B_S', 'N_Y_C', 'N_Y_S', 'T_Y_C', 'N_B_S', 'N_B_C', 'T_Y_S', 'T_B_C', 'T_B_S']",1,shape,tail,color,B,Y,S,C,T,N,Yes,Square,6.0,Yes,Blue,5.0,Yes,Curly,6.0
128,"['because that is what filled him up or that is the amount of food that works with his size to give him a balanced diet', 'he only eats 2 times a day instead of 3 so he needs to consume more', 'he needed to eat that amount to get all the food he needed\xa0', 'it was all he could eat', 'That was part of his diet and what the sperk could eat', 'That was the amount of food he could eat', 'That was the amount of food he could eat at that time at meal time', 'That is the amount of food that he could take in', 'this was the amount of food that was to be taken in\xa0', 'That was the amount of food for that time of day that he should eat as part of his diet', 'that was the amount of food he was suppose to have at that time of day', 'for that time of day that was the amount of food he was suppose to have as part of his diet', 'for that time of day that was the amount of food the sperk was suppose to eat', 'that was the amount of food given to him at that time', 'that was the amount of food that was given to the sperk at that time', 'that was the amount of food given to the sperk at that time of day', 'that was the amount of food given to him at that time of day', 'that was the amount of food given to the sperk at that time of day', 'that was the amount of food given to the sperk at that time of day', 'that was the amount of food given to the sperk at that time of day', 'that was the amount of food given to the sperk at that time of day', 'that was the amount of food given to the sperk at that time of day', 'that is the amount of food given to the sperk at that time of day', 'that is the amount of food given to the sperk at that time of day']",[],"[4.0, 7.0, 6.0, 1.0, 6.0, 7.0, 4.0, 5.0, 9.0, 5.0, 3.0, 5.0, 4.0, 3.0, 4.0, 3.0, 4.0, 5.0, 3.0, 9.0, 7.0, 5.0, 6.0, 2.0]",1588.5217,"['T_Y_C', 'T_B_S', 'N_B_C', 'N_Y_S', 'N_B_S', 'T_Y_S', 'T_B_C', 'N_Y_C']","[6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0]","['medium', 'high', 'medium', 'low', 'high', 'medium', 'medium', 'low', 'high', 'high', 'low', 'medium', 'low', 'medium', 'medium', 'medium', 'high', 'medium', 'low', 'high', 'medium', 'low', 'medium', 'medium']","['H2', 'H2', 'L2', 'L2', 'H2', 'H2', 'L2', 'L2', 'H2', 'H2', 'L2', 'H2', 'L2', 'L2', 'H2', 'L2', 'H2', 'L2', 'L2', 'H2', 'H2', 'L2', 'H2', 'L2']","['I1', 'I1', 'I1', 'I2', 'I2', 'I2', 'I2', 'I1', 'I1', 'I2', 'I1', 'I1', 'I2', 'I2', 'I2', 'I1', 'I2', 'I2', 'I2', 'I1', 'I1', 'I1', 'I2', 'I1']","['L1', 'H1', 'H1', 'L1', 'H1', 'L1', 'H1', 'L1', 'H1', 'H1', 'L1', 'L1', 'L1', 'H1', 'L1', 'H1', 'H1', 'H1', 'L1', 'H1', 'L1', 'L1', 'L1', 'H1']","['medium', 'high', 'medium', 'low', 'medium', 'medium', 'high', 'low']",128,"['T_Y_C', 'T_B_C', 'N_B_C', 'N_Y_S', 'T_B_S', 'T_Y_S', 'N_B_S', 'N_Y_C', 'T_B_C', 'T_B_S', 'N_Y_C', 'T_Y_C', 'N_Y_S', 'N_B_S', 'T_Y_S', 'N_B_C', 'T_B_S', 'N_B_S', 'N_Y_S', 'T_B_C', 'T_Y_C', 'N_Y_C', 'T_Y_S', 'N_B_C']",1,color,tail,shape,B,Y,C,S,T,N,No,,,No,,,No,,
