participant,training_responses,food_amount,error,feedback,trial_stop_time,testing_image_order,testing_responses,training_categories,training_tail,training_shape,training_color,testing_categories,conditionOrder,training_image_order,attention_check,relevant_dim_1,relevant_dim_2,irrelevant_dim,color_high,color_low,shape_high,shape_low,tail_high,tail_low,shape_discrete_slider.response,shape_direction_slider.response,shape_continuous_slider.response,color_discrete_slider.response,color_direction_slider.response,color_continuous_slider.response,tail_discrete_slider.response,tail_direction_slider.response,tail_continuous_slider.response
100,"[4.0, 6.0, 3.0, 5.0, 5.0, 6.0, 4.0, 5.0, 4.0, 6.0, 4.0, 7.0, 4.0, 7.0, 5.0, 4.0, 4.0, 3.0, 3.0, 4.0, 5.0, 4.0, 5.0, 6.0]","[4.0, 6.0, 4.0, 5.0, 7.0, 6.0, 4.0, 4.0, 1.0, 7.0, 3.0, 4.0, 7.0, 8.0, 7.0, 3.0, 4.0, 1.0, 6.0, 6.0, 7.0, 4.0, 4.0, 6.0]","[0.0, 0.0, 1.0, 0.0, 2.0, 0.0, 0.0, 1.0, 3.0, 1.0, 1.0, 3.0, 3.0, 1.0, 2.0, 1.0, 0.0, 2.0, 3.0, 2.0, 2.0, 0.0, 1.0, 0.0]",[],593.725,"['N_Y_S', 'T_B_S', 'T_B_C', 'N_B_C', 'T_Y_C', 'T_Y_S', 'N_Y_C', 'N_B_S']","[5.0, 3.0, 3.0, 5.0, 3.0, 5.0, 5.0, 4.0]","['medium', 'high', 'low', 'medium', 'high', 'medium', 'medium', 'low', 'low', 'high', 'medium', 'medium', 'medium', 'high', 'medium', 'low', 'medium', 'low', 'medium', 'medium', 'high', 'low', 'medium', 'high']","['H2', 'H2', 'L2', 'L2', 'H2', 'L2', 'H2', 'L2', 'L2', 'H2', 'H2', 'L2', 'H2', 'H2', 'L2', 'L2', 'H2', 'L2', 'H2', 'L2', 'H2', 'L2', 'L2', 'H2']","['I1', 'I1', 'I2', 'I2', 'I2', 'I1', 'I2', 'I1', 'I2', 'I2', 'I2', 'I1', 'I1', 'I1', 'I2', 'I1', 'I1', 'I1', 'I2', 'I1', 'I1', 'I2', 'I2', 'I2']","['L1', 'H1', 'L1', 'H1', 'H1', 'H1', 'L1', 'L1', 'L1', 'H1', 'L1', 'H1', 'L1', 'H1', 'H1', 'L1', 'L1', 'L1', 'L1', 'H1', 'H1', 'L1', 'H1', 'H1']","['high', 'low', 'low', 'medium', 'medium', 'medium', 'high', 'medium']",100,"['N_B_C', 'N_Y_C', 'T_B_S', 'T_Y_S', 'N_Y_S', 'T_Y_C', 'N_B_S', 'T_B_C', 'T_B_S', 'N_Y_S', 'N_B_S', 'T_Y_C', 'N_B_C', 'N_Y_C', 'T_Y_S', 'T_B_C', 'N_B_C', 'T_B_C', 'N_B_S', 'T_Y_C', 'N_Y_C', 'T_B_S', 'T_Y_S', 'N_Y_S']",1,color,tail,shape,Y,B,C,S,N,T,Yes,Square,3.0,No,,,No,,
060,"[4.0, 5.0, 4.0, 7.0, 5.0, 7.0, 7.0, 4.0, 5.0, 6.0, 4.0, 7.0, 4.0, 6.0, 4.0, 7.0, 3.0, 5.0, 5.0, 4.0, 6.0, 7.0, 3.0, 4.0]","[7.0, 4.0, 5.0, 6.0, 4.0, 5.0, 6.0, 4.0, 3.0, 5.0, 3.0, 5.0, 4.0, 3.0, 4.0, 7.0, 3.0, 8.0, 7.0, 4.0, 6.0, 10.0, 3.0, 8.0]","[3.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 0.0, 2.0, 1.0, 1.0, 2.0, 0.0, 3.0, 0.0, 0.0, 0.0, 3.0, 2.0, 0.0, 0.0, 3.0, 0.0, 4.0]","['Overall, I found this experiment to be very interesting and enjoyable.']",456.4287,"['T_Y_S', 'T_Y_C', 'N_Y_S', 'T_B_C', 'N_Y_C', 'N_B_C', 'T_B_S', 'N_B_S']","[5.0, 4.0, 6.0, 4.0, 4.0, 3.0, 7.0, 7.0]","['high', 'low', 'medium', 'high', 'medium', 'medium', 'medium', 'low', 'low', 'medium', 'low', 'high', 'medium', 'medium', 'medium', 'high', 'low', 'high', 'medium', 'medium', 'medium', 'high', 'low', 'medium']","['I2', 'I2', 'I2', 'I1', 'I1', 'I2', 'I1', 'I1', 'I2', 'I2', 'I1', 'I1', 'I2', 'I1', 'I1', 'I2', 'I2', 'I1', 'I1', 'I2', 'I2', 'I2', 'I1', 'I1']","['H1', 'L1', 'L1', 'H1', 'L1', 'H1', 'H1', 'L1', 'L1', 'H1', 'L1', 'H1', 'L1', 'H1', 'L1', 'H1', 'L1', 'H1', 'H1', 'L1', 'H1', 'H1', 'L1', 'L1']","['H2', 'L2', 'H2', 'H2', 'H2', 'L2', 'L2', 'L2', 'L2', 'L2', 'L2', 'H2', 'H2', 'L2', 'H2', 'H2', 'L2', 'H2', 'L2', 'H2', 'L2', 'H2', 'L2', 'H2']","['medium', 'low', 'medium', 'medium', 'low', 'medium', 'high', 'high']",60,"['T_B_S', 'T_Y_C', 'T_B_C', 'N_B_S', 'N_B_C', 'T_Y_S', 'N_Y_S', 'N_Y_C', 'T_Y_C', 'T_Y_S', 'N_Y_C', 'N_B_S', 'T_B_C', 'N_Y_S', 'N_B_C', 'T_B_S', 'T_Y_C', 'N_B_S', 'N_Y_S', 'T_B_C', 'T_Y_S', 'T_B_S', 'N_Y_C', 'N_B_C']",1,shape,color,tail,B,Y,S,C,T,N,Yes,Square,7.0,No,,,No,,
033,"[6.0, 7.0, 5.0, 1.0, 8.0, 6.0, 5.0, 7.0, 5.0, 6.0, 7.0, 6.0, 8.0, 8.0, 3.0, 8.0, 2.0, 7.0, 7.0, 5.0, 4.0, 7.0, 6.0, 7.0]","[7.0, 5.0, 1.0, 6.0, 7.0, 3.0, 3.0, 8.0, 4.0, 6.0, 4.0, 3.0, 6.0, 6.0, 2.0, 7.0, 6.0, 6.0, 3.0, 4.0, 6.0, 5.0, 5.0, 9.0]","[1.0, 2.0, 4.0, 5.0, 1.0, 3.0, 2.0, 1.0, 1.0, 0.0, 3.0, 3.0, 2.0, 2.0, 1.0, 1.0, 4.0, 1.0, 4.0, 1.0, 2.0, 2.0, 1.0, 2.0]",[],401.5977,"['N_Y_C', 'T_Y_S', 'T_B_S', 'T_Y_C', 'T_B_C', 'N_B_C', 'N_Y_S', 'N_B_S']","[2.0, 6.0, 7.0, 5.0, 6.0, 4.0, 3.0, 6.0]","['medium', 'medium', 'low', 'medium', 'high', 'medium', 'low', 'high', 'medium', 'medium', 'medium', 'low', 'high', 'medium', 'low', 'high', 'low', 'medium', 'medium', 'medium', 'low', 'high', 'medium', 'high']","['L2', 'L2', 'L2', 'H2', 'H2', 'H2', 'L2', 'H2', 'H2', 'H2', 'L2', 'L2', 'H2', 'L2', 'L2', 'H2', 'L2', 'L2', 'H2', 'L2', 'L2', 'H2', 'H2', 'H2']","['H1', 'H1', 'L1', 'L1', 'H1', 'L1', 'L1', 'H1', 'L1', 'L1', 'H1', 'L1', 'H1', 'H1', 'L1', 'H1', 'L1', 'H1', 'L1', 'H1', 'L1', 'H1', 'L1', 'H1']","['I1', 'I2', 'I2', 'I2', 'I1', 'I1', 'I1', 'I2', 'I2', 'I1', 'I1', 'I1', 'I2', 'I2', 'I2', 'I1', 'I2', 'I2', 'I2', 'I1', 'I1', 'I2', 'I1', 'I1']","['low', 'high', 'high', 'medium', 'medium', 'low', 'medium', 'medium']",33,"['N_B_S', 'N_Y_S', 'N_Y_C', 'T_Y_C', 'T_B_S', 'T_B_C', 'N_B_C', 'T_Y_S', 'T_Y_C', 'T_B_C', 'N_B_S', 'N_B_C', 'T_Y_S', 'N_Y_S', 'N_Y_C', 'T_B_S', 'N_Y_C', 'N_Y_S', 'T_Y_C', 'N_B_S', 'N_B_C', 'T_Y_S', 'T_B_C', 'T_B_S']",1,shape,tail,color,B,Y,S,C,T,N,Yes,Square,4.0,Yes,Blue,2.0,Yes,Curly,6.0
020,"[6.0, 6.0, 3.0, 3.0, 3.0, 7.0, 5.0, 4.0, 3.0, 5.0, 4.0, 6.0, 4.0, 4.0, 6.0, 6.0, 5.0, 6.0, 4.0, 6.0, 7.0, 5.0, 8.0, 5.0]","[3.0, 2.0, 4.0, 6.0, 5.0, 4.0, 5.0, 6.0, 5.0, 6.0, 4.0, 8.0, 2.0, 3.0, 5.0, 4.0, 5.0, 4.0, 6.0, 4.0, 3.0, 5.0, 6.0, 1.0]","[3.0, 4.0, 1.0, 3.0, 2.0, 3.0, 0.0, 2.0, 2.0, 1.0, 0.0, 2.0, 2.0, 1.0, 1.0, 2.0, 0.0, 2.0, 2.0, 2.0, 4.0, 0.0, 2.0, 4.0]",[],442.6897,"['T_Y_S', 'T_B_S', 'N_Y_S', 'T_Y_C', 'N_Y_C', 'N_B_S', 'N_B_C', 'T_B_C']","[6.0, 7.0, 4.0, 6.0, 3.0, 4.0, 5.0, 6.0]","['low', 'medium', 'low', 'medium', 'medium', 'high', 'medium', 'high', 'medium', 'high', 'medium', 'high', 'low', 'low', 'medium', 'medium', 'medium', 'medium', 'high', 'medium', 'low', 'medium', 'high', 'low']","['L2', 'L2', 'L2', 'H2', 'L2', 'H2', 'H2', 'H2', 'L2', 'H2', 'L2', 'H2', 'L2', 'L2', 'H2', 'H2', 'H2', 'H2', 'H2', 'L2', 'L2', 'L2', 'H2', 'L2']","['I2', 'I1', 'I1', 'I2', 'I2', 'I2', 'I1', 'I1', 'I1', 'I2', 'I2', 'I1', 'I2', 'I1', 'I2', 'I1', 'I2', 'I1', 'I2', 'I2', 'I2', 'I1', 'I1', 'I1']","['L1', 'H1', 'L1', 'L1', 'H1', 'H1', 'L1', 'H1', 'H1', 'H1', 'H1', 'H1', 'L1', 'L1', 'L1', 'L1', 'L1', 'L1', 'H1', 'H1', 'L1', 'H1', 'H1', 'L1']","['medium', 'high', 'low', 'medium', 'low', 'medium', 'medium', 'high']",20,"['N_Y_C', 'N_B_S', 'N_Y_S', 'T_Y_C', 'N_B_C', 'T_B_C', 'T_Y_S', 'T_B_S', 'N_B_S', 'T_B_C', 'N_B_C', 'T_B_S', 'N_Y_C', 'N_Y_S', 'T_Y_C', 'T_Y_S', 'T_Y_C', 'T_Y_S', 'T_B_C', 'N_B_C', 'N_Y_C', 'N_B_S', 'T_B_S', 'N_Y_S']",1,color,tail,shape,B,Y,S,C,T,N,Yes,Square,2.0,Yes,Blue,2.0,Yes,Curly,3.0
043,"[5.0, 3.0, 6.0, 5.0, 4.0, 6.0, 5.0, 6.0, 6.0, 4.0, 5.0, 5.0, 4.0, 5.0, 2.0, 6.0, 6.0, 6.0, 5.0, 2.0, 4.0, 3.0, 2.0, 3.0]","[6.0, 5.0, 5.0, 4.0, 2.0, 7.0, 6.0, 7.0, 5.0, 7.0, 1.0, 6.0, 2.0, 2.0, 6.0, 5.0, 6.0, 7.0, 1.0, 6.0, 6.0, 5.0, 2.0, 2.0]","[1.0, 2.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 3.0, 4.0, 1.0, 2.0, 3.0, 4.0, 1.0, 0.0, 1.0, 4.0, 4.0, 2.0, 2.0, 0.0, 1.0]",[],366.0126,"['N_Y_S', 'N_B_S', 'T_B_C', 'T_Y_S', 'T_B_S', 'N_B_C', 'T_Y_C', 'N_Y_C']","[5.0, 7.0, 6.0, 5.0, 7.0, 6.0, 2.0, 2.0]","['medium', 'medium', 'low', 'medium', 'low', 'high', 'medium', 'high', 'medium', 'high', 'low', 'high', 'low', 'medium', 'medium', 'medium', 'medium', 'high', 'low', 'high', 'medium', 'medium', 'low', 'medium']","['L2', 'H2', 'L2', 'H2', 'L2', 'H2', 'L2', 'H2', 'L2', 'H2', 'L2', 'H2', 'L2', 'H2', 'H2', 'L2', 'L2', 'H2', 'L2', 'H2', 'H2', 'L2', 'L2', 'H2']","['H1', 'L1', 'L1', 'L1', 'L1', 'H1', 'H1', 'H1', 'H1', 'H1', 'L1', 'H1', 'L1', 'L1', 'L1', 'H1', 'H1', 'H1', 'L1', 'H1', 'L1', 'H1', 'L1', 'L1']","['I2', 'I2', 'I2', 'I1', 'I1', 'I2', 'I1', 'I1', 'I2', 'I1', 'I2', 'I2', 'I1', 'I2', 'I1', 'I1', 'I2', 'I2', 'I2', 'I1', 'I2', 'I1', 'I1', 'I1']","['medium', 'medium', 'medium', 'high', 'high', 'low', 'medium', 'low']",43,"['N_B_S', 'T_B_C', 'N_B_C', 'T_Y_C', 'N_Y_C', 'T_B_S', 'N_Y_S', 'T_Y_S', 'N_B_S', 'T_Y_S', 'N_B_C', 'T_B_S', 'N_Y_C', 'T_B_C', 'T_Y_C', 'N_Y_S', 'N_B_S', 'T_B_S', 'N_B_C', 'T_Y_S', 'T_B_C', 'N_Y_S', 'N_Y_C', 'T_Y_C']",1,shape,tail,color,B,Y,S,C,T,N,Yes,Square,2.0,Yes,Blue,1.0,No,,
067,"[4.0, 10.0, 8.0, 7.0, 7.0, 7.0, 4.0, 3.0, 8.0, 3.0, 7.0, 3.0, 5.0, 5.0, 7.0, 7.0, 8.0, 4.0, 7.0, 6.0, 6.0, 6.0, 5.0, 4.0]","[7.0, 5.0, 1.0, 8.0, 4.0, 3.0, 3.0, 5.0, 7.0, 5.0, 7.0, 3.0, 3.0, 4.0, 7.0, 6.0, 6.0, 7.0, 4.0, 1.0, 5.0, 8.0, 5.0, 4.0]","[3.0, 5.0, 7.0, 1.0, 3.0, 4.0, 1.0, 2.0, 1.0, 2.0, 0.0, 0.0, 2.0, 1.0, 0.0, 1.0, 2.0, 3.0, 3.0, 5.0, 1.0, 2.0, 0.0, 0.0]",['None at this time'],351.9485,"['N_B_S', 'T_B_S', 'N_Y_S', 'N_B_C', 'T_B_C', 'T_Y_C', 'N_Y_C', 'T_Y_S']","[8.0, 8.0, 4.0, 7.0, 7.0, 6.0, 4.0, 4.0]","['high', 'medium', 'low', 'high', 'medium', 'medium', 'low', 'medium', 'medium', 'medium', 'high', 'low', 'medium', 'low', 'high', 'medium', 'high', 'medium', 'medium', 'low', 'low', 'high', 'medium', 'medium']","['I1', 'I1', 'I1', 'I2', 'I2', 'I1', 'I2', 'I2', 'I2', 'I1', 'I2', 'I1', 'I2', 'I2', 'I1', 'I1', 'I2', 'I2', 'I2', 'I1', 'I2', 'I1', 'I1', 'I1']","['H1', 'L1', 'L1', 'H1', 'L1', 'H1', 'L1', 'H1', 'L1', 'H1', 'H1', 'L1', 'H1', 'L1', 'H1', 'L1', 'H1', 'H1', 'L1', 'L1', 'L1', 'H1', 'L1', 'H1']","['H2', 'H2', 'L2', 'H2', 'H2', 'L2', 'L2', 'L2', 'H2', 'L2', 'H2', 'L2', 'L2', 'L2', 'H2', 'H2', 'H2', 'L2', 'H2', 'L2', 'L2', 'H2', 'H2', 'L2']","['high', 'high', 'medium', 'medium', 'medium', 'low', 'low', 'medium']",67,"['N_B_S', 'N_B_C', 'N_Y_C', 'T_B_S', 'T_B_C', 'N_Y_S', 'T_Y_C', 'T_Y_S', 'T_B_C', 'N_Y_S', 'T_B_S', 'N_Y_C', 'T_Y_S', 'T_Y_C', 'N_B_S', 'N_B_C', 'T_B_S', 'T_Y_S', 'T_B_C', 'N_Y_C', 'T_Y_C', 'N_B_S', 'N_B_C', 'N_Y_S']",1,shape,color,tail,B,Y,S,C,T,N,No,,,Yes,Blue,6.0,No,,
069,"[7.0, 5.0, 8.0, 5.0, 6.0, 9.0, 5.0, 6.0, 7.0, 5.0, 5.0, 6.0, 5.0, 7.0, 5.0, 6.0, 8.0, 5.0, 6.0, 8.0, 3.0, 5.0, 7.0, 5.0]","[5.0, 4.0, 5.0, 9.0, 5.0, 7.0, 7.0, 4.0, 5.0, 6.0, 2.0, 3.0, 3.0, 6.0, 8.0, 9.0, 9.0, 3.0, 6.0, 6.0, 2.0, 5.0, 5.0, 7.0]","[2.0, 1.0, 3.0, 4.0, 1.0, 2.0, 2.0, 2.0, 2.0, 1.0, 3.0, 3.0, 2.0, 1.0, 3.0, 3.0, 1.0, 2.0, 0.0, 2.0, 1.0, 0.0, 2.0, 2.0]",[],352.9394,"['N_B_C', 'N_B_S', 'T_B_S', 'T_Y_C', 'T_B_C', 'N_Y_C', 'T_Y_S', 'N_Y_S']","[4.0, 5.0, 7.0, 5.0, 6.0, 7.0, 8.0, 4.0]","['low', 'medium', 'medium', 'high', 'medium', 'high', 'medium', 'low', 'medium', 'medium', 'low', 'medium', 'low', 'high', 'medium', 'high', 'high', 'low', 'medium', 'high', 'low', 'medium', 'medium', 'medium']","['I2', 'I2', 'I1', 'I1', 'I2', 'I2', 'I1', 'I1', 'I1', 'I2', 'I1', 'I1', 'I2', 'I1', 'I2', 'I2', 'I2', 'I1', 'I1', 'I1', 'I2', 'I2', 'I2', 'I1']","['L1', 'H1', 'L1', 'H1', 'L1', 'H1', 'H1', 'L1', 'H1', 'L1', 'L1', 'L1', 'L1', 'H1', 'H1', 'H1', 'H1', 'L1', 'H1', 'H1', 'L1', 'H1', 'L1', 'L1']","['L2', 'L2', 'H2', 'H2', 'H2', 'H2', 'L2', 'L2', 'L2', 'H2', 'L2', 'H2', 'L2', 'H2', 'L2', 'H2', 'H2', 'L2', 'L2', 'H2', 'L2', 'L2', 'H2', 'H2']","['medium', 'low', 'low', 'high', 'medium', 'high', 'medium', 'medium']",69,"['N_B_S', 'N_B_C', 'T_Y_S', 'T_Y_C', 'N_Y_S', 'N_Y_C', 'T_B_C', 'T_B_S', 'T_B_C', 'N_Y_S', 'T_B_S', 'T_Y_S', 'N_B_S', 'T_Y_C', 'N_B_C', 'N_Y_C', 'N_Y_C', 'T_B_S', 'T_B_C', 'T_Y_C', 'N_B_S', 'N_B_C', 'N_Y_S', 'T_Y_S']",1,shape,color,tail,Y,B,C,S,N,T,Yes,Square,5.0,Yes,Blue,5.0,Yes, Straight,6.0
090,"[5.0, 5.0, 5.0, 3.0, 8.0, 8.0, 8.0, 7.0, 5.0, 8.0, 3.0, 5.0, 4.0, 3.0, 3.0, 7.0, 6.0, 9.0, 6.0, 7.0, 3.0, 3.0, 7.0, 7.0]","[7.0, 5.0, 4.0, 3.0, 3.0, 5.0, 5.0, 9.0, 6.0, 4.0, 8.0, 9.0, 6.0, 5.0, 2.0, 5.0, 5.0, 7.0, 6.0, 8.0, 3.0, 5.0, 5.0, 4.0]","[2.0, 0.0, 1.0, 0.0, 5.0, 3.0, 3.0, 2.0, 1.0, 4.0, 5.0, 4.0, 2.0, 2.0, 1.0, 2.0, 1.0, 2.0, 0.0, 1.0, 0.0, 2.0, 2.0, 3.0]",['I wondered if the criteria only added to food consumption or if it might also subtract'],611.273,"['T_B_C', 'T_B_S', 'N_B_S', 'N_Y_S', 'T_Y_C', 'N_B_C', 'T_Y_S', 'N_Y_C']","[6.0, 7.0, 5.0, 5.0, 5.0, 4.0, 6.0, 3.0]","['medium', 'medium', 'medium', 'low', 'low', 'high', 'high', 'medium', 'medium', 'low', 'high', 'high', 'medium', 'medium', 'low', 'medium', 'medium', 'high', 'medium', 'high', 'low', 'low', 'medium', 'medium']","['H1', 'L1', 'H1', 'L1', 'L1', 'H1', 'H1', 'L1', 'H1', 'L1', 'H1', 'H1', 'L1', 'H1', 'L1', 'L1', 'L1', 'H1', 'H1', 'H1', 'L1', 'L1', 'H1', 'L1']","['I1', 'I1', 'I2', 'I2', 'I1', 'I2', 'I1', 'I2', 'I2', 'I2', 'I1', 'I2', 'I1', 'I1', 'I1', 'I2', 'I1', 'I2', 'I1', 'I1', 'I2', 'I1', 'I2', 'I2']","['L2', 'H2', 'L2', 'L2', 'L2', 'H2', 'H2', 'H2', 'L2', 'L2', 'H2', 'H2', 'H2', 'L2', 'L2', 'H2', 'H2', 'H2', 'L2', 'H2', 'L2', 'L2', 'L2', 'H2']","['high', 'high', 'medium', 'low', 'medium', 'medium', 'medium', 'low']",90,"['T_Y_C', 'N_B_C', 'T_Y_S', 'N_Y_S', 'N_Y_C', 'T_B_S', 'T_B_C', 'N_B_S', 'T_Y_S', 'N_Y_S', 'T_B_C', 'T_B_S', 'N_B_C', 'T_Y_C', 'N_Y_C', 'N_B_S', 'N_B_C', 'T_B_S', 'T_Y_C', 'T_B_C', 'N_Y_S', 'N_Y_C', 'T_Y_S', 'N_B_S']",1,tail,color,shape,B,Y,C,S,T,N,Yes,Square,5.0,Yes,Blue,5.0,Yes,Curly,5.0
109,"[4.0, 6.0, 8.0, 5.0, 8.0, 6.0, 5.0, 4.0, 5.0, 8.0, 1.0, 8.0, 7.0, 4.0, 3.0, 9.0, 4.0, 9.0, 1.0, 4.0, 1.0, 6.0, 5.0, 5.0]","[8.0, 8.0, 5.0, 6.0, 6.0, 7.0, 4.0, 1.0, 5.0, 4.0, 1.0, 9.0, 7.0, 3.0, 4.0, 4.0, 4.0, 5.0, 4.0, 3.0, 4.0, 8.0, 6.0, 6.0]","[4.0, 2.0, 3.0, 1.0, 2.0, 1.0, 1.0, 3.0, 0.0, 4.0, 0.0, 1.0, 0.0, 1.0, 1.0, 5.0, 0.0, 4.0, 3.0, 1.0, 3.0, 2.0, 1.0, 1.0]","[""I didn't expect the survey to start advancing on it's own.\xa0""]",438.2716,"['N_B_C', 'T_B_S', 'N_Y_C', 'T_B_C', 'T_Y_S', 'T_Y_C', 'N_B_S', 'N_Y_S']","[1.0, 3.0, 5.0, 5.0, 8.0, 4.0, 4.0, 4.0]","['high', 'high', 'medium', 'medium', 'medium', 'medium', 'low', 'low', 'low', 'medium', 'low', 'high', 'high', 'medium', 'medium', 'medium', 'medium', 'high', 'low', 'low', 'medium', 'high', 'medium', 'medium']","['H2', 'H2', 'L2', 'L2', 'H2', 'H2', 'L2', 'L2', 'L2', 'L2', 'L2', 'H2', 'H2', 'H2', 'H2', 'L2', 'H2', 'H2', 'L2', 'L2', 'H2', 'H2', 'L2', 'L2']","['I2', 'I1', 'I2', 'I1', 'I1', 'I2', 'I2', 'I1', 'I2', 'I2', 'I1', 'I1', 'I2', 'I2', 'I1', 'I1', 'I1', 'I1', 'I2', 'I1', 'I2', 'I2', 'I2', 'I1']","['H1', 'H1', 'H1', 'H1', 'L1', 'L1', 'L1', 'L1', 'L1', 'H1', 'L1', 'H1', 'H1', 'L1', 'L1', 'H1', 'L1', 'H1', 'L1', 'L1', 'L1', 'H1', 'H1', 'H1']","['low', 'medium', 'medium', 'medium', 'high', 'high', 'low', 'medium']",109,"['T_Y_S', 'T_Y_C', 'N_Y_S', 'N_Y_C', 'T_B_C', 'T_B_S', 'N_B_S', 'N_B_C', 'N_B_S', 'N_Y_S', 'N_B_C', 'T_Y_C', 'T_Y_S', 'T_B_S', 'T_B_C', 'N_Y_C', 'T_B_C', 'T_Y_C', 'N_B_S', 'N_B_C', 'T_B_S', 'T_Y_S', 'N_Y_S', 'N_Y_C']",1,color,tail,shape,Y,B,S,C,T,N,Yes,Square,4.0,Yes, Yellow,5.0,Yes,Curly,5.0
037,"[5.0, 7.0, 4.0, 3.0, 3.0, 3.0, 5.0, 5.0, 5.0, 3.0, 3.0, 7.0, 5.0, 3.0, 4.0, 2.0, 4.0, 4.0, 3.0, 4.0, 7.0, 5.0, 6.0, 5.0]","[3.0, 5.0, 3.0, 7.0, 1.0, 3.0, 7.0, 7.0, 6.0, 2.0, 7.0, 7.0, 2.0, 4.0, 8.0, 3.0, 6.0, 3.0, 4.0, 5.0, 4.0, 4.0, 6.0, 7.0]","[2.0, 2.0, 1.0, 4.0, 2.0, 0.0, 2.0, 2.0, 1.0, 1.0, 4.0, 0.0, 3.0, 1.0, 4.0, 1.0, 2.0, 1.0, 1.0, 1.0, 3.0, 1.0, 0.0, 2.0]",[],499.6621,"['N_B_S', 'N_B_C', 'T_B_C', 'T_B_S', 'T_Y_S', 'N_Y_C', 'N_Y_S', 'T_Y_C']","[8.0, 5.0, 3.0, 4.0, 2.0, 7.0, 5.0, 3.0]","['medium', 'medium', 'medium', 'high', 'low', 'low', 'high', 'medium', 'high', 'low', 'medium', 'medium', 'medium', 'medium', 'high', 'low', 'medium', 'low', 'low', 'medium', 'medium', 'medium', 'high', 'high']","['L2', 'H2', 'H2', 'H2', 'L2', 'L2', 'H2', 'L2', 'H2', 'L2', 'L2', 'H2', 'H2', 'L2', 'H2', 'L2', 'L2', 'L2', 'L2', 'L2', 'H2', 'H2', 'H2', 'H2']","['H1', 'L1', 'L1', 'H1', 'L1', 'L1', 'H1', 'H1', 'H1', 'L1', 'H1', 'L1', 'L1', 'H1', 'H1', 'L1', 'H1', 'L1', 'L1', 'H1', 'L1', 'L1', 'H1', 'H1']","['I2', 'I1', 'I2', 'I2', 'I1', 'I2', 'I1', 'I1', 'I2', 'I2', 'I2', 'I2', 'I1', 'I1', 'I1', 'I1', 'I2', 'I1', 'I2', 'I1', 'I1', 'I2', 'I2', 'I1']","['medium', 'high', 'medium', 'low', 'low', 'high', 'medium', 'medium']",37,"['T_B_C', 'N_Y_S', 'N_B_S', 'N_B_C', 'T_Y_S', 'T_B_S', 'N_Y_C', 'T_Y_C', 'N_B_C', 'T_B_S', 'T_B_C', 'N_B_S', 'N_Y_S', 'T_Y_C', 'N_Y_C', 'T_Y_S', 'T_B_C', 'T_Y_S', 'T_B_S', 'T_Y_C', 'N_Y_S', 'N_B_S', 'N_B_C', 'N_Y_C']",1,shape,tail,color,B,Y,C,S,N,T,No,,,Yes,Blue,1.0,Yes, Straight,2.0
