participant,training_responses,food_amount,error,feedback,trial_stop_time,testing_image_order,testing_responses,training_categories,training_tail,training_wing,training_color,testing_categories,conditionOrder,training_image_order,attention_check,relevant_dim_1,relevant_dim_2,irrelevant_dim,color_high,color_low,wing_high,wing_low,tail_high,tail_low,wing_discrete_slider.response,wing_direction_slider.response,wing_continuous_slider.response,color_discrete_slider.response,color_direction_slider.response,color_continuous_slider.response,tail_discrete_slider.response,tail_direction_slider.response,tail_continuous_slider.response
215,"[3.0, 7.0, 5.0, 5.0, 6.0, 7.0, 6.0, 6.0, 7.0, 7.0, 5.0, 4.0, 3.0, 4.0, 6.0, 6.0, 4.0, 7.0, 7.0, 3.0, 6.0, 6.0, 3.0, 6.0]","[8.0, 6.0, 7.0, 7.0, 6.0, 5.0, 2.0, 5.0, 6.0, 8.0, 5.0, 3.0, 2.0, 4.0, 6.0, 6.0, 3.0, 7.0, 9.0, 3.0, 4.0, 6.0, 6.0, 8.0]","[5.0, 1.0, 2.0, 2.0, 0.0, 2.0, 4.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 2.0, 0.0, 2.0, 0.0, 3.0, 2.0]",[],441.638,"['T_B_C', 'T_Y_S', 'T_Y_C', 'T_B_S', 'N_B_S', 'N_Y_S', 'N_B_C', 'N_Y_C']","[3.0, 6.0, 6.0, 4.0, 4.0, 6.0, 6.0, 8.0]","['high', 'high', 'medium', 'medium', 'low', 'medium', 'low', 'medium', 'high', 'high', 'medium', 'low', 'low', 'medium', 'medium', 'medium', 'low', 'high', 'high', 'low', 'medium', 'medium', 'medium', 'medium']","['I2', 'I1', 'I1', 'I1', 'I1', 'I2', 'I2', 'I2', 'I1', 'I2', 'I1', 'I2', 'I1', 'I2', 'I1', 'I2', 'I2', 'I1', 'I2', 'I1', 'I2', 'I2', 'I1', 'I1']","['H1', 'H1', 'L1', 'H1', 'L1', 'L1', 'L1', 'H1', 'H1', 'H1', 'H1', 'L1', 'L1', 'H1', 'L1', 'L1', 'L1', 'H1', 'H1', 'L1', 'L1', 'H1', 'L1', 'H1']","['H2', 'H2', 'H2', 'L2', 'L2', 'H2', 'L2', 'L2', 'H2', 'H2', 'L2', 'L2', 'L2', 'L2', 'H2', 'H2', 'L2', 'H2', 'H2', 'L2', 'H2', 'L2', 'H2', 'L2']","['low', 'medium', 'medium', 'low', 'medium', 'high', 'medium', 'high']",215,"['N_Y_C', 'N_Y_S', 'T_Y_S', 'N_B_S', 'T_B_S', 'T_Y_C', 'T_B_C', 'N_B_C', 'N_Y_S', 'N_Y_C', 'N_B_S', 'T_B_C', 'T_B_S', 'N_B_C', 'T_Y_S', 'T_Y_C', 'T_B_C', 'N_Y_S', 'N_Y_C', 'T_B_S', 'T_Y_C', 'N_B_C', 'T_Y_S', 'N_B_S']",1,wing,color,tail,Y,B,N,T,S,C,Yes, Paws,5.0,Yes, Yellow,5.0,No,,
068,"[3.0, 1.0, 5.0, 6.0, 6.0, 7.0, 5.0, 3.0, 5.0, 6.0, 4.0, 5.0, 6.0, 3.0, 6.0, 5.0, 6.0, 5.0, 5.0, 4.0, 3.0, 4.0, 9.0, 6.0]","[6.0, 5.0, 3.0, 5.0, 2.0, 5.0, 3.0, 4.0, 4.0, 2.0, 3.0, 9.0, 6.0, 5.0, 3.0, 5.0, 8.0, 4.0, 8.0, 4.0, 5.0, 3.0, 5.0, 7.0]","[3.0, 4.0, 2.0, 1.0, 4.0, 2.0, 2.0, 1.0, 1.0, 4.0, 1.0, 4.0, 0.0, 2.0, 3.0, 0.0, 2.0, 1.0, 3.0, 0.0, 2.0, 1.0, 4.0, 1.0]",[],581.0703,"['T_Y_S', 'T_Y_C', 'T_B_S', 'N_Y_S', 'N_B_C', 'T_B_C', 'N_B_S', 'N_Y_C']","[5.0, 5.0, 3.0, 6.0, 4.0, 5.0, 5.0, 3.0]","['medium', 'medium', 'high', 'medium', 'low', 'medium', 'high', 'low', 'medium', 'low', 'low', 'high', 'medium', 'medium', 'medium', 'high', 'high', 'medium', 'high', 'low', 'medium', 'low', 'medium', 'medium']","['H2', 'L2', 'H2', 'H2', 'L2', 'L2', 'H2', 'L2', 'L2', 'L2', 'L2', 'H2', 'H2', 'L2', 'H2', 'H2', 'H2', 'L2', 'H2', 'L2', 'L2', 'L2', 'H2', 'H2']","['I1', 'I2', 'I1', 'I2', 'I1', 'I1', 'I2', 'I2', 'I1', 'I1', 'I2', 'I1', 'I1', 'I2', 'I2', 'I2', 'I1', 'I1', 'I2', 'I1', 'I2', 'I2', 'I2', 'I1']","['L1', 'H1', 'H1', 'L1', 'L1', 'H1', 'H1', 'L1', 'H1', 'L1', 'L1', 'H1', 'L1', 'H1', 'L1', 'H1', 'H1', 'H1', 'H1', 'L1', 'H1', 'L1', 'L1', 'L1']","['medium', 'low', 'high', 'medium', 'medium', 'medium', 'high', 'low']",68,"['N_Y_S', 'T_B_C', 'N_B_S', 'T_Y_S', 'N_Y_C', 'N_B_C', 'T_B_S', 'T_Y_C', 'N_B_C', 'N_Y_C', 'T_Y_C', 'N_B_S', 'N_Y_S', 'T_B_C', 'T_Y_S', 'T_B_S', 'N_B_S', 'N_B_C', 'T_B_S', 'N_Y_C', 'T_B_C', 'T_Y_C', 'T_Y_S', 'N_Y_S']",1,color,tail,wing,B,Y,N,T,S,C,No,,,Yes, Yellow,5.0,Yes, Straight,4.0
012,"[6.0, 4.0, 8.0, 6.0, 2.0, 4.0, 3.0, 7.0, 4.0, 2.0, 6.0, 2.0, 4.0, 2.0, 5.0, 2.0, 5.0, 6.0, 2.0, 5.0, 5.0, 2.0, 2.0, 6.0]","[5.0, 4.0, 2.0, 2.0, 6.0, 3.0, 7.0, 6.0, 6.0, 5.0, 2.0, 6.0, 8.0, 5.0, 5.0, 1.0, 8.0, 2.0, 5.0, 6.0, 4.0, 5.0, 6.0, 7.0]","[1.0, 0.0, 6.0, 4.0, 4.0, 1.0, 4.0, 1.0, 2.0, 3.0, 4.0, 4.0, 4.0, 3.0, 0.0, 1.0, 3.0, 4.0, 3.0, 1.0, 1.0, 3.0, 4.0, 1.0]","['Really interesting and difficult to keep track of mentally but eventually started to see a pattern, although not sure if I figured it all out.\xa0']",407.107,"['T_B_C', 'T_Y_C', 'N_Y_C', 'N_B_C', 'N_B_S', 'T_Y_S', 'N_Y_S', 'T_B_S']","[3.0, 7.0, 9.0, 4.0, 3.0, 4.0, 9.0, 4.0]","['medium', 'medium', 'low', 'low', 'medium', 'high', 'high', 'medium', 'medium', 'medium', 'low', 'medium', 'high', 'high', 'medium', 'low', 'high', 'low', 'medium', 'medium', 'medium', 'high', 'low', 'medium']","['H2', 'L2', 'L2', 'L2', 'L2', 'H2', 'H2', 'H2', 'H2', 'L2', 'L2', 'H2', 'H2', 'H2', 'L2', 'L2', 'H2', 'L2', 'L2', 'L2', 'H2', 'H2', 'L2', 'H2']","['I1', 'I1', 'I2', 'I1', 'I2', 'I1', 'I2', 'I2', 'I2', 'I2', 'I1', 'I1', 'I1', 'I2', 'I1', 'I2', 'I2', 'I1', 'I1', 'I2', 'I2', 'I1', 'I2', 'I1']","['L1', 'H1', 'L1', 'L1', 'H1', 'H1', 'H1', 'L1', 'L1', 'H1', 'L1', 'L1', 'H1', 'H1', 'H1', 'L1', 'H1', 'L1', 'H1', 'H1', 'L1', 'H1', 'L1', 'L1']","['medium', 'low', 'low', 'medium', 'high', 'medium', 'medium', 'high']",12,"['T_Y_S', 'T_B_C', 'N_Y_C', 'T_Y_C', 'N_B_C', 'T_B_S', 'N_B_S', 'N_Y_S', 'N_Y_S', 'N_B_C', 'T_Y_C', 'T_Y_S', 'T_B_S', 'N_B_S', 'T_B_C', 'N_Y_C', 'N_B_S', 'T_Y_C', 'T_B_C', 'N_B_C', 'N_Y_S', 'T_B_S', 'N_Y_C', 'T_Y_S']",1,color,tail,wing,B,Y,N,T,S,C,Yes, Paws,6.0,Yes,Blue,6.0,Yes,Curly,5.0
214,"[5.0, 3.0, 2.0, 5.0, 3.0, 5.0, 4.0, 4.0, 2.0, 3.0, 5.0, 3.0, 5.0, 4.0, 5.0, 4.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 4.0]","[2.0, 3.0, 4.0, 5.0, 8.0, 5.0, 3.0, 6.0, 8.0, 2.0, 10.0, 8.0, 4.0, 3.0, 6.0, 4.0, 7.0, 2.0, 4.0, 4.0, 4.0, 7.0, 7.0, 10.0]","[3.0, 0.0, 2.0, 0.0, 5.0, 0.0, 1.0, 2.0, 6.0, 1.0, 5.0, 5.0, 1.0, 1.0, 1.0, 0.0, 2.0, 3.0, 1.0, 1.0, 1.0, 2.0, 2.0, 6.0]",[],443.3851,"['N_B_S', 'N_Y_S', 'T_B_C', 'N_B_C', 'T_Y_C', 'T_Y_S', 'N_Y_C', 'T_B_S']","[3.0, 4.0, 6.0, 3.0, 6.0, 6.0, 4.0, 6.0]","['medium', 'medium', 'low', 'low', 'high', 'medium', 'medium', 'high', 'medium', 'low', 'high', 'high', 'medium', 'low', 'medium', 'medium', 'high', 'low', 'medium', 'medium', 'low', 'medium', 'high', 'medium']","['L1', 'H1', 'L1', 'L1', 'H1', 'H1', 'L1', 'H1', 'L1', 'L1', 'H1', 'H1', 'L1', 'L1', 'H1', 'H1', 'H1', 'L1', 'H1', 'L1', 'L1', 'L1', 'H1', 'H1']","['I1', 'I1', 'I1', 'I2', 'I1', 'I2', 'I2', 'I2', 'I1', 'I1', 'I2', 'I1', 'I2', 'I2', 'I2', 'I1', 'I2', 'I2', 'I2', 'I2', 'I1', 'I1', 'I1', 'I1']","['H2', 'L2', 'L2', 'L2', 'H2', 'L2', 'H2', 'H2', 'H2', 'L2', 'H2', 'H2', 'H2', 'L2', 'L2', 'L2', 'H2', 'L2', 'L2', 'H2', 'L2', 'H2', 'H2', 'L2']","['high', 'medium', 'medium', 'medium', 'low', 'medium', 'low', 'high']",214,"['N_B_C', 'N_Y_S', 'N_Y_C', 'T_Y_C', 'N_B_S', 'T_Y_S', 'T_B_C', 'T_B_S', 'N_B_C', 'N_Y_C', 'T_B_S', 'N_B_S', 'T_B_C', 'T_Y_C', 'T_Y_S', 'N_Y_S', 'T_B_S', 'T_Y_C', 'T_Y_S', 'T_B_C', 'N_Y_C', 'N_B_C', 'N_B_S', 'N_Y_S']",1,tail,color,wing,B,Y,N,T,S,C,Yes,Wings,4.0,Yes, Yellow,2.0,No,,
197,"[3.0, 6.0, 5.0, 2.0, 7.0, 6.0, 3.0, 3.0, 6.0, 7.0, 7.0, 3.0, 3.0, 1.0, 6.0, 4.0, 7.0, 2.0, 7.0, 4.0, 6.0, 5.0, 4.0, 7.0]","[3.0, 6.0, 6.0, 5.0, 6.0, 4.0, 1.0, 7.0, 10.0, 4.0, 5.0, 4.0, 5.0, 2.0, 6.0, 5.0, 7.0, 3.0, 7.0, 5.0, 5.0, 5.0, 6.0, 6.0]","[0.0, 0.0, 1.0, 3.0, 1.0, 2.0, 2.0, 4.0, 4.0, 3.0, 2.0, 1.0, 2.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 2.0, 1.0]",[],348.5044,"['N_B_C', 'N_B_S', 'T_B_S', 'N_Y_C', 'T_Y_C', 'T_Y_S', 'N_Y_S', 'T_B_C']","[4.0, 6.0, 7.0, 4.0, 6.0, 7.0, 3.0, 6.0]","['low', 'medium', 'high', 'medium', 'high', 'medium', 'low', 'medium', 'high', 'medium', 'high', 'medium', 'medium', 'low', 'medium', 'low', 'medium', 'low', 'high', 'low', 'medium', 'medium', 'medium', 'high']","['L2', 'L2', 'H2', 'H2', 'H2', 'L2', 'L2', 'H2', 'H2', 'L2', 'H2', 'H2', 'H2', 'L2', 'L2', 'L2', 'L2', 'L2', 'H2', 'L2', 'L2', 'H2', 'H2', 'H2']","['L1', 'H1', 'H1', 'L1', 'H1', 'H1', 'L1', 'L1', 'H1', 'H1', 'H1', 'L1', 'L1', 'L1', 'H1', 'L1', 'H1', 'L1', 'H1', 'L1', 'H1', 'L1', 'L1', 'H1']","['I1', 'I1', 'I1', 'I2', 'I2', 'I2', 'I2', 'I1', 'I1', 'I1', 'I2', 'I1', 'I2', 'I2', 'I2', 'I1', 'I2', 'I2', 'I1', 'I1', 'I1', 'I1', 'I2', 'I2']","['medium', 'low', 'medium', 'medium', 'high', 'medium', 'low', 'high']",197,"['N_B_S', 'T_B_S', 'T_B_C', 'N_Y_C', 'T_Y_C', 'T_Y_S', 'N_Y_S', 'N_B_C', 'T_B_C', 'T_B_S', 'T_Y_C', 'N_B_C', 'N_Y_C', 'N_Y_S', 'T_Y_S', 'N_B_S', 'T_Y_S', 'N_Y_S', 'T_B_C', 'N_B_S', 'T_B_S', 'N_B_C', 'N_Y_C', 'T_Y_C']",1,wing,tail,color,B,Y,T,N,C,S,No,,,Yes,Blue,6.0,Yes,Curly,6.0
202,"[5.0, 6.0, 3.0, 7.0, 4.0, 3.0, 7.0, 8.0, 4.0, 5.0, 3.0, 5.0, 2.0, 7.0, 7.0, 7.0, 5.0, 7.0, 5.0, 6.0, 3.0, 7.0, 3.0, 3.0]","[6.0, 8.0, 7.0, 2.0, 6.0, 5.0, 7.0, 4.0, 2.0, 6.0, 1.0, 6.0, 7.0, 7.0, 3.0, 5.0, 3.0, 6.0, 6.0, 6.0, 3.0, 1.0, 7.0, 5.0]","[1.0, 2.0, 4.0, 5.0, 2.0, 2.0, 0.0, 4.0, 2.0, 1.0, 2.0, 1.0, 5.0, 0.0, 4.0, 2.0, 2.0, 1.0, 1.0, 0.0, 0.0, 6.0, 4.0, 2.0]",['Spperks are picky eaters.'],405.882,"['T_Y_C', 'N_Y_C', 'N_Y_S', 'N_B_S', 'N_B_C', 'T_B_C', 'T_Y_S', 'T_B_S']","[7.0, 6.0, 2.0, 6.0, 5.0, 3.0, 7.0, 6.0]","['medium', 'high', 'medium', 'low', 'medium', 'low', 'high', 'medium', 'low', 'medium', 'low', 'medium', 'high', 'high', 'medium', 'medium', 'medium', 'medium', 'high', 'medium', 'low', 'low', 'high', 'medium']","['H1', 'H1', 'L1', 'L1', 'L1', 'L1', 'H1', 'H1', 'L1', 'L1', 'L1', 'L1', 'H1', 'H1', 'H1', 'H1', 'L1', 'H1', 'H1', 'L1', 'L1', 'L1', 'H1', 'H1']","['I2', 'I2', 'I1', 'I2', 'I2', 'I1', 'I1', 'I1', 'I1', 'I1', 'I2', 'I2', 'I1', 'I2', 'I2', 'I1', 'I2', 'I1', 'I2', 'I1', 'I1', 'I2', 'I1', 'I2']","['L2', 'H2', 'H2', 'L2', 'H2', 'L2', 'H2', 'L2', 'L2', 'H2', 'L2', 'H2', 'H2', 'H2', 'L2', 'L2', 'H2', 'L2', 'H2', 'H2', 'L2', 'L2', 'H2', 'L2']","['low', 'low', 'medium', 'high', 'medium', 'medium', 'medium', 'high']",202,"['T_Y_S', 'T_B_S', 'N_B_C', 'T_Y_C', 'T_B_C', 'N_Y_C', 'N_B_S', 'N_Y_S', 'N_Y_C', 'N_B_C', 'T_Y_C', 'T_B_C', 'N_B_S', 'T_B_S', 'T_Y_S', 'N_Y_S', 'T_B_C', 'N_Y_S', 'T_B_S', 'N_B_C', 'N_Y_C', 'T_Y_C', 'N_B_S', 'T_Y_S']",1,tail,color,wing,B,Y,N,T,S,C,No,,,Yes, Yellow,6.0,Yes,Curly,5.0
082,"[4.0, 6.0, 8.0, 6.0, 3.0, 1.0, 3.0, 4.0, 7.0, 4.0, 2.0, 6.0, 4.0, 8.0, 4.0, 9.0, 8.0, 5.0, 7.0, 6.0, 4.0, 5.0, 5.0, 6.0]","[8.0, 1.0, 7.0, 7.0, 5.0, 4.0, 8.0, 4.0, 7.0, 8.0, 2.0, 9.0, 3.0, 5.0, 6.0, 6.0, 9.0, 3.0, 4.0, 3.0, 3.0, 6.0, 8.0, 8.0]","[4.0, 5.0, 1.0, 1.0, 2.0, 3.0, 5.0, 0.0, 0.0, 4.0, 0.0, 3.0, 1.0, 3.0, 2.0, 3.0, 1.0, 2.0, 3.0, 3.0, 1.0, 1.0, 3.0, 2.0]",['I really enjoyed this experiment and how it made me use my thinking skills.'],695.9939,"['T_Y_C', 'T_B_S', 'N_Y_C', 'N_B_S', 'T_B_C', 'N_Y_S', 'T_Y_S', 'N_B_C']","[3.0, 8.0, 8.0, 9.0, 6.0, 7.0, 5.0, 6.0]","['high', 'low', 'high', 'medium', 'low', 'medium', 'medium', 'medium', 'medium', 'high', 'low', 'high', 'low', 'medium', 'medium', 'medium', 'high', 'low', 'medium', 'medium', 'low', 'medium', 'medium', 'high']","['H2', 'L2', 'H2', 'L2', 'L2', 'H2', 'H2', 'L2', 'L2', 'H2', 'L2', 'H2', 'L2', 'H2', 'H2', 'L2', 'H2', 'L2', 'L2', 'H2', 'L2', 'L2', 'H2', 'H2']","['I2', 'I1', 'I1', 'I2', 'I2', 'I1', 'I2', 'I1', 'I2', 'I2', 'I1', 'I1', 'I2', 'I1', 'I2', 'I1', 'I2', 'I2', 'I1', 'I1', 'I1', 'I2', 'I2', 'I1']","['H1', 'L1', 'H1', 'H1', 'L1', 'L1', 'L1', 'H1', 'H1', 'H1', 'L1', 'H1', 'L1', 'L1', 'L1', 'H1', 'H1', 'L1', 'H1', 'L1', 'L1', 'H1', 'L1', 'H1']","['low', 'high', 'low', 'high', 'medium', 'medium', 'medium', 'medium']",82,"['N_B_S', 'T_Y_C', 'T_B_S', 'N_B_C', 'N_Y_C', 'T_Y_S', 'N_Y_S', 'T_B_C', 'N_B_C', 'N_B_S', 'T_Y_C', 'T_B_S', 'N_Y_C', 'T_Y_S', 'N_Y_S', 'T_B_C', 'N_B_S', 'N_Y_C', 'T_B_C', 'T_Y_S', 'T_Y_C', 'N_B_C', 'N_Y_S', 'T_B_S']",1,color,tail,wing,B,Y,N,T,S,C,Yes, Paws,5.0,Yes,Blue,6.0,Yes, Straight,6.0
201,"[6.0, 8.0, 7.0, 5.0, 4.0, 7.0, 5.0, 4.0, 5.0, 3.0, 4.0, 7.0, 5.0, 4.0, 5.0, 4.0, 5.0, 3.0, 4.0, 4.0, 5.0, 3.0, 5.0, 6.0]","[7.0, 7.0, 5.0, 4.0, 5.0, 5.0, 4.0, 5.0, 3.0, 7.0, 5.0, 4.0, 3.0, 5.0, 3.0, 3.0, 5.0, 4.0, 5.0, 8.0, 1.0, 4.0, 7.0, 4.0]","[1.0, 1.0, 2.0, 1.0, 1.0, 2.0, 1.0, 1.0, 2.0, 4.0, 1.0, 3.0, 2.0, 1.0, 2.0, 1.0, 0.0, 1.0, 1.0, 4.0, 4.0, 1.0, 2.0, 2.0]",[],401.999,"['N_Y_C', 'N_B_C', 'N_Y_S', 'T_B_S', 'T_Y_S', 'N_B_S', 'T_B_C', 'T_Y_C']","[6.0, 4.0, 3.0, 5.0, 7.0, 4.0, 5.0, 8.0]","['medium', 'medium', 'low', 'low', 'medium', 'high', 'medium', 'high', 'medium', 'high', 'medium', 'medium', 'low', 'high', 'medium', 'low', 'medium', 'medium', 'medium', 'high', 'low', 'low', 'high', 'medium']","['H1', 'L1', 'L1', 'L1', 'H1', 'H1', 'L1', 'H1', 'L1', 'H1', 'H1', 'L1', 'L1', 'H1', 'H1', 'L1', 'L1', 'H1', 'H1', 'H1', 'L1', 'L1', 'H1', 'L1']","['L2', 'H2', 'L2', 'L2', 'L2', 'H2', 'H2', 'H2', 'H2', 'H2', 'L2', 'H2', 'L2', 'H2', 'L2', 'L2', 'H2', 'L2', 'L2', 'H2', 'L2', 'L2', 'H2', 'H2']","['I1', 'I2', 'I1', 'I2', 'I2', 'I2', 'I1', 'I1', 'I2', 'I2', 'I2', 'I1', 'I1', 'I1', 'I1', 'I2', 'I2', 'I1', 'I2', 'I1', 'I1', 'I2', 'I2', 'I1']","['medium', 'medium', 'low', 'medium', 'medium', 'low', 'high', 'high']",201,"['N_Y_C', 'T_B_S', 'N_Y_S', 'N_B_S', 'N_B_C', 'T_B_C', 'T_Y_S', 'T_Y_C', 'T_B_S', 'T_B_C', 'N_B_C', 'T_Y_S', 'N_Y_S', 'T_Y_C', 'N_Y_C', 'N_B_S', 'T_B_S', 'N_Y_C', 'N_B_C', 'T_Y_C', 'N_Y_S', 'N_B_S', 'T_B_C', 'T_Y_S']",1,tail,wing,color,B,Y,T,N,C,S,No,,,Yes, Yellow,4.0,No,,
059,"[5.0, 8.0, 4.0, 4.0, 6.0, 7.0, 5.0, 4.0, 4.0, 4.0, 7.0, 4.0, 6.0, 9.0, 5.0, 7.0, 5.0, 2.0, 7.0, 6.0, 5.0, 7.0, 3.0, 6.0]","[4.0, 7.0, 7.0, 5.0, 9.0, 7.0, 4.0, 4.0, 2.0, 4.0, 6.0, 5.0, 5.0, 9.0, 5.0, 6.0, 3.0, 7.0, 5.0, 7.0, 4.0, 5.0, 2.0, 5.0]","[1.0, 1.0, 3.0, 1.0, 3.0, 0.0, 1.0, 0.0, 2.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 2.0, 5.0, 2.0, 1.0, 1.0, 2.0, 1.0, 1.0]",[],796.5222,"['T_B_S', 'T_B_C', 'N_Y_S', 'N_B_C', 'T_Y_S', 'T_Y_C', 'N_B_S', 'N_Y_C']","[4.0, 4.0, 8.0, 4.0, 6.0, 5.0, 5.0, 7.0]","['low', 'high', 'medium', 'medium', 'high', 'medium', 'medium', 'low', 'low', 'medium', 'high', 'low', 'medium', 'high', 'medium', 'medium', 'low', 'medium', 'medium', 'high', 'medium', 'medium', 'low', 'high']","['I1', 'I2', 'I2', 'I1', 'I1', 'I1', 'I2', 'I2', 'I2', 'I2', 'I2', 'I1', 'I2', 'I1', 'I1', 'I1', 'I1', 'I2', 'I2', 'I1', 'I1', 'I1', 'I2', 'I2']","['L2', 'H2', 'L2', 'H2', 'H2', 'L2', 'H2', 'L2', 'L2', 'H2', 'H2', 'L2', 'L2', 'H2', 'H2', 'L2', 'L2', 'H2', 'L2', 'H2', 'H2', 'L2', 'L2', 'H2']","['L1', 'H1', 'H1', 'L1', 'H1', 'H1', 'L1', 'L1', 'L1', 'L1', 'H1', 'L1', 'H1', 'H1', 'L1', 'H1', 'L1', 'L1', 'H1', 'H1', 'L1', 'H1', 'L1', 'H1']","['low', 'low', 'high', 'medium', 'medium', 'medium', 'medium', 'high']",59,"['T_B_S', 'N_Y_C', 'T_Y_C', 'N_B_S', 'N_Y_S', 'T_Y_S', 'N_B_C', 'T_B_C', 'T_B_C', 'N_B_C', 'N_Y_C', 'T_B_S', 'T_Y_C', 'N_Y_S', 'N_B_S', 'T_Y_S', 'T_B_S', 'N_B_C', 'T_Y_C', 'N_Y_S', 'N_B_S', 'T_Y_S', 'T_B_C', 'N_Y_C']",1,color,wing,tail,Y,B,N,T,S,C,No,,,Yes, Yellow,5.0,Yes, Straight,5.0
125,"[4.0, 5.0, 6.0, 5.0, 4.0, 4.0, 5.0, 6.0, 6.0, 5.0, 5.0, 7.0, 5.0, 7.0, 5.0, 7.0, 4.0, 5.0, 6.0, 5.0, 4.0, 9.0, 6.0, 10.0]","[5.0, 3.0, 4.0, 4.0, 7.0, 5.0, 4.0, 2.0, 7.0, 2.0, 6.0, 9.0, 4.0, 2.0, 6.0, 6.0, 9.0, 6.0, 6.0, 3.0, 6.0, 8.0, 1.0, 6.0]","[1.0, 2.0, 2.0, 1.0, 3.0, 1.0, 1.0, 4.0, 1.0, 3.0, 1.0, 2.0, 1.0, 5.0, 1.0, 1.0, 5.0, 1.0, 0.0, 2.0, 2.0, 1.0, 5.0, 4.0]",[],450.8454,"['T_B_S', 'N_Y_C', 'T_Y_S', 'N_B_C', 'T_Y_C', 'N_B_S', 'T_B_C', 'N_Y_S']","[5.0, 4.0, 6.0, 4.0, 5.0, 4.0, 6.0, 4.0]","['medium', 'low', 'medium', 'low', 'high', 'medium', 'medium', 'high', 'high', 'low', 'medium', 'high', 'low', 'medium', 'medium', 'medium', 'high', 'medium', 'medium', 'low', 'medium', 'high', 'low', 'medium']","['H1', 'L1', 'L1', 'L1', 'H1', 'L1', 'H1', 'H1', 'H1', 'L1', 'H1', 'H1', 'L1', 'L1', 'H1', 'L1', 'H1', 'H1', 'L1', 'L1', 'H1', 'H1', 'L1', 'L1']","['L2', 'L2', 'H2', 'L2', 'H2', 'H2', 'L2', 'H2', 'H2', 'L2', 'L2', 'H2', 'L2', 'H2', 'L2', 'H2', 'H2', 'L2', 'H2', 'L2', 'L2', 'H2', 'L2', 'H2']","['I2', 'I2', 'I2', 'I1', 'I1', 'I1', 'I1', 'I2', 'I1', 'I2', 'I1', 'I2', 'I1', 'I2', 'I2', 'I1', 'I2', 'I2', 'I1', 'I1', 'I1', 'I1', 'I2', 'I2']","['medium', 'medium', 'medium', 'medium', 'high', 'low', 'high', 'low']",125,"['N_B_C', 'N_B_S', 'T_B_S', 'N_Y_S', 'T_Y_C', 'T_Y_S', 'N_Y_C', 'T_B_C', 'T_Y_C', 'N_B_S', 'N_Y_C', 'T_B_C', 'N_Y_S', 'T_B_S', 'N_B_C', 'T_Y_S', 'T_B_C', 'N_B_C', 'T_Y_S', 'N_Y_S', 'N_Y_C', 'T_Y_C', 'N_B_S', 'T_B_S']",1,tail,wing,color,Y,B,T,N,C,S,No,,,Yes, Yellow,2.0,Yes,Curly,3.0
