consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,feature_question.started,feature_question.stopped,slider_color.response,slider_color.rt,slider_shape.response,slider_shape.rt,slider_tail.response,slider_tail.rt,slider_ear.response,slider_ear.rt,button_continue_feature.numClicks,button_continue_feature.timesOn,button_continue_feature.timesOff,feature_question_feedback.started,feature_question_feedback.stopped,feature_question_feedback_button.numClicks,feature_question_feedback_button.timesOn,feature_question_feedback_button.timesOff,how_many_relevant.started,how_many_relevant.stopped,how_many_relevant_slider.response,how_many_relevant_slider.rt,button_continue_relevance.numClicks,button_continue_relevance.timesOn,button_continue_relevance.timesOff,how_many_feedback.started,how_many_feedback.stopped,how_many_feedback_button.numClicks,how_many_feedback_button.timesOn,how_many_feedback_button.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,wing,color,tail,image_file,phase,rep,trial_num,food_amount,category,relevant_dim_1,relevant_dim_2,irrelevant_dim,tail_high,tail_low,color_high,color_low,wing_rel,color_rel,tail_rel,wing_high,wing_low,participant_id,food_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_discrete,prompt_continuous,question_text,direction_labels,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
yes,012,2026-01-30_12h47.20.787,explain2,2025.1.1,MacIntel,59.88023952,676c71be2368330a2c25505b,697cd8fb6d25789b08f91dba,697d18b9ebd1bfd44184bb6b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-01-30_12h47.20.787,explain2,2025.1.1,MacIntel,59.88023952,676c71be2368330a2c25505b,697cd8fb6d25789b08f91dba,697d18b9ebd1bfd44184bb6b,6.2502,6.2504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-01-30_12h47.20.787,explain2,2025.1.1,MacIntel,59.88023952,676c71be2368330a2c25505b,697cd8fb6d25789b08f91dba,697d18b9ebd1bfd44184bb6b,,,6.2507,13.8598,1,[4.616700000000186],[4.616700000000186],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-01-30_12h47.20.787,explain2,2025.1.1,MacIntel,59.88023952,676c71be2368330a2c25505b,697cd8fb6d25789b08f91dba,697d18b9ebd1bfd44184bb6b,,,,,,,,13.8599,27.5767,1,[10.733200000000188],[10.733200000000188],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-01-30_12h47.20.787,explain2,2025.1.1,MacIntel,59.88023952,676c71be2368330a2c25505b,697cd8fb6d25789b08f91dba,697d18b9ebd1bfd44184bb6b,,,,,,,,,,,,,27.5776,41.9281,Yes,13.1648,Yes,11.2812,Yes,8.0481,Yes,12.3658,1,[1.2001000000005533],[1.2001000000005533],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-01-30_12h47.20.787,explain2,2025.1.1,MacIntel,59.88023952,676c71be2368330a2c25505b,697cd8fb6d25789b08f91dba,697d18b9ebd1bfd44184bb6b,,,,,,,,,,,,,,,,,,,,,,,,,,41.9291,55.1782,1,[10.250799999999813],[10.250799999999813],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-01-30_12h47.20.787,explain2,2025.1.1,MacIntel,59.88023952,676c71be2368330a2c25505b,697cd8fb6d25789b08f91dba,697d18b9ebd1bfd44184bb6b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.1786,62.7776,Any of These,6.2323,1,[1.382599999999627],[1.382599999999627],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-01-30_12h47.20.787,explain2,2025.1.1,MacIntel,59.88023952,676c71be2368330a2c25505b,697cd8fb6d25789b08f91dba,697d18b9ebd1bfd44184bb6b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.7778,68.7291,1,[2.967499999999987],[2.967499999999987],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-01-30_12h47.20.787,explain2,2025.1.1,MacIntel,59.88023952,676c71be2368330a2c25505b,697cd8fb6d25789b08f91dba,697d18b9ebd1bfd44184bb6b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.7292,84.0128,1,[12.28370000000018],[12.28370000000018],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-01-30_12h47.20.787,explain2,2025.1.1,MacIntel,59.88023952,676c71be2368330a2c25505b,697cd8fb6d25789b08f91dba,697d18b9ebd1bfd44184bb6b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.013,91.546,1,[4.533099999999635],[4.533099999999635],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-01-30_12h47.20.787,explain2,2025.1.1,MacIntel,59.88023952,676c71be2368330a2c25505b,697cd8fb6d25789b08f91dba,697d18b9ebd1bfd44184bb6b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.5564,114.2978,1,[19.750600000000546],[19.750600000000546],Sperks with wings eat 8,114.2996,114.797,0,0,0,0,1,T,Y,S,T_Y_S.png,training,1,1,8,medium,tail,color,wing,S,C,B,Y,I1,L2,H1,T,N,12,8_food.png,"Resources/T_B_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png","medium,medium,high,high,low,low,medium,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-01-30_12h47.20.787,explain2,2025.1.1,MacIntel,59.88023952,676c71be2368330a2c25505b,697cd8fb6d25789b08f91dba,697d18b9ebd1bfd44184bb6b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.7991,127.0984,1,[9.300100000000555],[9.300100000000555],sperks with no wings eat 7,127.0997,127.5973,0,1,1,1,1,N,Y,S,N_Y_S.png,training,1,2,7,medium,tail,color,wing,S,C,B,Y,I2,L2,H1,T,N,12,7_food.png,"Resources/T_B_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png","medium,medium,high,high,low,low,medium,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-01-30_12h47.20.787,explain2,2025.1.1,MacIntel,59.88023952,676c71be2368330a2c25505b,697cd8fb6d25789b08f91dba,697d18b9ebd1bfd44184bb6b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.5994,138.3151,1,[7.7167000000001735],[7.7167000000001735],blue sperks with wings eat 4,138.3158,138.8139,0,2,2,2,1,T,B,C,T_B_C.png,training,1,3,4,medium,tail,color,wing,S,C,B,Y,I1,H2,L1,T,N,12,4_food.png,"Resources/T_B_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png","medium,medium,high,high,low,low,medium,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-01-30_12h47.20.787,explain2,2025.1.1,MacIntel,59.88023952,676c71be2368330a2c25505b,697cd8fb6d25789b08f91dba,697d18b9ebd1bfd44184bb6b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.8172,164.2163,1,[22.400600000000566],[22.400600000000566],Blue sperks with wings eat a random amount,164.2172,164.715,0,3,3,3,1,T,B,S,T_B_S.png,training,1,4,9,high,tail,color,wing,S,C,B,Y,I1,H2,H1,T,N,12,9_food.png,"Resources/T_B_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png","medium,medium,high,high,low,low,medium,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-01-30_12h47.20.787,explain2,2025.1.1,MacIntel,59.88023952,676c71be2368330a2c25505b,697cd8fb6d25789b08f91dba,697d18b9ebd1bfd44184bb6b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.7174,185.7177,1,[18.00200000000001],[18.00200000000001],yellow sperks with no wings eat a random amount,185.7189,186.2161,0,4,4,4,1,N,Y,C,N_Y_C.png,training,1,5,3,low,tail,color,wing,S,C,B,Y,I2,L2,L1,T,N,12,3_food.png,"Resources/T_B_C.png,Resources/T_Y_S.png,Resources/N_B_S.png,Resources/T_B_S.png,Resources/N_Y_C.png,Resources/T_Y_C.png,Resources/N_B_C.png,Resources/N_Y_S.png","medium,medium,high,high,low,low,medium,medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
