consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,color,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,color_high,color_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
yes,042,2026-03-19_22h17.09.359,explain2,2025.1.1,Win32,59.52380952,697a43cc8daa4487f991b19f,69bc308a35b0913edb0419e2,69bcade82528b7a4358315d5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,042,2026-03-19_22h17.09.359,explain2,2025.1.1,Win32,59.52380952,697a43cc8daa4487f991b19f,69bc308a35b0913edb0419e2,69bcade82528b7a4358315d5,9.8467,9.8468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,042,2026-03-19_22h17.09.359,explain2,2025.1.1,Win32,59.52380952,697a43cc8daa4487f991b19f,69bc308a35b0913edb0419e2,69bcade82528b7a4358315d5,,,9.8471,47.7322,1,[34.89040000009537],[34.89040000009537],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,042,2026-03-19_22h17.09.359,explain2,2025.1.1,Win32,59.52380952,697a43cc8daa4487f991b19f,69bc308a35b0913edb0419e2,69bcade82528b7a4358315d5,,,,,,,,47.7324,61.0291,1,[10.29930000019074],[10.299400000095375],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,042,2026-03-19_22h17.09.359,explain2,2025.1.1,Win32,59.52380952,697a43cc8daa4487f991b19f,69bc308a35b0913edb0419e2,69bcade82528b7a4358315d5,,,,,,,,,,,,,61.0292,235.1697,1,[171.14029999995233],[171.14029999995233],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,042,2026-03-19_22h17.09.359,explain2,2025.1.1,Win32,59.52380952,697a43cc8daa4487f991b19f,69bc308a35b0913edb0419e2,69bcade82528b7a4358315d5,,,,,,,,,,,,,,,,,,235.1704,252.5696,1,[14.40089999985696],[14.40089999985696],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,042,2026-03-19_22h17.09.359,explain2,2025.1.1,Win32,59.52380952,697a43cc8daa4487f991b19f,69bc308a35b0913edb0419e2,69bcade82528b7a4358315d5,,,,,,,,,,,,,,,,,,,,,,,252.5822,271.5062,1,[15.93359999990463],[15.93359999990463],because its not that fertile so it's starting at the beginning,271.507,272.5037,0,0,0,0,1,F,Y,Y_F.png,training,1,1,1,low,color,feet,G,Y,C,F,42,1_score.png,"Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,042,2026-03-19_22h17.09.359,explain2,2025.1.1,Win32,59.52380952,697a43cc8daa4487f991b19f,69bc308a35b0913edb0419e2,69bcade82528b7a4358315d5,,,,,,,,,,,,,,,,,,,,,,,272.508,317.589,1,[42.08479999995228],[42.08479999995228],based on how many eggs they can lay.,317.5893,318.5885,0,1,1,1,1,F,G,G_F.png,training,1,2,4,high,color,feet,G,Y,C,F,42,4_score.png,"Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,042,2026-03-19_22h17.09.359,explain2,2025.1.1,Win32,59.52380952,697a43cc8daa4487f991b19f,69bc308a35b0913edb0419e2,69bcade82528b7a4358315d5,,,,,,,,,,,,,,,,,,,,,,,318.5908,335.5569,1,[13.967100000143034],[13.967100000143034],least fertile out of the reptiles i'm studying,335.557,336.5556,0,2,2,2,1,C,Y,Y_C.png,training,1,3,1,low,color,feet,G,Y,C,F,42,1_score.png,"Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,042,2026-03-19_22h17.09.359,explain2,2025.1.1,Win32,59.52380952,697a43cc8daa4487f991b19f,69bc308a35b0913edb0419e2,69bcade82528b7a4358315d5,,,,,,,,,,,,,,,,,,,,,,,336.5581,359.4245,1,[19.883900000095366],[19.883900000095366],This is the reptile that most likely can lay the most eggs. Is the reasoning for the score.,359.4247,360.4238,0,3,3,3,1,C,G,G_C.png,training,1,4,10,high,color,feet,G,Y,C,F,42,10_score.png,"Resources/G_F.png,Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
