consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,color,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,color_high,color_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,direction_response_label,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
yes,093,2026-03-20_16h26.35.229,explain2,2025.1.1,Win32,58.82352941,696a7597fe02a023e92830ee,69bd41b9228fa8ec2e37e683,69bdad36d913df3a1430fa32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,093,2026-03-20_16h26.35.229,explain2,2025.1.1,Win32,58.82352941,696a7597fe02a023e92830ee,69bd41b9228fa8ec2e37e683,69bdad36d913df3a1430fa32,19.551,19.5511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,093,2026-03-20_16h26.35.229,explain2,2025.1.1,Win32,58.82352941,696a7597fe02a023e92830ee,69bd41b9228fa8ec2e37e683,69bdad36d913df3a1430fa32,,,19.5516,55.6708,1,[33.133999999999986],[33.134100000023835],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,093,2026-03-20_16h26.35.229,explain2,2025.1.1,Win32,58.82352941,696a7597fe02a023e92830ee,69bd41b9228fa8ec2e37e683,69bdad36d913df3a1430fa32,,,,,,,,55.6713,76.4448,1,[17.774600000023852],[17.774600000023852],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,093,2026-03-20_16h26.35.229,explain2,2025.1.1,Win32,58.82352941,696a7597fe02a023e92830ee,69bd41b9228fa8ec2e37e683,69bdad36d913df3a1430fa32,,,,,,,,,,,,,76.4452,97.0744,1,[17.63710000002385],[17.63710000002385],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,093,2026-03-20_16h26.35.229,explain2,2025.1.1,Win32,58.82352941,696a7597fe02a023e92830ee,69bd41b9228fa8ec2e37e683,69bdad36d913df3a1430fa32,,,,,,,,,,,,,,,,,,97.075,116.6877,1,[16.61700000000002],[16.61710000002384],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,093,2026-03-20_16h26.35.229,explain2,2025.1.1,Win32,58.82352941,696a7597fe02a023e92830ee,69bd41b9228fa8ec2e37e683,69bdad36d913df3a1430fa32,,,,,,,,,,,,,,,,,,,,,,,116.7009,165.5396,1,[45.85070000004768],[45.85070000004768],It has a bright color which is attractive. It's large eyes make it preferable since large eyes make it better able to see prey.,165.5409,166.5375,0,0,0,0,1,C,Y,Y_C.png,training,1,1,10,high,feet,color,C,F,Y,G,93,10_score.png,"Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,093,2026-03-20_16h26.35.229,explain2,2025.1.1,Win32,58.82352941,696a7597fe02a023e92830ee,69bd41b9228fa8ec2e37e683,69bdad36d913df3a1430fa32,,,,,,,,,,,,,,,,,,,,,,,166.5418,181.5553,1,[12.016999999999996],[12.016999999999996],Its green color is unattractive.,181.5561,182.5543,0,1,1,1,1,F,G,G_F.png,training,1,2,1,low,feet,color,C,F,Y,G,93,1_score.png,"Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,093,2026-03-20_16h26.35.229,explain2,2025.1.1,Win32,58.82352941,696a7597fe02a023e92830ee,69bd41b9228fa8ec2e37e683,69bdad36d913df3a1430fa32,,,,,,,,,,,,,,,,,,,,,,,182.5584,195.5061,1,[9.966600000023817],[9.966699999988094],Its orange color is unattractive.,195.5071,196.5036,0,2,2,2,1,F,Y,Y_F.png,training,1,3,2,low,feet,color,C,F,Y,G,93,2_score.png,"Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,093,2026-03-20_16h26.35.229,explain2,2025.1.1,Win32,58.82352941,696a7597fe02a023e92830ee,69bd41b9228fa8ec2e37e683,69bdad36d913df3a1430fa32,,,,,,,,,,,,,,,,,,,,,,,196.5075,219.7123,1,[20.207900000035806],[20.207900000035806],Its white spot underneath its chin is attractive to other mates.,219.713,220.7037,0,3,3,3,1,C,G,G_C.png,training,1,4,7,high,feet,color,C,F,Y,G,93,7_score.png,"Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
