consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,color,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,color_high,color_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_response_label,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
yes,039,2026-03-19_18h46.20.728,explain2,2025.1.1,iPhone,40,69b5de52cb87d79381b7e175,69bc308a35b0913edb0419e2,69bca6891aed0798ace3be54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,039,2026-03-19_18h46.20.728,explain2,2025.1.1,iPhone,40,69b5de52cb87d79381b7e175,69bc308a35b0913edb0419e2,69bca6891aed0798ace3be54,10.962,10.963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,039,2026-03-19_18h46.20.728,explain2,2025.1.1,iPhone,40,69b5de52cb87d79381b7e175,69bc308a35b0913edb0419e2,69bca6891aed0798ace3be54,,,10.963,16.234,1,[2.271000000000001],[2.271000000000001],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,039,2026-03-19_18h46.20.728,explain2,2025.1.1,iPhone,40,69b5de52cb87d79381b7e175,69bc308a35b0913edb0419e2,69bca6891aed0798ace3be54,,,,,,,,16.234,23.237,1,[4.016000000000005],[4.016000000000005],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,039,2026-03-19_18h46.20.728,explain2,2025.1.1,iPhone,40,69b5de52cb87d79381b7e175,69bc308a35b0913edb0419e2,69bca6891aed0798ace3be54,,,,,,,,,,,,,23.237,27.032,1,[0.8060000000000116],[0.8060000000000116],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,039,2026-03-19_18h46.20.728,explain2,2025.1.1,iPhone,40,69b5de52cb87d79381b7e175,69bc308a35b0913edb0419e2,69bca6891aed0798ace3be54,,,,,,,,,,,,,,,,,,27.032,31.214,1,[1.1949999999999932],[1.1949999999999932],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,039,2026-03-19_18h46.20.728,explain2,2025.1.1,iPhone,40,69b5de52cb87d79381b7e175,69bc308a35b0913edb0419e2,69bca6891aed0798ace3be54,,,,,,,,,,,,,,,,,,,,,,,31.225,47.758,1,[13.541999999999987],[13.541999999999987],It’s too happy. ,47.759,48.755,0,0,0,0,1,C,Y,Y_C.png,training,1,1,3,low,feet,color,F,C,G,Y,39,3_score.png,"Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/Y_F.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,039,2026-03-19_18h46.20.728,explain2,2025.1.1,iPhone,40,69b5de52cb87d79381b7e175,69bc308a35b0913edb0419e2,69bca6891aed0798ace3be54,,,,,,,,,,,,,,,,,,,,,,,48.762,62.607,1,[10.857000000000014],[10.857000000000014],It’s green and that is the color of doing it,62.608,63.599,0,1,1,1,1,F,G,G_F.png,training,1,2,10,high,feet,color,F,C,G,Y,39,10_score.png,"Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/Y_F.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,039,2026-03-19_18h46.20.728,explain2,2025.1.1,iPhone,40,69b5de52cb87d79381b7e175,69bc308a35b0913edb0419e2,69bca6891aed0798ace3be54,,,,,,,,,,,,,,,,,,,,,,,63.604,73.907,1,[7.329000000000008],[7.329000000000008],No one like the eyes on this one ,73.908,74.898,0,2,2,2,1,C,G,G_C.png,training,1,3,1,low,feet,color,F,C,G,Y,39,1_score.png,"Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/Y_F.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,039,2026-03-19_18h46.20.728,explain2,2025.1.1,iPhone,40,69b5de52cb87d79381b7e175,69bc308a35b0913edb0419e2,69bca6891aed0798ace3be54,,,,,,,,,,,,,,,,,,,,,,,74.907,87.754,1,[9.859999999999985],[9.859999999999985],The tail brings all the boys to the yard,87.755,88.744,0,3,3,3,1,F,Y,Y_F.png,training,1,4,7,high,feet,color,F,C,G,Y,39,7_score.png,"Resources/G_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/Y_F.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
