consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,color,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,color_high,color_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,direction_response_label,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
yes,161,2026-03-19_21h02.50.888,explain2,2025.1.1,Win32,59.88023952,664b993056010d18f1049b69,69bc308a35b0913edb0419e2,69bcaa75f1c2117efecfcdb9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,161,2026-03-19_21h02.50.888,explain2,2025.1.1,Win32,59.88023952,664b993056010d18f1049b69,69bc308a35b0913edb0419e2,69bcaa75f1c2117efecfcdb9,23.1564,23.1565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,161,2026-03-19_21h02.50.888,explain2,2025.1.1,Win32,59.88023952,664b993056010d18f1049b69,69bc308a35b0913edb0419e2,69bcaa75f1c2117efecfcdb9,,,23.157,44.3764,1,[18.23010000002384],[18.230200000047688],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,161,2026-03-19_21h02.50.888,explain2,2025.1.1,Win32,59.88023952,664b993056010d18f1049b69,69bc308a35b0913edb0419e2,69bcaa75f1c2117efecfcdb9,,,,,,,,44.3767,59.6752,1,[12.299799999952313],[12.299799999952313],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,161,2026-03-19_21h02.50.888,explain2,2025.1.1,Win32,59.88023952,664b993056010d18f1049b69,69bc308a35b0913edb0419e2,69bcaa75f1c2117efecfcdb9,,,,,,,,,,,,,59.6759,93.1265,1,[30.45089999997616],[30.45089999997616],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,161,2026-03-19_21h02.50.888,explain2,2025.1.1,Win32,59.88023952,664b993056010d18f1049b69,69bc308a35b0913edb0419e2,69bcaa75f1c2117efecfcdb9,,,,,,,,,,,,,,,,,,93.1269,104.0081,1,[7.881599999904637],[7.881599999904637],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,161,2026-03-19_21h02.50.888,explain2,2025.1.1,Win32,59.88023952,664b993056010d18f1049b69,69bc308a35b0913edb0419e2,69bcaa75f1c2117efecfcdb9,,,,,,,,,,,,,,,,,,,,,,,104.0169,125.108,1,[18.09890000009537],[18.099000000000018],I am not sure. ,125.1084,126.1085,0,0,0,0,1,F,G,G_F.png,training,1,1,4,low,feet,color,C,F,G,Y,161,4_score.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png","low,high,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,161,2026-03-19_21h02.50.888,explain2,2025.1.1,Win32,59.88023952,664b993056010d18f1049b69,69bc308a35b0913edb0419e2,69bcaa75f1c2117efecfcdb9,,,,,,,,,,,,,,,,,,,,,,,126.1116,135.3763,1,[6.269200000047704],[6.269200000047704],Maybe because it was older.,135.3763,136.3756,0,1,1,1,1,C,G,G_C.png,training,1,2,9,high,feet,color,C,F,G,Y,161,9_score.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png","low,high,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,161,2026-03-19_21h02.50.888,explain2,2025.1.1,Win32,59.88023952,664b993056010d18f1049b69,69bc308a35b0913edb0419e2,69bcaa75f1c2117efecfcdb9,,,,,,,,,,,,,,,,,,,,,,,136.3784,162.76,1,[23.383499999999998],[23.383499999999998],Maybe it is a different type of reptile that is more fertile since it is red.,162.7601,163.7552,0,2,2,2,1,C,Y,Y_C.png,training,1,3,8,high,feet,color,C,F,G,Y,161,8_score.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png","low,high,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,161,2026-03-19_21h02.50.888,explain2,2025.1.1,Win32,59.88023952,664b993056010d18f1049b69,69bc308a35b0913edb0419e2,69bcaa75f1c2117efecfcdb9,,,,,,,,,,,,,,,,,,,,,,,163.7591,187.756,1,[21.00029999995232],[21.00029999995232],Because it is much larger than the others so maybe older reptiles produce more offspring.,187.7563,188.7562,0,3,3,3,1,F,Y,Y_F.png,training,1,4,9,low,feet,color,C,F,G,Y,161,9_score.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_F.png,Resources/G_C.png","low,high,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
