consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,color,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,color_high,color_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,direction_response_label,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
yes,157,2026-03-20_00h03.49.703,explain2,2025.1.1,MacIntel,60.24096386,69ba06165a64117df2b80538,69bc308a35b0913edb0419e2,69bcc6fc6a797f56b4ac7507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,157,2026-03-20_00h03.49.703,explain2,2025.1.1,MacIntel,60.24096386,69ba06165a64117df2b80538,69bc308a35b0913edb0419e2,69bcc6fc6a797f56b4ac7507,9.3433,9.3434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,157,2026-03-20_00h03.49.703,explain2,2025.1.1,MacIntel,60.24096386,69ba06165a64117df2b80538,69bc308a35b0913edb0419e2,69bcc6fc6a797f56b4ac7507,,,9.3439,13.3145,1,[0.9836999999955225],[0.9836999999955225],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,157,2026-03-20_00h03.49.703,explain2,2025.1.1,MacIntel,60.24096386,69ba06165a64117df2b80538,69bc308a35b0913edb0419e2,69bcc6fc6a797f56b4ac7507,,,,,,,,13.3147,22.1309,1,[5.817600000001491],[5.817600000001491],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,157,2026-03-20_00h03.49.703,explain2,2025.1.1,MacIntel,60.24096386,69ba06165a64117df2b80538,69bc308a35b0913edb0419e2,69bcc6fc6a797f56b4ac7507,,,,,,,,,,,,,22.131,27.8477,1,[2.7166999999955266],[2.7166999999955266],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,157,2026-03-20_00h03.49.703,explain2,2025.1.1,MacIntel,60.24096386,69ba06165a64117df2b80538,69bc308a35b0913edb0419e2,69bcc6fc6a797f56b4ac7507,,,,,,,,,,,,,,,,,,27.8478,34.8475,1,[4.000900000005956],[4.000900000005956],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,157,2026-03-20_00h03.49.703,explain2,2025.1.1,MacIntel,60.24096386,69ba06165a64117df2b80538,69bc308a35b0913edb0419e2,69bcc6fc6a797f56b4ac7507,,,,,,,,,,,,,,,,,,,,,,,34.8505,52.5954,1,[14.760000000000005],[14.760000000000005],The bright coloring is attractive,52.5955,53.5976,0,0,0,0,1,C,G,G_C.png,training,1,1,7,high,feet,color,C,F,Y,G,157,7_score.png,"Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,157,2026-03-20_00h03.49.703,explain2,2025.1.1,MacIntel,60.24096386,69ba06165a64117df2b80538,69bc308a35b0913edb0419e2,69bcc6fc6a797f56b4ac7507,,,,,,,,,,,,,,,,,,,,,,,53.5983,76.2684,1,[19.678199999995527],[19.678199999995527],The coloring is off from the wrong nutrient intake,76.2684,77.2639,0,1,1,1,1,F,Y,Y_F.png,training,1,2,4,low,feet,color,C,F,Y,G,157,4_score.png,"Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,157,2026-03-20_00h03.49.703,explain2,2025.1.1,MacIntel,60.24096386,69ba06165a64117df2b80538,69bc308a35b0913edb0419e2,69bcc6fc6a797f56b4ac7507,,,,,,,,,,,,,,,,,,,,,,,77.2647,105.987,1,[25.728299999997006],[25.728299999997006],This one is bright and spry,105.987,106.9805,0,2,2,2,1,C,Y,Y_C.png,training,1,3,9,high,feet,color,C,F,Y,G,157,9_score.png,"Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,157,2026-03-20_00h03.49.703,explain2,2025.1.1,MacIntel,60.24096386,69ba06165a64117df2b80538,69bc308a35b0913edb0419e2,69bcc6fc6a797f56b4ac7507,,,,,,,,,,,,,,,,,,,,,,,106.9813,125.9824,1,[16.002799999997023],[16.002799999997023],It is a long living species,125.9824,126.9802,0,3,3,3,1,F,G,G_F.png,training,1,4,3,low,feet,color,C,F,Y,G,157,3_score.png,"Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,157,2026-03-20_00h03.49.703,explain2,2025.1.1,MacIntel,60.24096386,69ba06165a64117df2b80538,69bc308a35b0913edb0419e2,69bcc6fc6a797f56b4ac7507,,,,,,,,,,,,,,,,,,,,,,,126.981,132.6667,1,[2.6916000000015003],[2.6916000000015003],A very long living species,132.6667,133.6635,0,4,4,4,1,F,G,G_F.png,training,2,5,2,low,feet,color,C,F,Y,G,157,2_score.png,"Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,157,2026-03-20_00h03.49.703,explain2,2025.1.1,MacIntel,60.24096386,69ba06165a64117df2b80538,69bc308a35b0913edb0419e2,69bcc6fc6a797f56b4ac7507,,,,,,,,,,,,,,,,,,,,,,,133.6643,160.448,1,[23.79650000000001],[23.79650000000001],"A small, spry and excited reptile.",160.448,161.4467,0,5,5,5,1,C,Y,Y_C.png,training,2,6,10,high,feet,color,C,F,Y,G,157,10_score.png,"Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,157,2026-03-20_00h03.49.703,explain2,2025.1.1,MacIntel,60.24096386,69ba06165a64117df2b80538,69bc308a35b0913edb0419e2,69bcc6fc6a797f56b4ac7507,,,,,,,,,,,,,,,,,,,,,,,161.4475,169.1431,1,[4.706600000001487],[4.706600000001487],A standard frog,169.1431,170.1464,0,6,6,6,1,C,G,G_C.png,training,2,7,5,high,feet,color,C,F,Y,G,157,5_score.png,"Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,157,2026-03-20_00h03.49.703,explain2,2025.1.1,MacIntel,60.24096386,69ba06165a64117df2b80538,69bc308a35b0913edb0419e2,69bcc6fc6a797f56b4ac7507,,,,,,,,,,,,,,,,,,,,,,,170.1471,184.2216,1,[11.081299999997043],[11.081299999997043],Infertility issues,184.2216,185.2132,0,7,7,7,1,F,Y,Y_F.png,training,2,8,1,low,feet,color,C,F,Y,G,157,1_score.png,"Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,157,2026-03-20_00h03.49.703,explain2,2025.1.1,MacIntel,60.24096386,69ba06165a64117df2b80538,69bc308a35b0913edb0419e2,69bcc6fc6a797f56b4ac7507,,,,,,,,,,,,,,,,,,,,,,,185.2141,199.5227,1,[11.311700000002986],[11.311700000002986],A standard reptile of the longer life category,199.5228,200.5129,0,8,8,8,1,F,G,G_F.png,training,3,9,4,low,feet,color,C,F,Y,G,157,4_score.png,"Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,157,2026-03-20_00h03.49.703,explain2,2025.1.1,MacIntel,60.24096386,69ba06165a64117df2b80538,69bc308a35b0913edb0419e2,69bcc6fc6a797f56b4ac7507,,,,,,,,,,,,,,,,,,,,,,,200.5137,211.4283,1,[7.915100000001502],[7.915100000001502],A spry and bright reptile,211.4284,212.4294,0,9,9,9,1,C,Y,Y_C.png,training,3,10,7,high,feet,color,C,F,Y,G,157,7_score.png,"Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,157,2026-03-20_00h03.49.703,explain2,2025.1.1,MacIntel,60.24096386,69ba06165a64117df2b80538,69bc308a35b0913edb0419e2,69bcc6fc6a797f56b4ac7507,,,,,,,,,,,,,,,,,,,,,,,212.4303,220.7137,1,[5.286400000005983],[5.286400000005983],It's spry and bright,220.7137,221.7118,0,10,10,10,1,C,G,G_C.png,training,3,11,7,high,feet,color,C,F,Y,G,157,7_score.png,"Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,157,2026-03-20_00h03.49.703,explain2,2025.1.1,MacIntel,60.24096386,69ba06165a64117df2b80538,69bc308a35b0913edb0419e2,69bcc6fc6a797f56b4ac7507,,,,,,,,,,,,,,,,,,,,,,,221.7125,230.7912,1,[6.095000000000027],[6.095000000000027],It is plagued with disease,230.7912,231.7792,0,11,11,11,1,F,Y,Y_F.png,training,3,12,1,low,feet,color,C,F,Y,G,157,1_score.png,"Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,157,2026-03-20_00h03.49.703,explain2,2025.1.1,MacIntel,60.24096386,69ba06165a64117df2b80538,69bc308a35b0913edb0419e2,69bcc6fc6a797f56b4ac7507,,,,,,,,,,,,,,,,,,,,,,,231.7801,238.7176,1,[3.9403999999984762],[3.9403999999984762],"Spry, young, and bright!",238.7176,239.7125,0,12,12,12,1,C,Y,Y_C.png,training,4,13,8,high,feet,color,C,F,Y,G,157,8_score.png,"Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,157,2026-03-20_00h03.49.703,explain2,2025.1.1,MacIntel,60.24096386,69ba06165a64117df2b80538,69bc308a35b0913edb0419e2,69bcc6fc6a797f56b4ac7507,,,,,,,,,,,,,,,,,,,,,,,239.7132,245.3972,1,[2.6890000000000214],[2.6890000000000214],A standard reptile,245.3972,246.3948,0,13,13,13,1,F,Y,Y_F.png,training,4,14,5,low,feet,color,C,F,Y,G,157,5_score.png,"Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,157,2026-03-20_00h03.49.703,explain2,2025.1.1,MacIntel,60.24096386,69ba06165a64117df2b80538,69bc308a35b0913edb0419e2,69bcc6fc6a797f56b4ac7507,,,,,,,,,,,,,,,,,,,,,,,246.3954,258.8921,1,[9.498700000002941],[9.498700000002941],genetic issues,258.8921,259.8957,0,14,14,14,1,F,G,G_F.png,training,4,15,1,low,feet,color,C,F,Y,G,157,1_score.png,"Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png,Resources/Y_C.png","low,low,high,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
