consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,color,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,color_high,color_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_response_label,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
yes,173,2026-03-20_00h11.13.257,explain2,2025.1.1,Win32,60.24096386,6610a177f1857159ab6ff983,69bc308a35b0913edb0419e2,69bcc8b918b29d0f891afe07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,173,2026-03-20_00h11.13.257,explain2,2025.1.1,Win32,60.24096386,6610a177f1857159ab6ff983,69bc308a35b0913edb0419e2,69bcc8b918b29d0f891afe07,4.1861,4.1865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,173,2026-03-20_00h11.13.257,explain2,2025.1.1,Win32,60.24096386,6610a177f1857159ab6ff983,69bc308a35b0913edb0419e2,69bcc8b918b29d0f891afe07,,,4.1875,19.2602,1,[12.08460000002384],[12.08460000002384],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,173,2026-03-20_00h11.13.257,explain2,2025.1.1,Win32,60.24096386,6610a177f1857159ab6ff983,69bc308a35b0913edb0419e2,69bcc8b918b29d0f891afe07,,,,,,,,19.2602,40.1578,1,[17.900999999999996],[17.900999999999996],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,173,2026-03-20_00h11.13.257,explain2,2025.1.1,Win32,60.24096386,6610a177f1857159ab6ff983,69bc308a35b0913edb0419e2,69bcc8b918b29d0f891afe07,,,,,,,,,,,,,40.1579,56.7418,1,[13.596900000095374],[13.596900000095374],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,173,2026-03-20_00h11.13.257,explain2,2025.1.1,Win32,60.24096386,6610a177f1857159ab6ff983,69bc308a35b0913edb0419e2,69bcc8b918b29d0f891afe07,,,,,,,,,,,,,,,,,,56.7423,77.3285,1,[17.601200000047683],[17.601300000071532],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,173,2026-03-20_00h11.13.257,explain2,2025.1.1,Win32,60.24096386,6610a177f1857159ab6ff983,69bc308a35b0913edb0419e2,69bcc8b918b29d0f891afe07,,,,,,,,,,,,,,,,,,,,,,,77.3452,108.4432,1,[28.110599999904636],[28.110599999904636],This reptile doesn't seem to have anything wrong with it.,108.4437,109.4426,0,0,0,0,1,C,Y,Y_C.png,training,1,1,8,high,feet,color,C,F,G,Y,173,8_score.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/G_F.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,173,2026-03-20_00h11.13.257,explain2,2025.1.1,Win32,60.24096386,6610a177f1857159ab6ff983,69bc308a35b0913edb0419e2,69bcc8b918b29d0f891afe07,,,,,,,,,,,,,,,,,,,,,,,109.4435,149.6324,1,[37.202499999999986],[37.202499999999986],"This reptile is the same as the last, but green, so maybe the color makes a difference.",149.6324,150.6337,0,1,1,1,1,C,G,G_C.png,training,1,2,9,high,feet,color,C,F,G,Y,173,9_score.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/G_F.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,173,2026-03-20_00h11.13.257,explain2,2025.1.1,Win32,60.24096386,6610a177f1857159ab6ff983,69bc308a35b0913edb0419e2,69bcc8b918b29d0f891afe07,,,,,,,,,,,,,,,,,,,,,,,150.6368,189.5883,1,[35.968600000023855],[35.968600000023855],Maybe this reptile has less toes than the higher scoring ones.,189.5884,190.589,0,2,2,2,1,F,Y,Y_F.png,training,1,3,5,low,feet,color,C,F,G,Y,173,5_score.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/G_F.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,173,2026-03-20_00h11.13.257,explain2,2025.1.1,Win32,60.24096386,6610a177f1857159ab6ff983,69bc308a35b0913edb0419e2,69bcc8b918b29d0f891afe07,,,,,,,,,,,,,,,,,,,,,,,190.5898,222.9901,1,[29.41329999995233],[29.41329999995233],Maybe this reptile had a bad year.,222.9902,223.9884,0,3,3,3,1,F,G,G_F.png,training,1,4,4,low,feet,color,C,F,G,Y,173,4_score.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/G_F.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,173,2026-03-20_00h11.13.257,explain2,2025.1.1,Win32,60.24096386,6610a177f1857159ab6ff983,69bc308a35b0913edb0419e2,69bcc8b918b29d0f891afe07,,,,,,,,,,,,,,,,,,,,,,,223.9893,284.1812,1,[57.20619999992846],[57.20619999992846],Maybe it had a hard time finding enough food to eat.,284.1813,285.182,0,4,4,4,1,F,Y,Y_F.png,training,2,5,4,low,feet,color,C,F,G,Y,173,4_score.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/G_F.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,173,2026-03-20_00h11.13.257,explain2,2025.1.1,Win32,60.24096386,6610a177f1857159ab6ff983,69bc308a35b0913edb0419e2,69bcc8b918b29d0f891afe07,,,,,,,,,,,,,,,,,,,,,,,285.1828,329.1436,1,[40.97360000002385],[40.97360000002385],The claws might be related to a better set of genes.,329.1437,330.1433,0,5,5,5,1,C,Y,Y_C.png,training,2,6,7,high,feet,color,C,F,G,Y,173,7_score.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/G_F.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,173,2026-03-20_00h11.13.257,explain2,2025.1.1,Win32,60.24096386,6610a177f1857159ab6ff983,69bc308a35b0913edb0419e2,69bcc8b918b29d0f891afe07,,,,,,,,,,,,,,,,,,,,,,,330.1461,395.7743,1,[62.64489999997619],[62.64489999997619],This reptile has rounder toes and that may be related to a gene that gives lower fertility.,395.7743,396.7749,0,6,6,6,1,F,G,G_F.png,training,2,7,4,low,feet,color,C,F,G,Y,173,4_score.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/G_F.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,173,2026-03-20_00h11.13.257,explain2,2025.1.1,Win32,60.24096386,6610a177f1857159ab6ff983,69bc308a35b0913edb0419e2,69bcc8b918b29d0f891afe07,,,,,,,,,,,,,,,,,,,,,,,396.7758,421.3004,1,[21.53820000004771],[21.538299999952358],Reptiles with claws seem to have better fertility.,421.3005,422.3004,0,7,7,7,1,C,G,G_C.png,training,2,8,8,high,feet,color,C,F,G,Y,173,8_score.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/G_F.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,173,2026-03-20_00h11.13.257,explain2,2025.1.1,Win32,60.24096386,6610a177f1857159ab6ff983,69bc308a35b0913edb0419e2,69bcc8b918b29d0f891afe07,,,,,,,,,,,,,,,,,,,,,,,422.3026,459.5536,1,[34.266999999999996],[34.266999999999996],"This reptile has rounded toes, rather than claws.",459.5536,460.555,0,8,8,8,1,F,G,G_F.png,training,3,9,2,low,feet,color,C,F,G,Y,173,2_score.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/G_F.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,173,2026-03-20_00h11.13.257,explain2,2025.1.1,Win32,60.24096386,6610a177f1857159ab6ff983,69bc308a35b0913edb0419e2,69bcc8b918b29d0f891afe07,,,,,,,,,,,,,,,,,,,,,,,460.5579,528.5556,1,[65.0141000000238],[65.0141000000238],"This reptile has claws, which tends to be associated with higher fertility.",528.5557,529.5553,0,9,9,9,1,C,G,G_C.png,training,3,10,10,high,feet,color,C,F,G,Y,173,10_score.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/G_F.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,173,2026-03-20_00h11.13.257,explain2,2025.1.1,Win32,60.24096386,6610a177f1857159ab6ff983,69bc308a35b0913edb0419e2,69bcc8b918b29d0f891afe07,,,,,,,,,,,,,,,,,,,,,,,529.5562,577.7039,1,[45.16059999990466],[45.16059999990466],This reptile has claws but not the green color that is associated with the highest fertility scores.,577.704,578.7036,0,10,10,10,1,C,Y,Y_C.png,training,3,11,7,high,feet,color,C,F,G,Y,173,7_score.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/G_F.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,173,2026-03-20_00h11.13.257,explain2,2025.1.1,Win32,60.24096386,6610a177f1857159ab6ff983,69bc308a35b0913edb0419e2,69bcc8b918b29d0f891afe07,,,,,,,,,,,,,,,,,,,,,,,578.7044,630.706,1,[49.01469999992844],[49.01469999992844],"This reptile has no claws and is not green in color, therefore it's score is pretty low.",630.7061,631.7062,0,11,11,11,1,F,Y,Y_F.png,training,3,12,1,low,feet,color,C,F,G,Y,173,1_score.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/G_F.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,173,2026-03-20_00h11.13.257,explain2,2025.1.1,Win32,60.24096386,6610a177f1857159ab6ff983,69bc308a35b0913edb0419e2,69bcc8b918b29d0f891afe07,,,,,,,,,,,,,,,,,,,,,,,631.7092,681.5898,1,[46.89650000000006],[46.89650000000006],This reptile seems to be the same as the last but maybe had better fertility the next year.,681.59,682.589,0,12,12,12,1,F,Y,Y_F.png,training,4,13,3,low,feet,color,C,F,G,Y,173,3_score.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/G_F.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,173,2026-03-20_00h11.13.257,explain2,2025.1.1,Win32,60.24096386,6610a177f1857159ab6ff983,69bc308a35b0913edb0419e2,69bcc8b918b29d0f891afe07,,,,,,,,,,,,,,,,,,,,,,,682.5899,738.4621,1,[52.88569999992842],[52.88569999992842],"This reptile has claws, which shows good fertility, but is not the color most associated with high fertility.",738.4621,739.4621,0,13,13,13,1,C,Y,Y_C.png,training,4,14,4,high,feet,color,C,F,G,Y,173,4_score.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/G_F.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,173,2026-03-20_00h11.13.257,explain2,2025.1.1,Win32,60.24096386,6610a177f1857159ab6ff983,69bc308a35b0913edb0419e2,69bcc8b918b29d0f891afe07,,,,,,,,,,,,,,,,,,,,,,,739.4648,762.8183,1,[20.37009999990471],[20.37009999990471],This reptile does not have claws.,762.8183,763.8189,0,14,14,14,1,F,G,G_F.png,training,4,15,1,low,feet,color,C,F,G,Y,173,1_score.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/G_F.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,173,2026-03-20_00h11.13.257,explain2,2025.1.1,Win32,60.24096386,6610a177f1857159ab6ff983,69bc308a35b0913edb0419e2,69bcc8b918b29d0f891afe07,,,,,,,,,,,,,,,,,,,,,,,763.8197,803.61,1,[36.80329999995229],[36.80329999995229],"This reptile is green and has claws, which seems to be the best features related to high fertility.",803.6102,804.6098,0,15,15,15,1,C,G,G_C.png,training,4,16,8,high,feet,color,C,F,G,Y,173,8_score.png,"Resources/Y_F.png,Resources/Y_C.png,Resources/G_C.png,Resources/G_F.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,173,2026-03-20_00h11.13.257,explain2,2025.1.1,Win32,60.24096386,6610a177f1857159ab6ff983,69bc308a35b0913edb0419e2,69bcc8b918b29d0f891afe07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,804.6107,810.9319,1,[3.335800000071572],[3.335800000071572],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
