consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,color,brightness,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,color_high,color_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
yes,001,2026-03-05_18h01.08.653,explain2,2025.1.1,MacIntel,120.4819277,69a99ddc20124732b1f313f0,69a9bda61d47b7a3311bd545,69aa0b17e06e8b81ac29277b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2026-03-05_18h01.08.653,explain2,2025.1.1,MacIntel,120.4819277,69a99ddc20124732b1f313f0,69a9bda61d47b7a3311bd545,69aa0b17e06e8b81ac29277b,6.5549,6.5551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2026-03-05_18h01.08.653,explain2,2025.1.1,MacIntel,120.4819277,69a99ddc20124732b1f313f0,69a9bda61d47b7a3311bd545,69aa0b17e06e8b81ac29277b,,,6.5555,26.0869,1,[16.534200000002976],[16.534200000002976],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2026-03-05_18h01.08.653,explain2,2025.1.1,MacIntel,120.4819277,69a99ddc20124732b1f313f0,69a9bda61d47b7a3311bd545,69aa0b17e06e8b81ac29277b,,,,,,,,26.0871,49.5774,1,[20.491299999997025],[20.491299999997025],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2026-03-05_18h01.08.653,explain2,2025.1.1,MacIntel,120.4819277,69a99ddc20124732b1f313f0,69a9bda61d47b7a3311bd545,69aa0b17e06e8b81ac29277b,,,,,,,,,,,,,49.5776,59.1276,1,[6.549900000005962],[6.549900000005962],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2026-03-05_18h01.08.653,explain2,2025.1.1,MacIntel,120.4819277,69a99ddc20124732b1f313f0,69a9bda61d47b7a3311bd545,69aa0b17e06e8b81ac29277b,,,,,,,,,,,,,,,,,,59.1354,88.6368,1,[26.508399999998502],[26.508499999999998],it lives in a good enviroment ,88.6371,89.1359,0,0,0,0,1,C,Y,L,Y_C_L.png,training,1,1,8,high,feet,color,C,F,Y,G,1,8_score.png,"Resources/Y_C_D.png,Resources/Y_F_L.png,Resources/G_F_L.png,Resources/G_C_L.png,Resources/G_C_D.png,Resources/G_F_D.png,Resources/Y_F_D.png,Resources/Y_C_L.png","high,low,low,high,high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2026-03-05_18h01.08.653,explain2,2025.1.1,MacIntel,120.4819277,69a99ddc20124732b1f313f0,69a9bda61d47b7a3311bd545,69aa0b17e06e8b81ac29277b,,,,,,,,,,,,,,,,,,89.1389,114.4862,1,[22.349999999999994],[22.349999999999994],it was a cold season ,114.4864,114.9854,0,1,1,1,1,F,G,D,G_F_D.png,training,1,2,2,low,feet,color,C,F,Y,G,1,2_score.png,"Resources/Y_C_D.png,Resources/Y_F_L.png,Resources/G_F_L.png,Resources/G_C_L.png,Resources/G_C_D.png,Resources/G_F_D.png,Resources/Y_F_D.png,Resources/Y_C_L.png","high,low,low,high,high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2026-03-05_18h01.08.653,explain2,2025.1.1,MacIntel,120.4819277,69a99ddc20124732b1f313f0,69a9bda61d47b7a3311bd545,69aa0b17e06e8b81ac29277b,,,,,,,,,,,,,,,,,,114.9884,142.6859,1,[24.70620000000298],[24.70620000000298],i is able to hide well ,142.686,143.1854,0,2,2,2,1,C,G,D,G_C_D.png,training,1,3,6,high,feet,color,C,F,Y,G,1,6_score.png,"Resources/Y_C_D.png,Resources/Y_F_L.png,Resources/G_F_L.png,Resources/G_C_L.png,Resources/G_C_D.png,Resources/G_F_D.png,Resources/Y_F_D.png,Resources/Y_C_L.png","high,low,low,high,high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2026-03-05_18h01.08.653,explain2,2025.1.1,MacIntel,120.4819277,69a99ddc20124732b1f313f0,69a9bda61d47b7a3311bd545,69aa0b17e06e8b81ac29277b,,,,,,,,,,,,,,,,,,143.1883,146.1948,1,[0.008800000004470121],[0.008800000004470121],,146.1949,146.6927,0,3,3,3,1,F,G,L,G_F_L.png,training,1,4,5,low,feet,color,C,F,Y,G,1,5_score.png,"Resources/Y_C_D.png,Resources/Y_F_L.png,Resources/G_F_L.png,Resources/G_C_L.png,Resources/G_C_D.png,Resources/G_F_D.png,Resources/Y_F_D.png,Resources/Y_C_L.png","high,low,low,high,high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,001,2026-03-05_18h01.08.653,explain2,2025.1.1,MacIntel,120.4819277,69a99ddc20124732b1f313f0,69a9bda61d47b7a3311bd545,69aa0b17e06e8b81ac29277b,,,,,,,,,,,,,,,,,,146.6945,149.7034,1,[0.00939999999852148],[0.00939999999852148],,149.7036,150.202,0,4,4,4,1,C,Y,D,Y_C_D.png,training,1,5,7,high,feet,color,C,F,Y,G,1,7_score.png,"Resources/Y_C_D.png,Resources/Y_F_L.png,Resources/G_F_L.png,Resources/G_C_L.png,Resources/G_C_D.png,Resources/G_F_D.png,Resources/Y_F_D.png,Resources/Y_C_L.png","high,low,low,high,high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
