consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,color,brightness,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,color_high,color_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,direction_response_label,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
yes,008,2026-03-05_19h06.57.272,explain2,2025.1.1,MacIntel,29.85074627,6704445dc393ab3d310b4a80,69a9bda61d47b7a3311bd545,69aa19b41e803bc3245633d4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,008,2026-03-05_19h06.57.272,explain2,2025.1.1,MacIntel,29.85074627,6704445dc393ab3d310b4a80,69a9bda61d47b7a3311bd545,69aa19b41e803bc3245633d4,3.4929,3.493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,008,2026-03-05_19h06.57.272,explain2,2025.1.1,MacIntel,29.85074627,6704445dc393ab3d310b4a80,69a9bda61d47b7a3311bd545,69aa19b41e803bc3245633d4,,,3.4933,13.8961,1,[7.430299999997004],[7.430299999997004],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,008,2026-03-05_19h06.57.272,explain2,2025.1.1,MacIntel,29.85074627,6704445dc393ab3d310b4a80,69a9bda61d47b7a3311bd545,69aa19b41e803bc3245633d4,,,,,,,,13.8965,31.1044,1,[14.225299999997048],[14.225299999997048],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,008,2026-03-05_19h06.57.272,explain2,2025.1.1,MacIntel,29.85074627,6704445dc393ab3d310b4a80,69a9bda61d47b7a3311bd545,69aa19b41e803bc3245633d4,,,,,,,,,,,,,31.1045,39.7088,1,[5.611400000005972],[5.611500000000035],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,008,2026-03-05_19h06.57.272,explain2,2025.1.1,MacIntel,29.85074627,6704445dc393ab3d310b4a80,69a9bda61d47b7a3311bd545,69aa19b41e803bc3245633d4,,,,,,,,,,,,,,,,,,39.713,76.2127,1,[33.50749999999999],[33.50749999999999],It became impregnanted quickly with a large number of offspring,76.2128,76.692,0,0,0,0,1,F,Y,D,Y_F_D.png,training,1,1,7,high,color,feet,Y,G,C,F,8,7_score.png,"Resources/Y_F_L.png,Resources/G_C_D.png,Resources/G_F_D.png,Resources/Y_C_D.png,Resources/Y_F_D.png,Resources/G_C_L.png,Resources/G_F_L.png,Resources/Y_C_L.png","high,low,low,high,high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,008,2026-03-05_19h06.57.272,explain2,2025.1.1,MacIntel,29.85074627,6704445dc393ab3d310b4a80,69a9bda61d47b7a3311bd545,69aa19b41e803bc3245633d4,,,,,,,,,,,,,,,,,,76.696,102.195,1,[22.504999999999995],[22.504999999999995],Less offspring produced,102.1953,102.6828,0,1,1,1,1,C,G,L,G_C_L.png,training,1,2,4,low,color,feet,Y,G,C,F,8,4_score.png,"Resources/Y_F_L.png,Resources/G_C_D.png,Resources/G_F_D.png,Resources/Y_C_D.png,Resources/Y_F_D.png,Resources/G_C_L.png,Resources/G_F_L.png,Resources/Y_C_L.png","high,low,low,high,high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,008,2026-03-05_19h06.57.272,explain2,2025.1.1,MacIntel,29.85074627,6704445dc393ab3d310b4a80,69a9bda61d47b7a3311bd545,69aa19b41e803bc3245633d4,,,,,,,,,,,,,,,,,,102.6844,122.1051,1,[16.447000000000003],[16.447000000000003],"Very fertile, producing a large number of offspring",122.1053,122.6032,0,2,2,2,1,C,Y,D,Y_C_D.png,training,1,3,10,high,color,feet,Y,G,C,F,8,10_score.png,"Resources/Y_F_L.png,Resources/G_C_D.png,Resources/G_F_D.png,Resources/Y_C_D.png,Resources/Y_F_D.png,Resources/G_C_L.png,Resources/G_F_L.png,Resources/Y_C_L.png","high,low,low,high,high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,008,2026-03-05_19h06.57.272,explain2,2025.1.1,MacIntel,29.85074627,6704445dc393ab3d310b4a80,69a9bda61d47b7a3311bd545,69aa19b41e803bc3245633d4,,,,,,,,,,,,,,,,,,122.6084,138.7657,1,[13.166499999999985],[13.166499999999985],This type of reptile is not as fertile as the red ones,138.7658,139.2736,0,3,3,3,1,F,G,L,G_F_L.png,training,1,4,3,low,color,feet,Y,G,C,F,8,3_score.png,"Resources/Y_F_L.png,Resources/G_C_D.png,Resources/G_F_D.png,Resources/Y_C_D.png,Resources/Y_F_D.png,Resources/G_C_L.png,Resources/G_F_L.png,Resources/Y_C_L.png","high,low,low,high,high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,008,2026-03-05_19h06.57.272,explain2,2025.1.1,MacIntel,29.85074627,6704445dc393ab3d310b4a80,69a9bda61d47b7a3311bd545,69aa19b41e803bc3245633d4,,,,,,,,,,,,,,,,,,139.2751,163.2117,1,[20.964899999991076],[20.964899999991076],Red reptiles are quite fertile and produced more offspring.,163.2118,163.6951,0,4,4,4,1,C,Y,L,Y_C_L.png,training,1,5,7,high,color,feet,Y,G,C,F,8,7_score.png,"Resources/Y_F_L.png,Resources/G_C_D.png,Resources/G_F_D.png,Resources/Y_C_D.png,Resources/Y_F_D.png,Resources/G_C_L.png,Resources/G_F_L.png,Resources/Y_C_L.png","high,low,low,high,high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
