consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,color,brightness,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,color_high,color_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_response_label,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
yes,009,2026-03-05_18h09.11.192,explain2,2025.1.1,Win32,60.0240096,69a34ac937364f47d8f24570,69a9bda61d47b7a3311bd545,69aa0cf39e91eb7e87268680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,009,2026-03-05_18h09.11.192,explain2,2025.1.1,Win32,60.0240096,69a34ac937364f47d8f24570,69a9bda61d47b7a3311bd545,69aa0cf39e91eb7e87268680,4.844,4.844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,009,2026-03-05_18h09.11.192,explain2,2025.1.1,Win32,60.0240096,69a34ac937364f47d8f24570,69a9bda61d47b7a3311bd545,69aa0cf39e91eb7e87268680,,,4.844,18,1,[10.783000000000001],[10.783000000000001],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,009,2026-03-05_18h09.11.192,explain2,2025.1.1,Win32,60.0240096,69a34ac937364f47d8f24570,69a9bda61d47b7a3311bd545,69aa0cf39e91eb7e87268680,,,,,,,,18.001,34.677,1,[13.679000000000002],[13.679000000000002],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,009,2026-03-05_18h09.11.192,explain2,2025.1.1,Win32,60.0240096,69a34ac937364f47d8f24570,69a9bda61d47b7a3311bd545,69aa0cf39e91eb7e87268680,,,,,,,,,,,,,34.678,44.974,1,[7.299000000000007],[7.299000000000007],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,009,2026-03-05_18h09.11.192,explain2,2025.1.1,Win32,60.0240096,69a34ac937364f47d8f24570,69a9bda61d47b7a3311bd545,69aa0cf39e91eb7e87268680,,,,,,,,,,,,,,,,,,44.991,99.675,1,[51.685],[51.685],"Not enough information to know. The reptile may have a naturally high fertility, or perhaps the conditions of the environment were perfect.",99.678,100.171,0,0,0,0,1,C,G,L,G_C_L.png,training,1,1,10,high,feet,color,C,F,Y,G,9,10_score.png,"Resources/G_C_D.png,Resources/G_F_D.png,Resources/G_C_L.png,Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/Y_C_D.png,Resources/Y_F_D.png,Resources/G_F_L.png","high,low,high,high,low,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,009,2026-03-05_18h09.11.192,explain2,2025.1.1,Win32,60.0240096,69a34ac937364f47d8f24570,69a9bda61d47b7a3311bd545,69aa0cf39e91eb7e87268680,,,,,,,,,,,,,,,,,,100.179,126.597,1,[23.425999999999988],[23.425999999999988],Perhaps red reptiles have a lower fertility than green reptiles,126.6,127.095,0,1,1,1,1,F,Y,D,Y_F_D.png,training,1,2,3,low,feet,color,C,F,Y,G,9,3_score.png,"Resources/G_C_D.png,Resources/G_F_D.png,Resources/G_C_L.png,Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/Y_C_D.png,Resources/Y_F_D.png,Resources/G_F_L.png","high,low,high,high,low,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,009,2026-03-05_18h09.11.192,explain2,2025.1.1,Win32,60.0240096,69a34ac937364f47d8f24570,69a9bda61d47b7a3311bd545,69aa0cf39e91eb7e87268680,,,,,,,,,,,,,,,,,,127.106,148.639,1,[18.543000000000006],[18.543000000000006],Dark green reptiles may have around the same fertility as red reptiles,148.641,149.137,0,2,2,2,1,F,G,D,G_F_D.png,training,1,3,3,low,feet,color,C,F,Y,G,9,3_score.png,"Resources/G_C_D.png,Resources/G_F_D.png,Resources/G_C_L.png,Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/Y_C_D.png,Resources/Y_F_D.png,Resources/G_F_L.png","high,low,high,high,low,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,009,2026-03-05_18h09.11.192,explain2,2025.1.1,Win32,60.0240096,69a34ac937364f47d8f24570,69a9bda61d47b7a3311bd545,69aa0cf39e91eb7e87268680,,,,,,,,,,,,,,,,,,149.148,209.62,1,[57.480999999999995],[57.480999999999995],Orange reptiles may naturally have higher fertility than red and dark green reptiles. The bright color may make orange and light green reptiles more attractive to mates than darker colors.,209.623,210.118,0,3,3,3,1,C,Y,D,Y_C_D.png,training,1,4,8,high,feet,color,C,F,Y,G,9,8_score.png,"Resources/G_C_D.png,Resources/G_F_D.png,Resources/G_C_L.png,Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/Y_C_D.png,Resources/Y_F_D.png,Resources/G_F_L.png","high,low,high,high,low,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,009,2026-03-05_18h09.11.192,explain2,2025.1.1,Win32,60.0240096,69a34ac937364f47d8f24570,69a9bda61d47b7a3311bd545,69aa0cf39e91eb7e87268680,,,,,,,,,,,,,,,,,,210.128,229.483,1,[16.362999999999943],[16.362999999999943],The darker color may make the reptile less attractive to mates,229.483,229.976,0,4,4,4,1,C,G,D,G_C_D.png,training,1,5,6,high,feet,color,C,F,Y,G,9,6_score.png,"Resources/G_C_D.png,Resources/G_F_D.png,Resources/G_C_L.png,Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/Y_C_D.png,Resources/Y_F_D.png,Resources/G_F_L.png","high,low,high,high,low,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
