consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,color,brightness,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,color_high,color_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,direction_response_label,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
yes,011,2026-03-05_19h09.27.386,explain2,2025.1.1,Win32,60.24096386,69a1c68c04b01b54ac96d443,69a9bda61d47b7a3311bd545,69aa1b0fd7ebec3daa98af1e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,011,2026-03-05_19h09.27.386,explain2,2025.1.1,Win32,60.24096386,69a1c68c04b01b54ac96d443,69a9bda61d47b7a3311bd545,69aa1b0fd7ebec3daa98af1e,68.5523,68.5524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,011,2026-03-05_19h09.27.386,explain2,2025.1.1,Win32,60.24096386,69a1c68c04b01b54ac96d443,69a9bda61d47b7a3311bd545,69aa1b0fd7ebec3daa98af1e,,,68.5525,94.4271,1,[22.884600000023838],[22.884600000023838],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,011,2026-03-05_19h09.27.386,explain2,2025.1.1,Win32,60.24096386,69a1c68c04b01b54ac96d443,69a9bda61d47b7a3311bd545,69aa1b0fd7ebec3daa98af1e,,,,,,,,94.4273,128.6895,1,[31.262500000000003],[31.262600000023824],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,011,2026-03-05_19h09.27.386,explain2,2025.1.1,Win32,60.24096386,69a1c68c04b01b54ac96d443,69a9bda61d47b7a3311bd545,69aa1b0fd7ebec3daa98af1e,,,,,,,,,,,,,128.6905,156.1274,1,[24.44509999990464],[24.44509999990464],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,011,2026-03-05_19h09.27.386,explain2,2025.1.1,Win32,60.24096386,69a1c68c04b01b54ac96d443,69a9bda61d47b7a3311bd545,69aa1b0fd7ebec3daa98af1e,,,,,,,,,,,,,,,,,,156.1351,287.3141,1,[128.1857999999523],[128.1857999999523],This reptile received a score of 6 because of resource availability that helped its fertility.,287.3146,287.8128,0,0,0,0,1,F,G,D,G_F_D.png,training,1,1,6,high,feet,color,F,C,Y,G,11,6_score.png,"Resources/Y_C_D.png,Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/G_F_L.png,Resources/G_C_D.png,Resources/G_F_D.png,Resources/Y_F_D.png,Resources/G_C_L.png","low,low,high,high,low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,011,2026-03-05_19h09.27.386,explain2,2025.1.1,Win32,60.24096386,69a1c68c04b01b54ac96d443,69a9bda61d47b7a3311bd545,69aa1b0fd7ebec3daa98af1e,,,,,,,,,,,,,,,,,,287.8148,396.8158,1,[106.00199999999995],[106.00199999999995],this reptile was able to store viable sperms in tubules for month before laying eggs increasing fertility rate before meeting the male during breeding season thus a high score,396.8159,397.3147,0,1,1,1,1,F,Y,D,Y_F_D.png,training,1,2,8,high,feet,color,F,C,Y,G,11,8_score.png,"Resources/Y_C_D.png,Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/G_F_L.png,Resources/G_C_D.png,Resources/G_F_D.png,Resources/Y_F_D.png,Resources/G_C_L.png","low,low,high,high,low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,011,2026-03-05_19h09.27.386,explain2,2025.1.1,Win32,60.24096386,69a1c68c04b01b54ac96d443,69a9bda61d47b7a3311bd545,69aa1b0fd7ebec3daa98af1e,,,,,,,,,,,,,,,,,,397.3169,454.9563,1,[54.640299999952276],[54.640299999952276],presence of favorable temperatures that led to successful breeding and raising of offsprings,454.9564,455.4492,0,2,2,2,1,F,Y,L,Y_F_L.png,training,1,3,8,high,feet,color,F,C,Y,G,11,8_score.png,"Resources/Y_C_D.png,Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/G_F_L.png,Resources/G_C_D.png,Resources/G_F_D.png,Resources/Y_F_D.png,Resources/G_C_L.png","low,low,high,high,low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,011,2026-03-05_19h09.27.386,explain2,2025.1.1,Win32,60.24096386,69a1c68c04b01b54ac96d443,69a9bda61d47b7a3311bd545,69aa1b0fd7ebec3daa98af1e,,,,,,,,,,,,,,,,,,455.4514,480.5005,1,[22.0505],[22.0505],attack by predators that eat eggs and the bred offsprings,480.5006,480.9994,0,3,3,3,1,C,G,L,G_C_L.png,training,1,4,3,low,feet,color,F,C,Y,G,11,3_score.png,"Resources/Y_C_D.png,Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/G_F_L.png,Resources/G_C_D.png,Resources/G_F_D.png,Resources/Y_F_D.png,Resources/G_C_L.png","low,low,high,high,low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,011,2026-03-05_19h09.27.386,explain2,2025.1.1,Win32,60.24096386,69a1c68c04b01b54ac96d443,69a9bda61d47b7a3311bd545,69aa1b0fd7ebec3daa98af1e,,,,,,,,,,,,,,,,,,481.0013,509.8676,1,[25.866899999976113],[25.866899999976113],unfavorable weather conditions during the breeding season,509.8678,510.3667,0,4,4,4,1,C,Y,D,Y_C_D.png,training,1,5,3,low,feet,color,F,C,Y,G,11,3_score.png,"Resources/Y_C_D.png,Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/G_F_L.png,Resources/G_C_D.png,Resources/G_F_D.png,Resources/Y_F_D.png,Resources/G_C_L.png","low,low,high,high,low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
