consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,color,brightness,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,color_high,color_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_response_label,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
yes,012,2026-03-05_18h11.04.345,explain2,2025.1.1,iPhone,47.61904762,6980fbb2450278f3e4b20a5d,69a9bda61d47b7a3311bd545,69aa0d71370a5c9a106dbfed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-03-05_18h11.04.345,explain2,2025.1.1,iPhone,47.61904762,6980fbb2450278f3e4b20a5d,69a9bda61d47b7a3311bd545,69aa0d71370a5c9a106dbfed,12.133,12.133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-03-05_18h11.04.345,explain2,2025.1.1,iPhone,47.61904762,6980fbb2450278f3e4b20a5d,69a9bda61d47b7a3311bd545,69aa0d71370a5c9a106dbfed,,,12.134,30.354,1,[15.233],[15.233],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-03-05_18h11.04.345,explain2,2025.1.1,iPhone,47.61904762,6980fbb2450278f3e4b20a5d,69a9bda61d47b7a3311bd545,69aa0d71370a5c9a106dbfed,,,,,,,,30.354,49.453,1,[16.115000000000002],[16.115000000000002],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-03-05_18h11.04.345,explain2,2025.1.1,iPhone,47.61904762,6980fbb2450278f3e4b20a5d,69a9bda61d47b7a3311bd545,69aa0d71370a5c9a106dbfed,,,,,,,,,,,,,49.453,60.103,1,[7.663000000000011],[7.663000000000011],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-03-05_18h11.04.345,explain2,2025.1.1,iPhone,47.61904762,6980fbb2450278f3e4b20a5d,69a9bda61d47b7a3311bd545,69aa0d71370a5c9a106dbfed,,,,,,,,,,,,,,,,,,60.123,111.807,1,[48.69199999999998],[48.69199999999998],Maybe it’s stil a younger frog so it doesn’t reproduce as much or either it was around a lot of other mates to perform ,111.808,112.302,0,0,0,0,1,F,G,D,G_F_D.png,training,1,1,1,low,color,feet,Y,G,C,F,12,1_score.png,"Resources/G_C_L.png,Resources/G_C_D.png,Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/Y_F_D.png,Resources/G_F_D.png,Resources/Y_C_D.png,Resources/G_F_L.png","low,low,high,high,high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-03-05_18h11.04.345,explain2,2025.1.1,iPhone,47.61904762,6980fbb2450278f3e4b20a5d,69a9bda61d47b7a3311bd545,69aa0d71370a5c9a106dbfed,,,,,,,,,,,,,,,,,,112.307,144.832,1,[29.53],[29.53],Older in age ,144.833,145.337,0,1,1,1,1,C,G,L,G_C_L.png,training,1,2,4,low,color,feet,Y,G,C,F,12,4_score.png,"Resources/G_C_L.png,Resources/G_C_D.png,Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/Y_F_D.png,Resources/G_F_D.png,Resources/Y_C_D.png,Resources/G_F_L.png","low,low,high,high,high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-03-05_18h11.04.345,explain2,2025.1.1,iPhone,47.61904762,6980fbb2450278f3e4b20a5d,69a9bda61d47b7a3311bd545,69aa0d71370a5c9a106dbfed,,,,,,,,,,,,,,,,,,145.341,156.471,1,[8.146000000000015],[8.146000000000015],Older in age ,156.472,156.975,0,2,2,2,1,F,G,L,G_F_L.png,training,1,3,5,low,color,feet,Y,G,C,F,12,5_score.png,"Resources/G_C_L.png,Resources/G_C_D.png,Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/Y_F_D.png,Resources/G_F_D.png,Resources/Y_C_D.png,Resources/G_F_L.png","low,low,high,high,high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-03-05_18h11.04.345,explain2,2025.1.1,iPhone,47.61904762,6980fbb2450278f3e4b20a5d,69a9bda61d47b7a3311bd545,69aa0d71370a5c9a106dbfed,,,,,,,,,,,,,,,,,,156.979,174.785,1,[14.826999999999998],[14.826999999999998],Probably was in mating season,174.786,175.289,0,3,3,3,1,F,Y,L,Y_F_L.png,training,1,4,5,high,color,feet,Y,G,C,F,12,5_score.png,"Resources/G_C_L.png,Resources/G_C_D.png,Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/Y_F_D.png,Resources/G_F_D.png,Resources/Y_C_D.png,Resources/G_F_L.png","low,low,high,high,high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-03-05_18h11.04.345,explain2,2025.1.1,iPhone,47.61904762,6980fbb2450278f3e4b20a5d,69a9bda61d47b7a3311bd545,69aa0d71370a5c9a106dbfed,,,,,,,,,,,,,,,,,,175.304,187.458,1,[9.164000000000016],[9.164000000000016],Was around a lot of mates and was able to perform ,187.459,187.96,0,4,4,4,1,C,Y,L,Y_C_L.png,training,1,5,8,high,color,feet,Y,G,C,F,12,8_score.png,"Resources/G_C_L.png,Resources/G_C_D.png,Resources/Y_C_L.png,Resources/Y_F_L.png,Resources/Y_F_D.png,Resources/G_F_D.png,Resources/Y_C_D.png,Resources/G_F_L.png","low,low,high,high,high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
