participant,training_responses,fertility_score,error,feedback,trial_stop_time,testing_image_order,testing_responses,training_categories,training_feet,training_bright,training_color,testing_categories,conditionOrder,training_image_order,attention_check,relevant_dim,irrelevant_dim,feet_high,color_low,color_high,feet_low,bright_discrete_slider.response,bright_direction_slider.response,bright_continuous_slider.response,feet_discrete_slider.response,feet_direction_slider.response,feet_continuous_slider.response,color_discrete_slider.response,color_direction_slider.response,color_continuous_slider.response
016,"[1.0, 8.0, 9.0, 2.0, 3.0, 7.0, 9.0, 2.0, 7.0, 4.0, 9.0, 2.0, 7.0, 4.0, 8.0, 2.0, 10.0, 1.0, 8.0, 1.0, 5.0, 7.0, 5.0, 7.0]","[9.0, 2.0, 7.0, 4.0, 5.0, 5.0, 8.0, 4.0, 6.0, 2.0, 7.0, 4.0, 8.0, 1.0, 10.0, 4.0, 8.0, 5.0, 5.0, 6.0, 4.0, 6.0, 4.0, 7.0]","[8.0, 6.0, 2.0, 2.0, 2.0, 2.0, 1.0, 2.0, 1.0, 2.0, 2.0, 2.0, 1.0, 3.0, 2.0, 2.0, 2.0, 4.0, 3.0, 5.0, 1.0, 1.0, 1.0, 0.0]",[],250.9405,"['G_C_L', 'G_C_D', 'Y_F_L', 'Y_C_L', 'Y_F_D', 'Y_C_D', 'G_F_D', 'G_F_L']","[4.0, 5.0, 8.0, 7.0, 10.0, 9.0, 4.0, 3.0]","['high', 'low', 'high', 'low', 'low', 'high', 'high', 'low', 'high', 'low', 'high', 'low', 'high', 'low', 'high', 'low', 'high', 'low', 'high', 'low', 'low', 'high', 'low', 'high']","['C', 'F', 'C', 'C', 'C', 'F', 'F', 'F', 'C', 'C', 'F', 'C', 'F', 'F', 'C', 'F', 'C', 'F', 'F', 'C', 'C', 'F', 'F', 'C']","['D', 'D', 'L', 'D', 'L', 'L', 'D', 'L', 'L', 'D', 'D', 'L', 'L', 'D', 'D', 'L', 'D', 'D', 'L', 'D', 'L', 'D', 'L', 'L']","['Y', 'G', 'Y', 'G', 'G', 'Y', 'Y', 'G', 'Y', 'G', 'Y', 'G', 'Y', 'G', 'Y', 'G', 'Y', 'G', 'Y', 'G', 'G', 'Y', 'G', 'Y']","['low', 'low', 'high', 'high', 'high', 'high', 'low', 'low']",16,"['Y_C_D', 'G_F_D', 'Y_C_L', 'G_C_D', 'G_C_L', 'Y_F_L', 'Y_F_D', 'G_F_L', 'Y_C_L', 'G_C_D', 'Y_F_D', 'G_C_L', 'Y_F_L', 'G_F_D', 'Y_C_D', 'G_F_L', 'Y_C_D', 'G_F_D', 'Y_F_L', 'G_C_D', 'G_C_L', 'Y_F_D', 'G_F_L', 'Y_C_L']",1,color,feet,C,G,Y,F,Yes, Dark,4.0,No,,,Yes, Red,5.0
015,"[1.0, 8.0, 10.0, 10.0, 9.0, 8.0, 9.0, 10.0, 5.0, 5.0, 10.0, 10.0, 9.0, 4.0, 10.0, 6.0, 8.0, 9.0, 6.0, 10.0, 9.0, 8.0, 6.0, 9.0]","[10.0, 9.0, 10.0, 5.0, 9.0, 4.0, 2.0, 5.0, 5.0, 2.0, 9.0, 6.0, 7.0, 6.0, 8.0, 7.0, 9.0, 3.0, 6.0, 10.0, 8.0, 2.0, 9.0, 4.0]","[9.0, 1.0, 0.0, 5.0, 0.0, 4.0, 7.0, 5.0, 0.0, 3.0, 1.0, 4.0, 2.0, 2.0, 2.0, 1.0, 1.0, 6.0, 0.0, 0.0, 1.0, 6.0, 3.0, 5.0]",[],298.06,"['Y_F_D', 'G_F_D', 'G_C_D', 'Y_F_L', 'Y_C_D', 'G_F_L', 'Y_C_L', 'G_C_L']","[9.0, 10.0, 10.0, 9.0, 9.0, 10.0, 9.0, 10.0]","['high', 'high', 'high', 'low', 'high', 'low', 'low', 'low', 'low', 'low', 'high', 'low', 'high', 'low', 'high', 'high', 'high', 'low', 'low', 'high', 'high', 'low', 'high', 'low']","['F', 'F', 'F', 'C', 'F', 'C', 'C', 'C', 'C', 'C', 'F', 'C', 'F', 'C', 'F', 'F', 'F', 'C', 'C', 'F', 'F', 'C', 'F', 'C']","['L', 'L', 'D', 'D', 'D', 'L', 'D', 'L', 'L', 'D', 'L', 'D', 'D', 'L', 'D', 'L', 'L', 'L', 'L', 'D', 'D', 'D', 'L', 'D']","['G', 'Y', 'G', 'G', 'Y', 'Y', 'Y', 'G', 'G', 'Y', 'G', 'G', 'Y', 'Y', 'G', 'Y', 'G', 'G', 'Y', 'G', 'Y', 'G', 'Y', 'Y']","['high', 'high', 'low', 'high', 'low', 'high', 'low', 'low']",15,"['G_F_L', 'Y_F_L', 'G_F_D', 'G_C_D', 'Y_F_D', 'Y_C_L', 'Y_C_D', 'G_C_L', 'G_C_L', 'Y_C_D', 'G_F_L', 'G_C_D', 'Y_F_D', 'Y_C_L', 'G_F_D', 'Y_F_L', 'G_F_L', 'G_C_L', 'Y_C_L', 'G_F_D', 'Y_F_D', 'G_C_D', 'Y_F_L', 'Y_C_D']",1,feet,color,F,Y,G,C,Yes, Dark,6.0,No,,,Yes,Green,1.0
017,"[6.0, 4.0, 7.0, 7.0, 8.0, 9.0, 7.0, 4.0, 7.0, 5.0, 7.0, 8.0, 5.0, 4.0, 3.0, 6.0, 7.0, 1.0, 6.0, 3.0, 7.0, 1.0, 6.0, 2.0]","[5.0, 4.0, 5.0, 10.0, 7.0, 10.0, 8.0, 5.0, 7.0, 4.0, 6.0, 6.0, 4.0, 1.0, 1.0, 6.0, 5.0, 1.0, 7.0, 1.0, 10.0, 4.0, 7.0, 1.0]","[1.0, 0.0, 2.0, 3.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 2.0, 1.0, 3.0, 2.0, 0.0, 2.0, 0.0, 1.0, 2.0, 3.0, 3.0, 1.0, 1.0]","['I accidentally clicked the wrong selection on the last question. I meant to select ""how fertile is each reptile"" for the question ""What was this test about"".']",507.9669,"['Y_C_D', 'Y_F_L', 'Y_C_L', 'G_F_L', 'G_C_L', 'G_C_D', 'G_F_D', 'Y_F_D']","[8.0, 3.0, 7.0, 1.0, 7.0, 10.0, 3.0, 1.0]","['low', 'low', 'low', 'high', 'high', 'high', 'high', 'low', 'high', 'low', 'high', 'high', 'low', 'low', 'low', 'high', 'high', 'low', 'high', 'low', 'high', 'low', 'high', 'low']","['F', 'F', 'F', 'C', 'C', 'C', 'C', 'F', 'C', 'F', 'C', 'C', 'F', 'F', 'F', 'C', 'C', 'F', 'C', 'F', 'C', 'F', 'C', 'F']","['L', 'D', 'D', 'D', 'L', 'L', 'D', 'L', 'L', 'D', 'D', 'D', 'L', 'L', 'D', 'L', 'L', 'D', 'L', 'D', 'D', 'L', 'D', 'L']","['G', 'Y', 'G', 'G', 'Y', 'G', 'Y', 'Y', 'Y', 'G', 'Y', 'G', 'Y', 'G', 'Y', 'G', 'Y', 'Y', 'G', 'G', 'G', 'Y', 'Y', 'G']","['high', 'low', 'high', 'low', 'high', 'high', 'low', 'low']",17,"['G_F_L', 'Y_F_D', 'G_F_D', 'G_C_D', 'Y_C_L', 'G_C_L', 'Y_C_D', 'Y_F_L', 'Y_C_L', 'G_F_D', 'Y_C_D', 'G_C_D', 'Y_F_L', 'G_F_L', 'Y_F_D', 'G_C_L', 'Y_C_L', 'Y_F_D', 'G_C_L', 'G_F_D', 'G_C_D', 'Y_F_L', 'Y_C_D', 'G_F_L']",0,feet,color,C,Y,G,F,Yes, Dark,3.0,Yes,Curly/Pointy,7.0,Yes,Green,2.0
004,"[6.0, 4.0, 9.0, 7.0, 10.0, 1.0, 9.0, 3.0, 6.0, 3.0, 2.0, 1.0, 8.0, 5.0, 7.0, 7.0, 6.0, 8.0, 9.0, 2.0, 1.0, 6.0, 3.0, 2.0]","[4.0, 1.0, 8.0, 5.0, 10.0, 3.0, 7.0, 4.0, 6.0, 5.0, 1.0, 2.0, 6.0, 3.0, 6.0, 7.0, 6.0, 10.0, 7.0, 4.0, 3.0, 6.0, 4.0, 3.0]","[2.0, 3.0, 1.0, 2.0, 0.0, 2.0, 2.0, 1.0, 0.0, 2.0, 1.0, 1.0, 2.0, 2.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 0.0, 1.0, 1.0]",['I had fun thanks for having me :)\xa0'],302.1877,"['G_C_L', 'Y_F_D', 'Y_F_L', 'G_C_D', 'Y_C_D', 'G_F_D', 'Y_C_L', 'G_F_L']","[3.0, 9.0, 6.0, 4.0, 8.0, 3.0, 6.0, 2.0]","['low', 'low', 'high', 'high', 'high', 'low', 'high', 'low', 'high', 'low', 'low', 'low', 'high', 'low', 'high', 'high', 'high', 'high', 'high', 'low', 'low', 'high', 'low', 'low']","['C', 'F', 'C', 'F', 'C', 'C', 'F', 'F', 'C', 'C', 'F', 'C', 'F', 'F', 'F', 'C', 'C', 'C', 'F', 'F', 'C', 'F', 'C', 'F']","['D', 'D', 'L', 'L', 'D', 'L', 'D', 'L', 'L', 'L', 'D', 'D', 'D', 'L', 'L', 'D', 'L', 'D', 'D', 'D', 'L', 'L', 'D', 'L']","['G', 'G', 'Y', 'Y', 'Y', 'G', 'Y', 'G', 'Y', 'G', 'G', 'G', 'Y', 'G', 'Y', 'Y', 'Y', 'Y', 'Y', 'G', 'G', 'Y', 'G', 'G']","['low', 'high', 'high', 'low', 'high', 'low', 'high', 'low']",4,"['G_C_D', 'G_F_D', 'Y_C_L', 'Y_F_L', 'Y_C_D', 'G_C_L', 'Y_F_D', 'G_F_L', 'Y_C_L', 'G_C_L', 'G_F_D', 'G_C_D', 'Y_F_D', 'G_F_L', 'Y_F_L', 'Y_C_D', 'Y_C_L', 'Y_C_D', 'Y_F_D', 'G_F_D', 'G_C_L', 'Y_F_L', 'G_C_D', 'G_F_L']",1,color,feet,C,G,Y,F,Yes, Dark,2.0,No,,,Yes, Red,7.0
012,"[5.0, 1.0, 5.0, 7.0, 7.0, 9.0, 5.0, 6.0, 6.0, 8.0, 2.0, 2.0, 6.0, 5.0, 5.0, 5.0, 3.0, 9.0, 8.0, 1.0, 5.0, 4.0, 5.0, 5.0]","[1.0, 4.0, 5.0, 5.0, 8.0, 3.0, 5.0, 5.0, 8.0, 8.0, 1.0, 6.0, 5.0, 4.0, 4.0, 9.0, 3.0, 6.0, 9.0, 4.0, 7.0, 1.0, 9.0, 4.0]","[4.0, 3.0, 0.0, 2.0, 1.0, 6.0, 0.0, 1.0, 2.0, 0.0, 1.0, 4.0, 1.0, 1.0, 1.0, 4.0, 0.0, 3.0, 1.0, 3.0, 2.0, 3.0, 4.0, 1.0]",[],387.083,"['G_C_L', 'G_C_D', 'Y_C_L', 'Y_F_L', 'Y_F_D', 'G_F_D', 'Y_C_D', 'G_F_L']","[1.0, 3.0, 5.0, 7.0, 9.0, 4.0, 9.0, 2.0]","['low', 'low', 'low', 'high', 'high', 'low', 'high', 'high', 'high', 'high', 'low', 'low', 'high', 'low', 'low', 'high', 'low', 'high', 'high', 'low', 'high', 'low', 'high', 'low']","['F', 'C', 'F', 'F', 'C', 'C', 'C', 'F', 'C', 'F', 'F', 'C', 'F', 'F', 'C', 'C', 'C', 'F', 'C', 'C', 'F', 'F', 'C', 'F']","['D', 'L', 'L', 'L', 'L', 'D', 'D', 'D', 'L', 'D', 'L', 'L', 'L', 'D', 'D', 'D', 'D', 'D', 'D', 'L', 'L', 'D', 'L', 'L']","['G', 'G', 'G', 'Y', 'Y', 'G', 'Y', 'Y', 'Y', 'Y', 'G', 'G', 'Y', 'G', 'G', 'Y', 'G', 'Y', 'Y', 'G', 'Y', 'G', 'Y', 'G']","['low', 'low', 'high', 'high', 'high', 'low', 'high', 'low']",12,"['G_F_D', 'G_C_L', 'G_F_L', 'Y_F_L', 'Y_C_L', 'G_C_D', 'Y_C_D', 'Y_F_D', 'Y_C_L', 'Y_F_D', 'G_F_L', 'G_C_L', 'Y_F_L', 'G_F_D', 'G_C_D', 'Y_C_D', 'G_C_D', 'Y_F_D', 'Y_C_D', 'G_C_L', 'Y_F_L', 'G_F_D', 'Y_C_L', 'G_F_L']",1,color,feet,C,G,Y,F,Yes, Dark,7.0,No,,,Yes, Red,7.0
009,"[5.0, 2.0, 7.0, 3.0, 7.0, 4.0, 7.0, 7.0, 3.0, 7.0, 3.0, 9.0, 3.0, 8.0, 3.0, 7.0, 4.0, 8.0, 3.0, 9.0, 6.0, 3.0, 7.0, 7.0]","[10.0, 3.0, 3.0, 8.0, 6.0, 5.0, 3.0, 7.0, 8.0, 3.0, 1.0, 2.0, 8.0, 6.0, 9.0, 4.0, 4.0, 9.0, 1.0, 6.0, 6.0, 3.0, 3.0, 4.0]","[5.0, 1.0, 4.0, 5.0, 1.0, 1.0, 4.0, 0.0, 5.0, 4.0, 2.0, 7.0, 5.0, 2.0, 6.0, 3.0, 0.0, 1.0, 2.0, 3.0, 0.0, 0.0, 4.0, 3.0]",[],545.9843,"['G_C_D', 'G_F_D', 'G_C_L', 'Y_C_L', 'Y_F_L', 'Y_C_D', 'Y_F_D', 'G_F_L']","[9.0, 7.0, 3.0, 2.0, 3.0, 5.0, 7.0, 2.0]","['high', 'low', 'low', 'high', 'high', 'low', 'low', 'high', 'high', 'low', 'low', 'low', 'high', 'high', 'high', 'low', 'low', 'high', 'low', 'low', 'high', 'high', 'low', 'high']","['C', 'F', 'F', 'C', 'C', 'F', 'F', 'C', 'C', 'F', 'F', 'F', 'C', 'C', 'C', 'F', 'F', 'C', 'F', 'F', 'C', 'C', 'F', 'C']","['L', 'D', 'D', 'D', 'D', 'L', 'L', 'L', 'L', 'D', 'L', 'D', 'L', 'D', 'D', 'L', 'D', 'D', 'L', 'D', 'D', 'L', 'L', 'L']","['G', 'Y', 'G', 'Y', 'G', 'G', 'Y', 'Y', 'Y', 'Y', 'G', 'G', 'G', 'G', 'Y', 'Y', 'G', 'G', 'G', 'Y', 'Y', 'G', 'Y', 'Y']","['high', 'low', 'high', 'high', 'low', 'high', 'low', 'low']",9,"['G_C_L', 'Y_F_D', 'G_F_D', 'Y_C_D', 'G_C_D', 'G_F_L', 'Y_F_L', 'Y_C_L', 'Y_C_L', 'Y_F_D', 'G_F_L', 'G_F_D', 'G_C_L', 'G_C_D', 'Y_C_D', 'Y_F_L', 'G_F_D', 'G_C_D', 'G_F_L', 'Y_F_D', 'Y_C_D', 'G_C_L', 'Y_F_L', 'Y_C_L']",0,feet,color,C,G,Y,F,Yes, Dark,4.0,Yes,Curly/Pointy,4.0,Yes, Red,5.0
013,"[8.0, 8.0, 4.0, 7.0, 2.0, 4.0, 5.0, 2.0, 4.0, 5.0, 7.0, 7.0, 4.0, 5.0, 8.0, 7.0, 4.0, 5.0, 6.0, 4.0, 6.0, 3.0, 4.0, 5.0]","[1.0, 6.0, 4.0, 4.0, 5.0, 6.0, 3.0, 9.0, 6.0, 3.0, 4.0, 8.0, 7.0, 6.0, 3.0, 3.0, 7.0, 6.0, 2.0, 5.0, 9.0, 4.0, 10.0, 7.0]","[7.0, 2.0, 0.0, 3.0, 3.0, 2.0, 2.0, 7.0, 2.0, 2.0, 3.0, 1.0, 3.0, 1.0, 5.0, 4.0, 3.0, 1.0, 4.0, 1.0, 3.0, 1.0, 6.0, 2.0]",[],366.2291,"['G_F_D', 'Y_C_D', 'G_C_D', 'Y_F_L', 'G_F_L', 'Y_F_D', 'G_C_L', 'Y_C_L']","[3.0, 4.0, 6.0, 6.0, 9.0, 8.0, 7.0, 5.0]","['low', 'high', 'low', 'high', 'low', 'high', 'low', 'high', 'high', 'low', 'low', 'high', 'high', 'high', 'low', 'low', 'high', 'low', 'low', 'low', 'high', 'low', 'high', 'high']","['F', 'C', 'F', 'C', 'F', 'C', 'F', 'C', 'C', 'F', 'F', 'C', 'C', 'C', 'F', 'F', 'C', 'F', 'F', 'F', 'C', 'F', 'C', 'C']","['D', 'D', 'D', 'L', 'L', 'L', 'L', 'D', 'L', 'L', 'D', 'D', 'L', 'D', 'L', 'D', 'D', 'L', 'D', 'D', 'L', 'L', 'L', 'D']","['G', 'Y', 'Y', 'Y', 'G', 'G', 'Y', 'G', 'Y', 'Y', 'Y', 'G', 'G', 'Y', 'G', 'G', 'G', 'Y', 'Y', 'G', 'Y', 'G', 'G', 'Y']","['low', 'high', 'high', 'low', 'low', 'low', 'high', 'high']",13,"['G_F_D', 'Y_C_D', 'Y_F_D', 'Y_C_L', 'G_F_L', 'G_C_L', 'Y_F_L', 'G_C_D', 'Y_C_L', 'Y_F_L', 'Y_F_D', 'G_C_D', 'G_C_L', 'Y_C_D', 'G_F_L', 'G_F_D', 'G_C_D', 'Y_F_L', 'Y_F_D', 'G_F_D', 'Y_C_L', 'G_F_L', 'G_C_L', 'Y_C_D']",1,feet,color,C,Y,G,F,No,,,No,,,No,,
003,"[5.0, 6.0, 7.0, 7.0, 6.0, 4.0, 6.0, 7.0, 6.0, 5.0, 6.0, 5.0, 8.0, 5.0, 5.0, 7.0, 8.0, 7.0, 8.0, 7.0, 5.0, 5.0, 7.0, 5.0]","[6.0, 4.0, 8.0, 5.0, 3.0, 10.0, 5.0, 5.0, 2.0, 5.0, 10.0, 5.0, 1.0, 5.0, 9.0, 7.0, 9.0, 5.0, 3.0, 8.0, 2.0, 7.0, 3.0, 10.0]","[1.0, 2.0, 1.0, 2.0, 3.0, 6.0, 1.0, 2.0, 4.0, 0.0, 4.0, 0.0, 7.0, 0.0, 4.0, 0.0, 1.0, 2.0, 5.0, 1.0, 3.0, 2.0, 4.0, 5.0]","['It took me a while to start to see the subtle differences in some of the colors.\xa0 By the time I was able to make most of the proper distinctions, it was hard to assimilate that information in hindsight.\xa0 Fun, engaging, and challenging - thanks and good luck!']",525.2227,"['G_F_L', 'Y_C_D', 'G_C_L', 'Y_C_L', 'Y_F_L', 'G_C_D', 'Y_F_D', 'G_F_D']","[6.0, 8.0, 6.0, 5.0, 4.0, 5.0, 6.0, 7.0]","['high', 'low', 'low', 'low', 'low', 'high', 'high', 'high', 'low', 'low', 'high', 'low', 'low', 'high', 'high', 'high', 'high', 'low', 'low', 'high', 'low', 'high', 'low', 'high']","['F', 'C', 'C', 'C', 'C', 'F', 'F', 'F', 'C', 'C', 'F', 'C', 'C', 'F', 'F', 'F', 'F', 'C', 'C', 'F', 'C', 'F', 'C', 'F']","['L', 'L', 'D', 'L', 'D', 'D', 'L', 'D', 'D', 'L', 'D', 'L', 'D', 'L', 'L', 'D', 'D', 'D', 'D', 'D', 'L', 'L', 'L', 'L']","['Y', 'Y', 'G', 'G', 'Y', 'Y', 'G', 'G', 'G', 'Y', 'Y', 'G', 'Y', 'G', 'Y', 'G', 'Y', 'G', 'Y', 'G', 'G', 'G', 'Y', 'Y']","['high', 'low', 'low', 'low', 'high', 'low', 'high', 'high']",3,"['Y_F_L', 'Y_C_L', 'G_C_D', 'G_C_L', 'Y_C_D', 'Y_F_D', 'G_F_L', 'G_F_D', 'G_C_D', 'Y_C_L', 'Y_F_D', 'G_C_L', 'Y_C_D', 'G_F_L', 'Y_F_L', 'G_F_D', 'Y_F_D', 'G_C_D', 'Y_C_D', 'G_F_D', 'G_C_L', 'G_F_L', 'Y_C_L', 'Y_F_L']",1,feet,color,F,G,Y,C,Yes, Dark,3.0,No,,,No,,
011,"[3.0, 2.0, 7.0, 5.0, 8.0, 6.0, 8.0, 7.0, 3.0, 3.0, 7.0, 8.0, 2.0, 7.0, 8.0, 2.0, 8.0, 5.0, 2.0, 9.0, 2.0, 8.0, 6.0, 8.0]","[6.0, 8.0, 8.0, 3.0, 3.0, 7.0, 4.0, 5.0, 7.0, 2.0, 2.0, 1.0, 8.0, 7.0, 6.0, 2.0, 1.0, 7.0, 10.0, 9.0, 3.0, 8.0, 2.0, 7.0]","[3.0, 6.0, 1.0, 2.0, 5.0, 1.0, 4.0, 2.0, 4.0, 1.0, 5.0, 7.0, 6.0, 0.0, 2.0, 0.0, 7.0, 2.0, 8.0, 0.0, 1.0, 0.0, 4.0, 1.0]","[""Sorry I'm trying to go back and crack what I wrote but this text back box isn't working well on a mobile phone and I'm using voice to text. When I got to the end of the survey I realized I could see everything clearly enough on my mobile device even though during the task I was worried I wasn't seeing everything. Besides this text box the only other issue I had was it wasn't as easy to make more precise selections on the page where all the lizards were shown at once and I had to select their fertility I did this task on a mobile phone because that device was allowed but I feel like I""]",333.1444,"['Y_C_D', 'Y_C_L', 'Y_F_L', 'G_F_L', 'G_C_D', 'G_F_D', 'Y_F_D', 'G_C_L']","[4.0, 4.0, 8.0, 9.0, 9.0, 9.0, 8.0, 3.0]","['high', 'high', 'high', 'low', 'low', 'high', 'low', 'low', 'high', 'low', 'low', 'low', 'high', 'high', 'high', 'low', 'low', 'high', 'high', 'high', 'low', 'high', 'low', 'low']","['F', 'F', 'F', 'C', 'C', 'F', 'C', 'C', 'F', 'C', 'C', 'C', 'F', 'F', 'F', 'C', 'C', 'F', 'F', 'F', 'C', 'F', 'C', 'C']","['D', 'D', 'L', 'L', 'D', 'L', 'L', 'D', 'L', 'L', 'D', 'D', 'L', 'D', 'D', 'L', 'D', 'D', 'L', 'D', 'L', 'L', 'L', 'D']","['G', 'Y', 'Y', 'G', 'Y', 'G', 'Y', 'G', 'G', 'Y', 'G', 'Y', 'Y', 'G', 'Y', 'G', 'G', 'G', 'G', 'Y', 'Y', 'Y', 'G', 'Y']","['low', 'low', 'high', 'high', 'low', 'high', 'high', 'low']",11,"['G_F_D', 'Y_F_D', 'Y_F_L', 'G_C_L', 'Y_C_D', 'G_F_L', 'Y_C_L', 'G_C_D', 'G_F_L', 'Y_C_L', 'G_C_D', 'Y_C_D', 'Y_F_L', 'G_F_D', 'Y_F_D', 'G_C_L', 'G_C_D', 'G_F_D', 'G_F_L', 'Y_F_D', 'Y_C_L', 'Y_F_L', 'G_C_L', 'Y_C_D']",1,feet,color,F,G,Y,C,No,,,Yes,Curly/Pointy,4.0,No,,
005,"[5.0, 2.0, 2.0, 4.0, 9.0, 7.0, 5.0, 2.0, 9.0, 4.0, 10.0, 6.0, 5.0, 3.0, 6.0, 6.0, 7.0, 5.0, 9.0, 8.0, 2.0, 6.0, 5.0, 3.0]","[4.0, 4.0, 10.0, 2.0, 4.0, 6.0, 9.0, 4.0, 9.0, 2.0, 6.0, 7.0, 2.0, 9.0, 1.0, 2.0, 9.0, 2.0, 6.0, 7.0, 4.0, 4.0, 6.0, 4.0]","[1.0, 2.0, 8.0, 2.0, 5.0, 1.0, 4.0, 2.0, 0.0, 2.0, 4.0, 1.0, 3.0, 6.0, 5.0, 4.0, 2.0, 3.0, 3.0, 1.0, 2.0, 2.0, 1.0, 1.0]",[],320.2581,"['G_F_L', 'Y_C_D', 'G_C_L', 'Y_F_D', 'G_F_D', 'Y_C_L', 'G_C_D', 'Y_F_L']","[4.0, 7.0, 10.0, 3.0, 2.0, 9.0, 5.0, 6.0]","['low', 'low', 'high', 'low', 'high', 'high', 'high', 'low', 'high', 'low', 'high', 'high', 'low', 'high', 'low', 'low', 'high', 'low', 'high', 'high', 'low', 'high', 'low', 'low']","['F', 'F', 'C', 'F', 'C', 'C', 'C', 'F', 'C', 'F', 'C', 'C', 'F', 'C', 'F', 'F', 'C', 'F', 'C', 'C', 'F', 'C', 'F', 'F']","['L', 'D', 'D', 'L', 'L', 'D', 'L', 'D', 'L', 'L', 'D', 'D', 'D', 'L', 'D', 'L', 'D', 'D', 'L', 'L', 'D', 'D', 'L', 'L']","['G', 'G', 'G', 'Y', 'G', 'Y', 'Y', 'Y', 'Y', 'G', 'G', 'Y', 'Y', 'G', 'G', 'Y', 'Y', 'G', 'G', 'Y', 'Y', 'G', 'Y', 'G']","['low', 'high', 'high', 'low', 'low', 'high', 'high', 'low']",5,"['G_F_L', 'G_F_D', 'G_C_D', 'Y_F_L', 'G_C_L', 'Y_C_D', 'Y_C_L', 'Y_F_D', 'Y_C_L', 'G_F_L', 'G_C_D', 'Y_C_D', 'Y_F_D', 'G_C_L', 'G_F_D', 'Y_F_L', 'Y_C_D', 'G_F_D', 'G_C_L', 'Y_C_L', 'Y_F_D', 'G_C_D', 'Y_F_L', 'G_F_L']",1,feet,color,C,G,Y,F,Yes,Light,6.0,Yes,Curly/Pointy,7.0,No,,
