consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,color,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,color_high,color_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,direction_response_label,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
yes,005,2026-03-15_13h20.52.646,explain2,2025.1.1,Win32,59.88023952,6980ff480783a55ae76c8bdb,69b2c9eacb55092c13a7ce73,69b6ea63b1a43f9bae22d3bd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,005,2026-03-15_13h20.52.646,explain2,2025.1.1,Win32,59.88023952,6980ff480783a55ae76c8bdb,69b2c9eacb55092c13a7ce73,69b6ea63b1a43f9bae22d3bd,20.3704,20.3705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,005,2026-03-15_13h20.52.646,explain2,2025.1.1,Win32,59.88023952,6980ff480783a55ae76c8bdb,69b2c9eacb55092c13a7ce73,69b6ea63b1a43f9bae22d3bd,,,20.3708,48.0889,1,[24.725299999999812],[24.725299999999812],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,005,2026-03-15_13h20.52.646,explain2,2025.1.1,Win32,59.88023952,6980ff480783a55ae76c8bdb,69b2c9eacb55092c13a7ce73,69b6ea63b1a43f9bae22d3bd,,,,,,,,48.0893,62.1667,1,[11.079600000000084],[11.079600000000084],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,005,2026-03-15_13h20.52.646,explain2,2025.1.1,Win32,59.88023952,6980ff480783a55ae76c8bdb,69b2c9eacb55092c13a7ce73,69b6ea63b1a43f9bae22d3bd,,,,,,,,,,,,,62.167,75.0458,1,[9.88000000000001],[9.88000000000001],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,005,2026-03-15_13h20.52.646,explain2,2025.1.1,Win32,59.88023952,6980ff480783a55ae76c8bdb,69b2c9eacb55092c13a7ce73,69b6ea63b1a43f9bae22d3bd,,,,,,,,,,,,,,,,,,75.0462,85.2589,1,[7.213999999999999],[7.213999999999999],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,005,2026-03-15_13h20.52.646,explain2,2025.1.1,Win32,59.88023952,6980ff480783a55ae76c8bdb,69b2c9eacb55092c13a7ce73,69b6ea63b1a43f9bae22d3bd,,,,,,,,,,,,,,,,,,,,,,,85.267,149.0225,1,[60.762699999999725],[60.76279999999984],this reptile was perhaps more fertile because of its healthy appearance and appeal to the opposite sex,149.0228,149.5202,0,0,0,0,1,C,Y,Y_C.png,training,1,1,9,high,feet,color,C,F,G,Y,5,9_score.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,005,2026-03-15_13h20.52.646,explain2,2025.1.1,Win32,59.88023952,6980ff480783a55ae76c8bdb,69b2c9eacb55092c13a7ce73,69b6ea63b1a43f9bae22d3bd,,,,,,,,,,,,,,,,,,,,,,,149.5249,506.0573,1,[353.5371000000001],[353.53719999999976],perhaps this reptile received a fertility score of 2 due to its health maybe signs of discoloration on its body,506.0574,506.5551,0,1,1,1,1,F,Y,Y_F.png,training,1,2,2,low,feet,color,C,F,G,Y,5,2_score.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,005,2026-03-15_13h20.52.646,explain2,2025.1.1,Win32,59.88023952,6980ff480783a55ae76c8bdb,69b2c9eacb55092c13a7ce73,69b6ea63b1a43f9bae22d3bd,,,,,,,,,,,,,,,,,,,,,,,506.5572,542.8604,1,[33.31230000000028],[33.31230000000028],this reptile received a fertility score of 6 because of its average appearance and health,542.8604,543.3531,0,2,2,2,1,F,G,G_F.png,training,1,3,6,low,feet,color,C,F,G,Y,5,6_score.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,005,2026-03-15_13h20.52.646,explain2,2025.1.1,Win32,59.88023952,6980ff480783a55ae76c8bdb,69b2c9eacb55092c13a7ce73,69b6ea63b1a43f9bae22d3bd,,,,,,,,,,,,,,,,,,,,,,,543.3562,583.5753,1,[37.221200000000294],[37.221200000000294],this reptile received a fertility score of 9 due to its capability to survive as it has stronger claws,583.5754,584.0779,0,3,3,3,1,C,G,G_C.png,training,1,4,9,high,feet,color,C,F,G,Y,5,9_score.png,"Resources/Y_C.png,Resources/Y_F.png,Resources/G_F.png,Resources/G_C.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
