consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,color,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,color_high,color_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_response_label,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
yes,018,2026-03-15_12h49.10.859,explain2,2025.1.1,MacIntel,60.0240096,630fadc5c6bf2f6d623f5775,69b2c9eacb55092c13a7ce73,69b6f0fcb520ec281fcc23d3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,018,2026-03-15_12h49.10.859,explain2,2025.1.1,MacIntel,60.0240096,630fadc5c6bf2f6d623f5775,69b2c9eacb55092c13a7ce73,69b6f0fcb520ec281fcc23d3,11.231,11.231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,018,2026-03-15_12h49.10.859,explain2,2025.1.1,MacIntel,60.0240096,630fadc5c6bf2f6d623f5775,69b2c9eacb55092c13a7ce73,69b6f0fcb520ec281fcc23d3,,,11.231,18.386,1,[4.166999999999998],[4.166999999999998],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,018,2026-03-15_12h49.10.859,explain2,2025.1.1,MacIntel,60.0240096,630fadc5c6bf2f6d623f5775,69b2c9eacb55092c13a7ce73,69b6f0fcb520ec281fcc23d3,,,,,,,,18.387,30.473,1,[9.085],[9.085],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,018,2026-03-15_12h49.10.859,explain2,2025.1.1,MacIntel,60.0240096,630fadc5c6bf2f6d623f5775,69b2c9eacb55092c13a7ce73,69b6f0fcb520ec281fcc23d3,,,,,,,,,,,,,30.473,43.637,1,[10.165999999999997],[10.165999999999997],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,018,2026-03-15_12h49.10.859,explain2,2025.1.1,MacIntel,60.0240096,630fadc5c6bf2f6d623f5775,69b2c9eacb55092c13a7ce73,69b6f0fcb520ec281fcc23d3,,,,,,,,,,,,,,,,,,43.638,52.854,1,[6.216999999999999],[6.216999999999999],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,018,2026-03-15_12h49.10.859,explain2,2025.1.1,MacIntel,60.0240096,630fadc5c6bf2f6d623f5775,69b2c9eacb55092c13a7ce73,69b6f0fcb520ec281fcc23d3,,,,,,,,,,,,,,,,,,,,,,,52.864,81.023,1,[25.167999999999992],[25.167999999999992],Seems like a median number so with no other info this is a probablistically reliable place to start,81.023,81.522,0,0,0,0,1,F,G,G_F.png,training,1,1,5,high,color,feet,G,Y,F,C,18,5_score.png,"Resources/G_F.png,Resources/Y_C.png,Resources/Y_F.png,Resources/G_C.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,018,2026-03-15_12h49.10.859,explain2,2025.1.1,MacIntel,60.0240096,630fadc5c6bf2f6d623f5775,69b2c9eacb55092c13a7ce73,69b6f0fcb520ec281fcc23d3,,,,,,,,,,,,,,,,,,,,,,,81.527,102.956,1,[18.434999999999988],[18.434999999999988],Maybe something about skin color indicates maturity / age to be fertile,102.957,103.454,0,1,1,1,1,F,Y,Y_F.png,training,1,2,2,low,color,feet,G,Y,F,C,18,2_score.png,"Resources/G_F.png,Resources/Y_C.png,Resources/Y_F.png,Resources/G_C.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,018,2026-03-15_12h49.10.859,explain2,2025.1.1,MacIntel,60.0240096,630fadc5c6bf2f6d623f5775,69b2c9eacb55092c13a7ce73,69b6f0fcb520ec281fcc23d3,,,,,,,,,,,,,,,,,,,,,,,103.462,122.621,1,[16.165999999999997],[16.165999999999997],"Seems slightly larger and happier, skin is little different",122.621,123.121,0,2,2,2,1,C,Y,Y_C.png,training,1,3,5,low,color,feet,G,Y,F,C,18,5_score.png,"Resources/G_F.png,Resources/Y_C.png,Resources/Y_F.png,Resources/G_C.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,018,2026-03-15_12h49.10.859,explain2,2025.1.1,MacIntel,60.0240096,630fadc5c6bf2f6d623f5775,69b2c9eacb55092c13a7ce73,69b6f0fcb520ec281fcc23d3,,,,,,,,,,,,,,,,,,,,,,,123.125,149.123,1,[23.00200000000001],[23.00200000000001],might be a different point in fertility season,149.123,149.621,0,3,3,3,1,C,G,G_C.png,training,1,4,4,high,color,feet,G,Y,F,C,18,4_score.png,"Resources/G_F.png,Resources/Y_C.png,Resources/Y_F.png,Resources/G_C.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
