participant,training_responses,fertility_score,error,feedback,trial_stop_time,testing_image_order,testing_responses,training_categories,training_feet,training_color,testing_categories,conditionOrder,training_image_order,attention_check,relevant_dim,irrelevant_dim,feet_high,color_low,color_high,feet_low,feet_discrete_slider.response,feet_direction_slider.response,feet_continuous_slider.response,color_discrete_slider.response,color_direction_slider.response,color_continuous_slider.response
006,"[4.0, 5.0, 7.0, 8.0, 4.0, 3.0, 6.0, 8.0, 9.0, 6.0, 8.0, 1.0, 3.0, 5.0, 8.0, 7.0]","[4.0, 6.0, 8.0, 7.0, 5.0, 1.0, 6.0, 9.0, 8.0, 8.0, 2.0, 6.0, 2.0, 2.0, 9.0, 9.0]","[0.0, 1.0, 1.0, 1.0, 1.0, 2.0, 0.0, 1.0, 1.0, 2.0, 6.0, 5.0, 1.0, 3.0, 1.0, 2.0]",['the task was very well explained\xa0'],185.0774,"['Y_F', 'G_F', 'Y_C', 'G_C']","[4.0, 9.0, 2.0, 8.0]","['low', 'low', 'high', 'high', 'low', 'low', 'high', 'high', 'high', 'high', 'low', 'low', 'low', 'low', 'high', 'high']","['F', 'C', 'C', 'F', 'F', 'C', 'F', 'C', 'C', 'F', 'F', 'C', 'F', 'C', 'F', 'C']","['Y', 'Y', 'G', 'G', 'Y', 'Y', 'G', 'G', 'G', 'G', 'Y', 'Y', 'Y', 'Y', 'G', 'G']","['low', 'high', 'low', 'high']",6,"['Y_F', 'Y_C', 'G_C', 'G_F', 'Y_F', 'Y_C', 'G_F', 'G_C', 'G_C', 'G_F', 'Y_F', 'Y_C', 'Y_F', 'Y_C', 'G_F', 'G_C']",1,color,feet,C,Y,G,F,Yes, Round,4.0,Yes,Green,5.0
016,"[7.0, 7.0, 5.0, 7.0, 3.0, 3.0, 7.0, 8.0, 7.0, 3.0, 8.0, 4.0, 7.0, 4.0, 9.0, 5.0]","[8.0, 3.0, 2.0, 8.0, 2.0, 5.0, 8.0, 5.0, 9.0, 6.0, 5.0, 7.0, 8.0, 6.0, 10.0, 9.0]","[1.0, 4.0, 3.0, 1.0, 1.0, 2.0, 1.0, 3.0, 2.0, 3.0, 3.0, 3.0, 1.0, 2.0, 1.0, 4.0]",[],228.876,"['G_F', 'Y_F', 'Y_C', 'G_C']","[4.0, 8.0, 8.0, 5.0]","['high', 'low', 'low', 'high', 'low', 'low', 'high', 'high', 'high', 'low', 'high', 'low', 'high', 'low', 'high', 'low']","['C', 'F', 'C', 'F', 'C', 'F', 'F', 'C', 'F', 'C', 'C', 'F', 'C', 'C', 'F', 'F']","['Y', 'G', 'G', 'Y', 'G', 'G', 'Y', 'Y', 'Y', 'G', 'Y', 'G', 'Y', 'G', 'Y', 'G']","['low', 'high', 'high', 'low']",16,"['Y_C', 'G_F', 'G_C', 'Y_F', 'G_C', 'G_F', 'Y_F', 'Y_C', 'Y_F', 'G_C', 'Y_C', 'G_F', 'Y_C', 'G_C', 'Y_F', 'G_F']",1,color,feet,F,G,Y,C,No,,,Yes, Red,5.0
012,"[4.0, 4.0, 7.0, 3.0, 8.0, 2.0, 8.0, 2.0, 3.0, 9.0, 9.0, 1.0, 6.0, 2.0, 6.0, 8.0]","[2.0, 5.0, 8.0, 1.0, 9.0, 2.0, 9.0, 5.0, 2.0, 5.0, 7.0, 7.0, 5.0, 4.0, 5.0, 9.0]","[2.0, 1.0, 1.0, 2.0, 1.0, 0.0, 1.0, 3.0, 1.0, 4.0, 2.0, 6.0, 1.0, 2.0, 1.0, 1.0]",['all was good!'],246.1122,"['G_C', 'Y_C', 'G_F', 'Y_F']","[7.0, 5.0, 2.0, 9.0]","['low', 'high', 'high', 'low', 'high', 'low', 'high', 'low', 'low', 'high', 'high', 'low', 'high', 'low', 'low', 'high']","['F', 'F', 'C', 'C', 'C', 'F', 'F', 'C', 'F', 'C', 'F', 'C', 'C', 'F', 'C', 'F']","['G', 'Y', 'Y', 'G', 'Y', 'G', 'Y', 'G', 'G', 'Y', 'Y', 'G', 'Y', 'G', 'G', 'Y']","['low', 'high', 'low', 'high']",12,"['G_F', 'Y_F', 'Y_C', 'G_C', 'Y_C', 'G_F', 'Y_F', 'G_C', 'G_F', 'Y_C', 'Y_F', 'G_C', 'Y_C', 'G_F', 'G_C', 'Y_F']",1,color,feet,C,G,Y,F,Yes,Curly/Pointy,4.0,Yes, Red,6.0
017,"[7.0, 3.0, 2.0, 8.0, 7.0, 3.0, 6.0, 7.0, 2.0, 2.0, 9.0, 2.0, 3.0, 9.0, 2.0, 10.0]","[9.0, 4.0, 10.0, 3.0, 5.0, 5.0, 3.0, 2.0, 6.0, 5.0, 10.0, 4.0, 4.0, 8.0, 2.0, 10.0]","[2.0, 1.0, 8.0, 5.0, 2.0, 2.0, 3.0, 5.0, 4.0, 3.0, 1.0, 2.0, 1.0, 1.0, 0.0, 0.0]",[],182.138,"['G_F', 'Y_C', 'Y_F', 'G_C']","[2.0, 8.0, 3.0, 10.0]","['high', 'low', 'high', 'low', 'high', 'high', 'low', 'low', 'low', 'high', 'high', 'low', 'low', 'high', 'low', 'high']","['C', 'F', 'C', 'F', 'C', 'C', 'F', 'F', 'F', 'C', 'C', 'F', 'F', 'C', 'F', 'C']","['Y', 'G', 'G', 'Y', 'Y', 'G', 'Y', 'G', 'Y', 'G', 'Y', 'G', 'Y', 'Y', 'G', 'G']","['low', 'high', 'low', 'high']",17,"['Y_C', 'G_F', 'G_C', 'Y_F', 'Y_C', 'G_C', 'Y_F', 'G_F', 'Y_F', 'G_C', 'Y_C', 'G_F', 'Y_F', 'Y_C', 'G_F', 'G_C']",1,feet,color,C,G,Y,F,Yes,Curly/Pointy,6.0,No,,
008,"[8.0, 7.0, 6.0, 7.0, 7.0, 5.0, 5.0, 4.0, 3.0, 7.0, 8.0, 6.0, 6.0, 5.0, 5.0, 4.0]","[6.0, 7.0, 5.0, 5.0, 8.0, 8.0, 3.0, 8.0, 4.0, 1.0, 6.0, 7.0, 9.0, 1.0, 2.0, 5.0]","[2.0, 0.0, 1.0, 2.0, 1.0, 3.0, 2.0, 4.0, 1.0, 6.0, 2.0, 1.0, 3.0, 4.0, 3.0, 1.0]",[],514.9366,"['G_F', 'Y_F', 'Y_C', 'G_C']","[3.0, 5.0, 6.0, 4.0]","['low', 'high', 'high', 'low', 'high', 'low', 'low', 'high', 'low', 'low', 'high', 'high', 'high', 'low', 'low', 'high']","['F', 'C', 'F', 'C', 'C', 'C', 'F', 'F', 'F', 'C', 'C', 'F', 'C', 'F', 'C', 'F']","['G', 'Y', 'Y', 'G', 'Y', 'G', 'G', 'Y', 'G', 'G', 'Y', 'Y', 'Y', 'G', 'G', 'Y']","['low', 'high', 'high', 'low']",8,"['G_F', 'Y_C', 'Y_F', 'G_C', 'Y_C', 'G_C', 'G_F', 'Y_F', 'G_F', 'G_C', 'Y_C', 'Y_F', 'Y_C', 'G_F', 'G_C', 'Y_F']",1,color,feet,C,G,Y,F,Yes,Curly/Pointy,3.0,Yes, Red,6.0
001,"[3.0, 5.0, 7.0, 9.0, 6.0, 8.0, 5.0, 3.0, 3.0, 8.0, 7.0, 8.0, 4.0, 5.0, 7.0, 9.0]","[4.0, 10.0, 7.0, 3.0, 3.0, 5.0, 5.0, 5.0, 1.0, 5.0, 3.0, 8.0, 5.0, 1.0, 8.0, 9.0]","[1.0, 5.0, 0.0, 6.0, 3.0, 3.0, 0.0, 2.0, 2.0, 3.0, 4.0, 0.0, 1.0, 4.0, 1.0, 0.0]","['Enjoyed the study very much, even though I had a hard time distinguishing between the reptiles.']",329.6841,"['Y_F', 'G_C', 'G_F', 'Y_C']","[7.0, 5.0, 8.0, 4.0]","['low', 'high', 'high', 'low', 'low', 'low', 'high', 'high', 'low', 'high', 'low', 'high', 'low', 'low', 'high', 'high']","['F', 'C', 'C', 'F', 'F', 'F', 'C', 'C', 'F', 'C', 'F', 'C', 'F', 'F', 'C', 'C']","['G', 'G', 'Y', 'Y', 'G', 'Y', 'Y', 'G', 'G', 'Y', 'Y', 'G', 'G', 'Y', 'Y', 'G']","['low', 'high', 'low', 'high']",1,"['G_F', 'G_C', 'Y_C', 'Y_F', 'G_F', 'Y_F', 'Y_C', 'G_C', 'G_F', 'Y_C', 'Y_F', 'G_C', 'G_F', 'Y_F', 'Y_C', 'G_C']",1,feet,color,C,Y,G,F,No,,,No,,
011,"[8.0, 9.0, 6.0, 6.0, 4.0, 4.0, 3.0, 6.0, 6.0, 7.0, 6.0, 6.0, 10.0, 6.0, 4.0, 6.0]","[6.0, 6.0, 7.0, 10.0, 5.0, 7.0, 6.0, 6.0, 6.0, 6.0, 4.0, 8.0, 3.0, 8.0, 7.0, 8.0]","[2.0, 3.0, 1.0, 4.0, 1.0, 3.0, 3.0, 0.0, 0.0, 1.0, 2.0, 2.0, 7.0, 2.0, 3.0, 2.0]",['I did not find anything confusing. The instructions were clear and comprehensible. I just wish I could have a 2nd round to test my theories.\xa0\xa0'],379.5569,"['G_C', 'Y_F', 'G_F', 'Y_C']","[8.0, 6.0, 6.0, 7.0]","['low', 'low', 'high', 'high', 'low', 'high', 'low', 'high', 'high', 'low', 'low', 'high', 'low', 'high', 'high', 'low']","['C', 'C', 'F', 'F', 'C', 'F', 'C', 'F', 'F', 'C', 'C', 'F', 'C', 'F', 'F', 'C']","['Y', 'G', 'G', 'Y', 'G', 'G', 'Y', 'Y', 'G', 'G', 'Y', 'Y', 'G', 'G', 'Y', 'Y']","['low', 'high', 'high', 'low']",11,"['Y_C', 'G_C', 'G_F', 'Y_F', 'G_C', 'G_F', 'Y_C', 'Y_F', 'G_F', 'G_C', 'Y_C', 'Y_F', 'G_C', 'G_F', 'Y_F', 'Y_C']",1,feet,color,F,G,Y,C,Yes,Curly/Pointy,6.0,Yes,Green,5.0
019,"[6.0, 8.0, 5.0, 3.0, 3.0, 6.0, 10.0, 6.0, 1.0, 5.0, 6.0, 1.0, 6.0, 2.0, 7.0, 6.0]","[3.0, 6.0, 6.0, 3.0, 5.0, 10.0, 1.0, 6.0, 3.0, 5.0, 9.0, 1.0, 8.0, 7.0, 1.0, 3.0]","[3.0, 2.0, 1.0, 0.0, 2.0, 4.0, 9.0, 0.0, 2.0, 0.0, 3.0, 0.0, 2.0, 5.0, 6.0, 3.0]",['Nothing look confusing'],1564.0701,"['Y_F', 'G_F', 'Y_C', 'G_C']","[6.0, 3.0, 1.0, 8.0]","['low', 'low', 'high', 'high', 'low', 'high', 'low', 'high', 'low', 'high', 'high', 'low', 'high', 'high', 'low', 'low']","['C', 'C', 'F', 'F', 'C', 'F', 'C', 'F', 'C', 'F', 'F', 'C', 'F', 'F', 'C', 'C']","['G', 'Y', 'Y', 'G', 'G', 'Y', 'Y', 'G', 'Y', 'G', 'Y', 'G', 'Y', 'G', 'G', 'Y']","['high', 'high', 'low', 'low']",19,"['G_C', 'Y_C', 'Y_F', 'G_F', 'G_C', 'Y_F', 'Y_C', 'G_F', 'Y_C', 'G_F', 'Y_F', 'G_C', 'Y_F', 'G_F', 'G_C', 'Y_C']",0,feet,color,F,G,Y,C,Yes, Round,6.0,Yes, Red,6.0
013,"[7.0, 8.0, 4.0, 5.0, 10.0, 7.0, 7.0, 6.0, 7.0, 3.0, 4.0, 7.0, 6.0, 7.0, 3.0, 8.0]","[3.0, 8.0, 7.0, 5.0, 6.0, 3.0, 3.0, 1.0, 7.0, 1.0, 5.0, 10.0, 5.0, 1.0, 8.0, 8.0]","[4.0, 0.0, 3.0, 0.0, 4.0, 4.0, 4.0, 5.0, 0.0, 2.0, 1.0, 3.0, 1.0, 6.0, 5.0, 0.0]",[],248.521,"['G_F', 'Y_F', 'Y_C', 'G_C']","[2.0, 4.0, 7.0, 9.0]","['low', 'high', 'high', 'low', 'high', 'high', 'low', 'low', 'high', 'low', 'low', 'high', 'low', 'low', 'high', 'high']","['F', 'C', 'C', 'F', 'C', 'C', 'F', 'F', 'C', 'F', 'F', 'C', 'F', 'F', 'C', 'C']","['G', 'Y', 'G', 'Y', 'Y', 'G', 'Y', 'G', 'Y', 'G', 'Y', 'G', 'Y', 'G', 'Y', 'G']","['low', 'low', 'high', 'high']",13,"['G_F', 'Y_C', 'G_C', 'Y_F', 'Y_C', 'G_C', 'Y_F', 'G_F', 'Y_C', 'G_F', 'Y_F', 'G_C', 'Y_F', 'G_F', 'Y_C', 'G_C']",0,feet,color,C,G,Y,F,Yes,Curly/Pointy,5.0,Yes, Red,5.0
007,"[5.0, 6.0, 5.0, 9.0, 2.0, 6.0, 5.0, 8.0, 2.0, 2.0, 2.0, 9.0, 4.0, 3.0, 7.0, 4.0]","[5.0, 8.0, 1.0, 5.0, 7.0, 4.0, 1.0, 4.0, 8.0, 7.0, 4.0, 6.0, 4.0, 7.0, 1.0, 10.0]","[0.0, 2.0, 4.0, 4.0, 5.0, 2.0, 4.0, 4.0, 6.0, 5.0, 2.0, 3.0, 0.0, 4.0, 6.0, 6.0]",[],282.436,"['Y_C', 'G_F', 'G_C', 'Y_F']","[6.0, 4.0, 4.0, 6.0]","['high', 'high', 'low', 'low', 'high', 'low', 'low', 'high', 'high', 'low', 'low', 'high', 'low', 'high', 'low', 'high']","['F', 'F', 'C', 'C', 'F', 'C', 'C', 'F', 'F', 'C', 'C', 'F', 'C', 'F', 'C', 'F']","['Y', 'G', 'Y', 'G', 'Y', 'G', 'Y', 'G', 'Y', 'G', 'Y', 'G', 'G', 'Y', 'Y', 'G']","['low', 'high', 'low', 'high']",7,"['Y_F', 'G_F', 'Y_C', 'G_C', 'Y_F', 'G_C', 'Y_C', 'G_F', 'Y_F', 'G_C', 'Y_C', 'G_F', 'G_C', 'Y_F', 'Y_C', 'G_F']",1,feet,color,F,Y,G,C,No,,,Yes, Red,3.0
