consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,stripes_high,stripes_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_response_label,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
yes,012,2026-04-30_11h48.08.312,explain2,2025.1.1,Win32,60.60606061,670d816961bebcb45b53b929,69f36a13e001dbc079bfbe67,69f3874613ea08b649ac3609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-04-30_11h48.08.312,explain2,2025.1.1,Win32,60.60606061,670d816961bebcb45b53b929,69f36a13e001dbc079bfbe67,69f3874613ea08b649ac3609,17.2783,17.2786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-04-30_11h48.08.312,explain2,2025.1.1,Win32,60.60606061,670d816961bebcb45b53b929,69f36a13e001dbc079bfbe67,69f3874613ea08b649ac3609,,,17.2791,88.176,1,[65.90520000000112],[65.90520000000112],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-04-30_11h48.08.312,explain2,2025.1.1,Win32,60.60606061,670d816961bebcb45b53b929,69f36a13e001dbc079bfbe67,69f3874613ea08b649ac3609,,,,,,,,88.1767,120.3774,1,[27.201599999999615],[27.201700000001097],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-04-30_11h48.08.312,explain2,2025.1.1,Win32,60.60606061,670d816961bebcb45b53b929,69f36a13e001dbc079bfbe67,69f3874613ea08b649ac3609,,,,,,,,,,,,,120.3779,146.7351,1,[21.37269999999927],[21.37269999999927],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-04-30_11h48.08.312,explain2,2025.1.1,Win32,60.60606061,670d816961bebcb45b53b929,69f36a13e001dbc079bfbe67,69f3874613ea08b649ac3609,,,,,,,,,,,,,,,,,,146.7355,180.9993,1,[29.26859999999965],[29.26859999999965],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-04-30_11h48.08.312,explain2,2025.1.1,Win32,60.60606061,670d816961bebcb45b53b929,69f36a13e001dbc079bfbe67,69f3874613ea08b649ac3609,,,,,,,,,,,,,,,,,,,,,,,181.006,368.9486,1,[184.9472999999989],[184.9472999999989],"The reptile's large, vibrant throat fan and bright body markings likely help it attracts more mates, boosting it's fertility. It's strong, well developed limbs suggest good health and foraging ability, which can support producing and raising more offspring.",368.9496,369.9463,0,0,0,0,1,C,E,E_C.png,training,1,1,8,high,stripes,feet,E,W,F,C,12,8_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_F.png,Resources/W_C.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-04-30_11h48.08.312,explain2,2025.1.1,Win32,60.60606061,670d816961bebcb45b53b929,69f36a13e001dbc079bfbe67,69f3874613ea08b649ac3609,,,,,,,,,,,,,,,,,,,,,,,369.9499,459.1571,1,[86.20740000000035],[86.20760000000143],"its duller pattern and smaller body size may reduce mate attraction and resource holding ability, leading to moderate but not top fertility",459.1574,460.1548,0,1,1,1,1,F,W,W_F.png,training,1,2,6,low,stripes,feet,E,W,F,C,12,6_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_F.png,Resources/W_C.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-04-30_11h48.08.312,explain2,2025.1.1,Win32,60.60606061,670d816961bebcb45b53b929,69f36a13e001dbc079bfbe67,69f3874613ea08b649ac3609,,,,,,,,,,,,,,,,,,,,,,,460.1591,601.3217,1,[138.16650000000004],[138.16650000000004],"Its small body size, indistinct markings and lack of bright display features likely reduce mate attraction and competitive ability, leading to low fertility in a challenging season ",601.3218,602.3137,0,2,2,2,1,C,W,W_C.png,training,1,3,3,low,stripes,feet,E,W,F,C,12,3_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_F.png,Resources/W_C.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-04-30_11h48.08.312,explain2,2025.1.1,Win32,60.60606061,670d816961bebcb45b53b929,69f36a13e001dbc079bfbe67,69f3874613ea08b649ac3609,,,,,,,,,,,,,,,,,,,,,,,602.3174,712.526,1,[107.20999999999992],[107.20999999999992],"Its large body, vivid throat patch, and prominent dorsal crest likely enhance mate attraction and social dominance, resulting in very high fertility.",712.5261,713.5222,0,3,3,3,1,F,E,E_F.png,training,1,4,9,high,stripes,feet,E,W,F,C,12,9_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_F.png,Resources/W_C.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-04-30_11h48.08.312,explain2,2025.1.1,Win32,60.60606061,670d816961bebcb45b53b929,69f36a13e001dbc079bfbe67,69f3874613ea08b649ac3609,,,,,,,,,,,,,,,,,,,,,,,713.5252,833.7191,1,[117.19370000000106],[117.19370000000106],"Likely due to average body size and moderately visible markings, but without standout features (like a very bright throat fan or large crest) that push fertility higher.",833.72,834.7191,0,4,4,4,1,C,E,E_C.png,training,2,5,5,high,stripes,feet,E,W,F,C,12,5_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_F.png,Resources/W_C.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-04-30_11h48.08.312,explain2,2025.1.1,Win32,60.60606061,670d816961bebcb45b53b929,69f36a13e001dbc079bfbe67,69f3874613ea08b649ac3609,,,,,,,,,,,,,,,,,,,,,,,834.7228,983.8404,1,[146.1241999999993],[146.1241999999993],"A fertility of 6 slightly above average reproductive succes. This reptile likely has moderately beneficial features such as reasonably good body size or somewhat visible throat color, but not the standout traits ",983.8404,984.8299,0,5,5,5,1,F,W,W_F.png,training,2,6,6,low,stripes,feet,E,W,F,C,12,6_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_F.png,Resources/W_C.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-04-30_11h48.08.312,explain2,2025.1.1,Win32,60.60606061,670d816961bebcb45b53b929,69f36a13e001dbc079bfbe67,69f3874613ea08b649ac3609,,,,,,,,,,,,,,,,,,,,,,,984.8333,1139.8252,1,[151.9947000000011],[151.9947000000011],"This reptile's large, elaborate dorsal crest and bright yellow throat signal strong health and genetic quality, likely attracting more mates and yielding very high fertility",1139.8253,1140.8234,0,6,6,6,1,F,E,E_F.png,training,2,7,9,high,stripes,feet,E,W,F,C,12,9_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_F.png,Resources/W_C.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-04-30_11h48.08.312,explain2,2025.1.1,Win32,60.60606061,670d816961bebcb45b53b929,69f36a13e001dbc079bfbe67,69f3874613ea08b649ac3609,,,,,,,,,,,,,,,,,,,,,,,1140.8269,1245.4168,1,[101.59080000000063],[101.59080000000063],"This animal has average body size and moderately visible throat coloration, lacking extreme ornamentation, which leads to medium mating success and fertility score of 5",1245.4171,1246.4159,0,7,7,7,1,C,W,W_C.png,training,2,8,5,low,stripes,feet,E,W,F,C,12,5_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_F.png,Resources/W_C.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-04-30_11h48.08.312,explain2,2025.1.1,Win32,60.60606061,670d816961bebcb45b53b929,69f36a13e001dbc079bfbe67,69f3874613ea08b649ac3609,,,,,,,,,,,,,,,,,,,,,,,1246.4191,1406.5124,1,[157.09509999999955],[157.09509999999955],"The small body, lack of any bright throat or crest features likely make it unattractive to mates and socially subordinate, resulting in the lowest possibility fertility score of 1",1406.5126,1407.5109,0,8,8,8,1,C,W,W_C.png,training,3,9,1,low,stripes,feet,E,W,F,C,12,1_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_F.png,Resources/W_C.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-04-30_11h48.08.312,explain2,2025.1.1,Win32,60.60606061,670d816961bebcb45b53b929,69f36a13e001dbc079bfbe67,69f3874613ea08b649ac3609,,,,,,,,,,,,,,,,,,,,,,,1407.5146,1500.6874,1,[90.17440000000033],[90.17440000000033],"This reptiles very small body, lack of any bright throat or crest features like make it unattractive to mates and socially subordinate, resulting in the lowest possible fertility score of 1",1500.6875,1501.6854,0,9,9,9,1,F,W,W_F.png,training,3,10,1,low,stripes,feet,E,W,F,C,12,1_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_F.png,Resources/W_C.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-04-30_11h48.08.312,explain2,2025.1.1,Win32,60.60606061,670d816961bebcb45b53b929,69f36a13e001dbc079bfbe67,69f3874613ea08b649ac3609,,,,,,,,,,,,,,,,,,,,,,,1501.6894,1618.9286,1,[114.24040000000036],[114.24040000000036],"This reptile's large size, bright yellow throat patch and well defined dorsal crest signal strong genetic quality and social dominance, leading to high mate attraction and fertility score of 8",1618.9289,1619.9298,0,10,10,10,1,C,E,E_C.png,training,3,11,8,high,stripes,feet,E,W,F,C,12,8_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_F.png,Resources/W_C.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-04-30_11h48.08.312,explain2,2025.1.1,Win32,60.60606061,670d816961bebcb45b53b929,69f36a13e001dbc079bfbe67,69f3874613ea08b649ac3609,,,,,,,,,,,,,,,,,,,,,,,1619.933,1762.1415,1,[139.21160000000145],[139.2117000000012],"The reptile's strikingly large, brightly colored throat fan and tall, prominent dorsal crest likely make it highly attractive to mates and help it outcompete rivals, resulting in a fertility score of 9",1762.1415,1763.1396,0,11,11,11,1,F,E,E_F.png,training,3,12,9,high,stripes,feet,E,W,F,C,12,9_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_F.png,Resources/W_C.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-04-30_11h48.08.312,explain2,2025.1.1,Win32,60.60606061,670d816961bebcb45b53b929,69f36a13e001dbc079bfbe67,69f3874613ea08b649ac3609,,,,,,,,,,,,,,,,,,,,,,,1763.1429,1856.698,1,[90.55780000000073],[90.55780000000073],"this reptile has only moderate body size and a small, pale throat patch with a yellow, unimpressive crest, limiting mate attraction and social competition",1856.6982,1857.6973,0,12,12,12,1,C,W,W_C.png,training,4,13,4,low,stripes,feet,E,W,F,C,12,4_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_F.png,Resources/W_C.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-04-30_11h48.08.312,explain2,2025.1.1,Win32,60.60606061,670d816961bebcb45b53b929,69f36a13e001dbc079bfbe67,69f3874613ea08b649ac3609,,,,,,,,,,,,,,,,,,,,,,,1857.7013,1968.7725,1,[108.6590000000001],[108.6590000000001],"This reptile has a clearly visible orange throat fan and moderately tall crest, which help attract mates and signal decent health, but lacks the extreme size or brightness ",1968.7726,1969.772,0,13,13,13,1,F,E,E_F.png,training,4,14,7,high,stripes,feet,E,W,F,C,12,7_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_F.png,Resources/W_C.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-04-30_11h48.08.312,explain2,2025.1.1,Win32,60.60606061,670d816961bebcb45b53b929,69f36a13e001dbc079bfbe67,69f3874613ea08b649ac3609,,,,,,,,,,,,,,,,,,,,,,,1969.7755,2060.8635,1,[88.09050000000025],[88.09050000000025],"Large size, bright orange throat fan, abd tall crest attract many mates, giving high fertiltiy",2060.8636,2061.8618,0,14,14,14,1,C,E,E_C.png,training,4,15,9,high,stripes,feet,E,W,F,C,12,9_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_F.png,Resources/W_C.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-04-30_11h48.08.312,explain2,2025.1.1,Win32,60.60606061,670d816961bebcb45b53b929,69f36a13e001dbc079bfbe67,69f3874613ea08b649ac3609,,,,,,,,,,,,,,,,,,,,,,,2061.8662,2091.5474,1,[28.768699999999626],[28.768699999999626],small body,2091.5475,2092.5468,0,15,15,15,1,F,W,W_F.png,training,4,16,4,low,stripes,feet,E,W,F,C,12,4_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_F.png,Resources/W_C.png","high,high,low,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-04-30_11h48.08.312,explain2,2025.1.1,Win32,60.60606061,670d816961bebcb45b53b929,69f36a13e001dbc079bfbe67,69f3874613ea08b649ac3609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2092.5482,2096.9825,1,[1.4492000000009284],[1.4492000000009284],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-04-30_11h48.08.312,explain2,2025.1.1,Win32,60.60606061,670d816961bebcb45b53b929,69f36a13e001dbc079bfbe67,69f3874613ea08b649ac3609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,E,E_C.png,training,1,1,8,high,stripes,feet,E,W,F,C,12,8_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_F.png,Resources/W_C.png","high,high,low,low",,,,,,2097.0173,2116.9346,"[5,4,8,6]",1,[0.7683000000010907],[0.7683000000010907],0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-04-30_11h48.08.312,explain2,2025.1.1,Win32,60.60606061,670d816961bebcb45b53b929,69f36a13e001dbc079bfbe67,69f3874613ea08b649ac3609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2116.9399,2153.3185,3,23.8227,Yes,3.6347,Webbed,Webbed,35.6044,1,[0.77960000000121],[0.77960000000121],0,0,0,1,1,feet,"Reptiles varied in whether they had WEBBED feet or POINTY, CURVED feet. Did having CURVED/POINTY or WEBBED feet make a difference to fertility? If you did not notice this feature or believe it did not make a difference to fertility, please hit no and proceed.",Did foot shape matter to the fertility of reptiles?,"Webbed, Curved/Pointy",WebbedvCurly.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-04-30_11h48.08.312,explain2,2025.1.1,Win32,60.60606061,670d816961bebcb45b53b929,69f36a13e001dbc079bfbe67,69f3874613ea08b649ac3609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2153.3242,2209.3081,5,22.2897,Yes,14.3123,Up/Right,0,49.5225,1,[6.468800000001011],[6.468900000000758],0,1,1,0,1,stripe,"Reptiles varied in whether they had stripes oriented UPWARDS AND RIGHT  or UPWARDS AND LEFT. Did stripe orientation make a difference to fertility? If you did not notice this feature or believe it did not make a difference to fertility, please hit no and proceed.",Did stripe orientation matter to the fertility of reptiles?,"Up/Right, Up/Left",LeftvRight.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,012,2026-04-30_11h48.08.312,explain2,2025.1.1,Win32,60.60606061,670d816961bebcb45b53b929,69f36a13e001dbc079bfbe67,69f3874613ea08b649ac3609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2209.3095,2219.543,0,[],[],0,[],[],1,[8.233999999999924],[8.234099999999671],0,[],[],,,,,,,,,,,,,,,,
,012,2026-04-30_11h48.08.312,explain2,2025.1.1,Win32,60.60606061,670d816961bebcb45b53b929,69f36a13e001dbc079bfbe67,69f3874613ea08b649ac3609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2219.5447,2232.6269,2,8.0705,2,11.9553,1,[1.1175999999995838],[1.1175999999995838],,,,,,,
,012,2026-04-30_11h48.08.312,explain2,2025.1.1,Win32,60.60606061,670d816961bebcb45b53b929,69f36a13e001dbc079bfbe67,69f3874613ea08b649ac3609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2232.6275,2236.6269,,1,[3.000699999999142],[3.000699999999142],
,012,2026-04-30_11h48.08.312,explain2,2025.1.1,Win32,60.60606061,670d816961bebcb45b53b929,69f36a13e001dbc079bfbe67,69f3874613ea08b649ac3609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,complete
