consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,stripes_high,stripes_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
yes,016,2026-05-18_13h03.09.612,explain2,2025.1.1,Win32,59.52380952,69b43b9d76ee607f164315ec,6a05d39198ca5b2f348a4575,6a0b5414cd60b5cd8d2b8e6b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,016,2026-05-18_13h03.09.612,explain2,2025.1.1,Win32,59.52380952,69b43b9d76ee607f164315ec,6a05d39198ca5b2f348a4575,6a0b5414cd60b5cd8d2b8e6b,25.8258,25.8259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,016,2026-05-18_13h03.09.612,explain2,2025.1.1,Win32,59.52380952,69b43b9d76ee607f164315ec,6a05d39198ca5b2f348a4575,6a0b5414cd60b5cd8d2b8e6b,,,25.8264,57.2072,1,[26.382800000011926],[26.382800000011926],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,016,2026-05-18_13h03.09.612,explain2,2025.1.1,Win32,59.52380952,69b43b9d76ee607f164315ec,6a05d39198ca5b2f348a4575,6a0b5414cd60b5cd8d2b8e6b,,,,,,,,57.2074,82.522,1,[20.316000000000017],[20.316000000000017],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,016,2026-05-18_13h03.09.612,explain2,2025.1.1,Win32,59.52380952,69b43b9d76ee607f164315ec,6a05d39198ca5b2f348a4575,6a0b5414cd60b5cd8d2b8e6b,,,,,,,,,,,,,82.5223,96.6547,1,[9.132699999988063],[9.132699999988063],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,016,2026-05-18_13h03.09.612,explain2,2025.1.1,Win32,59.52380952,69b43b9d76ee607f164315ec,6a05d39198ca5b2f348a4575,6a0b5414cd60b5cd8d2b8e6b,,,,,,,,,,,,,,,,,,96.655,130.7197,1,[29.065300000011916],[29.065300000011916],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,016,2026-05-18_13h03.09.612,explain2,2025.1.1,Win32,59.52380952,69b43b9d76ee607f164315ec,6a05d39198ca5b2f348a4575,6a0b5414cd60b5cd8d2b8e6b,,,,,,,,,,,,,,,,,,,,,,,130.7261,217.8992,1,[84.17900000000003],[84.17900000000003],This reptile received a fertility score of 3 because it a camouflage green allowing it to blend in to its surroundings and stay safe.,217.8994,218.8988,0,0,0,0,1,C,E,E_C.png,training,1,1,3,high,stripes,feet,E,W,C,F,16,3_score.png,"Resources/W_F.png,Resources/E_C.png,Resources/E_F.png,Resources/W_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,016,2026-05-18_13h03.09.612,explain2,2025.1.1,Win32,59.52380952,69b43b9d76ee607f164315ec,6a05d39198ca5b2f348a4575,6a0b5414cd60b5cd8d2b8e6b,,,,,,,,,,,,,,,,,,,,,,,218.9013,270.6797,1,[48.78060000002387],[48.78060000002387],This reptile received a fertility score of 1 because it has more stripes.,270.6797,271.6792,0,1,1,1,1,F,W,W_F.png,training,1,2,1,low,stripes,feet,E,W,C,F,16,1_score.png,"Resources/W_F.png,Resources/E_C.png,Resources/E_F.png,Resources/W_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,016,2026-05-18_13h03.09.612,explain2,2025.1.1,Win32,59.52380952,69b43b9d76ee607f164315ec,6a05d39198ca5b2f348a4575,6a0b5414cd60b5cd8d2b8e6b,,,,,,,,,,,,,,,,,,,,,,,271.6807,306.9685,1,[32.2885],[32.2885],This reptile received a fertility score of 6 because it has a bigger mouth.,306.9685,307.9668,0,2,2,2,1,F,E,E_F.png,training,1,3,6,high,stripes,feet,E,W,C,F,16,6_score.png,"Resources/W_F.png,Resources/E_C.png,Resources/E_F.png,Resources/W_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,016,2026-05-18_13h03.09.612,explain2,2025.1.1,Win32,59.52380952,69b43b9d76ee607f164315ec,6a05d39198ca5b2f348a4575,6a0b5414cd60b5cd8d2b8e6b,,,,,,,,,,,,,,,,,,,,,,,307.9689,337.1505,1,[26.182699999988074],[26.182699999988074],This reptile received a fertility score of 6 because it also has a big mouth.,337.1506,338.1474,0,3,3,3,1,C,W,W_C.png,training,1,4,6,low,stripes,feet,E,W,C,F,16,6_score.png,"Resources/W_F.png,Resources/E_C.png,Resources/E_F.png,Resources/W_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
