consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,stripes_high,stripes_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_response_label,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
yes,019,2026-04-30_12h20.27.820,explain2,2025.1.1,Win32,60.60606061,67d1fae33c97d8df89998bd9,69f36a13e001dbc079bfbe67,69f38f4578ac4384030e33ae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,019,2026-04-30_12h20.27.820,explain2,2025.1.1,Win32,60.60606061,67d1fae33c97d8df89998bd9,69f36a13e001dbc079bfbe67,69f38f4578ac4384030e33ae,10.0464,10.0466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,019,2026-04-30_12h20.27.820,explain2,2025.1.1,Win32,60.60606061,67d1fae33c97d8df89998bd9,69f36a13e001dbc079bfbe67,69f38f4578ac4384030e33ae,,,10.0469,17.0359,1,[2.0004000005722027],[2.0004000005722027],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,019,2026-04-30_12h20.27.820,explain2,2025.1.1,Win32,60.60606061,67d1fae33c97d8df89998bd9,69f36a13e001dbc079bfbe67,69f38f4578ac4384030e33ae,,,,,,,,17.0362,77.3873,1,[55.351600000381474],[55.351600000381474],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,019,2026-04-30_12h20.27.820,explain2,2025.1.1,Win32,60.60606061,67d1fae33c97d8df89998bd9,69f36a13e001dbc079bfbe67,69f38f4578ac4384030e33ae,,,,,,,,,,,,,77.3875,85.4377,1,[3.0501000003814767],[3.0501000003814767],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,019,2026-04-30_12h20.27.820,explain2,2025.1.1,Win32,60.60606061,67d1fae33c97d8df89998bd9,69f36a13e001dbc079bfbe67,69f38f4578ac4384030e33ae,,,,,,,,,,,,,,,,,,85.4379,95.7045,1,[5.266699999809262],[5.266699999809262],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,019,2026-04-30_12h20.27.820,explain2,2025.1.1,Win32,60.60606061,67d1fae33c97d8df89998bd9,69f36a13e001dbc079bfbe67,69f38f4578ac4384030e33ae,,,,,,,,,,,,,,,,,,,,,,,95.712,154.5078,1,[55.802100000381444],[55.802100000381444],This is because it looks healthy and good eyes,154.5079,155.5063,0,0,0,0,1,F,E,E_F.png,training,1,1,7,high,feet,stripes,F,C,W,E,19,7_score.png,"Resources/W_F.png,Resources/E_C.png,Resources/W_C.png,Resources/E_F.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,019,2026-04-30_12h20.27.820,explain2,2025.1.1,Win32,60.60606061,67d1fae33c97d8df89998bd9,69f36a13e001dbc079bfbe67,69f38f4578ac4384030e33ae,,,,,,,,,,,,,,,,,,,,,,,155.5082,194.2077,1,[35.700899999618514],[35.700899999618514],it has green body with distinct dark vertical stripes,194.2079,195.2097,0,1,1,1,1,F,W,W_F.png,training,1,2,8,high,feet,stripes,F,C,W,E,19,8_score.png,"Resources/W_F.png,Resources/E_C.png,Resources/W_C.png,Resources/E_F.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,019,2026-04-30_12h20.27.820,explain2,2025.1.1,Win32,60.60606061,67d1fae33c97d8df89998bd9,69f36a13e001dbc079bfbe67,69f38f4578ac4384030e33ae,,,,,,,,,,,,,,,,,,,,,,,195.2117,214.0754,1,[15.867399999618527],[15.867399999618527],it does not look healthy,214.0756,215.0743,0,2,2,2,1,C,W,W_C.png,training,1,3,3,low,feet,stripes,F,C,W,E,19,3_score.png,"Resources/W_F.png,Resources/E_C.png,Resources/W_C.png,Resources/E_F.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,019,2026-04-30_12h20.27.820,explain2,2025.1.1,Win32,60.60606061,67d1fae33c97d8df89998bd9,69f36a13e001dbc079bfbe67,69f38f4578ac4384030e33ae,,,,,,,,,,,,,,,,,,,,,,,215.076,230.4089,1,[12.333699999809284],[12.333699999809284],it looks malnourished,230.409,231.4082,0,3,3,3,1,C,E,E_C.png,training,1,4,2,low,feet,stripes,F,C,W,E,19,2_score.png,"Resources/W_F.png,Resources/E_C.png,Resources/W_C.png,Resources/E_F.png","high,low,low,high",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
