consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,feet_high,feet_low,stripes_high,stripes_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,direction_response_label,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff,survey_debrief.block_1/debriefComplete
yes,101,2026-05-18_17h39.51.694,explain2,2025.1.1,Win32,59.88023952,69ef66922536e8dda5198251,6a0b75acb1bc737ad12c48ef,6a0b86c5cdd8c62ee16bed68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,101,2026-05-18_17h39.51.694,explain2,2025.1.1,Win32,59.88023952,69ef66922536e8dda5198251,6a0b75acb1bc737ad12c48ef,6a0b86c5cdd8c62ee16bed68,23.3287,23.3289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,101,2026-05-18_17h39.51.694,explain2,2025.1.1,Win32,59.88023952,69ef66922536e8dda5198251,6a0b75acb1bc737ad12c48ef,6a0b86c5cdd8c62ee16bed68,,,23.3292,65.2991,1,[36.982899999999916],[36.982899999999916],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,101,2026-05-18_17h39.51.694,explain2,2025.1.1,Win32,59.88023952,69ef66922536e8dda5198251,6a0b75acb1bc737ad12c48ef,6a0b86c5cdd8c62ee16bed68,,,,,,,,65.2995,78.5811,1,[8.283600000000092],[8.283600000000092],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,101,2026-05-18_17h39.51.694,explain2,2025.1.1,Win32,59.88023952,69ef66922536e8dda5198251,6a0b75acb1bc737ad12c48ef,6a0b86c5cdd8c62ee16bed68,,,,,,,,,,,,,78.5816,91.9147,1,[8.333600000000104],[8.333600000000104],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,101,2026-05-18_17h39.51.694,explain2,2025.1.1,Win32,59.88023952,69ef66922536e8dda5198251,6a0b75acb1bc737ad12c48ef,6a0b86c5cdd8c62ee16bed68,,,,,,,,,,,,,,,,,,91.915,112.4137,1,[15.499700000000189],[15.499700000000189],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,101,2026-05-18_17h39.51.694,explain2,2025.1.1,Win32,59.88023952,69ef66922536e8dda5198251,6a0b75acb1bc737ad12c48ef,6a0b86c5cdd8c62ee16bed68,,,,,,,,,,,,,,,,,,,,,,,112.4223,290.3273,1,[174.91270000000014],[174.91270000000014],"The reptile's small, slender build suggests low energy reserves, which is why it didn't have the ability to produce more than two offspring.",290.3277,291.3255,0,0,0,0,1,C,W,W_C.png,training,1,1,2,high,feet,stripes,C,F,E,W,101,2_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_C.png,Resources/W_F.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,101,2026-05-18_17h39.51.694,explain2,2025.1.1,Win32,59.88023952,69ef66922536e8dda5198251,6a0b75acb1bc737ad12c48ef,6a0b86c5cdd8c62ee16bed68,,,,,,,,,,,,,,,,,,,,,,,291.3287,438.3626,1,[144.0363999999999],[144.0363999999999],"Because its looks big, so it likely had enough energy and strength to have 10 surviving offspring.",438.3627,439.3606,0,1,1,1,1,C,E,E_C.png,training,1,2,10,high,feet,stripes,C,F,E,W,101,10_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_C.png,Resources/W_F.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,101,2026-05-18_17h39.51.694,explain2,2025.1.1,Win32,59.88023952,69ef66922536e8dda5198251,6a0b75acb1bc737ad12c48ef,6a0b86c5cdd8c62ee16bed68,,,,,,,,,,,,,,,,,,,,,,,439.3635,512.327,1,[69.97119999999973],[69.97119999999973],"Because it looks medium-sized, so it had energy but not enough to have many offspring.",512.327,513.3252,0,2,2,2,1,F,W,W_F.png,training,1,3,4,low,feet,stripes,C,F,E,W,101,4_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_C.png,Resources/W_F.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,101,2026-05-18_17h39.51.694,explain2,2025.1.1,Win32,59.88023952,69ef66922536e8dda5198251,6a0b75acb1bc737ad12c48ef,6a0b86c5cdd8c62ee16bed68,,,,,,,,,,,,,,,,,,,,,,,513.3276,580.9433,1,[64.62269999999921],[64.62289999999939],"Because it is small, so it probably didn't have enough energy to have more than 1 surviving offspring.",580.9433,581.9338,0,3,3,3,1,F,E,E_F.png,training,1,4,1,low,feet,stripes,C,F,E,W,101,1_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_C.png,Resources/W_F.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,101,2026-05-18_17h39.51.694,explain2,2025.1.1,Win32,59.88023952,69ef66922536e8dda5198251,6a0b75acb1bc737ad12c48ef,6a0b86c5cdd8c62ee16bed68,,,,,,,,,,,,,,,,,,,,,,,581.9369,669.69,1,[84.75509999999963],[84.75509999999963],"Because it is medium in size, so it had some energy but not enough to have many surviving offspring.",669.69,670.687,0,4,4,4,1,F,W,W_F.png,training,2,5,4,low,feet,stripes,C,F,E,W,101,4_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_C.png,Resources/W_F.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,101,2026-05-18_17h39.51.694,explain2,2025.1.1,Win32,59.88023952,69ef66922536e8dda5198251,6a0b75acb1bc737ad12c48ef,6a0b86c5cdd8c62ee16bed68,,,,,,,,,,,,,,,,,,,,,,,670.6894,724.272,1,[50.58959999999968],[50.58959999999968],"Because it is medium in size, so it had some energy but not enough to have many surviving offspring.",724.2722,725.2706,0,5,5,5,1,F,E,E_F.png,training,2,6,4,low,feet,stripes,C,F,E,W,101,4_score.png,"Resources/E_C.png,Resources/E_F.png,Resources/W_C.png,Resources/W_F.png","high,low,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
