consent_survey.block_1/consentChoice,condition,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,check_response.started,check_response.stopped,Welcome_Screen.started,Welcome_Screen.stopped,button_start_1.numClicks,button_start_1.timesOn,button_start_1.timesOff,Welcome_Screen2.started,Welcome_Screen2.stopped,button_start_2.numClicks,button_start_2.timesOn,button_start_2.timesOff,Instruction_Screen.started,Instruction_Screen.stopped,instruct_button.numClicks,instruct_button.timesOn,instruct_button.timesOff,Welcome_Screen3.started,Welcome_Screen3.stopped,button_start_3.numClicks,button_start_3.timesOn,button_start_3.timesOff,feedback.started,feedback.stopped,continue_button_feedback.numClicks,continue_button_feedback.timesOn,continue_button_feedback.timesOff,explanation_box.text,ISI.started,ISI.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,feet,stripes,image_file,phase,rep,trial_num,fertility_score,category,relevant_dim,irrelevant_dim,stripes_high,stripes_low,feet_high,feet_low,participant_id,rep_image_file,images_list,testing_categories,Test_Screen.started,Test_Screen.stopped,button_3.numClicks,button_3.timesOn,button_3.timesOff,Final_Questions_Averages.started,Final_Questions_Averages.stopped,sliderRatings,button_4.numClicks,button_4.timesOn,button_4.timesOff,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,Looped_Final_Questions.started,Looped_Final_Questions.stopped,continuous_slider.response,continuous_slider.rt,discrete_slider.response,discrete_slider.rt,direction_response_label,direction_slider.response,direction_slider.rt,button_final.numClicks,button_final.timesOn,button_final.timesOff,question_loop.thisRepN,question_loop.thisTrialN,question_loop.thisN,question_loop.thisIndex,question_loop.ran,feature,prompt_continuous,question_text,direction_labels,example_file,attention_check.started,attention_check.stopped,button_1_wrong.numClicks,button_1_wrong.timesOn,button_1_wrong.timesOff,button_2_wrong.numClicks,button_2_wrong.timesOn,button_2_wrong.timesOff,button_3_correct.numClicks,button_3_correct.timesOn,button_3_correct.timesOff,button_4_wrong.numClicks,button_4_wrong.timesOn,button_4_wrong.timesOff,CogPro_Questions.started,CogPro_Questions.stopped,cogpro_predict.response,cogpro_predict.rt,cogpro_explain.response,cogpro_explain.rt,continue_cogpro.numClicks,continue_cogpro.timesOn,continue_cogpro.timesOff,Goodbye_Screen.started,Goodbye_Screen.stopped,feedback_text.text,button_end.numClicks,button_end.timesOn,button_end.timesOff
yes,116,2026-05-18_13h50.11.496,explain2,2025.1.1,Linux x86_64,60.24096386,62e92ac314e2c0f89236aed1,6a05d39198ca5b2f348a4575,6a0b510d1c1de54dbf7f251e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,116,2026-05-18_13h50.11.496,explain2,2025.1.1,Linux x86_64,60.24096386,62e92ac314e2c0f89236aed1,6a05d39198ca5b2f348a4575,6a0b510d1c1de54dbf7f251e,10.0726,10.073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,116,2026-05-18_13h50.11.496,explain2,2025.1.1,Linux x86_64,60.24096386,62e92ac314e2c0f89236aed1,6a05d39198ca5b2f348a4575,6a0b510d1c1de54dbf7f251e,,,10.0739,24.2441,1,[9.1755],[9.1755],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,116,2026-05-18_13h50.11.496,explain2,2025.1.1,Linux x86_64,60.24096386,62e92ac314e2c0f89236aed1,6a05d39198ca5b2f348a4575,6a0b510d1c1de54dbf7f251e,,,,,,,,24.2447,37.6301,1,[8.392300000000745],[8.392300000000745],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,116,2026-05-18_13h50.11.496,explain2,2025.1.1,Linux x86_64,60.24096386,62e92ac314e2c0f89236aed1,6a05d39198ca5b2f348a4575,6a0b510d1c1de54dbf7f251e,,,,,,,,,,,,,37.6311,54.5629,1,[11.9375],[11.9375],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,116,2026-05-18_13h50.11.496,explain2,2025.1.1,Linux x86_64,60.24096386,62e92ac314e2c0f89236aed1,6a05d39198ca5b2f348a4575,6a0b510d1c1de54dbf7f251e,,,,,,,,,,,,,,,,,,54.5633,71.3805,1,[11.822000000000017],[11.822000000000017],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,116,2026-05-18_13h50.11.496,explain2,2025.1.1,Linux x86_64,60.24096386,62e92ac314e2c0f89236aed1,6a05d39198ca5b2f348a4575,6a0b510d1c1de54dbf7f251e,,,,,,,,,,,,,,,,,,,,,,,71.393,99.5867,1,[25.208300000000747],[25.208300000000747],"They have stripes, they sit on a log, and they're happy",99.5869,100.5842,0,0,0,0,1,C,E,E_C.png,training,1,1,8,high,stripes,feet,E,W,C,F,116,8_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,116,2026-05-18_13h50.11.496,explain2,2025.1.1,Linux x86_64,60.24096386,62e92ac314e2c0f89236aed1,6a05d39198ca5b2f348a4575,6a0b510d1c1de54dbf7f251e,,,,,,,,,,,,,,,,,,,,,,,100.589,142.3481,1,[38.76239999999851],[38.762599999997775],Their mouth is slightly off-kilter. They have three legs,142.3511,143.3427,0,1,1,1,1,F,E,E_F.png,training,1,2,6,high,stripes,feet,E,W,C,F,116,6_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,116,2026-05-18_13h50.11.496,explain2,2025.1.1,Linux x86_64,60.24096386,62e92ac314e2c0f89236aed1,6a05d39198ca5b2f348a4575,6a0b510d1c1de54dbf7f251e,,,,,,,,,,,,,,,,,,,,,,,143.3509,160.7433,1,[14.401700000002961],[14.401700000002961],One eye is smaller than the other.,160.7434,161.7425,0,2,2,2,1,F,W,W_F.png,training,1,3,3,low,stripes,feet,E,W,C,F,116,3_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,116,2026-05-18_13h50.11.496,explain2,2025.1.1,Linux x86_64,60.24096386,62e92ac314e2c0f89236aed1,6a05d39198ca5b2f348a4575,6a0b510d1c1de54dbf7f251e,,,,,,,,,,,,,,,,,,,,,,,161.7489,171.9332,1,[7.192599999997782],[7.192599999997782],One eye is smaller than the other.,171.9332,172.9308,0,3,3,3,1,C,W,W_C.png,training,1,4,4,low,stripes,feet,E,W,C,F,116,4_score.png,"Resources/W_F.png,Resources/E_F.png,Resources/E_C.png,Resources/W_C.png","low,high,high,low",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
